fragment_smiles,occurences,example_ligands
Nc1cncs1,798,248:24800:0:PV-005535362215;248:24800:3:PV-005535467685;248:24800:3:PV-005535468687;
C1COCCN1,58124,248:24800:0:PV-005535362973;248:24800:0:PV-005535365323;248:24800:0:PV-005535365324;
Cc1csc(C)n1,7288,248:24800:0:PV-005535362984;248:24800:0:PV-005535373749;248:24800:0:PV-005535374305;
C1CC2CCC1C2,21238,248:24800:0:PV-005535362984;248:24800:0:PV-005535363233;248:24800:0:PV-005535363234;
Cc1ccno1,28141,248:24800:0:PV-005535362998;248:24800:0:PV-005535365867;248:24800:0:PV-005535367074;
C1CC2CNC2CN1,11075,248:24800:0:PV-005535362998;248:24800:0:PV-005535369457;248:24800:0:PV-005535376306;
C1CNC2(C1)CC2,11641,248:24800:0:PV-005535363016;248:24800:0:PV-005535373569;248:24800:0:PV-005535375307;
C1COC2(C1)CCNC2,1289,248:24800:0:PV-005535363031;248:24800:0:PV-005535376308;248:24800:3:PV-005535446030;
Cc1ccsn1,22271,248:24800:0:PV-005535363031;248:24800:0:PV-005535363188;248:24800:0:PV-005535363774;
Cc1cccc(C)c1,20012,248:24800:0:PV-005535363039;248:24800:0:PV-005535363040;248:24800:0:PV-005535363822;
Oc1cnccn1,3099,248:24800:0:PV-005535363039;248:24800:0:PV-005535363040;248:24800:0:PV-005535384274;
Cc1ccc(C)c(Cl)c1,1286,248:24800:0:PV-005535363049;248:24800:2:PV-001082443847;248:24800:3:PV-005535473611;
C1CC2CCNC2C1,13778,248:24800:0:PV-005535363085;248:24800:0:PV-005535370762;248:24800:0:PV-005535371066;
c1csnn1,22383,248:24800:0:PV-005535363085;248:24800:0:PV-005535363881;248:24800:0:PV-005535363882;
C1CNCC2CC2C1,1885,248:24800:0:PV-005535363097;248:24800:0:PV-005535398975;248:24800:0:PV-005535403512;
C1CCCCC1,197853,248:24800:0:PV-005535363098;248:24800:0:PV-005535363099;248:24800:0:PV-005535363258;
C1NCC2CC1CN2,6336,248:24800:0:PV-005535363098;248:24800:0:PV-005535363099;248:24800:0:PV-005535364363;
Cn1ccccc1=O,13310,248:24800:0:PV-005535363122;248:24800:0:PV-005535368884;248:24800:0:PV-005535378963;
Cc1ccnc(O)c1,4901,248:24800:0:PV-005535363141;248:24800:0:PV-005535409434;248:24800:0:PV-004035627246;
c1c[nH]nn1,99885,248:24800:0:PV-005535363173;248:24800:0:PV-005535363981;248:24800:0:PV-005535364147;
Cc1cc(N)n(C)n1,876,248:24800:0:PV-005535363186;248:24800:0:PV-005535403551;248:24800:2:PV-004035639204;
C1CNC2CCNC2C1,5177,248:24800:0:PV-005535363230;248:24800:0:PV-005535365386;248:24800:0:PV-005535387464;
c1cc2scnc2[nH]1,2273,248:24800:0:PV-005535363233;248:24800:0:PV-005535363234;248:24800:2:PV-005535412686;
C1CC2CCC1O2,9518,248:24800:0:PV-005535363246;248:24800:0:PV-005535363247;248:24800:0:PV-005535388771;
Cn1cccn1,112907,248:24800:0:PV-005535363258;248:24800:0:PV-005535364198;248:24800:0:PV-005535364199;
c1cc2c(s1)CCC2,2822,248:24800:0:PV-005535363259;248:24800:0:PV-005535363260;248:24800:0:PV-005535366230;
c1cnoc1,116097,248:24800:0:PV-005535363264;248:24800:0:PV-005535363372;248:24800:0:PV-005535363373;
C1CNCCCNC1,8126,248:24800:0:PV-005535363264;248:24800:0:PV-005535379564;248:24800:0:PV-005535379565;
Cc1cccnc1C,6814,248:24800:0:PV-005535363296;248:24800:0:PV-003511446961;248:24800:0:PV-003511446962;
C1CNCCOC1,23239,248:24800:0:PV-005535363296;248:24800:0:PV-005535364041;248:24800:0:PV-005535365223;
Cc1cc(N)on1,1130,248:24800:0:PV-005535363307;248:24800:0:PV-005535363308;248:24800:0:PV-005535363309;
C1CC2NCC2CN1,10301,248:24800:0:PV-005535363307;248:24800:0:PV-005535363308;248:24800:0:PV-005535363309;
O=S1(=O)CCC1,11333,248:24800:0:PV-005535363312;248:24800:0:PV-005535363313;248:24800:0:PV-005535363314;
C1CCCC1,231207,248:24800:0:PV-005535363324;248:24800:0:PV-005535363325;248:24800:0:PV-005535363326;
CC1CNCCN1,83169,248:24800:0:PV-005535363324;248:24800:0:PV-005535363325;248:24800:0:PV-005535363326;
Fc1ccsc1,15504,248:24800:0:PV-005535363324;248:24800:0:PV-005535363325;248:24800:0:PV-005535363326;
Nc1cnccn1,4197,248:24800:0:PV-005535363347;248:24800:0:PV-005535363587;248:24800:0:PV-005535399641;
FC1CNC1,23149,248:24800:0:PV-005535363355;248:24800:0:PV-005535371837;248:24800:0:PV-005535371838;
ClC1=CCOCC1,4658,248:24800:0:PV-005535363372;248:24800:0:PV-005535363373;248:24800:0:PV-005535363374;
C1COC2(C1)CCNCC2,2874,248:24800:0:PV-005535363378;248:24800:0:PV-005535363679;248:24800:0:PV-005535387236;
Clc1ccncc1,8194,248:24800:0:PV-005535363408;248:24800:0:PV-005535367413;248:24800:0:PV-005535369411;
C1CC2(CN1)CNC2,19579,248:24800:0:PV-005535363421;248:24800:0:PV-005535366988;248:24800:0:PV-005535370457;
CC1CC1F,8429,248:24800:0:PV-005535363421;248:24800:0:PV-005535373827;248:24800:0:PV-005535388515;
CC1CNC(C)(C)C1,2061,248:24800:0:PV-005535363432;248:24800:0:PV-005535372831;248:24800:0:PV-005535410185;
Nc1ncco1,2324,248:24800:0:PV-005535363432;248:24800:0:PV-004035627149;248:24800:1:PV-004035629702;
C1CC2CC2CN1,12072,248:24800:0:PV-005535363480;248:24800:0:PV-005535369121;248:24800:0:PV-005535369511;
C1CC2CCCN2C1,3311,248:24800:0:PV-005535363480;248:24800:0:PV-005535374575;248:24800:0:PV-005535391537;
CC1CCNCC1,50107,248:24800:0:PV-005535363491;248:24800:0:PV-005535363492;248:24800:0:PV-005535363493;
c1cn2c(n1)CCC2,8289,248:24800:0:PV-005535363494;248:24800:0:PV-005535365995;248:24800:0:PV-005535370499;
Oc1cc(Cl)ccc1Cl,21,248:24800:0:PV-005535363494;248:24809:3:PV-005538367892;248:24811:6:PV-005539063456;
Clc1ncco1,6786,248:24800:0:PV-005535363496;248:24800:0:PV-005535366975;248:24800:0:PV-005535368138;
C1=NOCC1,8151,248:24800:0:PV-005535363498;248:24800:0:PV-005535378072;248:24800:0:PV-005535378073;
CC1CCOCC1,9178,248:24800:0:PV-005535363587;248:24800:0:PV-005535365059;248:24800:0:PV-005535369720;
FC1CCNCC1,28980,248:24800:0:PV-005535363587;248:24800:0:PV-005535367151;248:24800:0:PV-005535367152;
Cc1cc[nH]c1,21631,248:24800:0:PV-005535363599;248:24800:0:PV-005535366166;248:24800:0:PV-005535369937;
CN1CCCCC1,34332,248:24800:0:PV-005535363599;248:24800:0:PV-005535367139;248:24800:0:PV-005535368650;
Cc1ccc(=O)[nH]n1,3050,248:24800:0:PV-005535363617;248:24800:0:PV-005535369395;248:24800:0:PV-005535400421;
C1CNC2(C1)CCOCC2,1362,248:24800:0:PV-005535363654;248:24800:0:PV-005535403132;248:24800:0:PV-005535407035;
O=C1CCCCN1,30537,248:24800:0:PV-005535363654;248:24800:0:PV-005535367599;248:24800:0:PV-005535367880;
Cc1ccccc1Cl,17156,248:24800:0:PV-005535363657;248:24800:0:PV-005535363658;248:24800:0:PV-005535363659;
CC1CCCN1,102561,248:24800:0:PV-005535363657;248:24800:0:PV-005535363658;248:24800:0:PV-005535363659;
Cn1ccc(Cl)c1,5333,248:24800:0:PV-005535363709;248:24800:0:PV-005535391262;248:24800:0:PV-005535394631;
OC1CCCNC1,46166,248:24800:0:PV-005535363709;248:24800:0:PV-005535374877;248:24800:0:PV-005535379340;
Cc1cc(C)cc(O)c1,1794,248:24800:0:PV-005535363735;248:24800:0:PV-005535363736;248:24800:0:PV-005535363737;
Clc1cccs1,17627,248:24800:0:PV-005535363735;248:24800:0:PV-005535363736;248:24800:0:PV-005535363737;
Cc1c[nH]c(C)c1,4532,248:24800:0:PV-005535363738;248:24800:0:PV-005535365487;248:24800:0:PV-005535365488;
FC1CCNC1,73777,248:24800:0:PV-005535363739;248:24800:0:PV-005535363740;248:24800:0:PV-005535364062;
Cc1ccn[nH]1,37166,248:24800:0:PV-005535363761;248:24800:0:PV-005535363762;248:24800:0:PV-005535363763;
CC1CCC(=O)C1,1735,248:24800:0:PV-005535363774;248:24800:0:PV-005535403124;248:24800:0:PV-005535410102;
OC1CCNCC1,26252,248:24800:0:PV-005535363778;248:24800:0:PV-005535364428;248:24800:0:PV-005535364686;
c1n[nH]c2c1CCC2,4793,248:24800:0:PV-005535363784;248:24800:0:PV-005535367257;248:24800:0:PV-005535378488;
Cc1ccnn1C,14941,248:24800:0:PV-005535363873;248:24800:0:PV-005535382552;248:24800:0:PV-005535382662;
Cc1ccccc1C,11356,248:24800:0:PV-005535363881;248:24800:0:PV-005535363882;248:24800:0:PV-005535363883;
CC1(O)CCCCC1,679,248:24800:0:PV-005535363891;248:24800:3:PV-005535420023;248:24800:9:PV-005535684595;
Cc1ccon1,31148,248:24800:0:PV-005535363912;248:24800:0:PV-005535371917;248:24800:0:PV-005535372130;
CC1CCCNC1,65871,248:24800:0:PV-005535363915;248:24800:0:PV-005535365710;248:24800:0:PV-005535368047;
C1COC2CC2C1,3229,248:24800:0:PV-005535363946;248:24800:0:PV-005535363947;248:24800:0:PV-005535363948;
Cc1cscc1C,5186,248:24800:0:PV-005535363953;248:24800:0:PV-005535389426;248:24800:0:PV-005535389427;
Cc1cccc(O)c1,9003,248:24800:0:PV-005535363968;248:24800:0:PV-005535368651;248:24800:0:PV-005535380484;
c1ccc2c(c1)CCNC2,5638,248:24800:0:PV-005535363969;248:24800:0:PV-005535390513;248:24800:0:PV-005535406149;
FC1CCCNC1,62801,248:24800:0:PV-005535363981;248:24800:0:PV-005535366880;248:24800:0:PV-005535366881;
Cc1ccco1,47545,248:24800:0:PV-005535364006;248:24800:0:PV-005535365460;248:24800:0:PV-005535367397;
CC1(C)CCCNC1,22586,248:24800:0:PV-005535364045;248:24800:0:PV-005535377642;248:24800:0:PV-005535378856;
Clc1ccccc1,83006,248:24800:0:PV-005535364045;248:24800:0:PV-005535364200;248:24800:0:PV-005535365720;
Cc1cscc1Cl,1778,248:24800:0:PV-005535364079;248:24800:1:PV-000513925735;248:24800:4:PV-005535496392;
O=c1cccc[nH]1,34369,248:24800:0:PV-005535364079;248:24800:0:PV-005535365806;248:24800:0:PV-005535366055;
Oc1ccccc1Cl,6693,248:24800:0:PV-005535364082;248:24800:0:PV-005535364083;248:24800:0:PV-005535364084;
Clc1ccc2cc[nH]c2c1,1663,248:24800:0:PV-005535364098;248:24800:0:PV-005535364099;248:24800:0:PV-005535364100;
ClC1=CCCC1,7725,248:24800:0:PV-005535364104;248:24800:0:PV-005535364663;248:24800:0:PV-005535365517;
Cc1ncc[nH]1,21090,248:24800:0:PV-005535364114;248:24800:0:PV-005535365824;248:24800:0:PV-005535370690;
Clc1nccs1,5960,248:24800:0:PV-005535364114;248:24800:0:PV-005535369217;248:24800:0:PV-005535372362;
CC1(C)CCNC1,33158,248:24800:0:PV-005535364147;248:24800:0:PV-005535370357;248:24800:0:PV-005535374437;
CC1(C)CC1O,2371,248:24800:0:PV-005535364198;248:24800:0:PV-005535364199;248:24800:0:PV-005535371001;
CN1CCOCC1,8311,248:24800:0:PV-005535364235;248:24800:0:PV-005535364236;248:24800:0:PV-005535364237;
CC1CCCCC1,30139,248:24800:0:PV-005535364286;248:24800:0:PV-005535369137;248:24800:0:PV-005535369138;
Fc1cncc(F)c1,3726,248:24800:0:PV-005535364286;248:24800:0:PV-005535381361;248:24800:0:PV-005535381362;
Cn1ccc2ccsc21,1339,248:24800:0:PV-005535364292;248:24800:0:PV-005535364293;248:24800:0:PV-005535364294;
CC1(C)CCCN1,32216,248:24800:0:PV-005535364317;248:24800:0:PV-005535365614;248:24800:0:PV-005535366396;
C1COC2(C1)CCC2,6365,248:24800:0:PV-005535364317;248:24800:0:PV-005535364834;248:24800:0:PV-005535366294;
CC1CCC1,52346,248:24800:0:PV-005535364336;248:24800:0:PV-005535365059;248:24800:0:PV-005535367052;
Cc1ccc(C)s1,8365,248:24800:0:PV-005535364336;248:24800:0:PV-005535374456;248:24800:0:PV-005535378254;
Fc1cccc2occc12,551,248:24800:0:PV-005535364351;248:24800:5:PV-005535553510;248:24800:6:PV-004035644867;
c1cnccn1,26075,248:24800:0:PV-005535364363;248:24800:0:PV-005535365762;248:24800:0:PV-005535365903;
C1NCC2CNCC12,8810,248:24800:0:PV-005535364365;248:24800:0:PV-005535379241;248:24800:0:PV-005535381833;
Cc1cnoc1,23948,248:24800:0:PV-005535364374;248:24800:0:PV-005535365187;248:24800:0:PV-005535365188;
Cc1ncn[nH]1,4499,248:24800:0:PV-005535364412;248:24800:0:PV-005535378619;248:24800:0:PV-005535378620;
CC1=CCCO1,9014,248:24800:0:PV-005535364428;248:24800:0:PV-005535365537;248:24800:0:PV-005535369318;
O=C1CSc2ccccc2N1,520,248:24800:0:PV-005535364463;248:24800:0:PV-005535398677;248:24800:0:PV-005535398678;
FC1(F)CCCC1,14689,248:24800:0:PV-005535364470;248:24800:0:PV-005535364471;248:24800:0:PV-005535364472;
c1cn2cncc2s1,1585,248:24800:0:PV-005535364503;248:24800:4:PV-005535481722;248:24800:4:PV-005535488715;
CC1CNCCCN1,29067,248:24800:0:PV-005535364508;248:24800:0:PV-005535364509;248:24800:0:PV-005535368596;
c1nncs1,3075,248:24800:0:PV-005535364508;248:24800:0:PV-005535364509;248:24800:0:PV-005535389660;
CC12CNCC1CNC2,7714,248:24800:0:PV-005535364536;248:24800:0:PV-005535364537;248:24800:0:PV-005535396156;
Fc1cccc(F)c1,26952,248:24800:0:PV-005535364536;248:24800:0:PV-005535364537;248:24800:0:PV-005535366673;
Cc1conc1C,4098,248:24800:0:PV-005535364587;248:24800:1:PV-003511454363;248:24800:1:PV-004035630355;
CC1(C)CCCCC1,11335,248:24800:0:PV-005535364622;248:24800:0:PV-005535373743;248:24800:0:PV-005535373744;
C1CC2(C1)CC2,15941,248:24800:0:PV-005535364622;248:24800:0:PV-005535370357;248:24800:0:PV-005535372742;
Cn1ccnn1,14852,248:24800:0:PV-005535364660;248:24800:0:PV-005535364661;248:24800:0:PV-005535364662;
CC1(C)CC1(C)C,8556,248:24800:0:PV-005535364663;248:24800:0:PV-005535366626;248:24800:0:PV-005535369350;
c1cc[nH]c1,96609,248:24800:0:PV-005535364720;248:24800:0:PV-005535364721;248:24800:0:PV-005535365911;
Cc1cnc(O)s1,2675,248:24800:0:PV-005535364720;248:24800:0:PV-005535364721;248:24800:0:PV-005535366159;
Nc1ccn[nH]1,1225,248:24800:0:PV-005535364722;248:24800:0:PV-005535396593;248:24800:2:PV-004035635455;
CC1CC2(CCNCC2)CN1,1316,248:24800:0:PV-005535364731;248:24800:0:PV-003511446152;248:24800:1:PV-000336945496;
O=c1[nH]cco1,9409,248:24800:0:PV-005535364733;248:24800:0:PV-005535366322;248:24800:0:PV-005535367945;
C1CC2(CCN1)CNC2,11829,248:24800:0:PV-005535364763;248:24800:0:PV-005535366273;248:24800:0:PV-005535366426;
C1COCCO1,8288,248:24800:0:PV-005535364763;248:24800:0:PV-005535373136;248:24800:0:PV-005535374238;
C1CC2NC1CC1CC12,1264,248:24800:0:PV-005535364777;248:24800:3:PV-005535436466;248:24800:3:PV-005535436467;
C1CNC2(C1)CCNC2,6154,248:24800:0:PV-005535364809;248:24800:0:PV-005535368097;248:24800:0:PV-005535372220;
c1cnc2ccnn2c1,5241,248:24800:0:PV-005535364856;248:24800:1:PV-002889961873;248:24800:1:PV-002319891615;
C1CC2CNCC2C1,14003,248:24800:0:PV-005535364861;248:24800:0:PV-005535369217;248:24800:0:PV-005535370982;
Clc1cscn1,5457,248:24800:0:PV-005535364861;248:24800:0:PV-005535375428;248:24800:0:PV-005535384549;
C1CC2(C1)CNC2,27458,248:24800:0:PV-005535364881;248:24800:0:PV-005535366423;248:24800:0:PV-005535369350;
Cn1cc(Cl)c2ccccc21,196,248:24800:0:PV-005535364908;248:24800:0:PV-005535364909;248:24800:0:PV-005535364910;
Cc1cncs1,10262,248:24800:0:PV-005535364958;248:24800:0:PV-005535367185;248:24800:0:PV-005535367243;
C1CC2CC2CCN1,2079,248:24800:0:PV-005535364958;248:24800:0:PV-005535368584;248:24800:0:PV-005535394652;
Clc1ccnc2ccccc12,223,248:24800:0:PV-005535364964;248:24800:0:PV-005535364965;248:24800:0:PV-005535382273;
OC1CCOCC1,4974,248:24800:0:PV-005535364974;248:24800:0:PV-005535365747;248:24800:0:PV-005535376020;
FC1CC2CC12,4030,248:24800:0:PV-005535364974;248:24800:0:PV-005535404290;248:24800:1:PV-004035628384;
c1cn2ccsc2n1,6072,248:24800:0:PV-005535364981;248:24800:0:PV-005535382511;248:24800:0:PV-005535388044;
Cc1cccc2[nH]ccc12,1541,248:24800:0:PV-005535365025;248:24800:0:PV-005535365026;248:24800:0:PV-005535365027;
C1CC2CNCC2CN1,15246,248:24800:0:PV-005535365030;248:24800:0:PV-005535365031;248:24800:0:PV-005535373330;
Cn1cc(Cl)cn1,13799,248:24800:0:PV-005535365059;248:24800:0:PV-005535374295;248:24800:0:PV-005535374296;
C1CC2(CCN1)CCNC2,5810,248:24800:0:PV-005535365134;248:24800:0:PV-005535365867;248:24800:0:PV-005535381116;
c1cc2c(s1)CCSC2,987,248:24800:0:PV-005535365144;248:24800:3:PV-005535433504;248:24800:4:PV-005535508082;
CN1CCNC1=O,6000,248:24800:0:PV-005535365155;248:24800:0:PV-005535366039;248:24800:0:PV-005535371610;
