fragment_smiles,occurences,example_ligands
C1CNCCSC1,1684,60:06000:0:Z2335547909;60:06000:2:Z4353526257;60:06000:3:Z2755471458;
c1ccc2c(c1)CCCO2,10776,60:06000:0:Z1966374295;60:06000:0:Z3288698507;60:06000:0:Z3615925104;
CC1=NOC2(CNC2)C1,394,60:06000:0:Z3174498898;60:06000:6:Z3175381790;60:06000:8:Z4141652184;
OC1CCNC1,23999,60:06000:0:Z4025950341;60:06000:0:Z4084910294;60:06000:0:Z4241124978;
C1CCOCC1,151277,60:06000:0:Z4025950341;60:06000:0:Z3057756127;60:06000:0:Z4311865337;
C1CCC2(C1)CCOC2,1350,60:06000:0:Z4638203300;60:06000:0:Z3872354844;60:06000:1:Z3840196415;
CC12CCNCC1C2(F)F,353,60:06000:0:Z2449077432;60:06000:1:Z2792538539;60:06000:2:Z3139110371;
CC1CNc2ncccc2C1,179,60:06000:0:Z4169980681;60:06000:1:Z4370961305;60:06001:0:Z4169977772;
CN1CCC(O)CC1,552,60:06000:0:Z4169980681;60:06000:5:Z1254242270;60:06000:6:Z4324137743;
Cc1ncno1,6680,60:06000:0:Z2130226752;60:06000:0:Z2929276312;60:06000:0:Z1934878537;
c1ccc2c(c1)C1CCC2N1,395,60:06000:0:Z2130226752;60:06000:8:Z1746817270;60:06001:2:Z2722759714;
c1ccn2cncc2c1,2604,60:06000:0:Z2184597708;60:06000:0:Z3653677719;60:06000:0:Z1628554174;
c1cn2c(n1)CCC2,3522,60:06000:0:Z4106895513;60:06000:0:Z3180103942;60:06000:0:Z3503822341;
Cc1cnoc1,4551,60:06000:0:Z4870252967;60:06000:0:Z3845747622;60:06000:0:Z4870240037;
Cc1n[nH]cc1Cl,502,60:06000:0:Z1933251333;60:06000:0:Z3645053747;60:06000:1:Z3774121609;
Fc1ccccc1Cl,16145,60:06000:0:Z1933251333;60:06000:0:Z2781253393;60:06000:0:Z4282224756;
c1nnn[nH]1,24055,60:06000:0:Z4046685032;60:06000:0:Z3520185070;60:06000:0:Z1651413897;
CC1CCC(=O)NC1,901,60:06000:0:Z2435653833;60:06000:0:Z1985834214;60:06000:1:Z2661328256;
C1=CCCCC1,802,60:06000:0:Z4056064372;60:06000:0:Z4056065054;60:06000:1:Z4590849815;
C1CC2CNC1CN2,560,60:06000:0:Z4317950505;60:06000:0:Z5023897105;60:06000:4:Z4313921916;
Cc1nncn1C,3101,60:06000:0:Z4041484924;60:06000:0:Z1315326789;60:06000:2:Z3556849857;
c1ccc2c(c1)OCO2,11822,60:06000:0:Z4972264100;60:06000:0:Z3360157755;60:06000:0:Z1831277437;
C1CCCC1,132975,60:06000:0:Z4972264100;60:06000:0:Z2969646818;60:06000:0:Z3614906157;
CC1(C)OCCO1,4552,60:06000:0:Z2711301250;60:06000:0:Z4311865337;60:06000:1:Z3369669583;
C1OC2CNC1C2,1188,60:06000:0:Z3209006244;60:06000:0:Z4325509159;60:06000:0:Z4314372696;
Cc1cccc(O)c1C,484,60:06000:0:Z3209006244;60:06000:0:Z3188127591;60:06001:1:Z3596810402;
Cc1cccnc1,22682,60:06000:0:Z3844445487;60:06000:0:Z3821738822;60:06000:0:Z2224703757;
O=c1[nH]ccn2cnnc12,363,60:06000:0:Z2833586122;60:06000:5:Z2898052367;60:06000:5:Z3520694576;
c1c[nH]cn1,71780,60:06000:0:Z3651013887;60:06000:0:Z3621065103;60:06000:0:Z4150010850;
Cc1ncc[nH]1,8882,60:06000:0:Z3999250786;60:06000:0:Z4213677815;60:06000:0:Z1481734080;
CC1CCCCC1,17467,60:06000:0:Z2275102793;60:06000:0:Z3550903234;60:06000:0:Z2347168084;
Cc1cn[nH]c1,11872,60:06000:0:Z1831586894;60:06000:0:Z3369234184;60:06000:0:Z1180484783;
Cc1ccc(C)[nH]1,5042,60:06000:0:Z2647196643;60:06000:0:Z1310355139;60:06000:0:Z2967009279;
FC1(F)C2(CCC2)C12CC2,494,60:06000:0:Z4138259764;60:06000:4:Z4325158008;60:06000:5:Z4144006343;
CC1CNCC1O,763,60:06000:0:Z3599440213;60:06000:0:Z3177249106;60:06000:0:Z3177254195;
Cc1nccs1,14352,60:06000:0:Z3535410769;60:06000:0:Z3535618420;60:06000:0:Z3531920842;
O=C1CCNC(=O)N1,11683,60:06000:0:Z3535410769;60:06000:0:Z3535618420;60:06000:0:Z3531920842;
CN1CCCC1,10338,60:06000:0:Z3535410769;60:06000:0:Z3535618420;60:06000:0:Z3531920842;
CC1CCCNC1,19252,60:06000:0:Z2504575161;60:06000:0:Z1840221176;60:06000:0:Z3865486079;
Cc1cc(=O)n2ncsc2n1,412,60:06000:0:Z1641065156;60:06000:1:Z2304758006;60:06000:1:Z2614567589;
c1nc[nH]n1,47324,60:06000:0:Z1577969047;60:06000:0:Z3834739576;60:06000:0:Z2283118325;
O=C1CCCC1,2649,60:06000:0:Z1786723896;60:06000:0:Z4621166794;60:06000:0:Z2989322401;
Cc1ccno1,13845,60:06000:0:Z3046570148;60:06000:0:Z2368735106;60:06000:0:Z2073165450;
O=C1CCCCN1,25597,60:06000:0:Z1579119371;60:06000:0:Z2719456104;60:06000:0:Z4597740637;
Cc1ccc2c(c1)CCC2,565,60:06000:0:Z1241809938;60:06000:2:Z3080786021;60:06000:4:Z1437631977;
CN1CCCCC1=O,3910,60:06000:0:Z1241809938;60:06000:0:Z1618012561;60:06000:0:Z1619091577;
O=c1[nH]nco1,940,60:06000:0:Z3343876022;60:06000:2:Z2040066236;60:06000:2:Z3337722244;
C1=CCNC1,1332,60:06000:0:Z1626777173;60:06000:0:Z4198673905;60:06000:0:Z4058542802;
C1CC2(CN1)COC2,1278,60:06000:0:Z3356000140;60:06000:1:Z2599605387;60:06000:4:Z3395091679;
CS1(=O)=NCc2ccccc21,26,60:06000:0:Z4611068787;60:06001:9:Z4922795030;60:06002:6:Z4960670132;
O=C1CCCN1,62852,60:06000:0:Z3776468807;60:06000:0:Z3605660856;60:06000:0:Z2370541539;
Nc1cnccn1,623,60:06000:0:Z4918749684;60:06000:0:Z4280153702;60:06000:2:Z2227370178;
O=C1CCCCCN1,4643,60:06000:0:Z1960134267;60:06000:0:Z3585422692;60:06000:0:Z3526016127;
C1CNCC2(C1)CC2,1483,60:06000:0:Z4194829323;60:06000:0:Z3892836820;60:06000:0:Z1716626109;
C1CNC2CCCC2C1,1451,60:06000:0:Z4055728684;60:06000:0:Z1265304701;60:06000:1:Z1627801170;
c1cnc2cncn2c1,273,60:06000:0:Z4055728684;60:06000:7:Z3095587006;60:06000:8:Z4054969305;
CN1CC2CCNC2C1,387,60:06000:0:Z3614906157;60:06000:0:Z4828221082;60:06000:2:Z3621738236;
c1ccc2c(c1)CCNC2,17672,60:06000:0:Z3797200323;60:06000:0:Z3795495748;60:06000:0:Z4061110488;
CC1NCNC1=O,222,60:06000:0:Z2457835830;60:06000:1:Z2449432738;60:06000:5:Z3554240651;
c1ccc2[nH]ccc2c1,24165,60:06000:0:Z2457835830;60:06000:0:Z3050751830;60:06000:0:Z2958095428;
Cc1cccc(F)c1,11372,60:06000:0:Z2918851756;60:06000:0:Z2918851749;60:06000:0:Z3340837102;
Cc1ccco1,22426,60:06000:0:Z2079949909;60:06000:0:Z2273512689;60:06000:0:Z3191442997;
Cn1ccnc1,32092,60:06000:0:Z3629101533;60:06000:0:Z3653675047;60:06000:0:Z4312376090;
C1CC2CCC(C1)N2,8158,60:06000:0:Z3653675047;60:06000:0:Z4511405079;60:06000:0:Z4431215452;
Fc1cccnc1,27604,60:06000:0:Z4390796067;60:06000:0:Z4176371316;60:06000:0:Z4471705565;
c1nnco1,25528,60:06000:0:Z4390796067;60:06000:0:Z2089412476;60:06000:0:Z2842219187;
Cc1ccon1,13034,60:06000:0:Z1329830227;60:06000:0:Z2819904961;60:06000:0:Z3566357299;
Fc1cccc(Cl)c1,16944,60:06000:0:Z1329830227;60:06000:0:Z4511111629;60:06000:0:Z119257058;
OC1CCOCC1,6312,60:06000:0:Z3207486083;60:06000:0:Z4771776199;60:06000:0:Z3553729222;
O=C1CC2CCCC2C1,301,60:06000:0:Z4352995671;60:06000:2:Z3205612615;60:06000:2:Z4362916254;
Oc1ccc2c(c1)CCCN2,115,60:06000:0:Z4352995671;60:06001:7:Z4352997113;60:06002:5:Z4352990534;
Cc1ncc2c(n1)CCCC2,1217,60:06000:0:Z3296241471;60:06000:3:Z4610324401;60:06000:5:Z3383282827;
Fc1ccccc1F,21425,60:06000:0:Z3296241471;60:06000:0:Z2779275207;60:06000:0:Z1462470964;
CC1CCCn2ccnc21,1107,60:06000:0:Z3897127203;60:06000:1:Z3856370949;60:06000:1:Z3049448861;
c1nc2c(s1)CCCC2,3907,60:06000:0:Z3552978054;60:06000:0:Z756075360;60:06000:0:Z2800453150;
c1cc2ccncn2c1,182,60:06000:0:Z3552978054;60:06001:7:Z2959696924;60:06001:9:Z4577158176;
Cc1cncs1,11356,60:06000:0:Z3841806084;60:06000:0:Z4266537416;60:06000:0:Z1561171096;
Cc1nnc2n1CCC2C,263,60:06000:0:Z3841806084;60:06001:2:Z3842866002;60:06001:9:Z3873508893;
C1CC2CNCC2O1,3842,60:06000:0:Z4419085939;60:06000:0:Z5061376510;60:06000:0:Z4141237137;
CC1CNCCNC1,1100,60:06000:0:Z3877397348;60:06000:0:Z2297799676;60:06000:1:Z4063326833;
c1nnc2n1CCCC2,5951,60:06000:0:Z3877397348;60:06000:0:Z4312531181;60:06000:0:Z3515436374;
C1CCCNCC1,23705,60:06000:0:Z3099732610;60:06000:0:Z2669792971;60:06000:0:Z4422132647;
C1C2CC1C2,4051,60:06000:0:Z3099732610;60:06000:0:Z4150010850;60:06000:0:Z2804778285;
c1cn2c(n1)COCC2,1886,60:06000:0:Z4199345687;60:06000:0:Z4199355978;60:06000:0:Z2979895209;
c1nncs1,31329,60:06000:0:Z5061376510;60:06000:0:Z2168870973;60:06000:0:Z1669023667;
Cc1cc(O)ncn1,422,60:06000:0:Z1385119548;60:06000:1:Z1448575018;60:06000:1:Z4234361854;
C1CSCCN1,10824,60:06000:0:Z1385119548;60:06000:0:Z1584177940;60:06000:0:Z2846950253;
CC1OCCO1,3063,60:06000:0:Z1838952256;60:06000:0:Z3076355747;60:06000:0:Z4236493170;
CC1CCCC1,8332,60:06000:0:Z1838952256;60:06000:0:Z3051427628;60:06000:0:Z4985447307;
Cn1ccccc1=O,4660,60:06000:0:Z3572467437;60:06000:0:Z3817332230;60:06000:0:Z4486097730;
Cc1cnco1,9243,60:06000:0:Z2958103598;60:06000:0:Z4591271827;60:06000:0:Z4273375202;
Nc1ccncn1,3420,60:06000:0:Z1518796472;60:06000:0:Z1867341394;60:06000:0:Z2108729143;
CC1(C)CCCOC1,3970,60:06000:0:Z4270117322;60:06000:0:Z3497157458;60:06000:0:Z2878511820;
C1CC2CCC2C1,5957,60:06000:0:Z4489258583;60:06000:0:Z4268485843;60:06000:0:Z3179454199;
O=S1(=O)CCCN1,6198,60:06000:0:Z4489258583;60:06000:0:Z4211788288;60:06000:0:Z4170740657;
C1CC2CC2CO1,2302,60:06000:0:Z3187781998;60:06000:0:Z4143964905;60:06000:0:Z4140427843;
C1CC2(C1)CNC2,5173,60:06000:0:Z2411880039;60:06000:0:Z4128221719;60:06000:0:Z4253101205;
OC1CCNCC1,16484,60:06000:0:Z3783877210;60:06000:0:Z2226176868;60:06000:0:Z3654269623;
FC1(F)C2CCCOC21,824,60:06000:0:Z3628379343;60:06000:1:Z4112775120;60:06000:2:Z2632602003;
Cc1cc(C)n(C)n1,7380,60:06000:0:Z3591915713;60:06000:0:Z2669792971;60:06000:0:Z4734789756;
FC1(F)CC12CCC2,4535,60:06000:0:Z3686284336;60:06000:0:Z4209177696;60:06000:0:Z4960923453;
C1COCO1,9120,60:06000:0:Z3686284336;60:06000:0:Z4098618471;60:06000:0:Z2951195926;
CC1CCNCC1C,661,60:06000:0:Z4769862613;60:06000:7:Z4577258484;60:06000:7:Z3609887069;
c1ncc2nc[nH]c2n1,5345,60:06000:0:Z4769862613;60:06000:0:Z4768519605;60:06000:0:Z4769928155;
OC1CCC1,17993,60:06000:0:Z4769862613;60:06000:0:Z4508904801;60:06000:0:Z2254535009;
Cc1ccccn1,29311,60:06000:0:Z1999651776;60:06000:0:Z1700199881;60:06000:0:Z2319636255;
c1n[nH]c2c1CCCC2,6733,60:06000:0:Z1381779440;60:06000:0:Z3787625819;60:06000:0:Z1906382750;
CC1CCn2nccc2N1,316,60:06000:0:Z4517933665;60:06000:2:Z3184952719;60:06000:8:Z3133989820;
c1ccnnc1,19169,60:06000:0:Z4517933665;60:06000:0:Z1098398702;60:06000:0:Z1991230908;
OC1CC2(CNC2)n2ccnc21,101,60:06000:0:Z4262933238;60:06003:6:Z4262973703;60:06004:0:Z4262944656;
c1cnsc1,12026,60:06000:0:Z4262933238;60:06000:0:Z3641084992;60:06000:0:Z3539948148;
CN1CCCC1=O,9365,60:06000:0:Z4250633582;60:06000:0:Z3472024589;60:06000:0:Z1361166065;
Cc1ncc2c(C)csc2n1,194,60:06000:0:Z3080228487;60:06000:1:Z4923468971;60:06001:2:Z1798176605;
C1CCC2(CC1)CC2,4082,60:06000:0:Z3364884611;60:06000:0:Z2641530456;60:06000:0:Z3362916838;
O=S1(=O)CCC12CCNCC2,491,60:06000:0:Z3364884611;60:06000:3:Z4984781362;60:06000:6:Z4980445626;
Cc1ccc2[nH]cnc2c1,878,60:06000:0:Z3585422692;60:06000:0:Z3526016127;60:06000:1:Z3546008780;
O=C1COc2ccc(F)cc2N1,116,60:06000:0:Z4230527487;60:06000:1:Z3843232313;60:06001:0:Z3697836585;
c1ccc2c(c1)OCCO2,11383,60:06000:0:Z3402570460;60:06000:0:Z2829755882;60:06000:0:Z3136130301;
CN1CCNCC1,17188,60:06000:0:Z3051210937;60:06000:0:Z3684789980;60:06000:0:Z3696158694;
Oc1ccnnc1,104,60:06000:0:Z3051210937;60:06000:3:Z4472945469;60:06001:0:Z3046956855;
NC1CCNC1,4147,60:06000:0:Z4054250845;60:06000:0:Z4204790679;60:06000:0:Z4212599857;
