fragment_smiles,occurences,example_ligands
Cc1cncs1,12528,20:02000:0:Z4326894608;20:02000:0:Z2924139775;20:02000:0:Z2643253384;
Cc1c[nH]cn1,4398,20:02000:0:Z4326894608;20:02000:0:Z2893344541;20:02000:0:Z3176244659;
CN1CCCCC1,16530,20:02000:0:Z4258979115;20:02000:0:Z4081361176;20:02000:0:Z2699190321;
C1COC2COCC2CN1,382,20:02000:0:Z4258979115;20:02000:0:Z3897086343;20:02001:3:Z4230894848;
Cc1ccno1,14662,20:02000:0:Z4141575101;20:02000:0:Z3218728294;20:02000:0:Z3100135393;
O=S1CC2CNCC(C2)C1,275,20:02000:0:Z4141575101;20:02000:3:Z4031281334;20:02001:5:Z4231784023;
Cc1nccs1,16853,20:02000:0:Z1437519291;20:02000:0:Z1409070605;20:02000:0:Z1397888690;
Cc1cccc2c1CCC2,694,20:02000:0:Z1437519291;20:02000:1:Z4170068230;20:02000:1:Z3359446095;
Cc1cc(C)cc(Cl)c1,791,20:02000:0:Z3009709372;20:02000:0:Z4581316438;20:02000:2:Z2863141153;
OC1CCNCC1F,670,20:02000:0:Z3009709372;20:02000:0:Z2978596137;20:02000:3:Z2957192781;
CC12CNC(CO1)C2,585,20:02000:0:Z4913671568;20:02000:0:Z4477817211;20:02000:1:Z2966251257;
C1NCC2CC12,17620,20:02000:0:Z1999585514;20:02000:0:Z4271656794;20:02000:0:Z3631381293;
Cn1ccnc1,27503,20:02000:0:Z1836095907;20:02000:0:Z3435405321;20:02000:0:Z2927362782;
C1CCC2(C1)CCCN2,1100,20:02000:0:Z4908450784;20:02000:0:Z2453024909;20:02000:1:Z2364586350;
c1ncc2c(n1)CCNC2,976,20:02000:0:Z4250853747;20:02000:0:Z1220667645;20:02000:0:Z3316275821;
c1ncsn1,13376,20:02000:0:Z2770609050;20:02000:0:Z5047048325;20:02000:0:Z2915353344;
c1nc[nH]n1,41150,20:02000:0:Z3363584301;20:02000:0:Z1818505501;20:02000:0:Z2590322233;
c1cn2c(n1)CCC2,4204,20:02000:0:Z3949006166;20:02000:0:Z3872315268;20:02000:1:Z3799262368;
FC1(F)CC2CCC(C1)N2,339,20:02000:0:Z3949006166;20:02000:6:Z2717475322;20:02000:7:Z2851889666;
Cc1cc2c(cn1)CCN2,258,20:02000:0:Z4132607680;20:02001:1:Z4132608142;20:02001:5:Z3627623114;
CC1(O)CCNCC1,816,20:02000:0:Z4132607680;20:02000:0:Z1777782296;20:02000:0:Z5024942688;
NC1CCCCC1,10769,20:02000:0:Z4055147718;20:02000:0:Z2363756144;20:02000:0:Z4065711311;
c1c[nH]nn1,68128,20:02000:0:Z3791153774;20:02000:0:Z4288872990;20:02000:0:Z2711131242;
c1n[nH]c2c1CCC2,1732,20:02000:0:Z3791153774;20:02000:0:Z3595235616;20:02000:0:Z3054128726;
C1COCO1,8845,20:02000:0:Z2931631853;20:02000:0:Z3362954740;20:02000:0:Z3362953856;
CC12CC(C1)C(C)(C)O2,406,20:02000:0:Z3621749518;20:02000:0:Z3582476371;20:02000:2:Z4285517599;
CC1OC2CC1C2,1026,20:02000:0:Z3651698303;20:02000:0:Z5060316023;20:02000:3:Z3521522885;
Fc1cccnc1,26201,20:02000:0:Z3651698303;20:02000:0:Z2073348350;20:02000:0:Z3700422196;
Cn1nccc1Cl,5191,20:02000:0:Z1954581472;20:02000:0:Z2255270182;20:02000:0:Z2219200564;
CC1(F)CCC1,3970,20:02000:0:Z3604137184;20:02000:0:Z4590285108;20:02000:0:Z4601723731;
Cn1cnnc1,15280,20:02000:0:Z3094611949;20:02000:0:Z3513195023;20:02000:0:Z2763038724;
c1ccncc1,249100,20:02000:0:Z1726295376;20:02000:0:Z1432959180;20:02000:0:Z2020256649;
CS(C)(=N)=O,4421,20:02000:0:Z3469088433;20:02000:0:Z4229668875;20:02000:0:Z2233727838;
c1ccc2scnc2c1,6391,20:02000:0:Z2625612524;20:02000:0:Z1725290655;20:02000:0:Z3392940348;
C1CCNC1,262382,20:02000:0:Z1284356377;20:02000:0:Z1933240239;20:02000:0:Z2719027842;
