fragment_smiles,occurences,example_ligands
Cn1ccc(Cl)c1Cl,995,84:08400:0:PV-006011813089;84:08400:0:PV-003671862691;84:08400:3:PV-006012085401;
Nc1nccs1,9689,84:08400:0:PV-006011813089;84:08400:0:PV-003671844014;84:08400:0:PV-003671855841;
CC1CCOC(C)CN1,83,84:08400:0:PV-006011813127;84:08401:3:PV-003672306036;84:08402:4:PV-006014255356;
OC1CC2(CCC2)C1,1286,84:08400:0:PV-006011813127;84:08400:0:PV-006011821830;84:08400:0:PV-006011831990;
Cc1ccc(C)c(C)n1,405,84:08400:0:PV-006011813380;84:08400:0:PV-006011813381;84:08400:1:PV-003671902117;
CC1CCNC1,122128,84:08400:0:PV-006011813402;84:08400:0:PV-006011814957;84:08400:0:PV-006011818567;
OC1CC2CC12,5310,84:08400:0:PV-006011813402;84:08400:0:PV-006011820163;84:08400:0:PV-006011820164;
Cc1cnnn1C,2358,84:08400:0:PV-006011813685;84:08400:1:PV-003671888147;84:08400:1:PV-000533586115;
Cc1ccc(F)cc1C,247,84:08400:0:PV-006011813956;84:08400:1:PV-006011967909;84:08400:7:PV-002952233423;
Cn1cc2c(n1)CCNC2=O,239,84:08400:0:PV-006011814035;84:08400:1:PV-006011885367;84:08400:1:PV-003671896717;
Cc1cncs1,10030,84:08400:0:PV-006011814215;84:08400:0:PV-006011842972;84:08400:0:PV-002952137363;
C1CC2(CCOC2)CN1,514,84:08400:0:PV-006011814622;84:08400:0:PV-002952144460;84:08400:3:PV-002679737051;
Clc1ccc(Cl)s1,4185,84:08400:0:PV-006011814884;84:08400:0:PV-006011831811;84:08400:0:PV-006011831812;
C1OC2CC1C2,6269,84:08400:0:PV-006011814946;84:08400:0:PV-003671843510;84:08400:0:PV-003671843511;
Clc1ccsc1,24454,84:08400:0:PV-006011814957;84:08400:0:PV-006011820606;84:08400:0:PV-006011844307;
Cc1ccc(C)cc1,4215,84:08400:0:PV-006011815036;84:08400:0:PV-002952138956;84:08400:0:PV-003671853388;
Cc1cnco1,13074,84:08400:0:PV-006011815117;84:08400:0:PV-006011815118;84:08400:0:PV-006011825289;
Nc1ccccn1,10288,84:08400:0:PV-006011815117;84:08400:0:PV-006011815118;84:08400:0:PV-003671842962;
FC1CCCNC1,35680,84:08400:0:PV-006011815132;84:08400:0:PV-006011815133;84:08400:0:PV-006011826220;
c1nnco1,3866,84:08400:0:PV-006011815185;84:08400:0:PV-002122490333;84:08400:0:PV-002952144548;
C1CC2(C1)CCC1(CC2)OCCO1,125,84:08400:0:PV-006011815185;84:08401:2:PV-006013010781;84:08402:9:PV-006014750383;
C1COC2CNCC2N1,2258,84:08400:0:PV-006011815408;84:08400:0:PV-003671856126;84:08400:0:PV-003671875529;
Cc1cccs1,29915,84:08400:0:PV-006011815683;84:08400:0:PV-006011826610;84:08400:0:PV-006011845635;
Clc1nccs1,14507,84:08400:0:PV-006011816007;84:08400:0:PV-006011824129;84:08400:0:PV-006011824130;
C1COCCN1,40742,84:08400:0:PV-006011816139;84:08400:0:PV-006011816140;84:08400:0:PV-006011820691;
O=c1cccc[nH]1,18376,84:08400:0:PV-006011816851;84:08400:0:PV-006011818467;84:08400:0:PV-003671842782;
CN1CCNC1=O,3759,84:08400:0:PV-006011817454;84:08400:0:PV-006011817455;84:08400:0:PV-001473440272;
c1ccc2[nH]cnc2c1,6054,84:08400:0:PV-006011817524;84:08400:0:PV-006011844963;84:08400:0:PV-002174236888;
c1cn2ccnc2cn1,1039,84:08400:0:PV-006011817524;84:08400:0:PV-003671846691;84:08400:0:PV-002952143556;
Cc1cc(C)ncn1,1610,84:08400:0:PV-006011817741;84:08400:0:PV-002952146253;84:08400:0:PV-003671877063;
Clc1ccc2c(c1)OCCO2,342,84:08400:0:PV-006011817846;84:08400:0:PV-002952146506;84:08400:5:PV-003672019623;
Fc1ccn[nH]1,6530,84:08400:0:PV-006011818056;84:08400:0:PV-003671843808;84:08400:0:PV-003671857448;
CC1CCC(=O)N1,3851,84:08400:0:PV-006011818283;84:08400:0:PV-006011831977;84:08400:1:PV-000499542440;
FC1CCC1,50495,84:08400:0:PV-006011818283;84:08400:0:PV-006011829670;84:08400:0:PV-003671844072;
c1ccc2c(c1)CCNC2,5069,84:08400:0:PV-006011818502;84:08400:0:PV-003671862377;84:08400:1:PV-004079169339;
c1cc2sccc2o1,1001,84:08400:0:PV-006011818505;84:08400:0:PV-006011818506;84:08400:0:PV-002952136666;
CC1CNCCN1,65684,84:08400:0:PV-006011818567;84:08400:0:PV-006011818568;84:08400:0:PV-006011818569;
Oc1ccccc1,21749,84:08400:0:PV-006011818758;84:08400:0:PV-006011833012;84:08400:0:PV-002952135979;
OC1CNC1,33786,84:08400:0:PV-006011818839;84:08400:0:PV-006011846948;84:08400:0:PV-003671843075;
CC1(C)CCC1,18666,84:08400:0:PV-006011818867;84:08400:0:PV-001470198683;84:08400:0:PV-002952137721;
C1CCSCC1,22429,84:08400:0:PV-006011819277;84:08400:0:PV-006011819444;84:08400:0:PV-006011832031;
