fragment_smiles,occurences,example_ligands
C1CC2(C1)CCN2,2399,197:19700:0:Z4209326013;197:19700:0:Z3554628401;197:19700:0:Z4097630055;
Cc1cc(=O)[nH]c(C)n1,688,197:19700:0:Z1000349692;197:19700:2:Z1636346564;197:19700:2:Z1510694917;
c1nncs1,29342,197:19700:0:Z829274650;197:19700:0:Z4517054522;197:19700:0:Z3949265198;
c1ccc2[nH]cnc2c1,26647,197:19700:0:Z829274650;197:19700:0:Z2027069824;197:19700:0:Z3555758175;
CC1CNCCO1,15325,197:19700:0:Z3642140619;197:19700:0:Z212263272;197:19700:0:Z4768534549;
C1NCC2CNCC12,1717,197:19700:0:Z2877699606;197:19700:0:Z1995154160;197:19700:0:Z5053328284;
c1ccc2ccccc2c1,20341,197:19700:0:Z2877699606;197:19700:0:Z5043264147;197:19700:0:Z2645144582;
c1nc[nH]n1,55890,197:19700:0:Z992122748;197:19700:0:Z4263571866;197:19700:0:Z4263430879;
Oc1ccc2ccccc2c1,612,197:19700:0:Z992122748;197:19700:3:Z4599294102;197:19700:4:Z1508346731;
c1ccc2c(c1)CCCN2,20135,197:19700:0:Z4981867750;197:19700:0:Z1879587286;197:19700:0:Z1318862405;
c1c[nH]cn1,72586,197:19700:0:Z4981867750;197:19700:0:Z2120702426;197:19700:0:Z1883746422;
c1ccc2ncccc2c1,26026,197:19700:0:Z3599022692;197:19700:0:Z4591466378;197:19700:0:Z4571205634;
CC1NCCc2ccncc21,232,197:19700:0:Z3599022692;197:19700:0:Z3440870929;197:19701:2:Z3626961857;
Fc1ccccc1,382572,197:19700:0:Z3435476523;197:19700:0:Z1174396266;197:19700:0:Z3358989470;
Cc1ccc2c(c1)CCCC2,603,197:19700:0:Z2280369497;197:19700:0:Z2141835001;197:19700:0:Z1551378835;
OC1CCC1,10964,197:19700:0:Z2763811640;197:19700:0:Z3585766806;197:19700:0:Z3580757703;
c1ccc2c(c1)CCO2,13371,197:19700:0:Z3138711833;197:19700:0:Z1682693639;197:19700:0:Z2159758538;
Cc1ccccc1F,13031,197:19700:0:Z1738468376;197:19700:0:Z1886395211;197:19700:0:Z4492589198;
OC1CCCOC1,1416,197:19700:0:Z3358989470;197:19700:0:Z2479708531;197:19700:0:Z3711495897;
C1CC2CNCC12,5324,197:19700:0:Z3832070100;197:19700:0:Z4027370954;197:19700:0:Z4638538576;
FC1(F)CCNCC1,3810,197:19700:0:Z4511090626;197:19700:0:Z4591286019;197:19700:0:Z3834926029;
c1nn[nH]n1,32468,197:19700:0:Z4511090626;197:19700:0:Z4412505114;197:19700:0:Z4930749431;
Cn1nnc2c1CCCC2,1858,197:19700:0:Z2494934794;197:19700:0:Z2504855472;197:19700:0:Z2495538788;
O=c1ccnc2sccn12,1101,197:19700:0:Z2494934794;197:19700:3:Z4570797526;197:19700:4:Z1570555979;
c1cnc2c(c1)CCOC2,697,197:19700:0:Z5064347120;197:19700:0:Z5064416999;197:19700:2:Z5064432469;
C1CCCC1,128453,197:19700:0:Z2498751268;197:19700:0:Z3054274662;197:19700:0:Z2348440340;
Fc1ccccc1Cl,14870,197:19700:0:Z1546523738;197:19700:0:Z4591704703;197:19700:0:Z4092899327;
O=c1cn[nH]c2ccccc12,1107,197:19700:0:Z1228259040;197:19700:0:Z2299587133;197:19700:2:Z4539242547;
Cc1cccs1,10644,197:19700:0:Z1422646399;197:19700:0:Z1817065267;197:19700:0:Z1262170885;
CC1CC2(CCC2)C1,255,197:19700:0:Z1620749270;197:19700:7:Z1619030183;197:19700:8:Z2635792462;
Cc1csc(C)n1,2162,197:19700:0:Z1218425288;197:19700:0:Z1283937365;197:19700:0:Z3295820935;
C1COCC2(CCOCC2)N1,161,197:19700:0:Z3633330937;197:19700:6:Z3633338042;197:19703:9:Z3494105584;
Cn1ncc2c1CCOC2,1133,197:19700:0:Z3468906232;197:19700:0:Z5017205334;197:19700:5:Z3546266284;
Cn1c(=O)[nH]c(=O)c2[nH]cnc21,133,197:19700:0:Z1148612285;197:19701:6:Z2174256579;197:19701:6:Z2004393759;
c1cc2c(s1)CCCNC2,561,197:19700:0:Z1148612285;197:19700:1:Z4295223146;197:19700:1:Z3568104863;
C1CC2CCC(C1)O2,1350,197:19700:0:Z4517054522;197:19700:0:Z3949265198;197:19700:0:Z4018877945;
