fragment_smiles,occurences,example_ligands
FC1CCCCC1,7395,103:10300:0:Z4505484150;103:10300:0:Z3986415744;103:10300:0:Z4125501392;
CC1(C)CCCNC1,8387,103:10300:0:Z2284843335;103:10300:0:Z2655176554;103:10300:1:Z4027140274;
Cc1ncn[nH]1,5566,103:10300:0:Z1104545663;103:10300:0:Z3639420182;103:10300:0:Z1422327229;
Clc1ccc(Cl)cc1,3666,103:10300:0:Z1104545663;103:10300:0:Z1856676673;103:10300:0:Z1101907889;
CC1CCCC1=O,206,103:10300:0:Z4948517995;103:10301:0:Z4947753720;103:10301:1:Z4949872924;
CC1COCCN1,4178,103:10300:0:Z4262253482;103:10300:0:Z3094042706;103:10300:0:Z1734437857;
Fc1ccc2ncccc2c1,1085,103:10300:0:Z4262253482;103:10300:0:Z2581200611;103:10300:2:Z1590875226;
c1cc2n(n1)CCNC2,3399,103:10300:0:Z5022119921;103:10300:0:Z2921161145;103:10300:0:Z4264626913;
Clc1cscn1,7895,103:10300:0:Z5022119921;103:10300:0:Z4153827174;103:10300:1:Z1652528645;
Cc1ccc2c(c1)C(C)CCN2,85,103:10300:0:Z3567500063;103:10300:0:Z3010608881;103:10300:2:Z4477463568;
C1CC2COCC2O1,1027,103:10300:0:Z3567500063;103:10300:0:Z3010608881;103:10300:0:Z3713399007;
CN1CCNc2cnccc21,186,103:10300:0:Z1373621918;103:10300:2:Z4147204110;103:10301:4:Z4870290951;
c1ccc2ncccc2c1,17135,103:10300:0:Z1373621918;103:10300:0:Z3100783889;103:10300:0:Z3821386179;
CC1CNCCNC1,814,103:10300:0:Z3095331193;103:10300:0:Z2641142445;103:10300:3:Z3355969107;
Cn1cnnc1,17733,103:10300:0:Z3095331193;103:10300:0:Z2304251534;103:10300:0:Z3351942253;
Cc1ccnc(C)c1,4267,103:10300:0:Z2414558256;103:10300:0:Z4541467781;103:10300:0:Z4614107869;
c1ccc2c(c1)OCCO2,10967,103:10300:0:Z2252197672;103:10300:0:Z1588119735;103:10300:0:Z4258743225;
c1cc2n(n1)CCC2,2842,103:10300:0:Z2590009733;103:10300:0:Z2374463610;103:10300:0:Z2372525130;
O=S1(=O)CC2(CCNCC2)C1,235,103:10300:0:Z3103891481;103:10300:2:Z3206576006;103:10300:2:Z4733813653;
O=S1(=O)CCCc2cc(Cl)ccc21,97,103:10300:0:Z1677591722;103:10300:1:Z1432447515;103:10300:3:Z3598896945;
c1c[nH]nn1,100998,103:10300:0:Z2304251534;103:10300:0:Z3000295030;103:10300:0:Z2640228969;
CN1CCNCC1=O,2174,103:10300:0:Z4315704446;103:10300:0:Z4314596634;103:10300:0:Z1959515381;
c1ccc2c(c1)CCN2,14456,103:10300:0:Z1886325134;103:10300:0:Z5012951938;103:10300:0:Z4126816586;
Fc1cccc2ccccc12,911,103:10300:0:Z3527835453;103:10300:1:Z2220026009;103:10300:3:Z2781007932;
c1nc[nH]n1,66975,103:10300:0:Z3527835453;103:10300:0:Z1835855651;103:10300:0:Z2119837755;
Clc1cn2ccsc2n1,494,103:10300:0:Z3619285885;103:10300:2:Z2348960061;103:10300:2:Z1643347347;
