fragment_smiles,occurences,example_ligands
Cc1cnc[nH]1,3472,16:01600:0:Z3613159113;16:01600:0:Z2702223024;16:01600:0:Z2791613815;
C1CC2(C1)CNC2,4666,16:01600:0:Z3682418708;16:01600:0:Z4192824019;16:01600:0:Z4116662106;
Cc1nc[nH]n1,3670,16:01600:0:Z3682418708;16:01600:0:Z2670857858;16:01600:0:Z4221002937;
c1cnoc1,79502,16:01600:0:Z3604905838;16:01600:0:Z4328356067;16:01600:0:Z3369386147;
C1=NOCC1,7533,16:01600:0:Z3604905838;16:01600:0:Z2960013079;16:01600:0:Z4466847615;
C1COC2(C1)CC2,956,16:01600:0:Z3656791086;16:01600:1:Z3506046924;16:01600:1:Z3656825818;
c1ccc2ocnc2c1,2958,16:01600:0:Z1432337316;16:01600:0:Z2433573054;16:01600:0:Z2908961490;
C1=NOC2CCCC12,555,16:01600:0:Z4182731590;16:01600:4:Z4109870211;16:01600:5:Z4113907828;
FC1(F)CC12CCC2,4231,16:01600:0:Z3585986404;16:01600:0:Z3566754729;16:01600:0:Z4399374734;
c1ccn2nccc2c1,4289,16:01600:0:Z3585986404;16:01600:0:Z3899504042;16:01600:0:Z4265611223;
c1cc[nH]c1,25649,16:01600:0:Z5025938146;16:01600:0:Z3173495229;16:01600:0:Z4147798317;
C1CC2CCC2C1,7044,16:01600:0:Z5025938146;16:01600:0:Z3173495229;16:01600:0:Z3621499275;
Cn1ncc2c1CCCN2,166,16:01600:0:Z3550551061;16:01600:0:Z3551492462;16:01600:0:Z3551492575;
NC1CCCCC1,10414,16:01600:0:Z3550551061;16:01600:0:Z3551492462;16:01600:0:Z3551492575;
CC1(C)CCCNC1,5541,16:01600:0:Z4171267129;16:01600:0:Z2090330111;16:01600:0:Z3649321682;
c1ccc2cnccc2c1,5105,16:01600:0:Z4171267129;16:01600:0:Z4613918473;16:01600:0:Z2847060446;
FC1CCC1,19606,16:01600:0:Z3796026143;16:01600:0:Z3796058685;16:01600:0:Z3796049419;
Cn1nccc1Cl,5158,16:01600:0:Z3994624861;16:01600:0:Z2225642204;16:01600:0:Z2485209616;
C1C2CC1C2,8874,16:01600:0:Z4009138704;16:01600:0:Z3524012576;16:01600:0:Z3390837765;
CC1CCCOC1,6652,16:01600:0:Z3816459678;16:01600:0:Z2550476874;16:01600:0:Z3359101792;
O=C1COCCN1,1818,16:01600:0:Z3816459678;16:01600:0:Z4076909249;16:01600:0:Z2991507065;
C1CCC2(CC2)NC1,2516,16:01600:0:Z4094352932;16:01600:0:Z5003412799;16:01600:0:Z3385546944;
CC1CNCCN1,10904,16:01600:0:Z3639144272;16:01600:0:Z1894317652;16:01600:0:Z1569784556;
Cc1ccnn1C,9973,16:01600:0:Z2899468319;16:01600:0:Z730054562;16:01600:0:Z3633730160;
CC1CCCc2nccn21,544,16:01600:0:Z4141651881;16:01600:2:Z4029322107;16:01600:6:Z2358906580;
CC1CCNCC1,15511,16:01600:0:Z3100055263;16:01600:0:Z2959959814;16:01600:0:Z2446577266;
C1CNCC2(C1)COC2,574,16:01600:0:Z3100055263;16:01600:0:Z3584818046;16:01600:2:Z3318930615;
Cc1ccncn1,18588,16:01600:0:Z3817563087;16:01600:0:Z1265044524;16:01600:0:Z2505895808;
Cc1ccncc1,13957,16:01600:0:Z1894317652;16:01600:0:Z3887970658;16:01600:0:Z3856839528;
C1CCOC1,139127,16:01600:0:Z1902834501;16:01600:0:Z3619194499;16:01600:0:Z3619494360;
O=S1(=O)CC2CCNC2C1,276,16:01600:0:Z3591847256;16:01600:0:Z3591840486;16:01600:0:Z3591856005;
c1ccc2c(c1)CCC2,11707,16:01600:0:Z3361732044;16:01600:0:Z3520809475;16:01600:0:Z3359873825;
CN1CCCCC1,16702,16:01600:0:Z3444225752;16:01600:0:Z2985135793;16:01600:0:Z1569784556;
C1CC12CNC2,1083,16:01600:0:Z3444225752;16:01600:0:Z3373477057;16:01600:0:Z3817824621;
NC1COC1,593,16:01600:0:Z3216173308;16:01600:6:Z3216175676;16:01600:7:Z3216176166;
CC1CNCC(C)C1O,495,16:01600:0:Z2645340768;16:01600:1:Z2645342476;16:01600:1:Z2645342397;
Clc1cn[nH]c1,8492,16:01600:0:Z2645340768;16:01600:0:Z3944160574;16:01600:0:Z4373491987;
Cc1ccn[nH]1,19293,16:01600:0:Z1139884855;16:01600:0:Z1952604016;16:01600:0:Z3378328971;
c1cn[nH]c1,178097,16:01600:0:Z3832844254;16:01600:0:Z3404384581;16:01600:0:Z1640333351;
C1COCCN1,80949,16:01600:0:Z3773780876;16:01600:0:Z5026122092;16:01600:0:Z4422775724;
c1csnn1,8798,16:01600:0:Z4328356067;16:01600:0:Z941197062;16:01600:0:Z3627772702;
Fc1cccnc1,26155,16:01600:0:Z3829829532;16:01600:0:Z1461401291;16:01600:0:Z2636232439;
Clc1cccnc1,20957,16:01600:0:Z3843487844;16:01600:0:Z3504236660;16:01600:0:Z2206948354;
O=C1CNCCN1,10083,16:01600:0:Z3843487844;16:01600:0:Z4059061267;16:01600:0:Z4059061944;
CC1CCCCO1,8199,16:01600:0:Z2862494692;16:01600:0:Z4348733310;16:01600:0:Z1839395371;
Cc1cc(C)[nH]c(=O)c1,862,16:01600:0:Z1453786056;16:01600:0:Z3058838490;16:01600:0:Z3523973932;
CC1CCCO1,21613,16:01600:0:Z2594613310;16:01600:0:Z2299759370;16:01600:0:Z4459021945;
Cn1ccnn1,17958,16:01600:0:Z2594613310;16:01600:0:Z3078876700;16:01600:0:Z3364637178;
CC12CCC(C1)OC2,838,16:01600:0:Z4271573613;16:01600:0:Z4079431333;16:01600:1:Z3819535568;
CC1(C)NCCC1O,587,16:01600:0:Z4271573613;16:01600:2:Z2187835698;16:01600:2:Z4507915917;
Clc1ccncc1,4109,16:01600:0:Z1461401291;16:01600:0:Z3344930233;16:01600:0:Z3877050511;
Cc1cccc2c1CCNC2,220,16:01600:0:Z1592998181;16:01601:1:Z1420000400;16:01601:8:Z2010765621;
CC1CNC(=O)C1,1501,16:01600:0:Z1745964878;16:01600:1:Z3192616221;16:01600:1:Z3587051587;
Clc1cnns1,605,16:01600:0:Z1745964878;16:01600:0:Z2304381306;16:01600:0:Z4217030234;
Cc1cccc(C)n1,3695,16:01600:0:Z3152923038;16:01600:0:Z1391782064;16:01600:0:Z3843798380;
CC1CSC1,1403,16:01600:0:Z3594379472;16:01600:0:Z3806427639;16:01600:0:Z4877046268;
c1ccc2c(c1)CCN2,7015,16:01600:0:Z3594379472;16:01600:0:Z3133578280;16:01600:0:Z3009591377;
O=S1(=O)CCC2(CCNC2)C1,248,16:01600:0:Z4285369596;16:01601:9:Z3620003186;16:01602:0:Z3319376847;
c1nnn[nH]1,18504,16:01600:0:Z1325421490;16:01600:0:Z4211132382;16:01600:0:Z2605553419;
CC1OC2CC1C2,957,16:01600:0:Z3651696058;16:01600:2:Z4350874639;16:01600:5:Z4889379302;
C1CSCCN1,11311,16:01600:0:Z2407327418;16:01600:0:Z1147940320;16:01600:0:Z2579216337;
CC1CNCCSC1,687,16:01600:0:Z1879957025;16:01600:0:Z1849956267;16:01600:1:Z1852036605;
Cc1ncccn1,8332,16:01600:0:Z1865905620;16:01600:0:Z4108710659;16:01600:0:Z1968088852;
c1cc2occc2cn1,1397,16:01600:0:Z2197613617;16:01600:1:Z3590040038;16:01600:3:Z2185636347;
C1CCCNCC1,20253,16:01600:0:Z2197613617;16:01600:0:Z3364458506;16:01600:0:Z3602349210;
CC1CCNC1,25624,16:01600:0:Z2497599824;16:01600:0:Z3093370849;16:01600:0:Z1694596371;
FC(F)=C1CCNCC1,492,16:01600:0:Z4292434914;16:01600:0:Z2881551936;16:01600:2:Z2913035935;
OC1CNC1,10695,16:01600:0:Z2139042567;16:01600:0:Z4922287658;16:01600:0:Z3702903699;
C1COC2(C1)CNC2,1618,16:01600:0:Z3434919987;16:01600:0:Z4591371785;16:01600:0:Z4002634923;
Cn1cccc1,9904,16:01600:0:Z2459051201;16:01600:0:Z2474103964;16:01600:0:Z1318835714;
c1ncn2c1CCCC2,2137,16:01600:0:Z2459051201;16:01600:0:Z1650899467;16:01600:1:Z3340119668;
CC1CCCC1,16174,16:01600:0:Z1414789364;16:01600:0:Z2840355002;16:01600:0:Z4643405693;
O=c1cccc[nH]1,13880,16:01600:0:Z975721522;16:01600:0:Z2214770552;16:01600:0:Z2833446768;
c1noc2c1CCCC2,1518,16:01600:0:Z975721522;16:01600:0:Z3363276290;16:01600:1:Z1417275942;
Cc1ccccc1Cl,7324,16:01600:0:Z4915351629;16:01600:0:Z3055502038;16:01600:0:Z3508319817;
O=C1CCC1,4732,16:01600:0:Z4915351629;16:01600:0:Z3058166826;16:01600:0:Z3704250135;
c1nnc2n1NCCC2,189,16:01600:0:Z4270773136;16:01600:0:Z4270750537;16:01600:2:Z4270729452;
O=c1[nH]cnc2c(Cl)cc(Cl)cc12,7,16:01600:0:Z1554164583;16:01602:8:Z1913705266;16:01630:5:Z1269320996;
c1onc2c1CNCC2,542,16:01600:0:Z2691808327;16:01600:1:Z2691797857;16:01600:1:Z5014070706;
C1CCSC1,15528,16:01600:0:Z3655295420;16:01600:0:Z1408306077;16:01600:0:Z2958036856;
c1cc2ccsc2[nH]1,378,16:01600:0:Z3655295420;16:01600:0:Z1899156114;16:01600:1:Z2299025629;
FC1CCOC1,4858,16:01600:0:Z3857530706;16:01600:0:Z3784424839;16:01600:1:Z4110355122;
C1CC2(CC2)CO1,4235,16:01600:0:Z3834361083;16:01600:0:Z3784266565;16:01600:0:Z3900287578;
Cn1ccnc1,27433,16:01600:0:Z3621499275;16:01600:0:Z4214038428;16:01600:0:Z2493174181;
c1cnccn1,27374,16:01600:0:Z3837325784;16:01600:0:Z4467830689;16:01600:0:Z2221860687;
CN1CCCC1,12739,16:01600:0:Z2797210755;16:01600:0:Z2908215922;16:01600:0:Z2908215924;
c1nnc[nH]1,26907,16:01600:0:Z2797210755;16:01600:0:Z1268371860;16:01600:0:Z4064207450;
c1nc2n(n1)CCCC2,1724,16:01600:0:Z3351950122;16:01600:0:Z3348256794;16:01600:0:Z3935800328;
c1cnc2[nH]ncc2c1,1568,16:01600:0:Z4614551383;16:01600:0:Z2045006462;16:01600:0:Z2781530248;
O=S1CC2(CNC2)C1,557,16:01600:0:Z4614551383;16:01600:2:Z4523386146;16:01600:2:Z4467009606;
Cc1ncon1,9886,16:01600:0:Z2293129948;16:01600:0:Z2978166054;16:01600:0:Z1595666460;
Clc1ccc(Cl)s1,1957,16:01600:0:Z4484850139;16:01600:0:Z4484301941;16:01600:1:Z3339677252;
CC1(C)CCOC1,5753,16:01600:0:Z3312421895;16:01600:0:Z3872088138;16:01600:0:Z3620492169;
FC1(F)C2CCCCCC21,569,16:01600:0:Z3626026871;16:01600:3:Z3082001323;16:01600:5:Z3078008302;
C1CC2CCC1C2,13537,16:01600:0:Z3626026871;16:01600:0:Z4100878086;16:01600:0:Z4477111031;
C1CCC2CC2C1,8131,16:01600:0:Z4922287658;16:01600:0:Z3845152616;16:01600:0:Z1356749017;
c1nnco1,23353,16:01600:0:Z3795834175;16:01600:0:Z3815269476;16:01600:0:Z2390710397;
C1CC2CCC(C1)O2,3504,16:01600:0:Z3795834175;16:01600:0:Z3815269476;16:01600:0:Z4214038428;
c1ccc2c(c1)CNC2,3343,16:01600:0:Z4908250498;16:01600:0:Z2220589284;16:01600:1:Z2708313659;
CC1CCCN1,25020,16:01600:0:Z3638297217;16:01600:0:Z2614716741;16:01600:0:Z4323906534;
Cn1ccc2ccccc21,2702,16:01600:0:Z1268371860;16:01600:0:Z2760685077;16:01600:0:Z2622431333;
Cc1ccon1,16303,16:01600:0:Z2589583944;16:01600:0:Z3339538730;16:01600:0:Z4922228863;
O=S1(=O)CCCN1,3538,16:01600:0:Z4263422960;16:01600:0:Z3027568711;16:01600:0:Z3137165014;
O=C1CCCN1,46903,16:01600:0:Z2773036341;16:01600:0:Z3357686980;16:01600:0:Z3873961460;
O=C1CNCCCN1,2714,16:01600:0:Z2773036341;16:01600:1:Z1393250860;16:01600:1:Z3353213152;
Cc1ccsc1,13465,16:01600:0:Z3551439428;16:01600:0:Z3359101792;16:01600:0:Z3552637737;
Cc1cnn(C)c1,5539,16:01600:0:Z3900775482;16:01600:0:Z3346934614;16:01600:1:Z3952211312;
CC(C)=CF,1287,16:01600:0:Z4221242567;16:01600:1:Z4395181379;16:01600:2:Z4394720680;
Fc1ccccc1F,12510,16:01600:0:Z348147162;16:01600:0:Z3638723165;16:01600:0:Z194580460;
Cc1ccc(C)c(C)c1,1279,16:01600:0:Z4499038541;16:01600:0:Z4906637873;16:01600:0:Z4907790091;
FC1CCCNC1,4712,16:01600:0:Z4499038541;16:01600:0:Z3789286458;16:01600:0:Z2092262300;
c1ccc2[nH]ccc2c1,10797,16:01600:0:Z3872088138;16:01600:0:Z4056254256;16:01600:0:Z4056207751;
c1ccc2c(c1)CCO2,8736,16:01600:0:Z3339538730;16:01600:0:Z4040104274;16:01600:0:Z2718270842;
C1CN2CCC1C2,2554,16:01600:0:Z4324774551;16:01600:0:Z4219606196;16:01600:0:Z4221002937;
OC1C2CCCC1CC2,555,16:01600:0:Z4324774551;16:01600:0:Z3860661424;16:01600:1:Z4193661029;
O=S1(=O)CCNCCN1,550,16:01600:0:Z3520809475;16:01600:3:Z4272011345;16:01600:3:Z3795120592;
C1CC2(CCO1)CC2,1466,16:01600:0:Z2390710397;16:01600:0:Z2390693138;16:01600:0:Z1645916655;
c1nc2c([nH]1)CCCC2,1986,16:01600:0:Z4115986208;16:01600:0:Z2183267228;16:01600:1:Z4608620192;
Cc1cn2ccccc2n1,1262,16:01600:0:Z3671226357;16:01600:0:Z2453473363;16:01600:0:Z3644865740;
c1nn[nH]n1,21455,16:01600:0:Z3671226357;16:01600:0:Z2492850384;16:01600:0:Z3053457466;
CC12CCC1(C)CNC2,451,16:01600:0:Z4066706028;16:01600:0:Z4066714288;16:01600:3:Z4066710743;
O=C1CCc2ccccc21,1749,16:01600:0:Z2295463664;16:01600:1:Z2480010810;16:01600:2:Z2772165498;
CC1CCOCC1,3875,16:01600:0:Z4399374734;16:01600:0:Z4876752980;16:01600:1:Z3651417514;
CC1(C)CNCCCO1,566,16:01600:0:Z2705608797;16:01600:2:Z1952208695;16:01600:3:Z4405662803;
CC1CCC(F)(F)CC1,711,16:01600:0:Z2705608797;16:01600:1:Z4412980795;16:01600:2:Z3612239173;
CC1CNCCO1,15822,16:01600:0:Z3524291627;16:01600:0:Z3361102623;16:01600:0:Z3907225675;
CC1(F)CCCNC1,645,16:01600:0:Z2372333350;16:01600:8:Z2909265166;16:01600:9:Z2282546211;
CC1CC1(F)F,5414,16:01600:0:Z2372333350;16:01600:0:Z3205236344;16:01600:0:Z3574744455;
O=S1(=O)CCCC1,10654,16:01600:0:Z3133578280;16:01600:0:Z2619200388;16:01600:0:Z3175874488;
NC1CCC2CC12,652,16:01600:0:Z4002214932;16:01600:1:Z3776560903;16:01600:6:Z4001536778;
CC1CCOC1,11708,16:01600:0:Z3634624525;16:01600:0:Z3804504130;16:01600:0:Z1190666154;
OC1CCNC1,28179,16:01600:0:Z4341668469;16:01600:0:Z4032948667;16:01600:0:Z1257221627;
Cn1cncn1,14224,16:01600:0:Z4218632111;16:01600:0:Z4079431333;16:01600:0:Z2614716741;
O=C1CC2CCCC2C1,257,16:01600:0:Z3195501442;16:01602:3:Z3191501748;16:01602:7:Z4669332022;
C1CC2(CCO1)CNC2,1202,16:01600:0:Z3195501442;16:01600:1:Z3176659871;16:01600:2:Z4250087347;
FC1(F)CC12CC2,3368,16:01600:0:Z3361102623;16:01600:0:Z3784061418;16:01600:0:Z4095631993;
Cc1cccc2c1CCN2,448,16:01600:0:Z4287947359;16:01600:1:Z4064730667;16:01600:2:Z1735553676;
CC1CCCS1,3597,16:01600:0:Z2644601462;16:01600:0:Z3809121487;16:01600:0:Z3809125779;
OC1CCCCc2ccccc21,43,16:01600:0:Z2644601462;16:01603:2:Z4315621048;16:01607:4:Z2466226079;
c1ccc2ncccc2c1,7897,16:01600:0:Z2783360769;16:01600:0:Z1272273165;16:01600:0:Z4028072526;
C1COC2(C1)COC2,703,16:01600:0:Z2948888006;16:01600:3:Z3369929648;16:01600:4:Z2995827562;
Cc1ccoc1,10306,16:01600:0:Z3403510439;16:01600:0:Z2707975777;16:01600:0:Z2714583955;
CC1CCCNC1,19191,16:01600:0:Z3384112055;16:01600:0:Z3384112161;16:01600:0:Z4281635221;
C1CC2COCC1N2,756,16:01600:0:Z4022208416;16:01600:0:Z3829651261;16:01600:1:Z2625966920;
Cc1ncc[nH]1,8265,16:01600:0:Z2303097111;16:01600:0:Z2894419405;16:01600:0:Z4488691957;
CC1(C)CCCCS1,522,16:01600:0:Z2969657903;16:01600:1:Z2995505949;16:01600:6:Z2978026325;
Clc1cscc1Cl,401,16:01600:0:Z3496222945;16:01600:0:Z3503527362;16:01600:0:Z3496229463;
Cc1ccco1,21250,16:01600:0:Z3369386147;16:01600:0:Z1190684171;16:01600:0:Z4601662817;
CC1CNC1,12687,16:01600:0:Z2357824666;16:01600:0:Z3204554376;16:01600:0:Z5034573987;
O=C1CCCCN1,20168,16:01600:0:Z4396117624;16:01600:0:Z2985135793;16:01600:0:Z3861940119;
Clc1nccs1,3985,16:01600:0:Z4396117624;16:01600:0:Z4230393671;16:01600:0:Z2161550593;
C1CC2CCC(C1)N2,6742,16:01600:0:Z4079537944;16:01600:0:Z3861549846;16:01600:0:Z2621102312;
Cc1cccs1,18973,16:01600:0:Z3347325271;16:01600:0:Z2295231456;16:01600:0:Z1204668787;
FC1(F)CCNC1,4838,16:01600:0:Z2980293762;16:01600:0:Z2851864903;16:01600:0:Z2684488370;
Clc1cc(Cl)c2c(c1)CNCC2,85,16:01600:0:Z3540697389;16:01600:8:Z1569592956;16:01601:9:Z1440217488;
c1cn2ccsc2n1,4178,16:01600:0:Z1798320397;16:01600:0:Z3807020690;16:01600:0:Z3053353596;
c1nncs1,32797,16:01600:0:Z3300872628;16:01600:0:Z1610982039;16:01600:0:Z3584960455;
Fc1cccc2c1CCN2,360,16:01600:0:Z1883026763;16:01600:3:Z4485047369;16:01600:5:Z2149219164;
C1CSCCO1,910,16:01600:0:Z3781039248;16:01600:0:Z3782231369;16:01600:2:Z3819878395;
C1CNC2(C1)CCC2,4234,16:01600:0:Z4030326561;16:01600:0:Z3518290700;16:01600:0:Z5053568713;
