fragment_smiles,occurences,example_ligands
CC1CN(C)CCO1,511,434:43400:0:PV-004839999054;434:43400:0:PV-004840019812;434:43400:4:PV-004840125875;
c1cc2c(o1)CCCC2,4459,434:43400:0:PV-004839999054;434:43400:0:PV-004839999188;434:43400:0:PV-004840001104;
Cc1ccon1,36130,434:43400:0:PV-004839999068;434:43400:0:PV-004839999328;434:43400:0:PV-004839999602;
c1cnc2c(n1)CCC2,1840,434:43400:0:PV-004839999068;434:43400:0:PV-004840007247;434:43400:0:PV-004840019073;
c1ccoc1,130362,434:43400:0:PV-004839999069;434:43400:0:PV-004839999070;434:43400:0:PV-004839999391;
Cc1ccnn1C,20740,434:43400:0:PV-004839999080;434:43400:0:PV-004839999824;434:43400:0:PV-004840000915;
C1COC2(C1)CCNCC2,5350,434:43400:0:PV-004839999084;434:43400:0:PV-004840005506;434:43400:0:PV-004840006113;
O=c1cncc[nH]1,2813,434:43400:0:PV-004839999084;434:43400:1:PV-004840035714;434:43400:1:PV-004840045081;
c1ccn2ccnc2c1,20510,434:43400:0:PV-004839999090;434:43400:0:PV-004840001299;434:43400:0:PV-004840003935;
c1ccc2ccccc2c1,10204,434:43400:0:PV-004839999090;434:43400:0:PV-004839999658;434:43400:0:PV-004839999659;
Cc1nccs1,901,434:43400:0:PV-004839999154;434:43400:0:PV-004840022440;434:43400:2:PV-004840073724;
C1CCC2(CC1)CCNCC2,3566,434:43400:0:PV-004839999155;434:43400:0:PV-004840023487;434:43400:0:PV-004840023488;
C1CC2CCC(C1)N2,38112,434:43400:0:PV-004839999159;434:43400:0:PV-004839999691;434:43400:0:PV-004839999692;
Cc1ccc2occ(C)c2c1,845,434:43400:0:PV-004839999168;434:43400:0:PV-004840004647;434:43400:1:PV-004840042591;
c1ccnnc1,26783,434:43400:0:PV-004839999187;434:43400:0:PV-004839999587;434:43400:0:PV-004840000643;
C1CCC2(CC1)CNC2,5859,434:43400:0:PV-004839999187;434:43400:0:PV-004840000266;434:43400:0:PV-004840000267;
