fragment_smiles,occurences,example_ligands
Fc1ccc2c(c1)CC1CC21,161,133:13300:0:Z2648053992;133:13301:5:Z2615734116;133:13301:6:Z2655872159;
c1cn[nH]n1,8521,133:13300:0:Z4348321009;133:13300:0:Z4600023971;133:13300:0:Z4600064385;
CC1CNCC1C,1570,133:13300:0:Z2604999533;133:13300:0:Z4781944295;133:13300:0:Z2295846706;
Cc1cc(C)cc(C)c1,4152,133:13300:0:Z18544947;133:13300:0:Z707065820;133:13300:1:Z1958422170;
c1ccc2[nH]ncc2c1,9946,133:13300:0:Z18544947;133:13300:0:Z2267805593;133:13300:0:Z2016663540;
C1CCCC1,132133,133:13300:0:Z3667710610;133:13300:0:Z2305957090;133:13300:0:Z2146215725;
c1ccn2ccnc2c1,10788,133:13300:0:Z1355224415;133:13300:0:Z3818003050;133:13300:0:Z1772514895;
Oc1ccccc1,42749,133:13300:0:Z1355224415;133:13300:0:Z3893065487;133:13300:0:Z1143251195;
Cn1ncc(=O)n(C)c1=O,16,133:13300:0:Z2921063715;133:13310:4:Z114207878;133:13314:2:Z4915333536;
NC1CC12CCCCC2,342,133:13300:0:Z4114966335;133:13300:1:Z3278103625;133:13300:1:Z4115383354;
CC1NCCNC1=O,982,133:13300:0:Z1750894299;133:13300:0:Z1744991096;133:13300:2:Z4410087292;
Cc1ccn[nH]1,38554,133:13300:0:Z2181471007;133:13300:0:Z1635003443;133:13300:0:Z1554711112;
O=C1CCCN1,93050,133:13300:0:Z2181471007;133:13300:0:Z1842683379;133:13300:0:Z200297710;
Cn1cnnc1,28922,133:13300:0:Z4033841954;133:13300:0:Z3204815305;133:13300:0:Z3788912590;
Fc1cncnc1,1936,133:13300:0:Z4410526343;133:13300:0:Z3906865447;133:13300:0:Z1697152717;
Cc1cscn1,39216,133:13300:0:Z2292381035;133:13300:0:Z3056071079;133:13300:0:Z4248280032;
CC1(C)OCCO1,3615,133:13300:0:Z3474662372;133:13300:0:Z1529315047;133:13300:0:Z1529299115;
Cc1cccc(F)c1,12296,133:13300:0:Z1842683379;133:13300:0:Z3199515954;133:13300:0:Z4026957488;
C1CNCCOC1,12251,133:13300:0:Z3815130759;133:13300:0:Z4139340482;133:13300:0:Z3701283648;
O=c1[nH]cnc2ccccc12,5519,133:13300:0:Z46301260;133:13300:0:Z3702748841;133:13300:0:Z927309900;
c1ccc2c(c1)CC2,1521,133:13300:0:Z3053510442;133:13300:1:Z5049811755;133:13300:2:Z2228403204;
c1cc[nH]c1,27204,133:13300:0:Z3344302982;133:13300:0:Z4479147306;133:13300:0:Z4475042651;
O=C1c2ccccc2CC12CCNCC2,242,133:13300:0:Z3344302982;133:13300:1:Z4401415141;133:13300:5:Z3620428839;
O=C1CCCCCN1,4313,133:13300:0:Z1076397928;133:13300:0:Z2272220699;133:13300:0:Z3554909908;
Cn1cnc2cccc(Cl)c21,354,133:13300:0:Z2122109932;133:13300:7:Z1729221667;133:13301:0:Z4059185952;
Fc1cnc2cccnc2c1,369,133:13300:0:Z2122109932;133:13300:0:Z2071658972;133:13300:2:Z2072949309;
Cn1ccc2cccnc21,482,133:13300:0:Z3657772405;133:13300:0:Z4126701014;133:13300:1:Z2854505044;
FC(F)=C1CCCCC1,358,133:13300:0:Z3657772405;133:13300:2:Z5051007585;133:13300:3:Z3660163630;
Cn1cnc2cc(Cl)ccc21,753,133:13300:0:Z1743326100;133:13300:0:Z431429200;133:13300:1:Z2601037221;
CN1CCC2CNCC21,561,133:13300:0:Z3619327370;133:13300:1:Z2292188331;133:13300:1:Z3619328309;
Clc1ccc2c(c1)OCCO2,1265,133:13300:0:Z3619327370;133:13300:0:Z979926810;133:13300:1:Z2290991695;
O=C1CC2(CCNCC2)CN1,554,133:13300:0:Z3700670321;133:13300:0:Z2956223683;133:13300:0:Z3094081571;
c1ccc2c(c1)CCCNC2,1572,133:13300:0:Z2834756305;133:13300:1:Z1506535672;133:13300:2:Z4003693200;
Cc1cccc(Cl)c1,5511,133:13300:0:Z200297710;133:13300:0:Z2305596486;133:13300:0:Z1247303913;
Fc1ccc2[nH]cnc2c1,1110,133:13300:0:Z2410590832;133:13300:0:Z1334116431;133:13300:0:Z3207193849;
OC1CCc2ccccc21,1619,133:13300:0:Z2457219977;133:13300:0:Z2966496250;133:13300:0:Z2174568224;
Cc1nn(C)c2ncccc12,2215,133:13300:0:Z2305957090;133:13300:0:Z1251485328;133:13300:1:Z2224669623;
C1=NOCC1,8912,133:13300:0:Z2774223582;133:13300:0:Z3706609217;133:13300:0:Z4577188410;
CC1CCCCC1,14776,133:13300:0:Z3591397500;133:13300:0:Z1497911382;133:13300:0:Z4474059422;
Clc1cccnc1,19997,133:13300:0:Z4094587374;133:13300:0:Z4603286697;133:13300:0:Z3837542544;
C1COCCC2(COC2)N1,133,133:13300:0:Z4094587374;133:13300:6:Z4094578959;133:13300:9:Z3881687924;
C1CC2(C1)CNC2,5447,133:13300:0:Z4086801705;133:13300:0:Z3841197021;133:13300:0:Z4600885465;
