fragment_smiles,occurences,example_ligands
Clc1cncnc1,3803,0:00000:0:Z3558929666;0:00000:0:Z3540152389;0:00000:0:Z2143967430;
Clc1cc2c(s1)CCNC2,309,0:00000:0:Z3558929666;0:00000:0:Z2434076374;0:00000:8:Z2454138947;
c1cc2c(cn1)CCC2,1425,0:00000:0:Z3366359278;0:00000:0:Z4239108728;0:00000:3:Z4421463378;
Cc1ccon1,16073,0:00000:0:Z1958813647;0:00000:0:Z2704536236;0:00000:0:Z2948578760;
c1c[nH]nn1,67955,0:00000:0:Z3059498063;0:00000:0:Z3634964477;0:00000:0:Z2985740972;
C1CC2CCC1CC2,3834,0:00000:0:Z2959390220;0:00000:0:Z4556224945;0:00000:0:Z3357430086;
c1nn[nH]n1,21442,0:00000:0:Z4525079282;0:00000:0:Z2614075842;0:00000:0:Z3497750033;
Cc1ccnc(C)c1,3938,0:00000:0:Z4525079282;0:00000:0:Z2955673033;0:00000:0:Z4484576543;
C1OC2CC1C2,9345,0:00000:0:Z3511193217;0:00000:0:Z4923550107;0:00000:0:Z4273016579;
CN1CCC2CNCC21,743,0:00000:0:Z4317340138;0:00000:1:Z4266399312;0:00000:1:Z4285303428;
C1CSCS1,3288,0:00000:0:Z4350378162;0:00000:0:Z4274172821;0:00000:0:Z1532928089;
c1cnc2ccoc2c1,999,0:00000:0:Z4350378162;0:00000:0:Z3138458415;0:00000:2:Z4537760483;
Cc1ccccc1C,8543,0:00000:0:Z3209067074;0:00000:0:Z2504688506;0:00000:0:Z2642812310;
C1CNCC2(C1)COC2,576,0:00000:0:Z3209067074;0:00000:5:Z3079878315;0:00001:9:Z4117144491;
OC1CCCC1O,1058,0:00000:0:Z3367450561;0:00000:0:Z3367399228;0:00000:0:Z2862956120;
Fc1cccc2ccoc12,572,0:00000:0:Z3367450561;0:00000:0:Z3367399228;0:00000:1:Z4387887694;
Cc1ccncn1,18544,0:00000:0:Z2801682788;0:00000:0:Z4313108707;0:00000:0:Z3294248455;
CC1NCCOC1C,642,0:00000:0:Z1439421490;0:00000:0:Z1441339131;0:00000:6:Z1846198650;
Fc1cccc2ncncc12,168,0:00000:0:Z1439421490;0:00000:4:Z3561811357;0:00001:3:Z1182679122;
NC1CCCNC1,2984,0:00000:0:Z3134968374;0:00000:0:Z2394211452;0:00000:0:Z2390130973;
CC1CS(=O)(=O)CCCN1,300,0:00000:0:Z2916708271;0:00000:0:Z2955145537;0:00000:5:Z2917279859;
C1CCC2CNC2CC1,392,0:00000:0:Z1361001512;0:00000:6:Z4115433831;0:00000:9:Z3682376645;
CN1CCN(C)CC1,695,0:00000:0:Z4769014575;0:00000:0:Z3841750226;0:00000:2:Z4342849091;
CC1Cn2nccc2CN1,471,0:00000:0:Z3344574324;0:00000:1:Z3316066140;0:00000:1:Z3102352764;
CC1(C)CCC1,13247,0:00000:0:Z4064399338;0:00000:0:Z3092008694;0:00000:0:Z4524064661;
Cc1nccc(Cl)n1,518,0:00000:0:Z5023214423;0:00000:0:Z2506636025;0:00000:1:Z4192112365;
Fc1cn[nH]c1,828,0:00000:0:Z5023214423;0:00000:1:Z4515119676;0:00000:1:Z2892655282;
Cc1cc2n(n1)CCNC2,437,0:00000:0:Z3315333966;0:00000:2:Z3176086980;0:00000:3:Z3389816434;
Clc1cccs1,15518,0:00000:0:Z1958421581;0:00000:0:Z4348184860;0:00000:0:Z1180616270;
C1CNc2nn[nH]c2C1,250,0:00000:0:Z3297242932;0:00000:4:Z1204685866;0:00000:8:Z1547371141;
Fc1ccc(F)cc1,6036,0:00000:0:Z4415259338;0:00000:0:Z3026341605;0:00000:0:Z2481272765;
Cc1csc2ncncc12,284,0:00000:0:Z2347368229;0:00000:0:Z2615142164;0:00000:0:Z3396097568;
CC1CNCCN1,10882,0:00000:0:Z2347368229;0:00000:0:Z2615142164;0:00000:0:Z3396097568;
Cc1cnc2ccccn12,800,0:00000:0:Z3889117590;0:00000:2:Z3845856895;0:00000:3:Z4178051277;
Cc1ncc2n1CCCC2,712,0:00000:0:Z2184869181;0:00000:2:Z2285974577;0:00000:4:Z2312545603;
Oc1ccccn1,4629,0:00000:0:Z2184869181;0:00000:0:Z4466267898;0:00000:0:Z2482807829;
c1ncc2nc[nH]c2n1,1428,0:00000:0:Z4772516354;0:00000:0:Z4180944209;0:00000:1:Z3396133141;
CC1CC(O)C1,654,0:00000:0:Z4772516354;0:00000:3:Z4181289349;0:00000:3:Z4232246694;
C1CCC2(CCC2)OC1,2983,0:00000:0:Z3806543943;0:00000:0:Z3709411232;0:00000:0:Z3800949650;
Cc1ccn2ncnc2n1,836,0:00000:0:Z2273719371;0:00000:1:Z2615026357;0:00000:1:Z2199924723;
C1CC2CNCC1O2,1636,0:00000:0:Z1687506377;0:00000:0:Z3832686513;0:00000:0:Z3832579208;
CC1CCC1,15542,0:00000:0:Z3405398368;0:00000:0:Z3794768605;0:00000:0:Z3358480509;
Cc1ccnn1C,10254,0:00000:0:Z1487725686;0:00000:0:Z1528281977;0:00000:0:Z2038081075;
Cc1ccn(C)n1,11789,0:00000:0:Z1488430190;0:00000:0:Z2762980765;0:00000:0:Z3172113365;
CC12CNCC1C2,1832,0:00000:0:Z3907356936;0:00000:0:Z4168686994;0:00000:1:Z3831093524;
c1cnc2occc2c1,446,0:00000:0:Z3907356936;0:00000:4:Z3393165491;0:00000:7:Z2261131133;
Cn1nccc1Cl,5159,0:00000:0:Z4508465568;0:00000:0:Z4108749097;0:00000:0:Z3701794078;
FC1CCC2CC12,376,0:00000:0:Z4508465568;0:00001:8:Z4406026387;0:00002:2:Z4386358278;
C1CC2CCC1O2,8662,0:00000:0:Z3167025336;0:00000:0:Z4414110062;0:00000:0:Z4413069842;
C1CC12CC2,3239,0:00000:0:Z4211224722;0:00000:0:Z4209955499;0:00000:0:Z4211216224;
Cc1cccnc1,23577,0:00000:0:Z2335622387;0:00000:0:Z3392898308;0:00000:0:Z3497413258;
C1CC2CC(CO2)O1,755,0:00000:0:Z4326485842;0:00000:3:Z3863548657;0:00000:4:Z4324994367;
c1n[nH]c2c1CCC2,1735,0:00000:0:Z1796398194;0:00000:0:Z4245335003;0:00000:0:Z4245316553;
Cc1ccncc1,14069,0:00000:0:Z4594950272;0:00000:0:Z3010729439;0:00000:0:Z2313609631;
Cc1cccnn1,6124,0:00000:0:Z1667021299;0:00000:0:Z4908028249;0:00000:0:Z2851600984;
Cc1cnoc1,6385,0:00000:0:Z3889975088;0:00000:0:Z4561896385;0:00000:0:Z2836215235;
CN1CCCCCC1=O,1124,0:00000:0:Z2791343261;0:00000:0:Z4210051407;0:00000:1:Z4065453091;
FC1CC2CC12,969,0:00000:0:Z3548679887;0:00000:1:Z3535107532;0:00000:3:Z4734824234;
CC1CNC1,12988,0:00000:0:Z4241849418;0:00000:0:Z4079559301;0:00000:0:Z2278864900;
c1ccnnc1,18230,0:00000:0:Z2837304087;0:00000:0:Z3650701079;0:00000:0:Z4201118987;
N=S1(=O)CCCC1,1946,0:00000:0:Z3138717467;0:00000:3:Z2927200357;0:00000:3:Z3138724320;
C1CC2CNCC(C1)C2,1610,0:00000:0:Z3138717467;0:00000:0:Z2442840351;0:00000:2:Z3528186855;
Cc1cncnc1,2617,0:00000:0:Z1583151256;0:00000:0:Z1673454777;0:00000:0:Z3497035391;
c1cnc2c(n1)CCC2,516,0:00000:0:Z4123804533;0:00000:1:Z4995408208;0:00000:2:Z4995408272;
Cc1ccc2c(ccn2C)c1,13,0:00000:0:Z3915173807;0:00006:9:Z3889305292;0:00012:6:Z3915152883;
