fragment_smiles,occurences,example_ligands
CC1(C)CNCCO1,6308,15:01500:0:Z4005513694;15:01500:0:Z4312523508;15:01500:1:Z3799670833;
O=C1CCC12CCC2,958,15:01500:0:Z4108171830;15:01500:0:Z4114713505;15:01500:0:Z4109527622;
C1CC2CC2C1,18220,15:01500:0:Z3952294929;15:01500:0:Z3007989420;15:01500:0:Z3855486458;
c1ccoc1,76111,15:01500:0:Z2370741820;15:01500:0:Z1987202735;15:01500:0:Z3654629156;
C1CCCNCC1,20227,15:01500:0:Z2370741820;15:01500:0:Z2611739959;15:01500:0:Z2302912090;
c1cocn1,50716,15:01500:0:Z4292044982;15:01500:0:Z3138318643;15:01500:0:Z2789457069;
Cc1ccccc1C,8867,15:01500:0:Z4292044982;15:01500:0:Z3173053761;15:01500:0:Z225156444;
c1nnn[nH]1,18262,15:01500:0:Z3774485489;15:01500:0:Z3504345193;15:01500:0:Z3045719356;
CC1C2CNCC12,910,15:01500:0:Z4329537831;15:01500:0:Z4313494379;15:01500:0:Z4313594337;
Oc1ccccc1,25617,15:01500:0:Z4329537831;15:01500:0:Z2346904214;15:01500:0:Z3513346758;
CC1COC(C)CN1,887,15:01500:0:Z4897151023;15:01500:0:Z4897149719;15:01500:0:Z4897153553;
c1c[nH]nn1,68216,15:01500:0:Z3366911949;15:01500:0:Z1625707644;15:01500:0:Z3568843862;
Cc1cn(C)cn1,1755,15:01500:0:Z3366911949;15:01500:0:Z3346293182;15:01500:0:Z3346297690;
Fc1cc(Cl)cc2cncnc12,48,15:01500:0:Z4081275895;15:01504:2:Z4072978568;15:01504:2:Z4074109677;
FC1CC2(CCNC2)C1,527,15:01500:0:Z4081275895;15:01500:1:Z4233904869;15:01500:3:Z4034702730;
c1ccc2ocnc2c1,2903,15:01500:0:Z3076194892;15:01500:0:Z2071606625;15:01500:0:Z4645372520;
C1CCC2(CNC2)OC1,860,15:01500:0:Z3209981822;15:01500:0:Z3530530284;15:01500:1:Z4635412150;
FC1(F)CNCC2(CCC2)C1,215,15:01500:0:Z3830704372;15:01500:0:Z3652321940;15:01500:3:Z3706128600;
c1cnc2ccnn2c1,3078,15:01500:0:Z3830704372;15:01500:0:Z1176706613;15:01500:0:Z358491158;
CC1CC2(CCC2)C1,247,15:01500:0:Z2596207096;15:01500:3:Z4611122861;15:01500:3:Z1619033370;
NC1CNCCC1F,468,15:01500:0:Z2596207096;15:01500:4:Z4002653024;15:01500:6:Z2596030753;
Cc1ccn(C)n1,11517,15:01500:0:Z2047293642;15:01500:0:Z3550383949;15:01500:0:Z2372333804;
CC1=NOC2(CCC2)C1,276,15:01500:0:Z4449052585;15:01500:1:Z3672527557;15:01500:2:Z3672034734;
CC1(C)CCC(O)C1,257,15:01500:0:Z4929542817;15:01500:3:Z4475408075;15:01500:6:Z4935227034;
C1CC2CCNC2C1,3758,15:01500:0:Z3594740729;15:01500:0:Z3799355745;15:01500:1:Z3519772354;
Cc1cn[nH]c1,9334,15:01500:0:Z3594740729;15:01500:0:Z3049015417;15:01500:0:Z3856667823;
Oc1cnccn1,701,15:01500:0:Z4278572404;15:01500:0:Z3688977341;15:01500:3:Z3855887143;
Cc1ccc(O)cn1,1017,15:01500:0:Z1928147458;15:01500:1:Z4060281574;15:01500:2:Z2877425535;
CC1(C)CCCCO1,5809,15:01500:0:Z3471527955;15:01500:0:Z3788135283;15:01500:0:Z4313594337;
CC1(C)CCCCS1,545,15:01500:0:Z2964888802;15:01500:2:Z3997131538;15:01500:3:Z2964884949;
O=c1[nH]cccc1Cl,365,15:01500:0:Z2964888802;15:01500:4:Z1852445337;15:01500:7:Z806395422;
Clc1ccccc1,96707,15:01500:0:Z3187728547;15:01500:0:Z2457249877;15:01500:0:Z4216245266;
CC1CC1(F)F,5196,15:01500:0:Z3187728547;15:01500:0:Z4597963152;15:01500:0:Z3559132656;
NC1CCC12CCC2,844,15:01500:0:Z3138318643;15:01500:3:Z3138302223;15:01500:4:Z4910458647;
Cc1cccc(F)c1,10117,15:01500:0:Z1273225300;15:01500:0:Z4194511639;15:01500:0:Z1416431726;
c1ccc2c(c1)CCCNC2,500,15:01500:0:Z4591739703;15:01500:0:Z4421824048;15:01500:4:Z2276147117;
CC1CCC(O)CC1,1829,15:01500:0:Z4066408208;15:01500:0:Z3472763906;15:01500:0:Z3321354734;
Clc1ccncc1,4150,15:01500:0:Z2718784209;15:01500:0:Z4594917595;15:01500:0:Z4229173610;
c1cnsc1,22236,15:01500:0:Z3583435215;15:01500:0:Z3364728345;15:01500:0:Z1739072971;
c1ccc2c(c1)OCCS2,493,15:01500:0:Z3583435215;15:01500:0:Z2640827832;15:01500:1:Z2444152007;
FC1(F)CCCC1,8530,15:01500:0:Z4191305142;15:01500:0:Z2769993240;15:01500:0:Z2297149544;
Cc1cnc[nH]1,3516,15:01500:0:Z2804479417;15:01500:0:Z3471299950;15:01500:0:Z4220353783;
Clc1cncs1,3448,15:01500:0:Z2804479417;15:01500:0:Z3832868151;15:01500:0:Z4051689466;
O=C1CCCN1,45948,15:01500:0:Z1225389150;15:01500:0:Z1225392611;15:01500:0:Z2770999864;
Cc1cncs1,12721,15:01500:0:Z2358588195;15:01500:0:Z2358730718;15:01500:0:Z2358711446;
CC1CCCN1,24950,15:01500:0:Z2636480937;15:01500:0:Z2920462301;15:01500:0:Z4107571540;
c1nc2n(n1)CCCN2,607,15:01500:0:Z2636480937;15:01500:0:Z1400888553;15:01500:0:Z4353691266;
C1CCCCC1,108347,15:01500:0:Z2601219408;15:01500:0:Z2721933428;15:01500:0:Z4091227636;
FC1CCC1,19582,15:01500:0:Z2966894094;15:01500:0:Z4022865308;15:01500:0:Z4093586286;
FC1CCCC1,8577,15:01500:0:Z2966894094;15:01500:0:Z2711369787;15:01500:0:Z3497277358;
CC1CS(=O)(=O)CCCN1,299,15:01500:0:Z4447891558;15:01500:1:Z3364037368;15:01500:7:Z3002361801;
c1c[nH]cn1,68976,15:01500:0:Z2698807187;15:01500:0:Z3522916462;15:01500:0:Z2767450133;
C1CC12CC2,3081,15:01500:0:Z2698807187;15:01500:0:Z3774585509;15:01500:0:Z4073476838;
Cc1cc(Cl)cc2[nH]c(=O)oc12,14,15:01500:0:Z2789286115;15:01512:2:Z2789285834;15:01513:0:Z2789287538;
c1nncs1,33236,15:01500:0:Z2789286115;15:01500:0:Z4216245266;15:01500:0:Z2354211379;
FC1CCNC1,15502,15:01500:0:Z3591507785;15:01500:0:Z3625064553;15:01500:0:Z2871063470;
C1CC2CCC(C1)O2,3582,15:01500:0:Z4230453550;15:01500:0:Z4050383492;15:01500:0:Z4296110447;
NC1CCNCC1,3063,15:01500:0:Z3488311532;15:01500:0:Z3668790902;15:01500:0:Z3045472286;
Cc1ccncc1,14141,15:01500:0:Z3441189533;15:01500:0:Z1844993190;15:01500:0:Z4086089956;
c1ccc2sccc2c1,5877,15:01500:0:Z3843529819;15:01500:0:Z1904755676;15:01500:0:Z3363607757;
CC1CC(=O)NC(=O)N1,187,15:01500:0:Z3211128898;15:01500:0:Z3211128900;15:01500:0:Z3211128907;
c1cn[nH]n1,8524,15:01500:0:Z5008855601;15:01500:0:Z2444676473;15:01500:0:Z2444704893;
CC1CCNCC1,15480,15:01500:0:Z3391665104;15:01500:0:Z3654629156;15:01500:0:Z2840646531;
Cc1cn2c(n1)CNCC2,359,15:01500:0:Z4198691635;15:01500:1:Z4076467359;15:01500:7:Z1642950006;
CN1CC2CNCCN2C1=O,266,15:01500:0:Z1900905896;15:01500:3:Z3311638942;15:01500:4:Z4214456025;
Cc1ccc(Cl)cc1,3584,15:01500:0:Z4279245051;15:01500:0:Z1341971285;15:01500:0:Z1505884381;
C1CN2CCC1C2,2556,15:01500:0:Z4279245051;15:01500:0:Z2916237332;15:01500:0:Z3911870077;
C1CC2CCN(C1)C2,1344,15:01500:0:Z2928370529;15:01500:0:Z4467147328;15:01500:1:Z2881049749;
CC1(C)COCCC1N,156,15:01500:0:Z4064963015;15:01502:8:Z3101435895;15:01503:5:Z3133637761;
c1ncn2c1CCC2,1198,15:01500:0:Z4064963015;15:01500:0:Z4323515335;15:01500:0:Z4324806486;
O=S1(=O)CCCN1,3656,15:01500:0:Z1824786044;15:01500:0:Z1365742328;15:01500:0:Z3345568337;
c1nnc[nH]1,27502,15:01500:0:Z3568843862;15:01500:0:Z4352886780;15:01500:0:Z4147670110;
CC1(C)CC1(C)C,1723,15:01500:0:Z4322241130;15:01500:0:Z1314446039;15:01500:0:Z4216462886;
Cc1cccc2c1CCC2,676,15:01500:0:Z2254671025;15:01500:6:Z1582625290;15:01500:6:Z2482698934;
Cc1cc(C)ncn1,2738,15:01500:0:Z3828048556;15:01500:0:Z3298899695;15:01500:0:Z3295328469;
CC1CCNC1,25435,15:01500:0:Z2691437837;15:01500:0:Z4352886780;15:01500:0:Z3506194713;
O=C1CNc2ncncc2N1,103,15:01500:0:Z2691437837;15:01501:7:Z2691337175;15:01501:8:Z4233072888;
c1cnoc1,80051,15:01500:0:Z2647287795;15:01500:0:Z4448611851;15:01500:0:Z1129805695;
C1CC2COCC2CN1,622,15:01500:0:Z2647287795;15:01500:0:Z2700489624;15:01500:0:Z2877373542;
Cn1cnnc1,15434,15:01500:0:Z4278532745;15:01500:0:Z4278532746;15:01500:0:Z3095770899;
Cc1nnc2ccccn12,362,15:01500:0:Z4382390706;15:01500:0:Z4406811627;15:01500:2:Z3509892765;
Cn1cccc1,9880,15:01500:0:Z4382390706;15:01500:0:Z1633316960;15:01500:0:Z2897108412;
C1CC2CCC(C1)N2,6714,15:01500:0:Z4572783517;15:01500:0:Z4079418994;15:01500:0:Z2492358520;
CC1CNCC(C)C1,2022,15:01500:0:Z2290837336;15:01500:0:Z3494633380;15:01500:1:Z2825423918;
Cc1ccon1,16428,15:01500:0:Z2723301295;15:01500:0:Z2480323574;15:01500:0:Z3315187794;
Cn1cncn1,14558,15:01500:0:Z2777312424;15:01500:0:Z2118768271;15:01500:0:Z2970877895;
OC12CNCCC1C2,685,15:01500:0:Z3209783517;15:01500:0:Z3209783518;15:01500:0:Z3209778382;
O=C1CCCCC1,4950,15:01500:0:Z1994962470;15:01500:0:Z3358709508;15:01500:0:Z3816700491;
Fc1cncnc1Cl,318,15:01500:0:Z2792448007;15:01500:3:Z2792286745;15:01501:9:Z3390369858;
C1CNCCNC1,9610,15:01500:0:Z2610544079;15:01500:0:Z2275103761;15:01500:0:Z3405718631;
Cc1ccno1,14731,15:01500:0:Z3555892200;15:01500:0:Z900337030;15:01500:0:Z2504153809;
Cc1nnco1,5991,15:01500:0:Z3857452669;15:01500:0:Z2605215825;15:01500:0:Z2093198168;
CC1Cc2ccccc2O1,1648,15:01500:0:Z3857452669;15:01500:1:Z2920827048;15:01500:1:Z2920448942;
FC1(F)CC1,16043,15:01500:0:Z4018552374;15:01500:0:Z2825181498;15:01500:0:Z4166614092;
CN1CCCC1,13243,15:01500:0:Z4018552374;15:01500:0:Z3555176814;15:01500:0:Z4046362407;
CN1CCCC1(C)C,883,15:01500:0:Z3327862806;15:01500:0:Z4253888562;15:01500:0:Z4253859385;
Cn1ccnn1,17986,15:01500:0:Z1639846205;15:01500:0:Z3679675491;15:01500:0:Z3587164531;
c1ccc2c(c1)OCCO2,3959,15:01500:0:Z830459060;15:01500:0:Z3321354734;15:01500:1:Z3378745547;
Cc1ccc2ncsc2c1,69,15:01500:0:Z1096079505;15:01500:3:Z1127332114;15:01501:0:Z1231049589;
Cc1ccco1,21913,15:01500:0:Z1765570140;15:01500:0:Z3050933260;15:01500:0:Z2910389526;
CN1CCN(C)CC1,706,15:01500:0:Z1765570140;15:01500:3:Z3815119322;15:01500:4:Z3388757048;
Clc1cccc2c1OCCO2,503,15:01500:0:Z2232752478;15:01500:1:Z3593876501;15:01500:3:Z3998383775;
c1[nH]nc2c1CCC2,169,15:01500:0:Z1719026231;15:01500:3:Z4313275653;15:01500:4:Z4345774280;
Nc1ccno1,16,15:01500:0:Z4387858631;15:01502:1:Z3242103377;15:01510:9:Z4387849869;
Cc1ccncn1,18689,15:01500:0:Z2288919476;15:01500:0:Z1696198628;15:01500:0:Z3394201585;
FC1(F)CCNCC1,2960,15:01500:0:Z4241488774;15:01500:0:Z4279368802;15:01500:0:Z4279366849;
C1CC2CCC12,2212,15:01500:0:Z4241488774;15:01500:0:Z4086089956;15:01500:0:Z4076383122;
Cc1ccccc1,95584,15:01500:0:Z4390609128;15:01500:0:Z2307058788;15:01500:0:Z1693063089;
Cn1cnc2cnccc21,470,15:01500:0:Z4390609128;15:01500:0:Z3019692327;15:01500:8:Z2771943354;
Cn1ccccc1=O,4895,15:01500:0:Z2872672348;15:01500:0:Z3591091106;15:01500:0:Z3256764894;
Cc1nccn2nccc12,168,15:01500:0:Z4991992996;15:01500:6:Z4996303043;15:01501:4:Z4992024130;
CC1(C)CCCO1,6916,15:01500:0:Z4991992996;15:01500:0:Z4412709337;15:01500:0:Z3545175923;
CC1CCOC1,11688,15:01500:0:Z4993915045;15:01500:0:Z3579963242;15:01500:0:Z4375320069;
C1CC2(CC2)CN1,6664,15:01500:0:Z4993915045;15:01500:0:Z5060704278;15:01500:0:Z2954853046;
CN1CCNCCC1=O,427,15:01500:0:Z2646326231;15:01500:5:Z3555048824;15:01501:3:Z2581389569;
C1CC2CNCC(C1)C2,1607,15:01500:0:Z4291606432;15:01500:0:Z3144161503;15:01500:0:Z4923440663;
Clc1cccc(Cl)c1,12296,15:01500:0:Z4281337495;15:01500:0:Z1436753032;15:01500:0:Z1951019219;
C1CC2CC12,3030,15:01500:0:Z3475447871;15:01500:0:Z4138309729;15:01500:0:Z3540337959;
c1ccc2occc2c1,7271,15:01500:0:Z3475447871;15:01500:0:Z4138309729;15:01500:0:Z3698140097;
c1cnc2ccoc2c1,983,15:01500:0:Z2960610019;15:01500:0:Z4489494721;15:01500:1:Z4481091831;
CC12CCCC(CO1)C2,725,15:01500:0:Z3625064553;15:01500:0:Z3541529525;15:01500:1:Z3819799432;
Cc1cc(C)n(C)n1,4709,15:01500:0:Z2282524354;15:01500:0:Z2282519642;15:01500:0:Z1231440904;
Cc1cccc(Cl)c1,6394,15:01500:0:Z2720931397;15:01500:0:Z4482954176;15:01500:0:Z741034856;
CC1CCCO1,21431,15:01500:0:Z4459145793;15:01500:0:Z3856224842;15:01500:0:Z1545015805;
Clc1cn[nH]c1,8595,15:01500:0:Z4459145793;15:01500:0:Z3550838471;15:01500:0:Z2175499374;
O=S1(=O)NCC2CNCCN21,184,15:01500:0:Z2954798117;15:01502:6:Z2954797670;15:01502:7:Z2920944132;
Clc1cccc2[nH]ccc12,365,15:01500:0:Z4155364482;15:01501:0:Z4036201735;15:01501:0:Z4123824732;
Cc1ccnc(C)c1,4023,15:01500:0:Z4871959156;15:01500:0:Z4985797556;15:01500:0:Z4197775096;
Cn1cnc2cccnc21,551,15:01500:0:Z3050933260;15:01500:6:Z1625518741;15:01500:6:Z1767265900;
Fc1ccccc1Cl,13140,15:01500:0:Z1735133826;15:01500:0:Z3671815685;15:01500:0:Z2348010728;
O=C1CCNC2CCCN12,314,15:01500:0:Z2964508569;15:01500:8:Z3137166631;15:01500:8:Z3314499065;
CC1(C)CCCCC1,5159,15:01500:0:Z2480323574;15:01500:0:Z1529749647;15:01500:1:Z2964839589;
FC1CCOC1,4731,15:01500:0:Z4600486902;15:01500:0:Z4412449730;15:01500:0:Z3101826831;
FC1(F)CCNC1,4728,15:01500:0:Z4600486902;15:01500:0:Z4329799283;15:01500:0:Z2493376870;
Clc1ccccc1Cl,8915,15:01500:0:Z3344342021;15:01500:0:Z2252035950;15:01500:0:Z1443705941;
C1=CCCC1,665,15:01500:0:Z2721933428;15:01500:2:Z4069783451;15:01500:3:Z4067970391;
c1ncsn1,13517,15:01500:0:Z2721933428;15:01500:0:Z3561213702;15:01500:0:Z4517185844;
c1ccc2c(c1)CCCC2,5419,15:01500:0:Z4975329896;15:01500:0:Z2869748336;15:01500:0:Z3496050981;
Cc1c[nH]nc1C,797,15:01500:0:Z3321375429;15:01500:4:Z3840670524;15:01500:6:Z1097501412;
O=c1cccc[nH]1,13778,15:01500:0:Z758248842;15:01500:0:Z758243670;15:01500:0:Z2765070058;
C1CC2(CCN1)CCNC2,587,15:01500:0:Z3808012726;15:01500:0:Z2439319357;15:01500:0:Z2825965965;
CC1(C)CCOC1,5713,15:01500:0:Z4094482781;15:01500:0:Z2876487780;15:01500:0:Z2298303055;
C1CC2CCC1O2,9123,15:01500:0:Z4094482781;15:01500:0:Z4125847990;15:01500:0:Z4125853505;
NC1CCCC1,7282,15:01500:0:Z3099558690;15:01500:0:Z4138013912;15:01500:0:Z4144871589;
C1CNCC2(C1)CCNC2,508,15:01500:0:Z3828914746;15:01500:0:Z2444029248;15:01500:1:Z4053936998;
CC1(F)CCCNC1,638,15:01500:0:Z2283640641;15:01500:2:Z2282552610;15:01500:3:Z4291915966;
Cc1n[nH]c2c1CCCC2,545,15:01500:0:Z4144871589;15:01500:0:Z3799811220;15:01500:2:Z3840877697;
OC1COC1,2485,15:01500:0:Z4211253799;15:01500:0:Z4563375966;15:01500:0:Z2147089207;
Cc1ccncc1Cl,1012,15:01500:0:Z2372333804;15:01500:1:Z4610662540;15:01500:2:Z2091113545;
CC1(C)CCCCN1,2762,15:01500:0:Z3701262823;15:01500:0:Z4293778013;15:01500:0:Z3794811951;
CC1(C)CCCC(=O)N1,549,15:01500:0:Z4184967342;15:01500:1:Z4184937632;15:01500:3:Z3661356266;
CC1CC=NO1,2570,15:01500:0:Z4238420147;15:01500:1:Z4124058174;15:01500:2:Z3555135746;
c1ccc2c(c1)CNC2,3291,15:01500:0:Z3356673648;15:01500:0:Z908530878;15:01500:0:Z4217503002;
FC1(F)CC12CC2,3419,15:01500:0:Z3356673648;15:01500:0:Z4028223161;15:01500:0:Z3298995890;
CC1CNCCO1,15705,15:01500:0:Z3045719356;15:01500:0:Z3052175038;15:01500:0:Z3052175088;
CC1CCC(C)N(C)C1,72,15:01500:0:Z1436753032;15:01508:1:Z1747640850;15:01509:3:Z1607183117;
Cc1cnccn1,9950,15:01500:0:Z1743775225;15:01500:0:Z4294893534;15:01500:0:Z4099926083;
NC1CCNC1,5516,15:01500:0:Z3346293182;15:01500:0:Z3346297690;15:01500:0:Z3346296599;
Cc1cnsc1,1422,15:01500:0:Z3856667823;15:01500:1:Z3836466189;15:01500:1:Z3552634472;
Cc1ccn2ncc(C)c2n1,89,15:01500:0:Z3391847096;15:01500:1:Z3393630797;15:01500:2:Z3393157365;
C1=COCCC1,1752,15:01500:0:Z3391847096;15:01500:0:Z4033592352;15:01500:1:Z3045517177;
Cc1ncsc1C,3822,15:01500:0:Z1283225086;15:01500:0:Z1996003899;15:01500:0:Z1697224065;
c1cc2c(s1)CCNC2,1730,15:01500:0:Z3145526809;15:01500:0:Z225156444;15:01500:1:Z1116883966;
C1NCC2CC12,17417,15:01500:0:Z3145526809;15:01500:0:Z5057744014;15:01500:0:Z3907228583;
CC1CCCCC1,20480,15:01500:0:Z2646242444;15:01500:0:Z2362467726;15:01500:0:Z2283348678;
CC1CCC(=O)CN1,518,15:01500:0:Z3819071484;15:01500:0:Z2951480098;15:01500:1:Z2962583500;
c1ccc2c(c1)CCCN2,4132,15:01500:0:Z3382962480;15:01500:0:Z2593976928;15:01500:0:Z3346903131;
Cc1cccs1,19310,15:01500:0:Z3711881513;15:01500:0:Z4118440411;15:01500:0:Z3496318577;
Cc1ccsc1,13315,15:01500:0:Z2474939780;15:01500:0:Z2439158719;15:01500:0:Z1576912143;
CC1(C)OCCCO1,1568,15:01500:0:Z2027074332;15:01500:1:Z4485827231;15:01500:2:Z2971134467;
CC1(C)CCCNC1,5619,15:01500:0:Z4091227636;15:01500:0:Z2378488329;15:01500:0:Z4177291520;
CC1(C)CNC(=O)C1,1036,15:01500:0:Z4505257590;15:01500:0:Z4258452811;15:01500:1:Z2926792345;
Clc1cccs1,15529,15:01500:0:Z1241528956;15:01500:0:Z3570912621;15:01500:0:Z3381395784;
CN1CCOCC1,4165,15:01500:0:Z1633316960;15:01500:0:Z3091943622;15:01500:0:Z3056717400;
c1ncc2c(n1)CCC2,1037,15:01500:0:Z2218064839;15:01500:0:Z1037454816;15:01500:0:Z2218069175;
Fc1ccc(Cl)cc1,4075,15:01500:0:Z1569162567;15:01500:0:Z1783585978;15:01500:0:Z2213274093;
C1CC2(CCSCC2)N1,373,15:01500:0:Z3615393467;15:01500:4:Z3835725419;15:01500:7:Z4490878602;
c1n[nH]c2c1CC1CC21,221,15:01500:0:Z3354455297;15:01500:1:Z4478093940;15:01500:5:Z3523085380;
CC1NCCn2ccnc21,298,15:01500:0:Z3591091106;15:01500:7:Z3571273560;15:01500:9:Z3320485961;
CC1CCc2ccccc21,1105,15:01500:0:Z3436985098;15:01500:0:Z4021760924;15:01500:0:Z4021572444;
CC1CS(=O)(=O)C1,1797,15:01500:0:Z3593739626;15:01500:1:Z3299182822;15:01500:2:Z3362544294;
c1ccn2ncnc2c1,2246,15:01500:0:Z3538246137;15:01500:0:Z3322604932;15:01500:0:Z3595649278;
C1CCC2(CC1)CC2,5580,15:01500:0:Z2378488329;15:01500:0:Z2672376889;15:01500:0:Z4005002529;
c1cnc2c(c1)CCOC2,504,15:01500:0:Z4349140976;15:01500:0:Z3643472455;15:01500:1:Z5064217021;
Cc1cccc(C)c1,15991,15:01500:0:Z73697805;15:01500:0:Z2369563642;15:01500:0:Z667147500;
O=S1(=O)CCCC1,10652,15:01500:0:Z216045864;15:01500:0:Z4171087695;15:01500:0:Z2311434119;
Cc1cc2n(n1)C(C)CCC2,115,15:01500:0:Z4137946911;15:01500:3:Z4144586431;15:01500:3:Z4137250588;
O=S1(=O)CCNCC1,3911,15:01500:0:Z4137946911;15:01500:0:Z2964448754;15:01500:0:Z4264922917;
Cc1cccc2c1CCN2,420,15:01500:0:Z3700301798;15:01500:0:Z4110937978;15:01500:0:Z1447465570;
