fragment_smiles,occurences,example_ligands
CC1CCCCN1,16240,24:02400:0:Z3522586121;24:02400:0:Z4511278699;24:02400:0:Z2351604098;
c1cc2n(n1)CCCN2,1122,24:02400:0:Z2851617726;24:02400:2:Z968504690;24:02400:2:Z4272763311;
CC1(C)CCCN1,9803,24:02400:0:Z3882613017;24:02400:0:Z3153742702;24:02400:0:Z4182158107;
c1c[nH]cn1,68669,24:02400:0:Z3343458000;24:02400:0:Z3520654185;24:02400:0:Z3613804819;
c1cscn1,145725,24:02400:0:Z3343458000;24:02400:0:Z4406493445;24:02400:0:Z997361620;
CC1CNc2cccc(F)c2O1,64,24:02400:0:Z4112950296;24:02401:4:Z4825567372;24:02401:4:Z4825567373;
FC1CCC1,19597,24:02400:0:Z4112950296;24:02400:0:Z3775624510;24:02400:0:Z2011638780;
OC1CCNCC1,12165,24:02400:0:Z3392165197;24:02400:0:Z3314859935;24:02400:0:Z2851545582;
CC1CNCC(O)C1,1312,24:02400:0:Z4275675162;24:02400:0:Z4266588369;24:02400:4:Z4327052250;
OC1CCCC1,20233,24:02400:0:Z4275675162;24:02400:0:Z4266588369;24:02400:0:Z2485327185;
c1cn[nH]c1,178572,24:02400:0:Z4275675162;24:02400:0:Z4266588369;24:02400:0:Z759231918;
Cc1ccccc1,95528,24:02400:0:Z759231918;24:02400:0:Z3351421146;24:02400:0:Z1906916396;
C1=NCC2CCCCN12,118,24:02400:0:Z3301931675;24:02400:0:Z3301910358;24:02407:1:Z3301933189;
Cc1cc(C)n(C)n1,4859,24:02400:0:Z3878163582;24:02400:0:Z4209012312;24:02400:0:Z3389854114;
C1COC2(C1)CCNC2,858,24:02400:0:Z3878163582;24:02400:0:Z3314644897;24:02400:0:Z4446305629;
FC1(F)CC1,15863,24:02400:0:Z3520755636;24:02400:0:Z4154738231;24:02400:0:Z4922093298;
O=C1COCc2ncsc21,79,24:02400:0:Z3520755636;24:02401:0:Z3627749996;24:02401:5:Z3520755082;
Cc1nccs1,16655,24:02400:0:Z2853411962;24:02400:0:Z2698666063;24:02400:0:Z3365614864;
CC1CCCC(=O)N1,2428,24:02400:0:Z2762866867;24:02400:0:Z4018751857;24:02400:0:Z4018044340;
C1CC2CCC1C2,13277,24:02400:0:Z4274118840;24:02400:0:Z4167115440;24:02400:0:Z1548561410;
Cc1cc(C)[nH]n1,12156,24:02400:0:Z3637987445;24:02400:0:Z2924058766;24:02400:0:Z2472952434;
O=C1CCCN1,46975,24:02400:0:Z2479007111;24:02400:0:Z3172343998;24:02400:0:Z1463517853;
C1CCSCC1,16047,24:02400:0:Z2172283845;24:02400:0:Z4006845907;24:02400:0:Z3436491614;
C1COCCN1,80262,24:02400:0:Z2172283845;24:02400:0:Z4401507857;24:02400:0:Z3390103713;
Cc1nnc2n1CCC2,668,24:02400:0:Z3907356002;24:02400:4:Z3581667671;24:02400:6:Z3555913906;
CC12CNCC1C2,1892,24:02400:0:Z3907356002;24:02400:0:Z4272554323;24:02400:0:Z4577304987;
C1CNCCNC1,9425,24:02400:0:Z4223144010;24:02400:0:Z3515979675;24:02400:0:Z2242904756;
Cn1cnc2cnc(N)nc21,78,24:02400:0:Z4223144010;24:02400:7:Z4225682651;24:02401:7:Z5023284414;
Clc1ccc2c(c1)CCCO2,349,24:02400:0:Z2485327185;24:02400:0:Z4195795417;24:02400:0:Z4055841007;
C1CC2CNCC12,7995,24:02400:0:Z3468996296;24:02400:0:Z3364896947;24:02400:0:Z3054026007;
C1CCC2(CC1)OCCO2,1752,24:02400:0:Z1904939320;24:02400:0:Z1731197408;24:02400:0:Z2956094476;
O=C1CC2(CCC2)C1,454,24:02400:0:Z2206383971;24:02400:0:Z4049122235;24:02400:3:Z4333776373;
O=S1(=O)CCCN1,3537,24:02400:0:Z2206383971;24:02400:0:Z463309006;24:02400:0:Z1432680365;
C1CCOC1,140205,24:02400:0:Z2712517187;24:02400:0:Z4169358670;24:02400:0:Z4211836523;
CN1CCCCCC1=O,1199,24:02400:0:Z3874718996;24:02400:0:Z4213167748;24:02400:2:Z4487489113;
Cc1nccnc1C,318,24:02400:0:Z3388915175;24:02400:3:Z2889997668;24:02401:0:Z3561670106;
c1ccoc1,76039,24:02400:0:Z3388915175;24:02400:0:Z2960134745;24:02400:0:Z220559246;
Cc1n[nH]c(=O)o1,438,24:02400:0:Z3342147288;24:02400:2:Z2835304085;24:02400:3:Z4251274108;
c1ccccc1,439405,24:02400:0:Z3510434330;24:02400:0:Z1934779578;24:02400:0:Z2364466757;
CC1(C)COCCN1,2466,24:02400:0:Z3510434330;24:02400:0:Z3804426412;24:02400:0:Z3474164879;
Cc1ccc2cccc(F)c2n1,106,24:02400:0:Z1439344834;24:02400:4:Z2368492943;24:02400:4:Z2368494310;
Cc1ccon1,16331,24:02400:0:Z2960134745;24:02400:0:Z3371851167;24:02400:0:Z4046181679;
C1CCC2CNCC2C1,2195,24:02400:0:Z2979413002;24:02400:1:Z4194268261;24:02400:1:Z4064302439;
CC1(C)CCCC1,4908,24:02400:0:Z4107034523;24:02400:0:Z3009555351;24:02400:0:Z5025938600;
C1CCCC1,124460,24:02400:0:Z4256146676;24:02400:0:Z1768513125;24:02400:0:Z1768811637;
OC1CCC12CCNCC2,746,24:02400:0:Z4256146676;24:02400:0:Z4272791041;24:02400:0:Z4272860922;
Fc1ccco1,591,24:02400:0:Z3384548763;24:02400:1:Z2923997232;24:02400:4:Z4575949664;
CC1COC(C)(C)CN1,463,24:02400:0:Z1849073167;24:02400:1:Z1852038193;24:02400:5:Z3353354055;
Fc1cccc(F)c1,24219,24:02400:0:Z1849073167;24:02400:0:Z2996011210;24:02400:0:Z1738435689;
Cc1cncnc1,2731,24:02400:0:Z4575900288;24:02400:0:Z4560258661;24:02400:0:Z2852002969;
c1cocn1,50332,24:02400:0:Z4080623395;24:02400:0:Z3799314353;24:02400:0:Z1893025992;
C1CC2COCC2C1,1775,24:02400:0:Z4765013172;24:02400:0:Z3830821129;24:02400:0:Z3643685949;
C1C2CC1C2,8790,24:02400:0:Z3520654185;24:02400:0:Z3839844303;24:02400:0:Z4540798046;
O=C1COC2(CCNCC2)N1,289,24:02400:0:Z3040714161;24:02400:0:Z4230265969;24:02400:2:Z3040646043;
C1COC2(CCSC2)CN1,359,24:02400:0:Z4406493445;24:02400:6:Z3528815953;24:02400:7:Z2439134382;
Cn1ccc(=O)n(C)c1=O,1061,24:02400:0:Z1431591934;24:02400:0:Z4452937593;24:02400:5:Z2792754525;
CC1CCNC(=O)C1,1660,24:02400:0:Z4071622897;24:02400:0:Z3634411125;24:02400:1:Z3875063921;
CC1CCCCCN1,521,24:02400:0:Z1205101758;24:02400:1:Z3309300146;24:02401:4:Z1547457201;
c1cc2c(s1)CCNC2,1784,24:02400:0:Z1205101758;24:02400:0:Z2794261484;24:02400:0:Z2465463784;
Cc1ncsc1C,3829,24:02400:0:Z4353253653;24:02400:0:Z4600201064;24:02400:0:Z2061223319;
Cc1cscn1,29244,24:02400:0:Z2994571759;24:02400:0:Z2884362366;24:02400:0:Z3841221852;
C1CNC2CC2C1,3006,24:02400:0:Z2994571759;24:02400:1:Z3102397923;24:02400:1:Z4216366525;
Cc1n[nH]c2ccncc12,278,24:02400:0:Z4124252677;24:02400:0:Z4119151792;24:02400:0:Z4124462423;
C1CNCCSC1,1908,24:02400:0:Z3403790857;24:02400:0:Z3800852177;24:02400:0:Z3295570147;
Cn1cccn1,104770,24:02400:0:Z2669608980;24:02400:0:Z2071748579;24:02400:0:Z3175346795;
c1nnco1,23678,24:02400:0:Z2331478575;24:02400:0:Z1664433477;24:02400:0:Z1661249258;
O=C1CS(=O)(=O)CCN1,241,24:02400:0:Z2959165473;24:02400:0:Z2959165315;24:02402:5:Z3874960734;
O=c1cccc[nH]1,13623,24:02400:0:Z4330841255;24:02400:0:Z4266138491;24:02400:0:Z1291247412;
O=c1cc[nH]cn1,412,24:02400:0:Z4330841255;24:02400:0:Z4341701780;24:02400:4:Z991584114;
Clc1cn[nH]c1,8451,24:02400:0:Z1318885244;24:02400:0:Z4276225180;24:02400:0:Z3393291326;
Cc1ccc(C)[nH]1,2085,24:02400:0:Z774720838;24:02400:0:Z1408486886;24:02400:1:Z2852687922;
CC1(C)COCCO1,4258,24:02400:0:Z4203466581;24:02400:0:Z4385558483;24:02400:0:Z4407117852;
Fc1ccccc1Cl,13344,24:02400:0:Z4203466581;24:02400:0:Z3557778057;24:02400:0:Z3382370236;
c1cc[nH]c1,25786,24:02400:0:Z641705046;24:02400:0:Z2197372146;24:02400:0:Z3577311670;
c1ccnnc1,18180,24:02400:0:Z3670117559;24:02400:0:Z3669979416;24:02400:0:Z3672876738;
CC1(C)CCCCN1,2776,24:02400:0:Z3639782351;24:02400:0:Z3609213836;24:02400:0:Z3635234219;
Cc1cccc(Cl)c1F,145,24:02400:0:Z4492177916;24:02400:0:Z3843778133;24:02400:0:Z3843788348;
c1cnccn1,27500,24:02400:0:Z4492177916;24:02400:0:Z2286499924;24:02400:0:Z2285799020;
CC1(C)CNCC1O,730,24:02400:0:Z1934779578;24:02400:1:Z3437338480;24:02400:1:Z4291251281;
c1nn[nH]n1,21653,24:02400:0:Z4511278699;24:02400:0:Z4400415336;24:02400:0:Z4379627323;
Clc1cscn1,5047,24:02400:0:Z804835994;24:02400:0:Z4215362175;24:02400:0:Z5052383586;
Cc1ncon1,9833,24:02400:0:Z2071748579;24:02400:0:Z3835835016;24:02400:0:Z3361327745;
C1CCC2(CC1)CNCCO2,388,24:02400:0:Z3372209614;24:02400:2:Z2497217444;24:02400:5:Z3496049796;
OC1CCNC1,28118,24:02400:0:Z3372209614;24:02400:0:Z4230784044;24:02400:0:Z3385914584;
CC1NCCC1=O,374,24:02400:0:Z4032128016;24:02400:3:Z4032111131;24:02400:4:Z4032129337;
CN1CCn2nccc2S1(=O)=O,50,24:02400:0:Z4032128016;24:02402:8:Z3205298453;24:02403:5:Z2947993899;
CC1CCCC1,16296,24:02400:0:Z2197372146;24:02400:0:Z2629872823;24:02400:0:Z1602242723;
c1ncon1,106097,24:02400:0:Z2442571831;24:02400:0:Z3054959820;24:02400:0:Z1685411858;
Cc1cccn2ccnc12,1204,24:02400:0:Z2977466816;24:02400:0:Z2974536453;24:02400:0:Z3793579338;
C1CC2COC(C1)C2,3317,24:02400:0:Z2977466816;24:02400:0:Z2964031559;24:02400:1:Z2970736656;
C1CCC2SCCNC2C1,257,24:02400:0:Z1368772879;24:02400:8:Z3865097083;24:02401:4:Z2825280444;
CC1CNCCO1,15628,24:02400:0:Z3086327454;24:02400:0:Z2605536750;24:02400:0:Z3550140512;
Fc1ccc2c(c1)OCCO2,77,24:02400:0:Z5045418075;24:02400:0:Z5043710858;24:02400:3:Z5045168939;
Cc1ncc[nH]1,8084,24:02400:0:Z4489246600;24:02400:0:Z4481792116;24:02400:0:Z1571749110;
Cc1cc[nH]n1,21082,24:02400:0:Z3503817056;24:02400:0:Z4610999053;24:02400:0:Z2810314702;
OC1CCCCC1,22943,24:02400:0:Z2286499924;24:02400:0:Z2285799020;24:02400:0:Z2286511884;
Clc1ccco1,3799,24:02400:0:Z3827287378;24:02400:0:Z5035346054;24:02400:0:Z4407150769;
Cc1ccns1,2272,24:02400:0:Z1882449101;24:02400:0:Z1882151255;24:02400:1:Z4142511804;
C1CCC2(CC1)CC2,5416,24:02400:0:Z2964825674;24:02400:0:Z4271594553;24:02400:0:Z3998392439;
C1CC2(C1)CCNC2,5416,24:02400:0:Z4185135842;24:02400:0:Z1411594831;24:02400:0:Z3967560539;
C1=CCNCC1,3387,24:02400:0:Z1906916396;24:02400:0:Z4229233637;24:02400:0:Z4397337387;
FC1(F)CCCNC1,3402,24:02400:0:Z4171908318;24:02400:0:Z2465463784;24:02400:0:Z3385911465;
CC1CCOC1,11902,24:02400:0:Z4319356455;24:02400:0:Z3518140516;24:02400:0:Z1518731370;
OC1C2CCC(C2)C1O,771,24:02400:0:Z4319356455;24:02400:2:Z4319918194;24:02400:2:Z4343140738;
C1CC2CNCC2C1,5573,24:02400:0:Z3592596947;24:02400:0:Z3707906027;24:02400:0:Z3301888289;
Cc1ccccn1,28456,24:02400:0:Z3638321689;24:02400:0:Z1460847679;24:02400:0:Z2600161150;
CC1CCCN1,25111,24:02400:0:Z3638321689;24:02400:0:Z1375905067;24:02400:0:Z4514156715;
CC1COCCN1,8003,24:02400:0:Z4099447808;24:02400:0:Z4224935343;24:02400:0:Z4220117460;
C1CC2CC2C1,18482,24:02400:0:Z4099447808;24:02400:0:Z2415414225;24:02400:0:Z2957997686;
FC1CCNCC1,4126,24:02400:0:Z3520014223;24:02400:0:Z3829594594;24:02400:0:Z4265687084;
Fc1ccccc1F,12693,24:02400:0:Z1646368939;24:02400:0:Z4275298492;24:02400:0:Z1961527103;
Fc1cncc(F)c1,1714,24:02400:0:Z4230784044;24:02400:0:Z3861299659;24:02400:0:Z2072606376;
C1CC2(CCOCC2)CN1,1467,24:02400:0:Z3609082279;24:02400:0:Z3380216939;24:02400:0:Z1289844145;
OC1CCCOC12CNC2,276,24:02400:0:Z3822572490;24:02400:0:Z3911737285;24:02400:0:Z3911699043;
c1cn[nH]n1,8537,24:02400:0:Z3472473799;24:02400:0:Z4994954437;24:02400:0:Z4241879938;
C1NC2CC1C2,9441,24:02400:0:Z3472473799;24:02400:0:Z4439383509;24:02400:0:Z4031215747;
CC1CCOCC1,3929,24:02400:0:Z3883334324;24:02400:0:Z1498711746;24:02400:0:Z5046772266;
OC1CNC1,10548,24:02400:0:Z2803517704;24:02400:0:Z3775758778;24:02400:0:Z4213149017;
Cc1cnnn1C,1723,24:02400:0:Z1685411858;24:02400:1:Z4399304669;24:02400:1:Z4399181353;
Cn1ccnc1,27475,24:02400:0:Z2207716758;24:02400:0:Z2451869104;24:02400:0:Z4351185258;
CC1(C)CNc2ccccc2C1,59,24:02400:0:Z2207716758;24:02401:6:Z4504881428;24:02402:4:Z3919053868;
Cc1cccs1,19404,24:02400:0:Z1422308177;24:02400:0:Z3597128184;24:02400:0:Z4935335871;
c1ccsc1,119701,24:02400:0:Z1422308177;24:02400:0:Z4352892590;24:02400:0:Z1664433477;
Clc1cccnc1,21113,24:02400:0:Z1768513125;24:02400:0:Z1768811637;24:02400:0:Z2794143779;
c1nnc[nH]1,27306,24:02400:0:Z2195961736;24:02400:0:Z4115699694;24:02400:0:Z3916692582;
CN1CCCC1,13245,24:02400:0:Z4211836523;24:02400:0:Z4211889770;24:02400:0:Z2449330398;
Clc1nccs1,3950,24:02400:0:Z2122207891;24:02400:0:Z4219882569;24:02400:0:Z5001463430;
Clc1cncnc1,3787,24:02400:0:Z2122207891;24:02400:0:Z4386721726;24:02400:0:Z4232029759;
Cc1cocn1,8369,24:02400:0:Z3566936048;24:02400:0:Z3318669778;24:02400:0:Z2875928918;
Cc1ccc(F)cc1,5624,24:02400:0:Z3255675533;24:02400:0:Z4643656411;24:02400:0:Z2646846316;
c1nc2c([nH]1)CCOC2,250,24:02400:0:Z3255675533;24:02400:3:Z3591320216;24:02401:2:Z4150419546;
Cc1ccncn1,18631,24:02400:0:Z4615157028;24:02400:0:Z2904710667;24:02400:0:Z3392806818;
Fc1ccc2[nH]cnc2c1,588,24:02400:0:Z3829710327;24:02400:2:Z2645291078;24:02400:4:Z2409593068;
CC1CCNC1,25528,24:02400:0:Z2904710667;24:02400:0:Z3518140516;24:02400:0:Z1410860917;
C1CCCNCC1,20538,24:02400:0:Z2078718495;24:02400:0:Z4115876437;24:02400:0:Z1865484382;
Nc1ncnc2[nH]cnc12,163,24:02400:0:Z2632371285;24:02401:3:Z1170896000;24:02401:3:Z2625675228;
C1CCC2(CCC2)OC1,2993,24:02400:0:Z3713083000;24:02400:0:Z1583004246;24:02400:0:Z1447018136;
c1nc[nH]n1,41103,24:02400:0:Z220559246;24:02400:0:Z1435986862;24:02400:0:Z4252540428;
CC1(C)CCCS1(=N)=O,56,24:02400:0:Z3520595185;24:02403:4:Z3520594749;24:02407:7:Z5004616541;
C1CC2OCCOC2CN1,386,24:02400:0:Z3061021295;24:02400:0:Z3095090403;24:02400:1:Z3061015594;
O=C1NCC2(CCCNCC2)N1,101,24:02400:0:Z4271594553;24:02400:7:Z4236576545;24:02401:5:Z4236547984;
Clc1cccc(Cl)c1,12106,24:02400:0:Z3511167335;24:02400:0:Z3172343998;24:02400:0:Z1463517853;
Fc1ccc(F)cc1,5975,24:02400:0:Z4653316489;24:02400:0:Z4653316493;24:02400:0:Z4653316473;
CC1CCNCC1,15599,24:02400:0:Z3494030617;24:02400:0:Z1609651824;24:02400:0:Z4146044467;
C1CC2CCC1CO2,2607,24:02400:0:Z4524053364;24:02400:0:Z4416911557;24:02400:0:Z4613669667;
Cc1cccc(C)c1F,793,24:02400:0:Z3650617371;24:02400:0:Z3650461547;24:02400:0:Z2659028329;
OC1CNCCC1(F)F,448,24:02400:0:Z3617187836;24:02401:1:Z1817741597;24:02401:3:Z4212224286;
FC1(F)CCC2(CC1)CNCCO2,58,24:02400:0:Z3898790836;24:02403:9:Z3898789830;24:02404:0:Z3898784499;
Cc1ccnnc1,2626,24:02400:0:Z4040795174;24:02400:0:Z4342001006;24:02400:0:Z4446018272;
O=C1CCC1,4699,24:02400:0:Z4040795174;24:02400:0:Z4255999071;24:02400:0:Z3382986887;
FC1(F)CCCCC1,9893,24:02400:0:Z2991894041;24:02400:0:Z3471474095;24:02400:0:Z2495194186;
Cc1ccnc(C)n1,3355,24:02400:0:Z3641733954;24:02400:0:Z2598719654;24:02400:0:Z2479814645;
Fc1cccnc1,25970,24:02400:0:Z4168657660;24:02400:0:Z3079436487;24:02400:0:Z3829594594;
c1cc2c(cn1)NCC2,433,24:02400:0:Z4047844284;24:02400:0:Z4047837285;24:02400:0:Z1886899457;
Clc1cccs1,15835,24:02400:0:Z3621087775;24:02400:0:Z3622332466;24:02400:0:Z4065522500;
CC1CNCC(C)NC1,473,24:02400:0:Z3700123866;24:02400:0:Z4190933476;24:02400:5:Z3520065364;
c1ccn2cnnc2c1,3156,24:02400:0:Z3700123866;24:02400:0:Z1974865978;24:02400:0:Z3921621096;
C1CCC2(C1)CC2,5923,24:02400:0:Z4154743605;24:02400:0:Z3373447121;24:02400:0:Z4170506397;
c1ccc2c(c1)CCO2,8524,24:02400:0:Z4154743605;24:02400:0:Z3495505277;24:02400:0:Z2262769763;
FC1CNCC1F,987,24:02400:0:Z5004799019;24:02400:0:Z2284016358;24:02400:1:Z3995356514;
c1cnoc1,79388,24:02400:0:Z4664153727;24:02400:0:Z4595207917;24:02400:0:Z3364566666;
Cc1ccc(C)cc1,5047,24:02400:0:Z1460847679;24:02400:0:Z275032526;24:02400:0:Z1497110960;
O=c1[nH]c2ccccc2s1,285,24:02400:0:Z4329328428;24:02400:3:Z1675256887;24:02400:4:Z3539051220;
NC1CCOC1,2236,24:02400:0:Z4448938675;24:02400:0:Z3142912282;24:02400:1:Z4448936330;
O=C1CCCC2CNCC2N1,211,24:02400:0:Z3613804819;24:02400:2:Z4231123817;24:02400:4:Z3613807762;
Clc1ccccc1Cl,8681,24:02400:0:Z2591916757;24:02400:0:Z2097777930;24:02400:0:Z4590535691;
C1CC2(C1)CCOCC2,2409,24:02400:0:Z2591916757;24:02400:0:Z2591470016;24:02400:1:Z3192201753;
FC1CCNC1,15250,24:02400:0:Z5052899538;24:02400:0:Z3058923001;24:02400:0:Z5052925289;
Nc1ccncn1,4151,24:02400:0:Z2770793654;24:02400:0:Z4101007946;24:02400:0:Z2492862925;
C1CC2(C1)CC2,11306,24:02400:0:Z2805018879;24:02400:0:Z4414661460;24:02400:0:Z4041989228;
C1COC2(C1)CCC2,4823,24:02400:0:Z4704358941;24:02400:0:Z4115145031;24:02400:0:Z3776243998;
c1cc2n(n1)CCOC2,943,24:02400:0:Z2969528525;24:02400:0:Z3614777520;24:02400:0:Z3803866638;
C1CNCCOC1,14255,24:02400:0:Z2439619962;24:02400:0:Z3350720701;24:02400:0:Z3505430924;
Clc1ccc2cc[nH]c2c1,683,24:02400:0:Z2488722860;24:02400:0:Z1081584688;24:02400:0:Z1820271836;
CN1CCNCC1=O,2656,24:02400:0:Z4115876437;24:02400:0:Z3297750273;24:02400:1:Z3612902997;
Cn1cc[nH]c1=O,862,24:02400:0:Z2772153833;24:02400:1:Z3093402189;24:02400:2:Z2638492354;
Cc1cc(C)nc(C)c1,738,24:02400:0:Z4883915343;24:02400:4:Z2835140238;24:02400:7:Z2780579735;
Cc1ccccc1F,11022,24:02400:0:Z4883915343;24:02400:0:Z2292035655;24:02400:0:Z2214831012;
O=S1CCNCC1,1386,24:02400:0:Z3841072539;24:02400:0:Z1636013047;24:02400:1:Z4570785171;
CC1(C)COc2ccccc21,394,24:02400:0:Z2687621899;24:02400:3:Z1919624820;24:02400:5:Z2710942118;
Oc1ccccn1,4715,24:02400:0:Z4559844675;24:02400:0:Z4276867228;24:02400:0:Z2706411891;
C1CC2CCC(C1)N2,6797,24:02400:0:Z3817387778;24:02400:0:Z2922845807;24:02400:0:Z3864241381;
Cn1ccccc1=O,4844,24:02400:0:Z3817387778;24:02400:0:Z2407976373;24:02400:0:Z2331043144;
Cc1csc2nccc(=O)n12,201,24:02400:0:Z2227539971;24:02400:0:Z2227522853;24:02400:3:Z137427322;
FC1(F)CC2CNCC21,507,24:02400:0:Z3594969062;24:02400:1:Z3561080847;24:02400:2:Z3561079837;
Cc1cccc(C)c1,15852,24:02400:0:Z4646268765;24:02400:0:Z3776586711;24:02400:0:Z2146801823;
Cn1cn[nH]c1=O,1940,24:02400:0:Z4646268765;24:02400:1:Z4646265539;24:02400:2:Z3053098127;
c1ccc2ncccc2c1,8150,24:02400:0:Z1435986862;24:02400:0:Z240057514;24:02400:0:Z2793793906;
C1=NOCC1,7337,24:02400:0:Z4466856737;24:02400:0:Z4523378208;24:02400:0:Z4041903974;
C1CCn2nnnc2C1,1312,24:02400:0:Z4466856737;24:02400:1:Z3870742828;24:02400:1:Z4027172858;
Cc1cccc2c1CNCC2,208,24:02400:0:Z2011343373;24:02400:0:Z4613252025;24:02400:1:Z4021828446;
c1ccc2c(c1)CCS2,1144,24:02400:0:Z1225718561;24:02400:1:Z3174254422;24:02400:1:Z2484108754;
Fc1cccc(Cl)c1,13437,24:02400:0:Z1225718561;24:02400:0:Z3581410307;24:02400:0:Z1418964694;
O=C1NCCN1,3670,24:02400:0:Z2884362366;24:02400:2:Z4110986886;24:02400:2:Z4141328695;
CC1CC1(F)F,5255,24:02400:0:Z2916589354;24:02400:0:Z4207312804;24:02400:0:Z2870338118;
C1OC2CC1C2,9415,24:02400:0:Z4249967662;24:02400:0:Z3570864782;24:02400:0:Z3703599958;
OC1CC2(CCNC2)C1,559,24:02400:0:Z4078562419;24:02400:0:Z4078551671;24:02400:1:Z4078544065;
C1CC2(CCN1)CNCCO2,273,24:02400:0:Z3383789782;24:02400:0:Z3383799759;24:02400:3:Z4054985191;
O=C1CNCCN1,10063,24:02400:0:Z4021640785;24:02400:0:Z3668939645;24:02400:0:Z2794261484;
CC1CC1C,6284,24:02400:0:Z4021640785;24:02400:0:Z3668939645;24:02400:0:Z4215362175;
C1CCC2CC2C1,8127,24:02400:0:Z2716758495;24:02400:0:Z4298801283;24:02400:0:Z4376883863;
O=S1(=O)CCCCC1,7344,24:02400:0:Z2271848301;24:02400:0:Z4888742567;24:02400:0:Z2045582048;
Fc1cc2ncccc2cc1Cl,31,24:02400:0:Z2271848301;24:02407:0:Z4343386286;24:02410:1:Z2368506738;
FC1(F)CC2(CCNC2)C1,386,24:02400:0:Z4352892590;24:02400:4:Z4392231133;24:02400:9:Z4352899325;
Cc1ccccc1C,8924,24:02400:0:Z2590561466;24:02400:0:Z1819092347;24:02400:0:Z4277428074;
