fragment_smiles,occurences,example_ligands
Cc1ccc2c(c1)NCCCC2,85,44:04400:0:Z3627590559;44:04400:4:Z4127358948;44:04402:0:Z5034910739;
FC1(F)CC2(CCC2)C1,2451,44:04400:0:Z4191479098;44:04400:0:Z2927625563;44:04400:1:Z3703440885;
C1CC2(C1)COC2,799,44:04400:0:Z5064125841;44:04400:2:Z4279948623;44:04400:4:Z4285835380;
C1CCCCC1,143456,44:04400:0:Z2110976253;44:04400:0:Z3344409175;44:04400:0:Z3344409745;
Cc1cc(C)on1,9696,44:04400:0:Z2110976253;44:04400:0:Z3841405170;44:04400:0:Z1499826042;
CN1C2CCCC1CC2,1363,44:04400:0:Z3985018333;44:04400:0:Z4435977868;44:04400:1:Z4643572083;
C1CCCC1,131364,44:04400:0:Z3985018333;44:04400:0:Z2976243396;44:04400:0:Z2919594709;
O=C1CNCCN1,14355,44:04400:0:Z4451230930;44:04400:0:Z1628126097;44:04400:0:Z2479856462;
Cc1nccc(N)n1,602,44:04400:0:Z4451230930;44:04400:2:Z2636955217;44:04400:3:Z3385446382;
Fc1ccc2ccccc2c1,392,44:04400:0:Z4219268896;44:04400:0:Z2843381369;44:04400:1:Z4154877628;
C1CC2(CC2)CN1,5372,44:04400:0:Z3864007444;44:04400:0:Z3867171883;44:04400:0:Z3701372270;
C1COC2(C1)CCNCC2,1910,44:04400:0:Z4421742004;44:04400:0:Z4971845217;44:04400:0:Z3384264452;
C1CNC2COCC2N1,192,44:04400:0:Z4421742004;44:04400:1:Z4387185801;44:04400:7:Z4421743313;
CC1CNc2ccnn2C1,525,44:04400:0:Z4097361982;44:04400:0:Z3205074256;44:04400:0:Z3195528249;
OC1CCCCC1,18328,44:04400:0:Z4097361982;44:04400:0:Z3205074256;44:04400:0:Z3209272134;
Cc1cc(C)ncn1,3639,44:04400:0:Z3141799513;44:04400:0:Z3105679481;44:04400:0:Z2782253048;
C1=NOCC1,8218,44:04400:0:Z2923199922;44:04400:0:Z3610539695;44:04400:0:Z3610536502;
CC1(C)CCNCC1,2071,44:04400:0:Z4415242577;44:04400:0:Z3139768577;44:04400:0:Z4079941528;
c1nc2c(s1)CCCCC2,988,44:04400:0:Z4295106260;44:04400:0:Z3658345339;44:04400:0:Z3658345340;
c1nnc2n1CCNC2,3927,44:04400:0:Z3624749436;44:04400:0:Z2480927082;44:04400:0:Z3997418065;
c1ccc2[nH]ccc2c1,23640,44:04400:0:Z2294549309;44:04400:0:Z3145760231;44:04400:0:Z1748602148;
CC1(C)CNC1,4649,44:04400:0:Z3200945212;44:04400:0:Z3139545798;44:04400:0:Z4303852334;
CC1CCc2ncsc2C1,962,44:04400:0:Z3530423543;44:04400:0:Z212817632;44:04400:1:Z3683874883;
Cc1cnnn1C,1051,44:04400:0:Z3530423543;44:04400:0:Z3539057746;44:04400:0:Z1261330190;
CC1(C)C2CNCC21,306,44:04400:0:Z1265270072;44:04400:0:Z1822791626;44:04400:6:Z2955594437;
Cc1cccc(C)c1,24491,44:04400:0:Z2776023044;44:04400:0:Z1891245661;44:04400:0:Z2453720021;
C1CC2CSCC2CN1,397,44:04400:0:Z2776023044;44:04400:2:Z2839668810;44:04400:8:Z2778624686;
Cn1ccc2ccccc21,5381,44:04400:0:Z1539148623;44:04400:0:Z4227244481;44:04400:0:Z3623438787;
O=S1C=CCCC1,232,44:04400:0:Z3298118757;44:04401:5:Z3369439197;44:04401:7:Z4183543678;
c1ccc2ccccc2c1,10572,44:04400:0:Z1444448183;44:04400:0:Z1836249891;44:04400:0:Z2304230256;
c1ncsn1,10482,44:04400:0:Z3606198529;44:04400:0:Z4185017473;44:04400:0:Z4630826670;
c1cc2sccc2[nH]1,1009,44:04400:0:Z3603565351;44:04400:0:Z3625786173;44:04400:0:Z1836030210;
O=S1(=O)CCNC2COCCN21,129,44:04400:0:Z3603565351;44:04400:3:Z3567882887;44:04400:3:Z3571425078;
CC1NCCn2cnnc21,694,44:04400:0:Z2435530040;44:04400:0:Z4486751351;44:04400:2:Z3384858351;
C1CC2CCC(C1)N2,8487,44:04400:0:Z2849741373;44:04400:0:Z4079111808;44:04400:0:Z3865072937;
c1ccc2ncccc2c1,18646,44:04400:0:Z434304344;44:04400:0:Z2195458641;44:04400:0:Z2360716093;
FC1(F)CCC2(CC1)CC2,991,44:04400:0:Z3911736715;44:04400:1:Z4272499933;44:04400:3:Z3646797656;
OC1CCCOC12CNC2,273,44:04400:0:Z3911736715;44:04400:0:Z4095058466;44:04400:4:Z4319068604;
Fc1ccc2ccsc2c1,178,44:04400:0:Z3357614089;44:04400:4:Z1129017673;44:04400:9:Z3056946895;
O=S1(=O)CC2CCC(C2)N1,115,44:04400:0:Z3357614089;44:04400:1:Z4386286787;44:04400:1:Z3357613661;
c1nnn2c1CCCC2,397,44:04400:0:Z3837799578;44:04400:0:Z3839546551;44:04400:1:Z4124404761;
NC1CCC(O)C1,368,44:04400:0:Z3519110930;44:04400:4:Z3346734359;44:04400:7:Z4387278981;
Clc1cccc(Cl)c1,17150,44:04400:0:Z3519110930;44:04400:0:Z237522494;44:04400:0:Z4421721555;
OC1CCC(O)CC1,182,44:04400:0:Z3709323165;44:04400:7:Z2200301893;44:04400:7:Z2961894271;
OC1CCC2CC1CN2,311,44:04400:0:Z2976278296;44:04400:0:Z4491232459;44:04400:2:Z5034780744;
c1nn[nH]n1,30632,44:04400:0:Z2713686352;44:04400:0:Z2589332793;44:04400:0:Z4407742533;
Cc1ncccn1,7751,44:04400:0:Z2201005968;44:04400:0:Z1438289223;44:04400:0:Z2473297155;
Cc1nncn1C,2958,44:04400:0:Z3145760231;44:04400:0:Z3381515398;44:04400:1:Z4235828725;
c1ccc2c(c1)CNC2,5318,44:04400:0:Z2928845305;44:04400:0:Z2605902317;44:04400:0:Z3817187654;
OC1CNC1,9391,44:04400:0:Z3648713177;44:04400:0:Z2640605877;44:04400:0:Z4932859889;
CC1CNCC(=O)N1,348,44:04400:0:Z2285256604;44:04400:0:Z2278250241;44:04400:2:Z2305205630;
c1nnn[nH]1,24332,44:04400:0:Z2285256604;44:04400:0:Z1367969591;44:04400:0:Z4209361425;
C1CCC2(CCC2)CNC1,221,44:04400:0:Z3189592677;44:04401:0:Z3055189807;44:04401:3:Z3583314721;
Cc1cccnc1,22932,44:04400:0:Z3611156264;44:04400:0:Z3830008554;44:04400:0:Z3621102635;
CN1CCOCC12CNCOC2,131,44:04400:0:Z3611156264;44:04401:3:Z3611156134;44:04402:1:Z3611152767;
OC1CCCOC1,2152,44:04400:0:Z2647265014;44:04400:0:Z4065012972;44:04400:0:Z3784265995;
Fc1ccc2c(c1)OCCO2,211,44:04400:0:Z5055433712;44:04400:3:Z5043944190;44:04400:4:Z5045442429;
CC12CNCC1CS(=O)(=O)C2,343,44:04400:0:Z3055567126;44:04400:4:Z3618486282;44:04400:6:Z3576261334;
c1ccc2c(c1)CCCO2,10671,44:04400:0:Z4668547351;44:04400:0:Z3795951637;44:04400:0:Z3701059816;
C1CC2COC(C1)C2,3313,44:04400:0:Z4668547351;44:04400:0:Z3647552473;44:04400:0:Z3649675106;
c1cc2c(cn1)CCNC2,872,44:04400:0:Z4506990454;44:04400:2:Z4479282701;44:04400:3:Z4456419407;
CC1CCc2ccccc2C1,765,44:04400:0:Z3083211484;44:04400:0:Z2961966701;44:04400:2:Z4188661276;
O=S1CC2CC1CN2,324,44:04400:0:Z3407993756;44:04400:1:Z2474228591;44:04400:2:Z2485401955;
Oc1ccccn1,4258,44:04400:0:Z2631437007;44:04400:0:Z1303584002;44:04400:0:Z2348362455;
CC1CNCC(=O)N1C,509,44:04400:0:Z2631437007;44:04400:1:Z3011773900;44:04400:1:Z2002908902;
C1CN2CCC1C2,1478,44:04400:0:Z4484572334;44:04400:2:Z4220995244;44:04400:2:Z4575087857;
FC1(F)CCCCC1,10449,44:04400:0:Z3346065748;44:04400:0:Z2300966779;44:04400:0:Z4004164375;
Cc1cc(C)n2ccnc2n1,431,44:04400:0:Z3642760282;44:04400:5:Z1195764618;44:04401:0:Z1696228236;
CC1CCNCC1,17951,44:04400:0:Z4570796914;44:04400:0:Z2654840507;44:04400:0:Z5018816960;
OC1COc2ccccc2C1,472,44:04400:0:Z4491037204;44:04400:0:Z4491037549;44:04400:2:Z3622045603;
Cc1cc(C)c2c(c1)CCNC2,171,44:04400:0:Z1748602148;44:04401:0:Z1748599440;44:04401:1:Z1984536254;
CN1CCCS1(=O)=O,1213,44:04400:0:Z2945566528;44:04400:1:Z3054414987;44:04400:2:Z3010547852;
Nc1ncc2[nH]cnc2n1,79,44:04400:0:Z1675266877;44:04400:4:Z3396197021;44:04403:5:Z1675213410;
Clc1ccc(Cl)cc1,3930,44:04400:0:Z2859680187;44:04400:0:Z4407071944;44:04400:0:Z4032030699;
CN1CCNCC1,16892,44:04400:0:Z4194348855;44:04400:0:Z2912692948;44:04400:0:Z4156044625;
C1CCC2(C1)CNCCO2,543,44:04400:0:Z4194348855;44:04400:0:Z4418659636;44:04400:0:Z2622035500;
c1ccc2c(c1)OCO2,12003,44:04400:0:Z3344409175;44:04400:0:Z3344409745;44:04400:0:Z1647565683;
Cn1ncc2c1CNC2,417,44:04400:0:Z4317974311;44:04400:2:Z2691198278;44:04400:3:Z2691181907;
c1cc2c(cn1)OCCC2,615,44:04400:0:Z1642428068;44:04400:0:Z2297555260;44:04400:1:Z1643084700;
c1c[nH]cn1,71284,44:04400:0:Z1642428068;44:04400:0:Z3019392208;44:04400:0:Z3019383604;
C1CC2OCCNC2CN1,643,44:04400:0:Z2473985714;44:04400:0:Z3603711786;44:04400:2:Z5060158196;
C1COCO1,9085,44:04400:0:Z2473985714;44:04400:0:Z3940497936;44:04400:0:Z1545563396;
CC1(C)CC2CCOC21,754,44:04400:0:Z1256796771;44:04400:1:Z1255976475;44:04400:5:Z3616791763;
C1CC2COCC2O1,2058,44:04400:0:Z3574787184;44:04400:0:Z3709494509;44:04400:0:Z2928671692;
CC1CCOC1,6685,44:04400:0:Z4004065483;44:04400:0:Z3470584106;44:04400:0:Z3776303574;
C1CC2CNCCN2C1,868,44:04400:0:Z4004065483;44:04400:0:Z2021387983;44:04400:2:Z3364124458;
Cc1cccc2nc[nH]c12,192,44:04400:0:Z4288748702;44:04401:5:Z3346527682;44:04401:6:Z3500021809;
O=C1CNc2cc(F)c(F)cc2N1,75,44:04400:0:Z4127059033;44:04400:4:Z4127050753;44:04401:2:Z4127051656;
C1CC2CCC(C2)N1,247,44:04400:0:Z4127059033;44:04400:5:Z3787368326;44:04400:6:Z3842560454;
c1cnc2c(c1)CCCC2,5447,44:04400:0:Z1897962147;44:04400:0:Z1494876702;44:04400:0:Z3379048696;
Cc1cn[nH]c1,12077,44:04400:0:Z1683965980;44:04400:0:Z2331113591;44:04400:0:Z3713496141;
c1cn2c(n1)NCCC2,237,44:04400:0:Z5047533040;44:04400:1:Z4360001102;44:04400:6:Z4362765943;
C1CNC2(C1)COC2,361,44:04400:0:Z4205578635;44:04400:0:Z4247398359;44:04400:0:Z4971845217;
C1CCC2CNCC2C1,3116,44:04400:0:Z3504119478;44:04400:0:Z2362590286;44:04400:0:Z2189041014;
