fragment_smiles,occurences,example_ligands
c1c[nH]nn1,68693,28:02800:0:Z2141146907;28:02800:0:Z2175236355;28:02800:0:Z3059490129;
Clc1cnccn1,1925,28:02800:0:Z2713882842;28:02800:0:Z3827853283;28:02800:1:Z1798520236;
FC1(F)CNCCO1,636,28:02800:0:Z2713882842;28:02800:0:Z4116988282;28:02800:2:Z4116991421;
FC1(F)CCCC1,8217,28:02800:0:Z3633609248;28:02800:0:Z4229841071;28:02800:0:Z3613495576;
c1nnc[nH]1,27483,28:02800:0:Z1818946322;28:02800:0:Z3856457413;28:02800:0:Z3856468894;
Fc1cccc(F)c1,23652,28:02800:0:Z4134067695;28:02800:0:Z4634647291;28:02800:0:Z4155619077;
CC1CNC1,12708,28:02800:0:Z2959242820;28:02800:0:Z2961568856;28:02800:0:Z2959243496;
CC1CCC(O)CN1,3152,28:02800:0:Z2959242820;28:02800:0:Z2961568856;28:02800:0:Z2959243496;
Cc1cccc2nccn12,838,28:02800:0:Z3498718603;28:02800:4:Z1687038415;28:02800:4:Z4483860486;
NC1CNC2(CCCC2)C1,178,28:02800:0:Z3498718603;28:02801:0:Z3520183837;28:02803:0:Z3520188199;
CC1CCNCC1,15386,28:02800:0:Z2362821835;28:02800:0:Z1997908841;28:02800:0:Z1181662726;
Cc1ccsc1,13435,28:02800:0:Z1866895180;28:02800:0:Z2452745236;28:02800:0:Z3868272773;
CC1CCCS1,3694,28:02800:0:Z3356678475;28:02800:0:Z2860033473;28:02800:0:Z3554312909;
Cc1nnco1,6201,28:02800:0:Z2015061438;28:02800:0:Z4295404584;28:02800:0:Z4295404789;
c1nc2n(n1)CCCN2,586,28:02800:0:Z4312471187;28:02800:0:Z4312286123;28:02800:0:Z4310654073;
Cc1cc(C)[nH]c(=O)c1,842,28:02800:0:Z3383615826;28:02800:0:Z3608360781;28:02800:1:Z2087460972;
Cc1nccs1,16683,28:02800:0:Z4151118131;28:02800:0:Z1414421591;28:02800:0:Z3625284951;
Cc1cnccc1Cl,828,28:02800:0:Z4151118131;28:02800:0:Z4106855412;28:02800:4:Z4870365590;
CC1CCCS1(=O)=O,906,28:02800:0:Z4413860079;28:02800:1:Z4712660996;28:02800:4:Z2818183569;
C1CC2(C1)CC21CC1,663,28:02800:0:Z4413860079;28:02800:0:Z4424162309;28:02800:0:Z4157041836;
Fc1ccccc1F,12558,28:02800:0:Z3561470445;28:02800:0:Z2770421203;28:02800:0:Z3466548034;
c1cnc2c(c1)CCC2,3512,28:02800:0:Z4284413946;28:02800:0:Z1897448848;28:02800:1:Z3394708327;
c1cnsc1,22268,28:02800:0:Z3641165054;28:02800:0:Z3622186404;28:02800:0:Z3838549290;
C1CCCCC1,107199,28:02800:0:Z3641165054;28:02800:0:Z5004979256;28:02800:0:Z3182261310;
Cc1ccc2c(C)nn(C)c2n1,125,28:02800:0:Z1683608517;28:02801:0:Z3711687820;28:02801:0:Z3657545131;
c1ncon1,105923,28:02800:0:Z1683608517;28:02800:0:Z3631132513;28:02800:0:Z3182261310;
Cc1ccc(O)cc1,1504,28:02800:0:Z3642262301;28:02800:1:Z3623259143;28:02800:2:Z3519960585;
c1ncsn1,13354,28:02800:0:Z2569719705;28:02800:0:Z3870203336;28:02800:0:Z3394982957;
CC1CCC1,15463,28:02800:0:Z1366460827;28:02800:0:Z3364929945;28:02800:0:Z1478373671;
Cc1cccnc1,23554,28:02800:0:Z2273767128;28:02800:0:Z3180191036;28:02800:0:Z2285615493;
C1COCOC1,4053,28:02800:0:Z3342281681;28:02800:0:Z3569773196;28:02800:0:Z1571137468;
O=C1CSc2ccccc2N1,503,28:02800:0:Z2598913878;28:02800:1:Z1963875013;28:02801:2:Z2962164014;
C1CNCCOC1,14102,28:02800:0:Z4228742686;28:02800:0:Z2480735503;28:02800:0:Z3829026800;
