fragment_smiles,occurences,example_ligands
O=S1(=O)CCCCCC1,327,140:14000:0:Z3502688908;140:14000:3:Z3527839326;140:14001:5:Z2793842562;
Cn1nnc2cccnc21,666,140:14000:0:Z3627123065;140:14000:0:Z3627123574;140:14000:1:Z1666547756;
Cc1cc(C)n2ncnc2n1,1619,140:14000:0:Z1251598649;140:14000:1:Z3056701237;140:14000:2:Z95545613;
Cc1cc(C)n(C)n1,9104,140:14000:0:Z3878134148;140:14000:0:Z3556244290;140:14000:0:Z4224644569;
CC1(C)CCCCO1,3541,140:14000:0:Z3586860381;140:14000:0:Z4424318885;140:14000:0:Z3552894756;
CN1CCNC(=O)C12CCNCC2,390,140:14000:0:Z4455722288;140:14000:4:Z4598134444;140:14000:9:Z4476207997;
Clc1ccc(Cl)cc1,3505,140:14000:0:Z4455722288;140:14000:0:Z1488796818;140:14000:0:Z1960832739;
O=S1(=O)CCN2CCNCC2C1,251,140:14000:0:Z2909305393;140:14000:2:Z2640829580;140:14000:2:Z2640828706;
Cc1cc(C)cc(C)c1,4246,140:14000:0:Z1444130270;140:14000:0:Z4408096782;140:14000:1:Z3808595813;
Clc1ccc2c(c1)NCCCC2,29,140:14000:0:Z1886934035;140:14001:6:Z4114663162;140:14002:8:Z1886937451;
Cn1ncnc1O,55,140:14000:0:Z4771837502;140:14003:9:Z4497430821;140:14006:6:Z4769550929;
Cc1cc(Cl)[nH]n1,2918,140:14000:0:Z1486810145;140:14000:0:Z1264364689;140:14000:0:Z2289365794;
Fc1ccc2[nH]ccc2c1F,214,140:14000:0:Z1671350976;140:14000:5:Z2755473181;140:14001:1:Z4579225319;
Cc1cc(F)n(C)n1,299,140:14000:0:Z3055418457;140:14000:0:Z2946417350;140:14000:6:Z4112591511;
OC1CNCCNC1,265,140:14000:0:Z3055418457;140:14000:2:Z3346540743;140:14000:6:Z4276316030;
Cc1ccoc1,5849,140:14000:0:Z4934510227;140:14000:0:Z3168382740;140:14000:0:Z1948548345;
c1ccc2c(c1)OCO2,17836,140:14000:0:Z1579069323;140:14000:0:Z3342705555;140:14000:0:Z1715558067;
O=S1(=O)CC2(CCN2)C1,209,140:14000:0:Z4110795166;140:14000:0:Z3615236728;140:14000:0:Z3615236353;
