fragment_smiles,occurences,example_ligands
O=C1CNCN1,2636,51:05100:0:Z1930417788;51:05100:0:Z2016371110;51:05100:1:Z2711006438;
O=C1CCCCN1,25734,51:05100:0:Z2017520864;51:05100:0:Z5060105460;51:05100:0:Z3798949348;
c1ccc2c(c1)CC1CC21,561,51:05100:0:Z2699668475;51:05100:0:Z1552286016;51:05100:1:Z2701024861;
CC1CCn2ncnc2N1,356,51:05100:0:Z4303670843;51:05100:6:Z4335517342;51:05100:8:Z4303630141;
c1ccc2oncc2c1,1891,51:05100:0:Z4303670843;51:05100:0:Z2996104598;51:05100:1:Z3705558870;
FC1(F)CCNC1,3975,51:05100:0:Z4293136357;51:05100:0:Z4293801560;51:05100:0:Z4446649113;
Cn1cc2ccccc2n1,1846,51:05100:0:Z4293136357;51:05100:0:Z4293801560;51:05100:0:Z4224550385;
c1nnc[nH]1,41735,51:05100:0:Z1264736108;51:05100:0:Z3138898692;51:05100:0:Z3138899376;
c1ncc2sccc2n1,571,51:05100:0:Z1264736108;51:05100:1:Z3913735222;51:05100:1:Z4111972827;
CC1(C)CCCN1,8796,51:05100:0:Z3386253617;51:05100:0:Z3899322415;51:05100:0:Z3315375565;
c1cc2c(cn1)CCCC2,1925,51:05100:0:Z2914030212;51:05100:0:Z2898782782;51:05100:1:Z4448838866;
Cc1cscn1,35842,51:05100:0:Z1175678611;51:05100:0:Z3383094435;51:05100:0:Z1526905117;
O=S1(=O)CCCN1,6168,51:05100:0:Z952682856;51:05100:0:Z3055909257;51:05100:0:Z3405256156;
Cc1ccccn1,29201,51:05100:0:Z4601908424;51:05100:0:Z4226909273;51:05100:0:Z2982207199;
c1cc2c(s1)CCNC2,2974,51:05100:0:Z4226909273;51:05100:0:Z2606611770;51:05100:0:Z439006952;
OC1CCNC1,24287,51:05100:0:Z4214753091;51:05100:0:Z4214662251;51:05100:0:Z4350503035;
Cc1noc2ccccc12,502,51:05100:0:Z4214878650;51:05100:4:Z2841936072;51:05100:6:Z4328230793;
CS(C)(=N)=O,4555,51:05100:0:Z4214878650;51:05100:0:Z2770479952;51:05100:0:Z4066223079;
Cc1nc2n(n1)CCCC2,823,51:05100:0:Z4076366249;51:05100:2:Z3185763966;51:05100:2:Z1627567138;
CN1CCCCCC1,699,51:05100:0:Z2701026762;51:05100:0:Z2718659322;51:05100:1:Z4035673848;
c1cnc2c(c1)CNC2,879,51:05100:0:Z4475013011;51:05100:0:Z3173705369;51:05100:0:Z4451517727;
O=C1Cc2ccccc2N1,2841,51:05100:0:Z2627364089;51:05100:0:Z1212586011;51:05100:0:Z4084702469;
c1ccn2ncnc2c1,2370,51:05100:0:Z4634610188;51:05100:0:Z3354730005;51:05100:0:Z4273517201;
Cc1ccc2c(c1)CCCC2,663,51:05100:0:Z4323782412;51:05100:0:Z4323878224;51:05100:0:Z4320197200;
OC1C2CCCC1CC2,607,51:05100:0:Z4323782412;51:05100:0:Z4323878224;51:05100:0:Z4320197200;
Cn1cccc1,11846,51:05100:0:Z3180146825;51:05100:0:Z3522443914;51:05100:0:Z4021301649;
c1nc2c(s1)CCCCC2,967,51:05100:0:Z3180146825;51:05100:1:Z1718940960;51:05100:4:Z3313190347;
Nc1cnsc1,198,51:05100:0:Z4285918703;51:05100:2:Z1492952453;51:05100:4:Z1465933498;
Cc1cc2c(cc1O)CCNC2,206,51:05100:0:Z3794542607;51:05101:3:Z3598880264;51:05101:4:Z3585663081;
c1n[nH]c2c1CC1CC21,192,51:05100:0:Z3608687451;51:05100:3:Z3352124798;51:05100:8:Z4960411212;
O=c1[nH]cnc2sccc12,1003,51:05100:0:Z2298371732;51:05100:0:Z3888826484;51:05100:1:Z732587804;
NC1CCCCC1,6330,51:05100:0:Z3889263020;51:05100:0:Z4064654699;51:05100:0:Z3120491514;
O=S1(=O)CCC2CCCN21,312,51:05100:0:Z5058482725;51:05100:2:Z4257708041;51:05100:6:Z4254216905;
Cc1cncs1,11420,51:05100:0:Z2286331169;51:05100:0:Z1446928558;51:05100:0:Z4250918271;
Cn1ccc2c(c1=O)CCCC2,211,51:05100:0:Z2286331169;51:05100:9:Z1899838366;51:05101:4:Z1906698211;
Cc1ccc2c(c1)NCNS2(=O)=O,62,51:05100:0:Z4307863776;51:05101:6:Z4307320355;51:05108:4:Z4307819348;
CC1CCNCC(C)C1,154,51:05100:0:Z2952356544;51:05101:7:Z4614172378;51:05101:8:Z4384021335;
C1CCC2(CC1)CCC2,4590,51:05100:0:Z4577552705;51:05100:0:Z4427299625;51:05100:0:Z4271606393;
c1cc2n(n1)CCCC2,6709,51:05100:0:Z2840798690;51:05100:0:Z2318728873;51:05100:0:Z5007882707;
Cn1ccc(=O)n(C)c1=O,1718,51:05100:0:Z2264684853;51:05100:0:Z2371207328;51:05100:0:Z1341950672;
O=c1[nH]c(=O)c2cccnc2[nH]1,137,51:05100:0:Z1286238022;51:05100:5:Z2359000176;51:05102:6:Z4141497954;
C1CC2OC1C1CNCC21,503,51:05100:0:Z3065009917;51:05100:0:Z1881427801;51:05100:0:Z4478345039;
Fc1ccc(F)cc1,10518,51:05100:0:Z3065009917;51:05100:0:Z1881427801;51:05100:0:Z3667089850;
O=C1CC2CCC(C1)N2,352,51:05100:0:Z2198354261;51:05100:5:Z1752348428;51:05100:5:Z2456280289;
CC1(C)CNCCO1,7508,51:05100:0:Z2436232523;51:05100:0:Z3614899898;51:05100:0:Z4096063499;
FC1(F)CC1,14328,51:05100:0:Z3528601588;51:05100:0:Z3471545054;51:05100:0:Z3863007835;
Cc1ccnc(C)c1,3630,51:05100:0:Z4833051817;51:05100:0:Z4013457406;51:05100:1:Z4833057225;
O=S1(=O)CCC2(CCNC2)CC1,474,51:05100:0:Z4205054642;51:05100:0:Z3633220631;51:05100:0:Z3103275060;
CC1CC(C)(C)CN1,243,51:05100:0:Z2359133133;51:05100:2:Z2366449760;51:05100:2:Z2346813749;
c1nnn[nH]1,24254,51:05100:0:Z2359133133;51:05100:0:Z3438501741;51:05100:0:Z3875120927;
OC1CCCCC1,18272,51:05100:0:Z1386593792;51:05100:0:Z1959608255;51:05100:0:Z3205417595;
Cn1ccnc1,32164,51:05100:0:Z1360983645;51:05100:0:Z2494027220;51:05100:0:Z4149334389;
CC1(C)Nc2ccccc2NC1=O,67,51:05100:0:Z2494307762;51:05102:2:Z4376514793;51:05102:4:Z4376514949;
Cn1ccnn1,14124,51:05100:0:Z1646661867;51:05100:0:Z1271748635;51:05100:0:Z3698207742;
Cc1ccccc1F,12371,51:05100:0:Z4001984833;51:05100:0:Z4194932391;51:05100:0:Z3495675808;
NC1CCOC1,1400,51:05100:0:Z4001984833;51:05100:1:Z3510556299;51:05100:2:Z4561843544;
c1ccc2ncccc2c1,18422,51:05100:0:Z2965535187;51:05100:0:Z3842015084;51:05100:0:Z2221154854;
C1CC2(C1)NCCS2,201,51:05100:0:Z2965535187;51:05100:6:Z4250091280;51:05100:7:Z4250116276;
Cn1ccccc1=O,4744,51:05100:0:Z4240119827;51:05100:0:Z3571312682;51:05100:0:Z3138723584;
Oc1ccc2c(c1)CCCO2,456,51:05100:0:Z3627472702;51:05100:0:Z3627679648;51:05100:1:Z4170674144;
OC1CCCC1,13300,51:05100:0:Z3627472702;51:05100:0:Z3627679648;51:05100:0:Z2708569363;
C1=Cc2ccccc2CCC1,116,51:05100:0:Z2710740789;51:05101:3:Z2646021078;51:05102:7:Z4344737148;
Cc1ncccn1,7679,51:05100:0:Z2776505865;51:05100:0:Z3557997582;51:05100:0:Z729154834;
C1COCCO1,8450,51:05100:0:Z2776505865;51:05100:0:Z3362401189;51:05100:0:Z3628545542;
c1cn2c(n1)CCCC2,9651,51:05100:0:Z2348260105;51:05100:0:Z3208017033;51:05100:0:Z3368189933;
CC1(C)CCC1,10173,51:05100:0:Z2348260105;51:05100:0:Z1769377479;51:05100:0:Z1728003550;
c1cnsc1,12553,51:05100:0:Z4077032110;51:05100:0:Z4076738119;51:05100:0:Z3518780408;
c1cn2ccnc2cn1,1063,51:05100:0:Z3352167372;51:05100:0:Z4232608789;51:05100:1:Z4229743004;
CN1CC2CCCC2C1,488,51:05100:0:Z4276772288;51:05100:1:Z3639756877;51:05100:1:Z3197533563;
C1COCO1,9030,51:05100:0:Z4276772288;51:05100:0:Z4279427897;51:05100:0:Z4008320166;
OC1CCCOC1,2150,51:05100:0:Z4255366459;51:05100:0:Z3855788919;51:05100:1:Z3316800014;
Cc1nc2ccccc2c(=O)[nH]1,251,51:05100:0:Z3378682805;51:05100:1:Z3602986207;51:05100:3:Z3055510421;
c1ccc2c(c1)OCCCO2,3213,51:05100:0:Z1588782545;51:05100:0:Z2770655179;51:05100:1:Z3807002516;
O=C1NCCCCNCC1(F)F,251,51:05100:0:Z3522149931;51:05100:6:Z3642656855;51:05101:2:Z3642648730;
Cc1cc[nH]n1,28187,51:05100:0:Z2270202591;51:05100:0:Z5014360847;51:05100:0:Z1022898292;
