fragment_smiles,occurences,example_ligands
c1nnn[nH]1,31819,199:19900:0:Z761421540;199:19900:0:Z4492981873;199:19900:0:Z3530850754;
Fc1c(Cl)ccn2nccc12,101,199:19900:0:Z4352509627;199:19901:7:Z4477961845;199:19903:2:Z3354030019;
Fc1ccc2c(c1)OCCC2,806,199:19900:0:Z2622628983;199:19900:1:Z2222996129;199:19900:4:Z2218104029;
c1nnc[nH]1,91682,199:19900:0:Z1273374993;199:19900:0:Z2697677908;199:19900:0:Z3292765782;
C1CC2(C1)CCNC2,5555,199:19900:0:Z5048899032;199:19900:0:Z3186501087;199:19900:0:Z3897563675;
CN1CCNCC1(C)C,801,199:19900:0:Z1994645351;199:19900:2:Z3803826671;199:19900:2:Z1994855603;
Cc1ccc2sncc2c1,171,199:19900:0:Z2299258661;199:19901:6:Z3289041252;199:19901:9:Z2218967691;
Cc1ccccc1C,20341,199:19900:0:Z1944202264;199:19900:0:Z4465963303;199:19900:0:Z2647062808;
CC1(C)CNCCN1,3962,199:19900:0:Z1944202264;199:19900:0:Z2119760489;199:19900:1:Z4203381892;
Cc1cc(C)on1,10791,199:19900:0:Z3080419740;199:19900:0:Z2138813355;199:19900:0:Z1499829221;
c1ccc2c(c1)OCO2,18802,199:19900:0:Z1200468462;199:19900:0:Z1615020829;199:19900:0:Z2330486503;
C1CC2CCC(CN1)N2,1641,199:19900:0:Z3724630550;199:19900:0:Z2361813679;199:19900:0:Z3724630783;
Cc1ccccc1O,2140,199:19900:0:Z5006088007;199:19900:0:Z3715778334;199:19900:0:Z1550131235;
C1CCC2(C1)CNCCOC2,289,199:19900:0:Z5006088007;199:19900:2:Z2294604841;199:19900:2:Z1726272619;
O=C1CCC2(CCC2)CC1,313,199:19900:0:Z4349330557;199:19901:0:Z4348200325;199:19901:4:Z4344939332;
Fc1cccc(F)c1,67466,199:19900:0:Z4349330557;199:19900:0:Z3545110637;199:19900:0:Z3051096140;
Oc1ccccc1F,2412,199:19900:0:Z1834148245;199:19900:0:Z1700806870;199:19900:0:Z1244904372;
Clc1cccc(Cl)c1,16947,199:19900:0:Z1834148245;199:19900:0:Z1786416941;199:19900:0:Z1277863696;
CC1CNCCS1=O,432,199:19900:0:Z2173135126;199:19900:0:Z2110390284;199:19900:3:Z2090843540;
C1CC2(C1)CCOC2,1745,199:19900:0:Z2871815843;199:19900:0:Z3696026898;199:19900:0:Z4279420189;
FC1(F)CC2(CCC2)C1,2223,199:19900:0:Z3521322307;199:19900:0:Z4175562954;199:19900:1:Z2700004954;
Oc1ccccc1,42513,199:19900:0:Z791078186;199:19900:0:Z1655032667;199:19900:0:Z4128306170;
O=S1(=O)CCC2(CCNCCO2)C1,303,199:19900:0:Z3787477026;199:19901:8:Z3881616210;199:19902:8:Z3842964655;
c1ccc2ccccc2c1,20148,199:19900:0:Z4492981873;199:19900:0:Z1885143798;199:19900:0:Z4318697969;
c1nncs1,29286,199:19900:0:Z1316673585;199:19900:0:Z4961598857;199:19900:0:Z1943848721;
c1cnc2ccnn2c1,4718,199:19900:0:Z4484094290;199:19900:0:Z3651042130;199:19900:0:Z3104265791;
Cc1ccco1,23568,199:19900:0:Z3295623670;199:19900:0:Z3381178080;199:19900:0:Z3724630563;
c1cnc2c(c1)CCN2,1226,199:19900:0:Z4287946568;199:19900:1:Z4132486872;199:19900:2:Z4341805529;
CC1CCNC1,23185,199:19900:0:Z3684494205;199:19900:0:Z3620557645;199:19900:0:Z3724630563;
Cc1ccc2nncn2n1,433,199:19900:0:Z2170604623;199:19900:2:Z3541996549;199:19900:2:Z4863975104;
CC1CNCCO1,15530,199:19900:0:Z5001166939;199:19900:0:Z4251602228;199:19900:0:Z4251578347;
O=C1CCc2ccccc21,2699,199:19900:0:Z5001166939;199:19900:0:Z2357870486;199:19900:1:Z3937475695;
c1cnc2c(c1)CCOC2,760,199:19900:0:Z5064677697;199:19900:1:Z5064188742;199:19900:1:Z5063826334;
c1nnc2n1CCC2,3436,199:19900:0:Z2953108571;199:19900:0:Z3819867997;199:19900:0:Z1635130993;
c1ccc2ncncc2c1,3886,199:19900:0:Z4961598857;199:19900:0:Z3652324759;199:19900:0:Z2627762405;
Nc1ccn[nH]1,2877,199:19900:0:Z1603302174;199:19900:0:Z3712560244;199:19900:0:Z3702165100;
Cc1cnoc1,3284,199:19900:0:Z2783054962;199:19900:0:Z4458714260;199:19900:0:Z3578665728;
c1ccn2cnnc2c1,8465,199:19900:0:Z1014195700;199:19900:0:Z1350636446;199:19900:0:Z1627580904;
OC1CCOCC1,5619,199:19900:0:Z1286189224;199:19900:0:Z3207494987;199:19900:0:Z3199175542;
OC1CCNCC1,26483,199:19900:0:Z3545110637;199:19900:0:Z3051096140;199:19900:0:Z4105453992;
C1CC2NCCC2CN1,696,199:19900:0:Z4004470395;199:19900:1:Z4031329849;199:19900:2:Z4004477836;
C1CC2CCC2C1,4249,199:19900:0:Z4947548296;199:19900:1:Z3055232570;199:19900:1:Z3057072927;
FC1(F)CCC2(CC1)CNCCO2,280,199:19900:0:Z3997412731;199:19900:5:Z4305494950;199:19900:8:Z3898790268;
c1nnco1,31884,199:19900:0:Z2775972454;199:19900:0:Z1662852780;199:19900:0:Z3548911457;
c1ccn2cncc2c1,2568,199:19900:0:Z2775972454;199:19900:1:Z3518071205;199:19900:1:Z4539447255;
Fc1cccc(Cl)c1,16691,199:19900:0:Z1355717312;199:19900:0:Z3204263704;199:19900:0:Z1175479245;
c1ccc2ncccc2c1,26012,199:19900:0:Z3365809367;199:19900:0:Z4591392735;199:19900:0:Z2234009301;
C1CCC2(CCCNC2)NC1,216,199:19900:0:Z3365809367;199:19901:5:Z3365808394;199:19902:6:Z3794658346;
O=C1CCc2ccccc2N1,9933,199:19900:0:Z2104451654;199:19900:0:Z1745340613;199:19900:0:Z1966902504;
Cc1cocn1,7610,199:19900:0:Z1833642593;199:19900:0:Z1417184100;199:19900:0:Z4353264377;
Cc1ccno1,15589,199:19900:0:Z2764092312;199:19900:0:Z826418336;199:19900:0:Z2179328178;
O=c1cc[nH]c(=O)[nH]1,4471,199:19900:0:Z4276843520;199:19900:0:Z3686995549;199:19900:0:Z3686995542;
Cc1ccc2ncsc2n1,82,199:19900:0:Z2932508679;199:19900:6:Z4155892533;199:19901:4:Z2932508731;
Cc1ccc(F)cc1,5632,199:19900:0:Z4315785049;199:19900:0:Z1943848721;199:19900:0:Z3724630563;
c1ccc2sccc2c1,6671,199:19900:0:Z2346840289;199:19900:0:Z3612855996;199:19900:0:Z4537135559;
c1noc2c1CCCC2,1259,199:19900:0:Z2138813355;199:19900:0:Z1921468333;199:19900:1:Z3104371826;
Cc1ccc2cn[nH]c2n1,1968,199:19900:0:Z1748825495;199:19900:0:Z1050973382;199:19900:0:Z1050947772;
Cn1cnc2cc(Cl)ccc21,837,199:19900:0:Z1742692668;199:19900:1:Z3442382544;199:19900:2:Z4269017814;
CC1(C)CCCN1,6504,199:19900:0:Z3709070066;199:19900:0:Z4448945144;199:19900:0:Z3787411580;
C1CNc2nn[nH]c2C1,73,199:19900:0:Z1274279720;199:19900:4:Z1203262612;199:19900:8:Z1204687354;
CC1(C)CCC1N,306,199:19900:0:Z4175562954;199:19900:1:Z2824986775;199:19900:1:Z4175127418;
c1ccc2[nH]cnc2c1,26633,199:19900:0:Z3136780760;199:19900:0:Z503654532;199:19900:0:Z3533512948;
c1nc2c([nH]1)CCCC2,2432,199:19900:0:Z1943848721;199:19900:0:Z2299080714;199:19900:1:Z4381749288;
O=c1[nH]c2ccccc2[nH]1,6981,199:19900:0:Z2595628112;199:19900:0:Z1231442966;199:19900:0:Z2960027046;
C1CC2(CCN1)COC2,303,199:19900:0:Z3054848457;199:19900:0:Z3097971450;199:19900:2:Z4128782356;
Cn1cnnc1,31877,199:19900:0:Z503654532;199:19900:0:Z3094340318;199:19900:0:Z3094205997;
Cc1cc(C)n2nccc2n1,1298,199:19900:0:Z3721748656;199:19900:0:Z1603654158;199:19900:0:Z1170087355;
c1ccc2c(c1)CCN2,27702,199:19900:0:Z3521762694;199:19900:0:Z4126514400;199:19900:0:Z1282265877;
Fc1cccnc1,25592,199:19900:0:Z3521762694;199:19900:0:Z4274219632;199:19900:0:Z4274219377;
O=c1cccc[nH]1,31328,199:19900:0:Z3143774948;199:19900:0:Z3370044271;199:19900:0:Z4093914726;
C1CCC2(CCNCC2)NC1,143,199:19900:0:Z3143774948;199:19901:2:Z3143768246;199:19902:3:Z3208874683;
c1cc2n(n1)CCCN2,1951,199:19900:0:Z4402679668;199:19900:0:Z3199504408;199:19900:3:Z4294196257;
Cc1cccc2nccn12,1605,199:19900:0:Z4476909098;199:19900:0:Z2436750723;199:19900:1:Z3724631000;
FC1CCCOC1,452,199:19900:0:Z4476909098;199:19900:2:Z4476645693;199:19900:5:Z4468718867;
c1cn2c(n1)COCC2,1607,199:19900:0:Z2707472197;199:19900:2:Z4199348230;199:19900:3:Z3531646228;
