fragment_smiles,occurences,example_ligands
c1cnc2nccn2c1,2091,62:06200:0:Z3594607377;62:06200:0:Z3874848515;62:06200:1:Z3354924780;
OC1CCNCC1,16594,62:06200:0:Z3876981573;62:06200:0:Z1978281136;62:06200:0:Z4100585578;
c1nncs1,31622,62:06200:0:Z4960528520;62:06200:0:Z1779814095;62:06200:0:Z4348850232;
Fc1cc(Cl)c2c(c1)CCC2,22,62:06200:0:Z4960528520;62:06200:7:Z4635979844;62:06203:2:Z4635934000;
Fc1cccnc1,27452,62:06200:0:Z3867367296;62:06200:0:Z4468820654;62:06200:0:Z3533550131;
CC1CC1(F)F,3012,62:06200:0:Z3149161370;62:06200:0:Z3670874115;62:06200:2:Z2850512954;
Cc1ccsc1,9318,62:06200:0:Z1487169589;62:06200:0:Z3540277460;62:06200:0:Z5058669764;
CC1(C)CCCCC1=O,117,62:06200:0:Z3819516837;62:06200:1:Z2371055676;62:06200:3:Z2346697013;
Clc1cccc2cn[nH]c12,244,62:06200:0:Z1470657483;62:06200:8:Z1474604399;62:06201:0:Z4489865542;
C1CNC2CCC3(CC2C1)OCCO3,96,62:06200:0:Z3741228180;62:06203:6:Z3610551908;62:06204:6:Z3610547750;
CC1CCCC1,8397,62:06200:0:Z2075415206;62:06200:0:Z4773301232;62:06200:0:Z1767521710;
Clc1ccc2c(c1)CCO2,2610,62:06200:0:Z1702770267;62:06200:0:Z2669145812;62:06200:0:Z1664742009;
Fc1ccc2nc[nH]c2c1,508,62:06200:0:Z1702770267;62:06200:1:Z1907738276;62:06200:2:Z4097642682;
OC1CCC1,17787,62:06200:0:Z2043830058;62:06200:0:Z4348351281;62:06200:0:Z3586852168;
Cc1ccn(C)n1,12712,62:06200:0:Z2972017356;62:06200:0:Z4138825498;62:06200:0:Z1103365373;
C1CCC2(CC1)OCCO2,3642,62:06200:0:Z3680440874;62:06200:0:Z4199422278;62:06200:0:Z3351924844;
CC1CCCNC1,19339,62:06200:0:Z3616904155;62:06200:0:Z511115470;62:06200:0:Z2476617657;
CC1CNC1,9197,62:06200:0:Z2870443327;62:06200:0:Z3102706910;62:06200:0:Z4343458261;
c1cn[nH]n1,9199,62:06200:0:Z2870443327;62:06200:0:Z3806780189;62:06200:0:Z3873165539;
Cc1cnoc1,4637,62:06200:0:Z5047018964;62:06200:0:Z3594055197;62:06200:0:Z4870927073;
C1CC2CCC1N2,5465,62:06200:0:Z3796661872;62:06200:0:Z3001800606;62:06200:0:Z3501491964;
C1CCCNCC1,23089,62:06200:0:Z4291385271;62:06200:0:Z3385448997;62:06200:0:Z4154806682;
Clc1cnn2cccnc12,395,62:06200:0:Z3401865948;62:06200:0:Z4024570867;62:06200:0:Z4388309527;
c1ccc2ncncc2c1,2830,62:06200:0:Z3401865948;62:06200:0:Z4614136282;62:06200:1:Z4391382795;
Cc1csc2cncnc12,486,62:06200:0:Z3293743232;62:06200:1:Z4109335007;62:06200:3:Z3298446323;
c1ccc2c(c1)OCCO2,11364,62:06200:0:Z2897888938;62:06200:0:Z1636815424;62:06200:0:Z3522033344;
C1CC2(CCN1)CC2,3441,62:06200:0:Z2634986135;62:06200:0:Z4104758105;62:06200:0:Z3842137484;
Cc1cc(=O)n2ccsc2n1,138,62:06200:0:Z2067137423;62:06200:5:Z3314499784;62:06200:7:Z2953450099;
Cc1cn[nH]n1,2612,62:06200:0:Z1500170740;62:06200:1:Z4138358711;62:06200:2:Z4250492624;
CC1CCNC1,20769,62:06200:0:Z5049160162;62:06200:0:Z3044307993;62:06200:0:Z2884009939;
c1nn[nH]n1,30512,62:06200:0:Z5049160162;62:06200:0:Z4395347339;62:06200:0:Z4388840794;
C1CCC2(CCC2)OC1,3902,62:06200:0:Z5049160162;62:06200:0:Z4022658976;62:06200:0:Z4459405986;
FC1(F)CCCNC1,3760,62:06200:0:Z2607562373;62:06200:0:Z3612139679;62:06200:0:Z3385911385;
