fragment_smiles,occurences,example_ligands
C1CCOC1,141020,52:05200:0:Z2923516810;52:05200:0:Z3338442557;52:05200:0:Z2969692027;
FC1COc2ccccc2C1,288,52:05200:0:Z4019050844;52:05200:2:Z3135085831;52:05200:7:Z4117995347;
O=c1cc(Cl)c2ccccc2[nH]1,84,52:05200:0:Z3817290478;52:05201:3:Z4195771362;52:05203:5:Z3817182251;
CC12CC1C2,316,52:05200:0:Z3782476222;52:05200:2:Z4307983241;52:05200:3:Z2778987531;
O=C1CCNC(=O)N1,11752,52:05200:0:Z3782476222;52:05200:0:Z3885720155;52:05200:0:Z4388496791;
Cn1nccn1,2491,52:05200:0:Z3819063356;52:05200:0:Z4975769176;52:05200:0:Z4123231386;
Fc1ccccc1Cl,16198,52:05200:0:Z3819063356;52:05200:0:Z991697816;52:05200:0:Z4429133510;
Cc1ccccc1,174406,52:05200:0:Z2273447933;52:05200:0:Z4263863367;52:05200:0:Z4319598865;
C1COCCO1,8688,52:05200:0:Z2273447933;52:05200:0:Z4263863367;52:05200:0:Z3470856030;
C1CCOCC1,151068,52:05200:0:Z2701078770;52:05200:0:Z4104154864;52:05200:0:Z4065508148;
c1ncc2ccsc2n1,1279,52:05200:0:Z2701078770;52:05200:0:Z940772508;52:05200:2:Z4345044829;
FC1(F)CC1,14500,52:05200:0:Z4232362576;52:05200:0:Z2636044823;52:05200:0:Z3594624361;
c1cn[nH]c1,244005,52:05200:0:Z2992361519;52:05200:0:Z1037420436;52:05200:0:Z3672120315;
c1ccc2scnc2c1,11840,52:05200:0:Z2992361519;52:05200:0:Z209231392;52:05200:0:Z4027410913;
c1ccc2c(c1)OCCO2,11352,52:05200:0:Z1037420436;52:05200:0:Z3009137726;52:05200:0:Z1954271984;
FC1(F)CCC1,13645,52:05200:0:Z3919578746;52:05200:0:Z3663714873;52:05200:0:Z3050847944;
c1cncnc1,84935,52:05200:0:Z2610687054;52:05200:0:Z3176472143;52:05200:0:Z4576229659;
c1nnco1,25730,52:05200:0:Z2610687054;52:05200:0:Z2861656504;52:05200:0:Z3548874734;
Fc1ccc2scnc2c1,628,52:05200:0:Z3843628234;52:05200:0:Z3845139537;52:05200:1:Z1330516709;
c1cnoc1,83392,52:05200:0:Z4455758770;52:05200:0:Z1511661047;52:05200:0:Z1636853830;
FC1(F)CC12CCC2,4606,52:05200:0:Z3496037192;52:05200:0:Z2603862652;52:05200:0:Z3568455723;
Cc1cccc(O)c1C,512,52:05200:0:Z4317643394;52:05200:0:Z3671601653;52:05200:1:Z2850895941;
Cc1n[nH]c2c1NCCC2,290,52:05200:0:Z4030798112;52:05200:7:Z4166488443;52:05201:0:Z3619070245;
O=c1cc[nH]cn1,572,52:05200:0:Z4030798112;52:05200:5:Z2843788872;52:05200:5:Z4278403957;
OC1CCNC1,24500,52:05200:0:Z2485171264;52:05200:0:Z2457531400;52:05200:0:Z4031991803;
c1ccncc1,371992,52:05200:0:Z3843951211;52:05200:0:Z3610947144;52:05200:0:Z2142702689;
c1nnc[nH]1,41715,52:05200:0:Z1461221479;52:05200:0:Z2995829866;52:05200:0:Z1677873712;
CC1COCCN1,7191,52:05200:0:Z3672120315;52:05200:0:Z4020973192;52:05200:0:Z4620245942;
c1ccoc1,84986,52:05200:0:Z3672120315;52:05200:0:Z3570548567;52:05200:0:Z4155502420;
c1nc[nH]n1,46889,52:05200:0:Z4319598865;52:05200:0:Z4319598868;52:05200:0:Z3996633862;
FC1CCCCCC1,233,52:05200:0:Z3805840992;52:05201:1:Z3857142736;52:05201:1:Z3857142957;
Clc1ccccc1,176803,52:05200:0:Z3057437605;52:05200:0:Z3470856030;52:05200:0:Z2435387552;
c1ccc2c(c1)CCO2,12544,52:05200:0:Z3176472143;52:05200:0:Z4110216826;52:05200:0:Z1873014283;
FC1(F)C2CCCCC21,2731,52:05200:0:Z3610947144;52:05200:0:Z3434021505;52:05200:1:Z3471167480;
CC1Sc2ccccc2NC1=O,184,52:05200:0:Z1511661047;52:05200:8:Z1444335927;52:05201:7:Z2392894404;
C1CCNC1,320543,52:05200:0:Z3046466371;52:05200:0:Z3046485626;52:05200:0:Z3046354089;
C1CNOC1,2042,52:05200:0:Z3046466371;52:05200:0:Z3046485626;52:05200:0:Z3046354089;
c1ccsc1,126172,52:05200:0:Z1142643226;52:05200:0:Z2981341866;52:05200:0:Z4218611277;
c1ccc2[nH]cnc2c1,13279,52:05200:0:Z1142643226;52:05200:0:Z2779079938;52:05200:0:Z2764062842;
c1cnc2nn[nH]c2c1,249,52:05200:0:Z2357606981;52:05200:3:Z2357778279;52:05200:4:Z2649825466;
CC1(C)CC2(CCC2)CO1,485,52:05200:0:Z2928512001;52:05200:0:Z5045103336;52:05200:2:Z2995576894;
Oc1ccc2c(n1)CCCC2,189,52:05200:0:Z2928512001;52:05200:8:Z2803932562;52:05200:9:Z2803932621;
Cn1cccn1,142396,52:05200:0:Z3893088256;52:05200:0:Z2931832321;52:05200:0:Z2624350626;
Cc1cccnc1,22904,52:05200:0:Z2609880745;52:05200:0:Z2232602228;52:05200:0:Z4079928343;
OC1CCCCC1,18354,52:05200:0:Z3619848218;52:05200:0:Z3899325501;52:05200:0:Z4774486595;
FC1(F)C2CNCC21,420,52:05200:0:Z2981341866;52:05200:5:Z2477125189;52:05200:7:Z2630860315;
O=C1CCc2ncccc21,101,52:05200:0:Z2142702689;52:05200:6:Z2142449070;52:05201:3:Z2142740356;
Cc1ccc(C)n1C,531,52:05200:0:Z2476148441;52:05200:1:Z195276504;52:05200:4:Z2103722288;
C1CC2(CCN1)CCOCC2,950,52:05200:0:Z2102934524;52:05200:0:Z3815837043;52:05200:1:Z3815407680;
CC1CCCCC1,17372,52:05200:0:Z2916916024;52:05200:0:Z3044541676;52:05200:0:Z1908294360;
O=C1COc2ccccc2N1,3884,52:05200:0:Z2916916024;52:05200:0:Z4467216789;52:05200:0:Z3695353146;
Cn1ccc2c1CCOC2,407,52:05200:0:Z4503212522;52:05200:0:Z4507573896;52:05200:0:Z4666983771;
C1CC2CCC1C2,12981,52:05200:0:Z3049656704;52:05200:0:Z4385986816;52:05200:0:Z4960911811;
CN1CCn2cnnc2C1=O,168,52:05200:0:Z4155742990;52:05200:0:Z3364541574;52:05200:4:Z3204303384;
CC1CC2(CC2)C1,300,52:05200:0:Z3555099345;52:05200:1:Z3577407256;52:05200:4:Z3524286851;
O=C1CCCCN1,25780,52:05200:0:Z3555099345;52:05200:0:Z4993474316;52:05200:0:Z3598545922;
C1CC2(CCO1)CC2,1792,52:05200:0:Z3683823993;52:05200:0:Z4295501723;52:05200:1:Z2630910749;
C1CCCSCC1,710,52:05200:0:Z3683823993;52:05200:1:Z3683815108;52:05200:1:Z3139427475;
NC1CCCNC1,1985,52:05200:0:Z2864078354;52:05200:0:Z3810995726;52:05200:0:Z3810995615;
c1ncon1,134895,52:05200:0:Z2616464453;52:05200:0:Z1685605715;52:05200:0:Z4388186948;
Cc1cc[nH]n1,27996,52:05200:0:Z1401027520;52:05200:0:Z4055420087;52:05200:0:Z3605232328;
CC1COc2ccnn2C1,231,52:05200:0:Z5006992884;52:05200:0:Z5008687648;52:05200:6:Z5006999498;
CC1CCNC1,20768,52:05200:0:Z2000407100;52:05200:0:Z4352878110;52:05200:0:Z3044870691;
Oc1ccccc1,37346,52:05200:0:Z2312427106;52:05200:0:Z3347325520;52:05200:0:Z1633221734;
c1ccc2c(c1)CCCO2,10649,52:05200:0:Z2312427106;52:05200:0:Z2632870858;52:05200:0:Z2958251526;
c1ccc2[nH]ncc2c1,8130,52:05200:0:Z2302175342;52:05200:0:Z1313750108;52:05200:0:Z2154223528;
CC1CCCCO1,5827,52:05200:0:Z2302175342;52:05200:0:Z4139973352;52:05200:0:Z2302615601;
c1[nH]nc2c1CCC2,389,52:05200:0:Z4346086197;52:05200:0:Z3048269683;52:05200:3:Z2710077393;
c1ccc2c(c1)CCN2,15030,52:05200:0:Z4212313886;52:05200:0:Z2965277215;52:05200:0:Z2709863548;
Cc1ccnc(C)n1,2952,52:05200:0:Z4212313886;52:05200:0:Z2038231823;52:05200:0:Z2821629631;
c1[nH]nc2c1CNCC2,311,52:05200:0:Z2435387552;52:05200:6:Z4064733787;52:05200:8:Z2434754627;
Cc1ccc(Cl)cc1,3965,52:05200:0:Z3338442557;52:05200:0:Z3633822496;52:05200:0:Z98654995;
c1c[nH]cn1,71822,52:05200:0:Z3645814771;52:05200:0:Z2801494045;52:05200:0:Z2633787061;
Cc1ccc2c(c1Cl)NCCC2,27,52:05200:0:Z4132418746;52:05212:1:Z4132418921;52:05213:8:Z4662760859;
Cn1ccnc1,32117,52:05200:0:Z4132418746;52:05200:0:Z3353389450;52:05200:0:Z1084425276;
CC1CCCO1,11853,52:05200:0:Z3573559362;52:05200:0:Z4264052446;52:05200:0:Z3695353146;
c1ccc2[nH]ccc2c1,23699,52:05200:0:Z3591910543;52:05200:0:Z4540523841;52:05200:0:Z1881433785;
Cc1cscn1,36068,52:05200:0:Z317199572;52:05200:0:Z3300291297;52:05200:0:Z3102296906;
C1CC2(C1)CCC2,14363,52:05200:0:Z2633787061;52:05200:0:Z3509400403;52:05200:0:Z2825885289;
Cc1ccnn1C,9604,52:05200:0:Z3584916959;52:05200:0:Z2437870154;52:05200:0:Z4447755485;
Cc1[nH]c(=O)sc1C,813,52:05200:0:Z3584916959;52:05200:3:Z2297908220;52:05200:5:Z808907928;
C1COC2(C1)COC2,719,52:05200:0:Z2995829866;52:05200:0:Z3009942696;52:05200:1:Z2979220045;
CC1(O)CCNCC1(C)O,358,52:05200:0:Z4457483728;52:05200:1:Z4478399414;52:05200:5:Z4478396168;
Cc1ccc(C)cc1,7240,52:05200:0:Z4041094965;52:05200:0:Z4142509304;52:05200:0:Z2297753382;
Cc1cccnn1,4544,52:05200:0:Z4041094965;52:05200:0:Z1607762743;52:05200:0:Z1738270821;
c1ccc2c(c1)CCOC2,10297,52:05200:0:Z2717037437;52:05200:0:Z4267823855;52:05200:0:Z1247655924;
CN1CCCC1,10418,52:05200:0:Z3598077552;52:05200:0:Z4311663211;52:05200:0:Z4140057348;
FC1(F)CCCCCC1,987,52:05200:0:Z3598077552;52:05200:0:Z4121893393;52:05200:1:Z3602028965;
CN1CCC2NCCCC21,337,52:05200:0:Z4155975337;52:05200:0:Z4152860480;52:05200:7:Z4154934497;
FC1CCC1,11336,52:05200:0:Z3255394417;52:05200:0:Z4110216826;52:05200:0:Z3796047160;
Cn1cnnc1,22089,52:05200:0:Z3255394417;52:05200:0:Z1333154870;52:05200:0:Z1703310555;
Cc1ncno1,6593,52:05200:0:Z2973807089;52:05200:0:Z1991815949;52:05200:0:Z2919208502;
C1CCC2CNCC2C1,3019,52:05200:0:Z2973807089;52:05200:0:Z2494444383;52:05200:0:Z3608006019;
Cc1cc(C)[nH]n1,21096,52:05200:0:Z3494620280;52:05200:0:Z3860272535;52:05200:0:Z4581863202;
C1=NOC2(C1)CCNCC2,196,52:05200:0:Z3494620280;52:05200:0:Z3647660118;52:05200:5:Z3566978411;
c1ccnnc1,19122,52:05200:0:Z2624350626;52:05200:0:Z2616177212;52:05200:0:Z4468195909;
O=C1CCCN1,62876,52:05200:0:Z2624350626;52:05200:0:Z3353389450;52:05200:0:Z3815882386;
Fc1cccnc1,27667,52:05200:0:Z3819470511;52:05200:0:Z3343333378;52:05200:0:Z4418019025;
CC12CC(CO1)C2,742,52:05200:0:Z3819470511;52:05200:1:Z3562971331;52:05200:7:Z3659038112;
C1CC2CCC1N2,5498,52:05200:0:Z2959667636;52:05200:0:Z4164706193;52:05200:0:Z2921599494;
C1CNCOC1,211,52:05200:0:Z2959667636;52:05200:0:Z4164706193;52:05201:1:Z2964519522;
CC1NCCCC12CCC2,207,52:05200:0:Z3869369012;52:05201:6:Z3916569474;52:05201:9:Z3916558065;
C1CNCCOC1,13667,52:05200:0:Z3869369012;52:05200:0:Z2480247941;52:05200:0:Z4429133510;
C1CCSCC1,10888,52:05200:0:Z4825746727;52:05200:0:Z3173909166;52:05200:0:Z2215630761;
O=S1(=O)CCCN1,6224,52:05200:0:Z4825746727;52:05200:0:Z3093183847;52:05200:0:Z1478862713;
O=C1Cc2cc(F)ccc2N1,401,52:05200:0:Z3629284184;52:05200:1:Z3698172884;52:05200:3:Z4055107631;
Cn1cc[nH]c1=O,469,52:05200:0:Z3647660118;52:05200:0:Z2779811785;52:05200:2:Z4086536573;
Fc1ccccc1F,21422,52:05200:0:Z1653201782;52:05200:0:Z3992572870;52:05200:0:Z1523605306;
FC1(F)CC12CCCC2,1656,52:05200:0:Z3570548567;52:05200:0:Z4596527497;52:05200:1:Z3685014673;
Cc1cccnc1N,302,52:05200:0:Z2969692027;52:05200:1:Z2971999001;52:05200:2:Z3620177439;
Cc1cc(C)n2nccc2n1,597,52:05200:0:Z4474017074;52:05200:3:Z3060246344;52:05200:4:Z1261429672;
C1COC2COCC2N1,1326,52:05200:0:Z4474017074;52:05200:0:Z3513291603;52:05200:2:Z3041115133;
Cc1ccc(C)nc1,1539,52:05200:0:Z3608985103;52:05200:1:Z4178884943;52:05200:1:Z3658010008;
Cc1ccn[nH]1,30693,52:05200:0:Z3511264202;52:05200:0:Z2883991712;52:05200:0:Z3860272535;
C1NCC2CC12,13173,52:05200:0:Z3511264202;52:05200:0:Z2801481794;52:05200:0:Z3594940344;
Cc1ccc2c(Cl)cccc2n1,112,52:05200:0:Z3798220873;52:05200:0:Z2784147261;52:05200:8:Z3856033765;
CC1CCCCN1,14978,52:05200:0:Z3798220873;52:05200:0:Z2784147261;52:05200:0:Z3558986344;
Nc1ccn[nH]1,2373,52:05200:0:Z2907175496;52:05200:0:Z2221875597;52:05200:0:Z4200654379;
O=C1NCCCC12CCCNC2,279,52:05200:0:Z2907175496;52:05200:8:Z1765418468;52:05200:9:Z3545853348;
CC1CCC2(CCCO2)CC1,142,52:05200:0:Z3611952819;52:05200:6:Z3611954809;52:05200:6:Z3611955531;
O=C1CNCCN1,14306,52:05200:0:Z1584419369;52:05200:0:Z1524893028;52:05200:0:Z2272079292;
C1CC2CC1CN2,6219,52:05200:0:Z3103401415;52:05200:0:Z3362829423;52:05200:0:Z4186706956;
CC1CCc2oncc2C1,843,52:05200:0:Z1874182273;52:05200:0:Z4429145898;52:05200:1:Z4436153500;
c1ccc2nccnc2c1,2618,52:05200:0:Z1874182273;52:05200:1:Z4457205772;52:05200:1:Z2305248880;
C1CC2(CN1)OCCO2,1194,52:05200:0:Z1305496994;52:05200:1:Z2915196960;52:05200:2:Z3699255572;
CC1CNCC(C)N1,2184,52:05200:0:Z2625065127;52:05200:0:Z2825732408;52:05200:1:Z4292403575;
CC1CCCNCC1,912,52:05200:0:Z4886620394;52:05200:0:Z4319027811;52:05200:2:Z1949937993;
C1CC2CC1CO2,4865,52:05200:0:Z4886620394;52:05200:0:Z3545046645;52:05200:0:Z3603460616;
OC1CCCC1,13623,52:05200:0:Z2883991712;52:05200:0:Z4147327643;52:05200:0:Z1254011070;
O=S1(=O)CCC2(CC1)CNC2,348,52:05200:0:Z3057293081;52:05200:1:Z3441654904;52:05200:2:Z3078531078;
c1cnccn1,30285,52:05200:0:Z2278676509;52:05200:0:Z2775797005;52:05200:0:Z3618750762;
c1ncc2c(n1)COCC2,223,52:05200:0:Z3091028492;52:05200:1:Z4386611976;52:05200:8:Z3606289968;
C1CC2COCC2C1,1350,52:05200:0:Z3642274354;52:05200:1:Z2836152527;52:05200:2:Z3087245489;
c1cnc2c(c1)NCCC2,740,52:05200:0:Z2967986693;52:05200:0:Z2976887256;52:05200:2:Z3568128472;
CC1(O)CCNC1,454,52:05200:0:Z1334683806;52:05200:1:Z2700459594;52:05200:9:Z1569699600;
CC1CCCC(=O)N1,2349,52:05200:0:Z2359085655;52:05200:0:Z2883213640;52:05200:1:Z4399348307;
c1ncn2c1CCCC2,2825,52:05200:0:Z2779079938;52:05200:0:Z2764062842;52:05200:0:Z2841444384;
c1ccc2cnccc2c1,9601,52:05200:0:Z2921871108;52:05200:0:Z4004181504;52:05200:0:Z2707320134;
Cc1ccncc1,14938,52:05200:0:Z2103736227;52:05200:0:Z4359732951;52:05200:0:Z2277251442;
c1cocn1,51691,52:05200:0:Z3343333378;52:05200:0:Z2436548540;52:05200:0:Z3579172231;
Clc1ccncc1,2950,52:05200:0:Z4155502420;52:05200:0:Z2638092821;52:05200:0:Z758254586;
Cc1cccs1,14869,52:05200:0:Z1065903186;52:05200:0:Z2793558097;52:05200:0:Z3320974536;
c1ccn2ccnc2c1,8856,52:05200:0:Z1065903186;52:05200:0:Z2829883599;52:05200:0:Z2971954808;
Clc1cn2ccnc2cn1,91,52:05200:0:Z4266783680;52:05200:5:Z5048919148;52:05201:3:Z4362642328;
O=S1(=O)CC2(CNC2)C1,338,52:05200:0:Z4266783680;52:05200:1:Z2911925784;52:05201:2:Z4507475729;
OC1COc2ccnn2C1,171,52:05200:0:Z4310360446;52:05200:0:Z4309922390;52:05200:3:Z4311138708;
CC1(C)CCCS1(=O)=O,806,52:05200:0:Z3692987076;52:05200:1:Z3692984605;52:05200:1:Z3383718203;
c1ccc2c(c1)CCC2,19626,52:05200:0:Z3509400403;52:05200:0:Z3570029679;52:05200:0:Z3143033247;
CN1CCC2NCCCC2C1,291,52:05200:0:Z3801248365;52:05200:0:Z3523388748;52:05200:0:Z2446522968;
CN1CCNCC1=O,3107,52:05200:0:Z4591066186;52:05200:0:Z3095218339;52:05200:0:Z3899362310;
O=S1(=O)CCN2CCNCC2C1,209,52:05200:0:Z2601105329;52:05200:1:Z2640835497;52:05200:3:Z3552064531;
Cc1cccc(C)c1F,1014,52:05200:0:Z1391300571;52:05200:0:Z2148294783;52:05200:0:Z3645763746;
O=c1cc[nH]c(=O)[nH]1,2703,52:05200:0:Z1391300571;52:05200:0:Z3205873544;52:05200:0:Z4487789042;
C1CSCN1,6834,52:05200:0:Z4667216343;52:05200:0:Z4336785759;52:05200:0:Z3839173726;
O=c1[nH]nco1,999,52:05200:0:Z4667216343;52:05200:0:Z3831036024;52:05200:1:Z4667429025;
Cn1ccnn1,14053,52:05200:0:Z3051593356;52:05200:0:Z3815882386;52:05200:0:Z3089309830;
Cc1ccc(F)cc1F,1518,52:05200:0:Z4346130498;52:05200:0:Z3644406859;52:05200:0:Z1339111664;
O=S1(=O)CCC1,4219,52:05200:0:Z4346130498;52:05200:0:Z3408489101;52:05200:0:Z3628015811;
c1cc2ccncc2cn1,704,52:05200:0:Z4420349459;52:05200:0:Z4471942356;52:05200:2:Z4388179658;
c1ccc2c(c1)OCO2,11926,52:05200:0:Z4418019025;52:05200:0:Z1569430754;52:05200:0:Z4415866174;
FC1(F)CCCCC1,10233,52:05200:0:Z3542250296;52:05200:0:Z2496717574;52:05200:0:Z3475678231;
C1CCC2(CC1)CCCO2,1499,52:05200:0:Z4270701314;52:05200:0:Z2604205186;52:05200:0:Z2604209661;
CC1(C)CC=NO1,743,52:05200:0:Z4465166829;52:05200:0:Z3713847887;52:05200:2:Z3659923559;
Nc1cnsc1,229,52:05200:0:Z4465166829;52:05200:1:Z4135690564;52:05200:2:Z4135718952;
Clc1cccnc1,21157,52:05200:0:Z1250496476;52:05200:0:Z3710814817;52:05200:0:Z2435995401;
FC1CCCNC1,3688,52:05200:0:Z4344007044;52:05200:1:Z3554570470;52:05200:1:Z4600606379;
Cc1cccc(Cl)c1,6327,52:05200:0:Z4185062919;52:05200:0:Z3588757645;52:05200:0:Z1217505399;
Nc1nnn[nH]1,114,52:05200:0:Z4185062919;52:05200:5:Z4109204512;52:05200:9:Z2801525564;
Cc1cocn1,7928,52:05200:0:Z4576868435;52:05200:0:Z4961800853;52:05200:0:Z2640215894;
Oc1ccccn1,4307,52:05200:0:Z4267165022;52:05200:0:Z2171823198;52:05200:0:Z4353019628;
c1ncc2c(n1)CC1CCC2N1,472,52:05200:0:Z3474462703;52:05200:0:Z4100486359;52:05200:3:Z2961125331;
CC1CNCCS1=O,596,52:05200:0:Z2090820937;52:05200:0:Z3094163991;52:05200:2:Z1247170753;
C1CC2(C1)COCCO2,739,52:05200:0:Z5062942396;52:05200:0:Z5062953159;52:05200:0:Z5063187229;
Nc1c[nH]c(=O)[nH]c1=O,89,52:05200:0:Z1313750108;52:05202:4:Z1315730020;52:05203:0:Z1453421533;
c1nncs1,31323,52:05200:0:Z1510041176;52:05200:0:Z3175475067;52:05200:0:Z3856736783;
C1CC2CNCC(C1)O2,378,52:05200:0:Z3175475067;52:05200:2:Z4132132259;52:05200:4:Z3578599034;
CC1CCCC1,8322,52:05200:0:Z3175578659;52:05200:0:Z2697416783;52:05200:0:Z1958737850;
C1CN2CCC(C2)N1,353,52:05200:0:Z3175578659;52:05200:0:Z2640788934;52:05200:3:Z2727724808;
C1COC2(C1)CNC2,1700,52:05200:0:Z4576334860;52:05200:0:Z4022119561;52:05200:0:Z3593385089;
Cc1ccoc1,7236,52:05200:0:Z2861656504;52:05200:0:Z2783844785;52:05200:0:Z1447098547;
Clc1ccc2c(c1Cl)OCC2,156,52:05200:0:Z1952304030;52:05202:7:Z3790947516;52:05203:0:Z1440209154;
O=C1CCC2CCCCN12,874,52:05200:0:Z4412766309;52:05200:0:Z3199550745;52:05200:0:Z3356513217;
FC1(F)CC2(CCNC2)C1,392,52:05200:0:Z4412766309;52:05200:0:Z4614539962;52:05200:6:Z4352897442;
C1CC2CC2CO1,2289,52:05200:0:Z4139189073;52:05200:1:Z4143899505;52:05200:1:Z4051585190;
CC1CNCC(C)(C)C1,243,52:05200:0:Z4139189073;52:05200:6:Z1654129892;52:05200:8:Z2206949335;
C1CCCNCC1,23356,52:05200:0:Z1569430754;52:05200:0:Z4309926724;52:05200:0:Z3519770600;
Cc1cccc(C)c1O,789,52:05200:0:Z1747123860;52:05200:0:Z3775785664;52:05200:3:Z3795986532;
CC1(C)CCCCC1,3835,52:05200:0:Z4492253599;52:05200:0:Z3815257188;52:05200:0:Z3384425434;
C1CC2CC2C1,10121,52:05200:0:Z4079928343;52:05200:0:Z5008907537;52:05200:0:Z4093907559;
O=C1NCCCNCC1(F)F,333,52:05200:0:Z3141865048;52:05200:4:Z3091592406;52:05200:6:Z3187333321;
C1CCC2NCCC2C1,2894,52:05200:0:Z3141865048;52:05200:0:Z3294131154;52:05200:0:Z3829705456;
CC1CCS(=O)(=O)CC1,632,52:05200:0:Z3715200857;52:05200:2:Z4230958199;52:05200:4:Z3504234558;
CC12CCC(CC1)C2(C)C,222,52:05200:0:Z3715200857;52:05200:3:Z1188146913;52:05201:2:Z3654279811;
c1ncc2c3c(sc2n1)CCCCC3,36,52:05200:0:Z1185870043;52:05200:3:Z1743832357;52:05205:1:Z1024521738;
CN1CCc2ccsc2C1,259,52:05200:0:Z4959517836;52:05200:2:Z4121809878;52:05200:5:Z4124451099;
Cc1ccc2sncc2c1,230,52:05200:0:Z2712946531;52:05200:0:Z3007811110;52:05200:1:Z4995766551;
Cc1ccnnc1C,914,52:05200:0:Z2712946531;52:05200:0:Z3669951552;52:05200:1:Z3340838570;
C1CC2(C1)CNCCO2,2501,52:05200:0:Z4447534909;52:05200:0:Z3775785664;52:05200:0:Z3778931720;
c1nn[nH]n1,30382,52:05200:0:Z4380248506;52:05200:0:Z2454441211;52:05200:0:Z4509108339;
NC12CCOCC1CNC2,209,52:05200:0:Z4448800775;52:05200:4:Z4448802982;52:05202:3:Z4448812864;
c1ccc2occc2c1,12776,52:05200:0:Z4484187226;52:05200:0:Z4039455649;52:05200:0:Z2142834691;
c1ccc2c(c1)CC2,1923,52:05200:0:Z1135170490;52:05200:1:Z1905718233;52:05200:2:Z1902036027;
c1cn2c(n1)COCC2,1952,52:05200:0:Z3179692183;52:05200:0:Z4264069490;52:05200:2:Z2969666637;
C1CC2(CC2)CN1,5341,52:05200:0:Z5060710181;52:05200:0:Z3865933966;52:05200:0:Z3382310954;
C1CCC2(CCC2)NC1,2441,52:05200:0:Z4577070932;52:05200:0:Z3206890571;52:05200:0:Z3999475402;
CC1OCCO1,3171,52:05200:0:Z4317143775;52:05200:0:Z4317143082;52:05200:0:Z4317143777;
CC1CCNC(=O)C1,1458,52:05200:0:Z3011559097;52:05200:1:Z3658010008;52:05200:2:Z2968739464;
O=c1cccc[nH]1,21618,52:05200:0:Z2497877388;52:05200:0:Z2168904703;52:05200:0:Z3629755565;
C1CC2CC(C1)CC1(C2)OCCO1,47,52:05200:0:Z4207030121;52:05201:5:Z4218298816;52:05201:5:Z4230529472;
Cc1ncc2ccccn12,920,52:05200:0:Z3408489101;52:05200:0:Z3805003028;52:05200:1:Z1530119809;
