fragment_smiles,occurences,example_ligands
O=C1CNCCN1,16478,93:09300:0:Z4115787563;93:09300:0:Z4239726013;93:09300:0:Z4223865888;
O=C1CCCCCN1,4583,93:09300:0:Z1631921103;93:09300:0:Z2386017507;93:09300:0:Z1116492121;
Cc1nc[nH]c1C,3152,93:09300:0:Z4394285508;93:09300:0:Z3586984903;93:09300:1:Z4467100091;
C1COCC2(CC2)CN1,355,93:09300:0:Z1672889071;93:09300:1:Z1643314221;93:09301:1:Z4487653067;
Oc1ccccc1,40870,93:09300:0:Z5000816323;93:09300:0:Z2161632988;93:09300:0:Z2161445725;
FC1CCCC1,4141,93:09300:0:Z3807551687;93:09300:0:Z3807570478;93:09300:0:Z3838606723;
c1cnc2c(c1)CCN2,1415,93:09300:0:Z1542217004;93:09300:1:Z4059154523;93:09300:1:Z4127103693;
Cc1ccc(C)[nH]1,7636,93:09300:0:Z3343135844;93:09300:0:Z3588375572;93:09300:0:Z2148351017;
Cc1ccc(C)o1,2575,93:09300:0:Z1208599113;93:09300:1:Z3621112831;93:09300:1:Z4246103395;
CC1CNC2CCCCC2O1,173,93:09300:0:Z1208599113;93:09304:2:Z3513001833;93:09305:0:Z1207287514;
c1nnn2c1COC1CNCC12,236,93:09300:0:Z4599441289;93:09300:3:Z4879262337;93:09301:5:Z4451474640;
c1ccn2cnnc2c1,6471,93:09300:0:Z2000230855;93:09300:0:Z2299172993;93:09300:0:Z1417041339;
CC1=CCCC1,143,93:09300:0:Z3060386065;93:09300:3:Z2647795973;93:09300:9:Z4095105562;
Cc1cccnc1,21787,93:09300:0:Z1974849159;93:09300:0:Z3844190393;93:09300:0:Z2180842976;
O=C1NCCn2cnnc21,288,93:09300:0:Z2853469787;93:09300:0:Z3475015218;93:09301:2:Z2870769381;
CC1CCC(=O)NC1,790,93:09300:0:Z2457968852;93:09300:1:Z3105468961;93:09300:2:Z2087183865;
Fc1cccc2[nH]ccc12,938,93:09300:0:Z4077077318;93:09300:0:Z296044468;93:09300:5:Z1537454947;
c1ccc2c(c1)CNCCO2,3364,93:09300:0:Z2963775689;93:09300:0:Z4575016168;93:09300:0:Z4066024656;
Cn1ccnn1,12341,93:09300:0:Z4469246206;93:09300:0:Z2998626335;93:09300:0:Z3049705873;
C1CCCNCC1,25795,93:09300:0:Z4117380554;93:09300:0:Z5006908995;93:09300:0:Z1768928739;
c1cc[nH]c1,27524,93:09300:0:Z4117380554;93:09300:0:Z1286345746;93:09300:0:Z2208593945;
Cc1cnnn1C,824,93:09300:0:Z1259533722;93:09300:2:Z2361778708;93:09300:3:Z3653408638;
c1ccc2scnc2c1,12948,93:09300:0:Z1259533722;93:09300:0:Z648362278;93:09300:0:Z3501255357;
Cc1ncon1,12410,93:09300:0:Z3322651681;93:09300:0:Z1373839823;93:09300:0:Z2094903625;
c1n[nH]c2c1CCC2,2575,93:09300:0:Z2998626335;93:09300:0:Z5045193441;93:09300:0:Z2699844278;
Cc1ccon1,12017,93:09300:0:Z3924746147;93:09300:0:Z3054063112;93:09300:0:Z2869650851;
C1CCCC1,133634,93:09300:0:Z3924746147;93:09300:0:Z4200745665;93:09300:0:Z4615323016;
Cc1ccncc1,14220,93:09300:0:Z2956187741;93:09300:0:Z3887969868;93:09300:0:Z1736568970;
OC1CCNC12CCSC2,261,93:09300:0:Z2956187741;93:09300:1:Z2647814875;93:09300:8:Z4246297362;
Cc1ccsc1,8289,93:09300:0:Z3713727233;93:09300:0:Z1778592914;93:09300:0:Z3723604153;
Cc1ccccc1C,15600,93:09300:0:Z4215934349;93:09300:0:Z1265207826;93:09300:0:Z2436922127;
Cc1cccc(Cl)c1,5618,93:09300:0:Z1430023359;93:09300:0:Z1433791445;93:09300:0:Z2293385651;
CN1CCCC1=O,9605,93:09300:0:Z4615323016;93:09300:0:Z3804808216;93:09300:0:Z4008014480;
Fc1cccnc1,26998,93:09300:0:Z3712010693;93:09300:0:Z4364133671;93:09300:0:Z3773912511;
FC1(F)CCC1,12620,93:09300:0:Z3712010693;93:09300:0:Z4156754107;93:09300:0:Z2288357401;
C1CC2(CCO1)CCOC2,1735,93:09300:0:Z4019245906;93:09300:0:Z3795049909;93:09300:0:Z2779579553;
OC1CC2CCC1C2,1762,93:09300:0:Z4608793421;93:09300:0:Z3907100773;93:09300:1:Z4270878231;
CC1(C)CNCCN1,4001,93:09300:0:Z4083113984;93:09300:0:Z3208946284;93:09300:0:Z1772375207;
Nc1ccncn1,3014,93:09300:0:Z2203543503;93:09300:0:Z2117231876;93:09300:0:Z2640908045;
c1ccc2sccc2c1,7666,93:09300:0:Z840849528;93:09300:0:Z2606176583;93:09300:0:Z3368540403;
FC1(F)CC1,13391,93:09300:0:Z3602319600;93:09300:0:Z2801650871;93:09300:0:Z3524535705;
CC1(C)CCNCC1,1709,93:09300:0:Z5065839311;93:09300:0:Z3099796529;93:09300:0:Z3055245442;
c1ccc2c(c1)COC2,4243,93:09300:0:Z5065839311;93:09300:0:Z3049739903;93:09300:0:Z1368891048;
CC12CCC(C1)OC2,677,93:09300:0:Z4577088262;93:09300:1:Z4278212403;93:09300:2:Z3997276037;
CC1CCCO1,8734,93:09300:0:Z4863521977;93:09300:0:Z3521025843;93:09300:0:Z2233789689;
Cn1ncc2c1CC(C)(C)CNC2,300,93:09300:0:Z4591225206;93:09300:6:Z3574678123;93:09300:8:Z2630416619;
Cc1cccc2cccnc12,865,93:09300:0:Z4351581773;93:09300:4:Z4350885080;93:09300:5:Z2790355697;
C1COCC2(C1)CCC2,1950,93:09300:0:Z4351581773;93:09300:0:Z2862405515;93:09300:1:Z4350182443;
c1cc2n(n1)CCCO2,1436,93:09300:0:Z3622724772;93:09300:0:Z3622614748;93:09300:0:Z2358433689;
c1ccc2[nH]ccc2c1,31299,93:09300:0:Z4044050183;93:09300:0:Z3543259820;93:09300:0:Z3612069203;
CC1CCNCC1,19926,93:09300:0:Z3052960234;93:09300:0:Z2704755384;93:09300:0:Z1584912768;
CC1CNCCO1,15553,93:09300:0:Z4455845281;93:09300:0:Z4030073360;93:09300:0:Z4216744649;
Clc1ccncc1,2321,93:09300:0:Z4455845281;93:09300:0:Z4876409050;93:09300:0:Z3345096654;
c1cc2n(n1)CCCC2,6664,93:09300:0:Z3507021294;93:09300:0:Z4269213444;93:09300:0:Z2904831072;
C1CC2CCC1CO2,2015,93:09300:0:Z4406442170;93:09300:0:Z3637622625;93:09300:0:Z4406126463;
CC1COCC(C)(C)N1,20,93:09300:0:Z4274256419;93:09317:8:Z4274245915;93:09319:0:Z4274249757;
Cc1cnco1,9743,93:09300:0:Z3614862407;93:09300:0:Z3543259820;93:09300:0:Z4169624447;
C1CC2OCCNC2CN1,645,93:09300:0:Z4233010547;93:09300:0:Z3603694408;93:09300:0:Z3321936121;
C1CCC2(C1)CCCO2,1848,93:09300:0:Z4276161918;93:09300:0:Z4019429228;93:09300:0:Z2877001660;
OC1CNC1,8277,93:09300:0:Z4603154706;93:09300:0:Z4402814806;93:09300:0:Z4270830200;
CN1CCCCC1,21521,93:09300:0:Z1278549021;93:09300:0:Z3361096378;93:09300:0:Z3787988746;
C1NCC2COCC1C2,142,93:09300:0:Z3323157413;93:09300:8:Z3359133673;93:09301:6:Z3385818398;
c1ccn2cncc2c1,2536,93:09300:0:Z2032644002;93:09300:0:Z2852385172;93:09300:0:Z2892622477;
Clc1cnc2[nH]ccc2c1,82,93:09300:0:Z3620528587;93:09302:6:Z3833256247;93:09303:2:Z3008593639;
c1cnc2ncncc2c1,242,93:09300:0:Z1502700444;93:09300:4:Z2861466806;93:09300:9:Z3830708260;
Cc1ccnnc1,1302,93:09300:0:Z4886706445;93:09300:0:Z1738371506;93:09300:0:Z4651559578;
CC1(C)CCC(=O)N1,1175,93:09300:0:Z4886706445;93:09300:0:Z3610937065;93:09300:1:Z3341172237;
CC1CCc2ncsc2C1,862,93:09300:0:Z3058771898;93:09300:0:Z1561662534;93:09300:0:Z4022913421;
CC1COc2ccnn2C1,208,93:09300:0:Z5006994071;93:09301:5:Z5014819685;93:09301:9:Z5006991390;
Cn1cc(Cl)cn1,4199,93:09300:0:Z3051636124;93:09300:0:Z2639762023;93:09300:1:Z3613054125;
c1cnc2ccnn2c1,3832,93:09300:0:Z3054063112;93:09300:0:Z4298059834;93:09300:0:Z3695217216;
FC1CCC1,9188,93:09300:0:Z3198683950;93:09300:0:Z4259428137;93:09300:0:Z4259427838;
c1nnc2n1CCNC2,5274,93:09300:0:Z3198683950;93:09300:0:Z2772726518;93:09300:0:Z2072068278;
Cc1cc2ccccc2[nH]c1=O,298,93:09300:0:Z2957395488;93:09300:8:Z4049386433;93:09300:8:Z4225600097;
c1cc2c(s1)CCSC2,730,93:09300:0:Z2615248818;93:09300:0:Z2917406712;93:09300:0:Z3871509850;
c1cocn1,50781,93:09300:0:Z4122668182;93:09300:0:Z4295462348;93:09300:0:Z4289103019;
C1CCC2CNCC2C1,3235,93:09300:0:Z4122668182;93:09300:0:Z2500311079;93:09300:0:Z2494442923;
Cc1ccn(C)n1,13510,93:09300:0:Z3637953902;93:09300:0:Z3787988746;93:09300:0:Z4093013885;
c1ccc2c(c1)CCCCCNC2,94,93:09300:0:Z3637953902;93:09300:3:Z3443195472;93:09300:9:Z4295310405;
Cc1ccnc(C)c1,3281,93:09300:0:Z4054936199;93:09300:0:Z4614403689;93:09300:0:Z3529918047;
C1CC2CNCC1N2,859,93:09300:0:Z4054936199;93:09300:0:Z3952394634;93:09300:0:Z3952415487;
CC1COC2(CCCC2)CN1,246,93:09300:0:Z2646936713;93:09300:2:Z2646933335;93:09301:1:Z2619564644;
CC1CCCCN1,15331,93:09300:0:Z3870738164;93:09300:0:Z4134399319;93:09300:0:Z4185541397;
C1CC2CCC1O2,5383,93:09300:0:Z2285804620;93:09300:0:Z4083924828;93:09300:0:Z3644334894;
Cc1cc(C)n(C)n1,8376,93:09300:0:Z2801650871;93:09300:0:Z3552933340;93:09300:0:Z1580527008;
Cc1cnn[nH]1,7829,93:09300:0:Z2075581072;93:09300:0:Z2588519732;93:09300:0:Z2233789689;
CC1CCNCCS1=O,283,93:09300:0:Z2075581072;93:09300:4:Z4212546858;93:09301:3:Z2612827457;
Cc1nccs1,14036,93:09300:0:Z3195065485;93:09300:0:Z2217633995;93:09300:0:Z1580527008;
FC1CNCC12CCC2,746,93:09300:0:Z3817456752;93:09300:1:Z3435225084;93:09300:1:Z3351869214;
c1cc2cc[nH]c2cn1,1038,93:09300:0:Z3817456752;93:09300:1:Z2223869592;93:09300:2:Z4141414776;
c1nc2c(s1)CCCC2,4050,93:09300:0:Z1433213540;93:09300:0:Z2928007640;93:09300:0:Z2102994717;
O=c1cccc[nH]1,25280,93:09300:0:Z1433213540;93:09300:0:Z4396309996;93:09300:0:Z4279146278;
Cn1ccc2ccccc2c1=O,1250,93:09300:0:Z1864699356;93:09300:1:Z2069488416;93:09300:2:Z1865348819;
c1cnc2ncncc2n1,31,93:09300:0:Z1502704067;93:09301:4:Z1502712614;93:09303:4:Z1502719585;
OC1COC1,1901,93:09300:0:Z4122111612;93:09300:0:Z4598209545;93:09300:0:Z4598197404;
C1=NOCC1,9035,93:09300:0:Z4122111612;93:09300:0:Z2475896175;93:09300:0:Z3845599048;
c1ccc2ncccc2c1,23466,93:09300:0:Z4572130685;93:09300:0:Z4590679417;93:09300:0:Z4572144746;
C1CNCC2(C1)CCOCC2,1473,93:09300:0:Z2927410352;93:09300:0:Z2927401670;93:09300:0:Z3512585591;
Fc1cccc2ccoc12,982,93:09300:0:Z4269509687;93:09300:1:Z3056097211;93:09300:3:Z2500007711;
Cc1ccno1,14364,93:09300:0:Z2312109773;93:09300:0:Z2214614680;93:09300:0:Z3840932710;
CC1(C)CNc2ccccc2C1,126,93:09300:0:Z4127865827;93:09301:1:Z2228895871;93:09301:1:Z3889996065;
C1CC2CCNC2C1,3204,93:09300:0:Z3408769342;93:09300:0:Z1745767200;93:09300:0:Z3190791872;
FC12CCC(CC1)CC2,194,93:09300:0:Z2960049386;93:09300:0:Z2295778398;93:09300:0:Z2180188141;
Clc1cccc2ncccc12,918,93:09300:0:Z1286345746;93:09300:0:Z4388919273;93:09300:1:Z3911148117;
Fc1cccc(Cl)c1,17028,93:09300:0:Z4598133287;93:09300:0:Z3338945266;93:09300:0:Z2351583751;
Clc1ccc2nccn2c1,1090,93:09300:0:Z729512272;93:09300:0:Z2186811296;93:09300:1:Z1587973954;
C1CC2CC2N1,1599,93:09300:0:Z3699075145;93:09300:0:Z2766855695;93:09300:0:Z4082393588;
O=S1(=O)CCCc2ccccc21,1204,93:09300:0:Z2043386318;93:09300:1:Z2923851123;93:09300:5:Z3696741977;
C1COCC2(C1)CNC2,473,93:09300:0:Z4964510039;93:09300:0:Z4964471540;93:09300:0:Z4964499690;
C1CNC2(C1)CCC2,4254,93:09300:0:Z3132958433;93:09300:0:Z1885484434;93:09300:0:Z4004188457;
Fc1cncc(F)c1,1578,93:09300:0:Z4188373108;93:09300:0:Z4574931445;93:09300:1:Z4115527465;
Clc1ccccc1Cl,12894,93:09300:0:Z25525662;93:09300:0:Z2386800971;93:09300:0:Z1904133227;
FC1(F)C2COCC21,262,93:09300:0:Z3667183006;93:09300:1:Z4152748751;93:09300:1:Z3646331470;
Cc1cc(C)on1,9418,93:09300:0:Z19857127;93:09300:0:Z1514581669;93:09300:0:Z2973203178;
Cc1cc(C)c2ccccc2n1,393,93:09300:0:Z19857127;93:09300:0:Z4227980902;93:09300:7:Z2018116026;
CC1CCCN1,19015,93:09300:0:Z2401087384;93:09300:0:Z3049237563;93:09300:0:Z3051917045;
Cc1cccc(C)c1,27388,93:09300:0:Z3408095233;93:09300:0:Z1155937324;93:09300:0:Z1438799739;
FC1CC2CC12,195,93:09300:0:Z3408095233;93:09300:2:Z3503801711;93:09300:7:Z3444027823;
Clc1ccc(Cl)cc1,3703,93:09300:0:Z3679676492;93:09300:0:Z1899638689;93:09300:0:Z1967127861;
CC1CNCCCO1,1137,93:09300:0:Z3169408100;93:09300:0:Z3840346954;93:09300:0:Z3899230908;
Cc1cc(C)[nH]n1,27541,93:09300:0:Z2898196993;93:09300:0:Z3389220529;93:09300:0:Z2954907034;
c1cnsc1,9437,93:09300:0:Z3293983028;93:09300:0:Z3820844274;93:09300:0:Z3641493156;
Cn1cnnc1,26525,93:09300:0:Z3095115496;93:09300:0:Z2008029887;93:09300:0:Z4471127451;
c1ccc2c(c1)CCCN2,14713,93:09300:0:Z3045923408;93:09300:0:Z4483414694;93:09300:0:Z3136597370;
c1nc2c(s1)CCC2,2302,93:09300:0:Z3627118605;93:09300:0:Z3833635102;93:09300:0:Z2917601628;
C1CCc2[nH]nnc2C1,1807,93:09300:0:Z4089421509;93:09300:0:Z2635198331;93:09300:0:Z4051525881;
CC1CCNC1,20804,93:09300:0:Z3358660863;93:09300:0:Z2969475325;93:09300:0:Z4322666741;
CC1Cc2ccccc2O1,4272,93:09300:0:Z3712313861;93:09300:0:Z3672155119;93:09300:0:Z3633718984;
CC1(C)CC2(CCC2)C1,526,93:09300:0:Z4576800043;93:09300:0:Z3570016249;93:09300:0:Z4143015347;
c1cc2n(n1)CCCNC2,1182,93:09300:0:Z4576800043;93:09300:0:Z3521654434;93:09300:2:Z3516657785;
CC1COC(C)(C)OC1,279,93:09300:0:Z4907238734;93:09300:1:Z4909659225;93:09300:1:Z4909650405;
C1NCC2COCC12,1741,93:09300:0:Z2704755384;93:09300:0:Z2719303283;93:09300:2:Z3671156569;
C1C2CC1C2,2723,93:09300:0:Z2850811647;93:09300:0:Z2708232816;93:09300:0:Z2228964735;
Cn1nnc2ccccc21,2616,93:09300:0:Z3868252973;93:09300:0:Z3008365098;93:09300:0:Z2454349496;
CC1(C)CC2(CNCCO2)CO1,368,93:09300:0:Z3385908128;93:09300:2:Z3621481036;93:09300:3:Z3597629635;
O=C1CNCC2(CC2)N1,298,93:09300:0:Z3612069203;93:09300:3:Z3592386366;93:09300:8:Z3443237079;
Cc1csc2ccccc12,631,93:09300:0:Z1584912768;93:09300:3:Z1919915720;93:09300:4:Z1934719699;
c1ccc2[nH]ncc2c1,9330,93:09300:0:Z2298253080;93:09300:0:Z4614215784;93:09300:0:Z3630437438;
Fc1cccn2cncc12,157,93:09300:0:Z2916061106;93:09300:0:Z2703909422;93:09300:1:Z4573502799;
Oc1ccc2c(c1)CCCC2,982,93:09300:0:Z4060037393;93:09300:3:Z1898149103;93:09300:5:Z2233410299;
c1cc2c(o1)CCCNC2,466,93:09300:0:Z4060037393;93:09300:4:Z4422273248;93:09300:6:Z3795528318;
Cc1ccc(C)s1,3001,93:09300:0:Z2966870676;93:09300:0:Z1260076353;93:09300:1:Z2869932420;
Cc1cccs1,12924,93:09300:0:Z1720828683;93:09300:0:Z1732622892;93:09300:0:Z1207757835;
Clc1cccc(Cl)c1,18934,93:09300:0:Z1720828683;93:09300:0:Z2879050340;93:09300:0:Z3100191827;
