fragment_smiles,occurences,example_ligands
c1cc2n(n1)CCCC2,6283,201:20100:0:Z3621055811;201:20100:0:Z4078512621;201:20100:0:Z4322910881;
C1CC2CCC2N1,2285,201:20100:0:Z3054914900;201:20100:0:Z2969474417;201:20100:0:Z3804502376;
CC1CC(F)(F)C1,511,201:20100:0:Z2854522788;201:20100:1:Z3725861227;201:20100:2:Z2794844857;
CC1CCOC(C)C1,266,201:20100:0:Z3842222717;201:20100:0:Z2771809893;201:20100:0:Z4666341517;
NC1CCCCC1,2734,201:20100:0:Z2397003082;201:20100:0:Z4387948971;201:20100:0:Z3792090004;
Clc1cccn2cnnc12,333,201:20100:0:Z2397003082;201:20100:0:Z1438294576;201:20100:0:Z1244132556;
c1cnc2[nH]ncc2c1,4247,201:20100:0:Z1680027256;201:20100:0:Z2231819133;201:20100:0:Z1603609666;
c1cncnc1,92518,201:20100:0:Z1680027256;201:20100:0:Z4472423635;201:20100:0:Z4199376951;
CC1(C)OC2CCC1C2,119,201:20100:0:Z5045288864;201:20100:0:Z5043249528;201:20100:1:Z5043605045;
Cn1ccnc1,45444,201:20100:0:Z1479284884;201:20100:0:Z4220285800;201:20100:0:Z1261139446;
Cc1cn[nH]c1,15681,201:20100:0:Z1185751382;201:20100:0:Z4472423635;201:20100:0:Z1467442176;
OC1CCOC1,3755,201:20100:0:Z4200833958;201:20100:0:Z4770734515;201:20100:0:Z4477953880;
O=c1occc2ccccc12,742,201:20100:0:Z4200833958;201:20100:0:Z1966967474;201:20100:1:Z3899308412;
CC1(C)CNC1,4422,201:20100:0:Z2771397099;201:20100:0:Z4326941222;201:20100:0:Z2616875613;
O=C1NCCN1,12368,201:20100:0:Z2771397099;201:20100:0:Z4012005332;201:20100:0:Z4246752136;
C1CC2(CCO1)CCOC2,1796,201:20100:0:Z3862286131;201:20100:0:Z4149753838;201:20100:1:Z2802656402;
Cc1cc(C)n2ncnc2n1,1963,201:20100:0:Z599758678;201:20100:0:Z1303156955;201:20100:1:Z751450956;
O=C1CCCc2ccccc2N1,2514,201:20100:0:Z4021311769;201:20100:0:Z3780632426;201:20100:0:Z737944180;
C1CCC2(CC1)OCCO2,4438,201:20100:0:Z4471237534;201:20100:0:Z1874195466;201:20100:0:Z1316800913;
C1CC2CNCC2C1,5111,201:20100:0:Z3366036087;201:20100:0:Z2965752785;201:20100:1:Z4410546672;
CC1Cc2ccc(F)cc2CN1,159,201:20100:0:Z1244096941;201:20100:2:Z4153768441;201:20100:3:Z3599131118;
CC1CNCCO1,15322,201:20100:0:Z5007302411;201:20100:0:Z2676442590;201:20100:0:Z2790319053;
Cc1ccon1,11294,201:20100:0:Z1651584665;201:20100:0:Z3725318642;201:20100:0:Z1306202482;
c1ccc2c(c1)CC2,1427,201:20100:0:Z2719059347;201:20100:0:Z2780454215;201:20100:1:Z1906369369;
Cc1cc(Cl)[nH]n1,3337,201:20100:0:Z1264589828;201:20100:0:Z2654662357;201:20100:0:Z2454456561;
FC1(F)CCC1,11026,201:20100:0:Z3830956797;201:20100:0:Z3627243630;201:20100:0:Z3804823298;
c1cnc2ccnn2c1,4832,201:20100:0:Z3472725524;201:20100:0:Z3651976676;201:20100:1:Z3048079286;
C1CCCNCC1,30255,201:20100:0:Z1241552441;201:20100:0:Z3195826067;201:20100:0:Z3725318642;
Cn1cnc2ccccc21,7080,201:20100:0:Z910019482;201:20100:0:Z2676442590;201:20100:0:Z5023878010;
Cc1ccc(C)nc1,745,201:20100:0:Z3895585533;201:20100:1:Z1560636998;201:20100:7:Z2476060633;
c1cc2c(s1)CCCC2,2151,201:20100:0:Z2072387117;201:20100:0:Z1265500927;201:20100:0:Z1919647478;
CC1COC2(CCNCC2)O1,377,201:20100:0:Z1581335729;201:20101:5:Z4557221197;201:20101:5:Z1241390699;
Clc1cccc(Cl)c1,17017,201:20100:0:Z1581335729;201:20100:0:Z1542724674;201:20100:0:Z4147801994;
c1cc2c(cn1)CCC2,1046,201:20100:0:Z2952064673;201:20100:0:Z4474187615;201:20100:1:Z2215251148;
Fc1cccc(Cl)c1,16800,201:20100:0:Z1160632295;201:20100:0:Z1303536006;201:20100:0:Z2703276420;
Cn1c(=O)cnc2ccccc21,134,201:20100:0:Z2632808216;201:20100:0:Z2640662392;201:20103:9:Z3609521326;
C1CC2CCC(C1)N2,10793,201:20100:0:Z2632808216;201:20100:0:Z1442105700;201:20100:0:Z3355906646;
c1ccc2c(c1)CNC2,8262,201:20100:0:Z3621552898;201:20100:0:Z2495030567;201:20100:0:Z1141329096;
c1cnoc1,69215,201:20100:0:Z3621552898;201:20100:0:Z3673023787;201:20100:0:Z4457699098;
C1CC2CSCC2C1,327,201:20100:0:Z3685988278;201:20101:0:Z3706011943;201:20101:0:Z3788312360;
Cc1ccccc1Cl,5944,201:20100:0:Z1905057698;201:20100:0:Z1540963955;201:20100:0:Z2169229566;
C1CC2(CCOCC2)CN1,4016,201:20100:0:Z3861552546;201:20100:0:Z4198602600;201:20100:0:Z3612292731;
CN1CCCCC1=O,3497,201:20100:0:Z2414526174;201:20100:0:Z4132780639;201:20100:0:Z3536156805;
Cc1cnnn1C,719,201:20100:0:Z3175859706;201:20100:1:Z3595980473;201:20100:1:Z4664947932;
FC1(F)CNCCNC1,171,201:20100:0:Z3175859706;201:20101:6:Z4294663728;201:20102:1:Z3091584082;
c1cc2n(n1)CCNC2,5314,201:20100:0:Z2383666981;201:20100:0:Z3615271745;201:20100:0:Z5023878010;
Cc1ccn2ccnc2c1,1182,201:20100:0:Z1143681914;201:20100:0:Z226257022;201:20100:3:Z3777115112;
c1nnn[nH]1,31644,201:20100:0:Z2771809893;201:20100:0:Z152044158;201:20100:0:Z2479950913;
C1CCC2(CCNCC2)OC1,1403,201:20100:0:Z4447355329;201:20100:0:Z4447475608;201:20100:2:Z3053882814;
c1nnc2n1CCC2,3450,201:20100:0:Z3837131105;201:20100:0:Z2891318191;201:20100:0:Z4352542645;
CC1(C)CC2(CCCCC2)CO1,202,201:20100:0:Z2967120658;201:20100:0:Z3571136669;201:20100:2:Z3781278633;
O=C1CCc2ccccc2N1,9905,201:20100:0:Z2967120658;201:20100:0:Z1852442626;201:20100:0:Z4178575457;
CC1(C)COCCN1,2291,201:20100:0:Z3712728271;201:20100:0:Z3519026428;201:20100:1:Z2836327016;
FC1CCNC1,12346,201:20100:0:Z2069432288;201:20100:0:Z3437032765;201:20100:0:Z2637767463;
CC1(C)Cc2ncsc2C(=O)N1,162,201:20100:0:Z4268545560;201:20100:3:Z4268528471;201:20101:5:Z4268540159;
Clc1ccc2c(c1)CCC2,769,201:20100:0:Z2915835726;201:20100:0:Z820738586;201:20100:1:Z2002055079;
FC1(F)CC2(CCC2)C1,2169,201:20100:0:Z3658916429;201:20100:0:Z3655027070;201:20100:1:Z4274649732;
c1nnc2n1CCCCC2,4228,201:20100:0:Z3658916429;201:20100:0:Z3655027070;201:20100:0:Z928905960;
C1CC2(CCN1)CCNC2,1365,201:20100:0:Z5004482405;201:20100:0:Z2996106837;201:20100:1:Z2499765010;
Cc1cn2ccccc2n1,1614,201:20100:0:Z5004482405;201:20100:0:Z1898218863;201:20100:2:Z3173995140;
O=S1(=O)CCC2CNCC21,1784,201:20100:0:Z3390947206;201:20100:0:Z2965768405;201:20100:0:Z4228780465;
CN1C(=O)NC2CNCCC21,346,201:20100:0:Z4867140037;201:20100:1:Z4835187451;201:20100:3:Z4835158972;
O=c1cccn[nH]1,7514,201:20100:0:Z1143011771;201:20100:0:Z3606421029;201:20100:0:Z4129895810;
CC1CCCOC1,2262,201:20100:0:Z4412783388;201:20100:1:Z3536119143;201:20100:1:Z4277068660;
O=c1ccnc2scnn12,669,201:20100:0:Z1921368656;201:20100:0:Z1426016547;201:20100:1:Z644712310;
Cc1cncs1,9406,201:20100:0:Z4084854346;201:20100:0:Z4076202886;201:20100:0:Z1377887391;
Fc1cccc2ccoc12,799,201:20100:0:Z1829272730;201:20100:0:Z4406923219;201:20100:0:Z4406928143;
Cc1ccc(C)c(C)c1,1041,201:20100:0:Z2101845562;201:20100:0:Z1494154657;201:20100:3:Z2897111177;
Cc1ncn[nH]1,6558,201:20100:0:Z2623173476;201:20100:0:Z2493259502;201:20100:0:Z2360651873;
C1CC2CCC1CC2,2382,201:20100:0:Z3701654099;201:20100:0:Z4278731003;201:20100:1:Z3803484614;
c1cnc2c(c1)CCC2,2015,201:20100:0:Z2691654282;201:20100:0:Z2410415231;201:20100:1:Z2409160897;
O=C1CCNC(=O)N1,35855,201:20100:0:Z3782339845;201:20100:0:Z3638108413;201:20100:0:Z3539880054;
C1COC2(C1)CCC2,2894,201:20100:0:Z3782339845;201:20100:1:Z2963091254;201:20100:1:Z2963086934;
Cc1cccc(C)c1,30918,201:20100:0:Z4212510208;201:20100:0:Z3620974821;201:20100:0:Z2790319053;
CC1Cc2ccc(F)cc2C1,195,201:20100:0:Z2044013544;201:20100:5:Z2072388621;201:20101:7:Z2098460081;
