fragment_smiles,occurences,example_ligands
C1CCOCC1,188658,195:19500:0:Z3616815101;195:19500:0:Z3983470965;195:19500:0:Z3983469131;
c1ccc2c(c1)COC21CCNC1,214,195:19500:0:Z1717539773;195:19500:0:Z3300125089;195:19500:1:Z3177578454;
FC1(F)CCCCC1,7427,195:19500:0:Z4573505141;195:19500:0:Z2715764558;195:19500:0:Z1538642560;
O=c1[nH]ccc2ccc(Cl)cc12,113,195:19500:0:Z4573505141;195:19501:5:Z4348254185;195:19504:5:Z4349140124;
C1=CNCC1,380,195:19500:0:Z3702598561;195:19500:6:Z4640037939;195:19500:7:Z3702597593;
O=C1CCC2(CCC2)C1,173,195:19500:0:Z3702598561;195:19500:0:Z4612459196;195:19500:3:Z3535108543;
C1CC2CC2N1,1402,195:19500:0:Z3384871561;195:19500:0:Z3648452936;195:19500:0:Z3571119946;
C1CNCCNC1,39581,195:19500:0:Z1765447668;195:19500:0:Z1680104393;195:19500:0:Z2311363434;
CC1CCNC1,23111,195:19500:0:Z2956637144;195:19500:0:Z4064554283;195:19500:0:Z4293930663;
c1cc2c(s1)CCNC2,4833,195:19500:0:Z2623914480;195:19500:0:Z4263476211;195:19500:0:Z3597777319;
Cc1cc[nH]n1,31588,195:19500:0:Z2635550120;195:19500:0:Z594901692;195:19500:0:Z4310020806;
C1NCC2CNCC12,1621,195:19500:0:Z3701524860;195:19500:0:Z5060452261;195:19500:0:Z2347557546;
c1ccc2ocnc2c1,8630,195:19500:0:Z3701524860;195:19500:0:Z1643171049;195:19500:0:Z5035341492;
Cc1ccncn1,16368,195:19500:0:Z1376822939;195:19500:0:Z3346138988;195:19500:0:Z4211921585;
c1cnccn1,33114,195:19500:0:Z1376822939;195:19500:0:Z3830557325;195:19500:0:Z4602623411;
Cc1nncs1,3663,195:19500:0:Z2974865702;195:19500:0:Z3058475818;195:19500:0:Z4136569942;
c1ccc2c(c1)CNCCO2,3848,195:19500:0:Z2974865702;195:19500:0:Z2356853164;195:19500:0:Z4582516945;
c1ccoc1,94056,195:19500:0:Z2631428266;195:19500:0:Z996521328;195:19500:0:Z740302008;
c1nnc2n1CCOC2,2165,195:19500:0:Z2772194973;195:19500:0:Z4962685422;195:19500:0:Z4962685427;
C1CC2(C1)CNC2,5222,195:19500:0:Z3898915973;195:19500:0:Z4043183309;195:19500:0:Z3841976128;
c1cncnc1,92680,195:19500:0:Z2130323959;195:19500:0:Z3695034738;195:19500:0:Z1886876652;
c1ccc2c(c1)CCCO2,15250,195:19500:0:Z3611108734;195:19500:0:Z3611105812;195:19500:0:Z2715764558;
c1ncn2c1CCCC2,3677,195:19500:0:Z3611108734;195:19500:0:Z3611105812;195:19500:0:Z2839170430;
Cc1cc(Cl)n(C)n1,1174,195:19500:0:Z2160046546;195:19500:1:Z2179725363;195:19500:2:Z1891638640;
c1ncon1,162673,195:19500:0:Z2160046546;195:19500:0:Z2361308894;195:19500:0:Z1535667391;
c1ccc2[nH]ncc2c1,10116,195:19500:0:Z2160046546;195:19500:0:Z340511506;195:19500:0:Z3055888208;
C1CC2CCC2N1,2330,195:19500:0:Z3059032707;195:19500:0:Z3046124779;195:19500:0:Z3912367143;
C1COCCN1,196108,195:19500:0:Z3059032707;195:19500:0:Z2361308894;195:19500:0:Z3551989146;
Cc1cccc(C)c1,30932,195:19500:0:Z996521328;195:19500:0:Z2067488919;195:19500:0:Z3841617975;
c1cc2n(n1)CCCN2,1974,195:19500:0:Z996521328;195:19500:0:Z3667159577;195:19500:0:Z4269752061;
C1COCO1,8661,195:19500:0:Z3362460623;195:19500:0:Z1700070006;195:19500:0:Z3404953408;
c1ccc2scnc2c1,13909,195:19500:0:Z3362460623;195:19500:0:Z4960105744;195:19500:0:Z4305558912;
Fc1ccccc1,382051,195:19500:0:Z1594119589;195:19500:0:Z3592172707;195:19500:0:Z3173363235;
C1NCC2CC12,11290,195:19500:0:Z4310020806;195:19500:0:Z2450009002;195:19500:0:Z3175276765;
OC1CCCc2ccccc21,568,195:19500:0:Z1564966167;195:19500:0:Z3050239194;195:19500:4:Z1161734037;
Cc1ccccn1,28657,195:19500:0:Z2067488919;195:19500:0:Z2213672077;195:19500:0:Z2454338032;
c1cc[nH]c1,26161,195:19500:0:Z4288101315;195:19500:0:Z1866453062;195:19500:0:Z908879334;
O=C1CCCC1,1958,195:19500:0:Z4288101315;195:19500:0:Z5001597688;195:19500:1:Z4641259845;
c1ccsc1,124192,195:19500:0:Z1070555516;195:19500:0:Z797657060;195:19500:0:Z1738996579;
C1CNCC2(C1)OCC1CC12,116,195:19500:0:Z3592172707;195:19500:1:Z3570789240;195:19500:4:Z4326013408;
Cc1ccncc1,13202,195:19500:0:Z3087663496;195:19500:0:Z3539231360;195:19500:0:Z3552527129;
Cc1ccco1,23065,195:19500:0:Z744390516;195:19500:0:Z2958304405;195:19500:0:Z2766771047;
Oc1ccccc1,42579,195:19500:0:Z4960105744;195:19500:0:Z1325277144;195:19500:0:Z3434937140;
Cc1cccc(Cl)c1,4919,195:19500:0:Z2351987622;195:19500:0:Z408168732;195:19500:0:Z1381668732;
C1CCCCC1,152222,195:19500:0:Z3892759370;195:19500:0:Z4295711950;195:19500:0:Z3539407868;
Cc1csc(=O)[nH]1,868,195:19500:0:Z90044896;195:19500:0:Z1191357946;195:19500:1:Z284278668;
Fc1cccc2sccc12,587,195:19500:0:Z274888628;195:19500:0:Z2839228497;195:19500:2:Z1713570760;
Cc1ccccc1F,13658,195:19500:0:Z3551989146;195:19500:0:Z3539502838;195:19500:0:Z1088562684;
Cc1cncnc1,2189,195:19500:0:Z3551989146;195:19500:0:Z3539502838;195:19500:0:Z1527816119;
c1ccc2c(c1)CCNC2,34892,195:19500:0:Z4112131130;195:19500:0:Z4232618326;195:19500:0:Z2717795161;
O=S1(=O)CCCC1,19697,195:19500:0:Z740302008;195:19500:0:Z2687618613;195:19500:0:Z1411458325;
Clc1cc(Cl)cc(Cl)c1,123,195:19500:0:Z740302008;195:19500:3:Z1303849232;195:19501:8:Z2081036325;
CC1(C)CCC1,7369,195:19500:0:Z1696182936;195:19500:0:Z2600719231;195:19500:0:Z4094035012;
CC1=NOC2(CCNCC2)C1,321,195:19500:0:Z3695034738;195:19500:3:Z3715998332;195:19500:4:Z3715983422;
CC1(C)COCCO1,2722,195:19500:0:Z3050239194;195:19500:0:Z4167155077;195:19500:0:Z3819607908;
Cc1cocn1,7565,195:19500:0:Z3830557325;195:19500:0:Z2961822854;195:19500:0:Z4077751865;
C1=CCNCC1,9040,195:19500:0:Z3830557325;195:19500:0:Z4326665608;195:19500:0:Z3838671279;
Cc1cccc2c1CCN2,431,195:19500:0:Z1255833638;195:19500:1:Z3194381391;195:19500:1:Z2826358775;
Cc1cc(C)ncn1,6014,195:19500:0:Z2966071914;195:19500:0:Z1569922674;195:19500:0:Z3869966458;
Cc1ccon1,11497,195:19500:0:Z3434393472;195:19500:0:Z3723223687;195:19500:0:Z2294382397;
C1CCSCC1,6815,195:19500:0:Z4432639971;195:19500:0:Z1883392581;195:19500:0:Z3084887193;
O=C1CCNC(=O)N1,35578,195:19500:0:Z4432639971;195:19500:0:Z3539407868;195:19500:0:Z3536465494;
c1ccc2cnccc2c1,11395,195:19500:0:Z3696055010;195:19500:0:Z4328826515;195:19500:0:Z3721530415;
O=c1cccn[nH]1,7701,195:19500:0:Z3248356547;195:19500:0:Z5053103796;195:19500:0:Z1066379458;
CC1Cc2ccccc2O1,4147,195:19500:0:Z2619782982;195:19500:0:Z2353347889;195:19500:0:Z3133553887;
Fc1cc(F)c2c(c1)NCC2,162,195:19500:0:Z1155069627;195:19500:1:Z1735636546;195:19500:4:Z453800836;
CC1CCCC1,4184,195:19500:0:Z2774500682;195:19500:0:Z1846400853;195:19500:0:Z4517357534;
Cc1ccno1,15139,195:19500:0:Z3686170448;195:19500:0:Z4472714368;195:19500:0:Z291698488;
C1CSCCN1,12107,195:19500:0:Z509845340;195:19500:0:Z4122539525;195:19500:0:Z1306355544;
C1CCC2(CC1)OCCO2,4393,195:19500:0:Z509845340;195:19500:0:Z1595142966;195:19500:1:Z1587274458;
c1ccc2c(c1)OCCS2,909,195:19500:0:Z3357404485;195:19500:0:Z2779641969;195:19500:2:Z2433658776;
Oc1nnc[nH]1,81,195:19500:0:Z2358616973;195:19502:8:Z2010176499;195:19503:5:Z1373617128;
O=C1CCc2ccccc2N1,9872,195:19500:0:Z2358616973;195:19500:0:Z2716922893;195:19500:0:Z4231677124;
Cn1cncn1,12941,195:19500:0:Z1627088172;195:19500:0:Z4250794815;195:19500:0:Z4006671158;
O=C1CNCCN1,20451,195:19500:0:Z2484081689;195:19500:0:Z4011901945;195:19500:0:Z1277234936;
c1cnoc1,69832,195:19500:0:Z1086291956;195:19500:0:Z4539610478;195:19500:0:Z2897651018;
Cc1cc(C)on1,10712,195:19500:0:Z3299977864;195:19500:0:Z2969018777;195:19500:0:Z4451031627;
c1cnc2cn[nH]c2c1,312,195:19500:0:Z3299977864;195:19500:2:Z3366199621;195:19500:3:Z3352245524;
c1nnn[nH]1,31970,195:19500:0:Z1844712528;195:19500:0:Z4474874205;195:19500:0:Z1389653955;
c1ccc2c(c1)CCOC2,10943,195:19500:0:Z3577191827;195:19500:0:Z3539956157;195:19500:0:Z4119031066;
FC1(F)CC12CCNCC2,253,195:19500:0:Z2481493336;195:19500:1:Z3094801820;195:19500:6:Z2476363457;
C1CC2CNCC2C1,5033,195:19500:0:Z3319647147;195:19500:0:Z2634968159;195:19500:0:Z3583152252;
c1cnc2c(c1)CCNC2,677,195:19500:0:Z4304607119;195:19500:0:Z3173389044;195:19500:5:Z3579726118;
FC1CCNC1,12476,195:19500:0:Z4400479958;195:19500:0:Z4151202936;195:19500:0:Z3867593960;
c1nn[nH]n1,32930,195:19500:0:Z4400479958;195:19500:0:Z4390160065;195:19500:0:Z4508786873;
c1cn2c(n1)CCCN2,286,195:19500:0:Z4317068040;195:19500:4:Z4323734855;195:19500:7:Z4318576426;
O=C1NCCCN1,3615,195:19500:0:Z1014826670;195:19500:0:Z4188481677;195:19500:0:Z3625349622;
c1cc2c(s1)CNC2,267,195:19500:0:Z2605746428;195:19500:5:Z2632035636;195:19500:9:Z2605643610;
Cc1ncc[nH]1,10235,195:19500:0:Z4352169011;195:19500:0:Z1897944367;195:19500:0:Z774856892;
O=C1CCC(F)CC1,186,195:19500:0:Z4288107457;195:19500:1:Z4293479837;195:19501:3:Z4294078321;
Fc1ccc2[nH]cnc2c1,1074,195:19500:0:Z2409566355;195:19500:0:Z1248808057;195:19500:0:Z1311006669;
Cn1cccc1,15538,195:19500:0:Z1955288356;195:19500:0:Z1550466871;195:19500:0:Z1353372306;
c1ccc2c(c1)CCCN2,20448,195:19500:0:Z1955288356;195:19500:0:Z3585758509;195:19500:0:Z4231885295;
c1nnc[nH]1,91131,195:19500:0:Z1724246167;195:19500:0:Z1275668779;195:19500:0:Z1617952038;
Cn1cc2c(n1)CCOC2,1025,195:19500:0:Z3475023824;195:19500:0:Z4147587912;195:19500:0:Z3605911658;
FC1CC2CCC(C1)N2,128,195:19500:0:Z4466124340;195:19500:4:Z4403597130;195:19500:9:Z4466114500;
O=c1[nH]c2ccccc2o1,5818,195:19500:0:Z2725298830;195:19500:0:Z56126818;195:19500:0:Z4258436931;
CC1CCNCC1C,477,195:19500:0:Z4580014835;195:19500:0:Z2025152196;195:19501:0:Z1556331795;
Cc1ccn[nH]1,39860,195:19500:0:Z2061728689;195:19500:0:Z1743181578;195:19500:0:Z1470609161;
CC1(O)CCCCC1,1055,195:19500:0:Z2061728689;195:19500:1:Z2478309222;195:19500:1:Z2065258394;
c1ccc2c(c1)OCCO2,23402,195:19500:0:Z941481242;195:19500:0:Z1366966574;195:19500:0:Z98375353;
C1CC2(CCN1)CC2,5706,195:19500:0:Z3723223687;195:19500:0:Z2708950135;195:19500:1:Z3723224034;
Fc1cccnc1,26017,195:19500:0:Z3723223687;195:19500:0:Z4119132922;195:19500:0:Z4199029486;
O=C1NS(=O)(=O)c2ccccc21,1550,195:19500:0:Z736507632;195:19500:0:Z3091928971;195:19500:0:Z1204912366;
CC1(O)CCCNCC1,268,195:19500:0:Z1944184557;195:19501:0:Z4003243003;195:19501:2:Z4613988516;
c1cn2nnnc2cn1,453,195:19500:0:Z1944184557;195:19500:7:Z1801630109;195:19500:8:Z1497805752;
Cn1ccnc1,45183,195:19500:0:Z4350230746;195:19500:0:Z4876578140;195:19500:0:Z3434937140;
Fc1ccccc1F,30176,195:19500:0:Z4350230746;195:19500:0:Z4641484150;195:19500:0:Z3685341899;
C1CC2(CN1)COC2,1119,195:19500:0:Z3871074134;195:19500:3:Z2624491897;195:19500:4:Z4206998285;
CC1(C)OCC2CC21,263,195:19500:0:Z2718242807;195:19500:2:Z2802409414;195:19501:0:Z2624289612;
Cn1cnc2ccccc21,7054,195:19500:0:Z4151202936;195:19500:0:Z2800955611;195:19500:0:Z3723223796;
C1CC2(C1)CCC2,11732,195:19500:0:Z2305306511;195:19500:0:Z3787231166;195:19500:0:Z3640754855;
c1ccc2c(c1)CCCC2,15339,195:19500:0:Z2305306511;195:19500:0:Z1147947771;195:19500:0:Z2594932069;
O=C1CSc2ccccc2N1,2988,195:19500:0:Z412438998;195:19500:0:Z2099941681;195:19500:0:Z2844300228;
Cc1cnn[nH]1,13392,195:19500:0:Z2439607442;195:19500:0:Z2294382397;195:19500:0:Z817128276;
c1cnc2c(c1)CCCC2,5127,195:19500:0:Z1886876652;195:19500:0:Z1884351129;195:19500:0:Z4025610743;
c1cc2n(n1)CCNC2,5311,195:19500:0:Z4056640499;195:19500:0:Z3658029134;195:19500:0:Z3180008687;
Cc1ccc2cccnc2n1,673,195:19500:0:Z1956770561;195:19500:0:Z1973624214;195:19500:1:Z4298339441;
Clc1ccncc1Cl,49,195:19500:0:Z1297118929;195:19501:6:Z1297119364;195:19503:7:Z1276679009;
O=S1(=O)CCNCC1,6808,195:19500:0:Z1297118929;195:19500:0:Z1742645633;195:19500:0:Z1533733462;
FC1(F)CCC1,10908,195:19500:0:Z3528031826;195:19500:0:Z3638665313;195:19500:0:Z4261965730;
C1CC2(CCN1)CCN2,417,195:19500:0:Z2371210986;195:19500:1:Z3392660011;195:19501:0:Z2370575619;
c1nc2c(s1)CCCC2,4258,195:19500:0:Z1438391960;195:19500:0:Z4469680603;195:19500:0:Z2912030579;
Cn1ccnn1,10066,195:19500:0:Z4344980022;195:19500:0:Z3320987533;195:19500:0:Z3181356551;
Cc1cccnc1,21399,195:19500:0:Z4286003136;195:19500:0:Z3600596856;195:19500:0:Z1986483160;
Cc1cn(C)cn1,356,195:19500:0:Z2971077961;195:19500:0:Z2076038504;195:19500:1:Z3540221131;
CC1CN(C)CC(C)N1,38,195:19500:0:Z4350748018;195:19501:9:Z3495052829;195:19502:9:Z3608662451;
O=C1CCn2nc3ccccc3c2N1,144,195:19500:0:Z4350748018;195:19500:1:Z4350502439;195:19500:3:Z4348810204;
CC1CCCc2[nH]ncc21,286,195:19500:0:Z2905959758;195:19500:1:Z3623168867;195:19500:1:Z4026121154;
Cc1nc2ccccc2c(=O)n1C,323,195:19500:0:Z4453234983;195:19500:0:Z4178265076;195:19500:6:Z4178190397;
Cc1ccc(C)nc1,764,195:19500:0:Z3608983924;195:19500:1:Z3137185464;195:19500:1:Z3055914176;
Cn1ccc2ccccc21,5160,195:19500:0:Z1864846422;195:19500:0:Z1260498876;195:19500:0:Z3010463814;
OC1CCNC1,23874,195:19500:0:Z3049660386;195:19500:0:Z5034765417;195:19500:0:Z5034711542;
Cc1ccsc1,6960,195:19500:0:Z1902675477;195:19500:0:Z1144366860;195:19500:0:Z1576890989;
c1ccc2[nH]nnc2c1,3725,195:19500:0:Z2373652735;195:19500:0:Z3892904900;195:19500:0:Z3892904545;
c1ccc2ccccc2c1,20765,195:19500:0:Z2907451729;195:19500:0:Z2954525999;195:19500:0:Z1576890989;
Cn1ccc(=O)n(C)c1=O,2493,195:19500:0:Z1738996579;195:19500:0:Z2499520971;195:19500:0:Z3394532078;
C1CSCN1,8171,195:19500:0:Z1738996579;195:19500:0:Z1102637422;195:19500:0:Z1966755675;
O=C1CCCCC1,3018,195:19500:0:Z4641484150;195:19500:0:Z4139036706;195:19500:0:Z4138093777;
O=C1CCCC2C3CNCC(C3)CN12,256,195:19500:0:Z4401663901;195:19500:1:Z4393158165;195:19500:2:Z4390319800;
NC1Cc2cccnc2NC1=O,3,195:19500:0:Z2998093044;195:19518:7:Z2998279886;195:19522:3:Z4122021719;
FC1(F)CCCC1,2944,195:19500:0:Z3539231360;195:19500:0:Z3834297920;195:19500:0:Z3541589049;
c1ncc2c(n1)CNCC2,726,195:19500:0:Z1275668779;195:19500:0:Z1735210576;195:19500:1:Z1275669566;
Cc1cc(Cl)[nH]n1,3225,195:19500:0:Z4211568817;195:19500:0:Z2075702613;195:19500:0:Z1375277712;
NC1CC2CCCC(C1)N2,68,195:19500:0:Z2447432646;195:19502:6:Z2391203699;195:19503:1:Z2447432679;
Cc1ncn[nH]1,6291,195:19500:0:Z1493718143;195:19500:0:Z1214759705;195:19500:0:Z4165198784;
Clc1ccc(Cl)cc1,3089,195:19500:0:Z1493718143;195:19500:0:Z4289468998;195:19500:0:Z1899483719;
C1CC2CCC(CN1)N2,1656,195:19500:0:Z1348824304;195:19500:0:Z3723223751;195:19500:0:Z3723223769;
C1CCC2(CC1)COCCO2,944,195:19500:0:Z3685341899;195:19500:1:Z3685327210;195:19500:1:Z3574671084;
Oc1ccccc1F,2458,195:19500:0:Z1244902672;195:19500:0:Z2373744687;195:19500:0:Z1704903904;
Cc1ccc2nncn2n1,453,195:19500:0:Z1901268031;195:19500:5:Z4035021688;195:19500:5:Z4035021667;
c1cn2ccsc2n1,3038,195:19500:0:Z4537997767;195:19500:1:Z5008397081;195:19500:1:Z5008409138;
NC1CCCCC1,2592,195:19500:0:Z927711126;195:19500:0:Z3507080438;195:19500:0:Z2386218782;
C1CCc2nnnn2CC1,655,195:19500:0:Z2720237945;195:19500:0:Z2595245706;195:19500:1:Z2480379945;
O=c1ccc2c([nH]1)CCNC2,700,195:19500:0:Z4876578140;195:19500:2:Z3612119528;195:19500:2:Z3621484154;
c1ccc2ncccc2c1,26024,195:19500:0:Z2777126493;195:19500:0:Z2602151987;195:19500:0:Z4003967604;
Cc1nc2scc(C)c2c(=O)[nH]1,231,195:19500:0:Z4128440047;195:19500:3:Z4128674080;195:19501:4:Z4128591343;
OC1CNC1,7048,195:19500:0:Z4128440047;195:19500:0:Z4642503229;195:19500:0:Z4408014993;
Cc1noc2ccccc12,279,195:19500:0:Z4307845483;195:19500:9:Z3842293670;195:19501:1:Z2914201586;
CS(C)(=N)=O,3743,195:19500:0:Z4642484750;195:19500:0:Z3694930774;195:19500:0:Z4228516720;
O=C1CCc2ccc(Cl)cc21,150,195:19500:0:Z4642484750;195:19500:8:Z4639042275;195:19501:5:Z4639565022;
CC1COc2ccccc2O1,738,195:19500:0:Z2716922893;195:19500:0:Z2709910516;195:19500:2:Z4476858944;
CC1CNC2CCCCC2O1,129,195:19500:0:Z1431937945;195:19500:4:Z1207735818;195:19500:4:Z1207286842;
C1CC2CCC(C1)O2,1444,195:19500:0:Z3469442637;195:19500:0:Z3869995309;195:19500:1:Z4230920725;
Cc1cc(C)[nH]c(=O)c1,1348,195:19500:0:Z4909348971;195:19500:3:Z2019046269;195:19500:6:Z1609463170;
Clc1ccc2ncccc2c1,600,195:19500:0:Z3585060776;195:19500:0:Z3604363773;195:19500:1:Z1867241997;
Cc1ccc(C)cc1,9271,195:19500:0:Z2001132234;195:19500:0:Z1193533416;195:19500:0:Z1265417187;
C1CC2CNCC12,5449,195:19500:0:Z3174160579;195:19500:0:Z4200212431;195:19500:0:Z3394532078;
Cc1ncco1,3346,195:19500:0:Z2311363434;195:19500:0:Z4104327068;195:19500:0:Z2506271183;
c1ncc2c(n1)CC1CCC2N1,967,195:19500:0:Z3548087394;195:19500:0:Z2878391395;195:19500:0:Z2719807334;
Nc1nccs1,753,195:19500:0:Z3548087394;195:19500:0:Z4303456441;195:19500:0:Z3549561979;
C1CSCSC1,481,195:19500:0:Z3180008687;195:19500:0:Z3875017038;195:19500:1:Z1539106219;
Cc1ccsc1C,1589,195:19500:0:Z4197218208;195:19500:0:Z3741111514;195:19500:0:Z1842799941;
O=C1CC2CCCC2N1,378,195:19500:0:Z4197218208;195:19500:3:Z4192549620;195:19500:8:Z4199468098;
C1CC2CNC2C1,312,195:19500:0:Z3174761575;195:19501:0:Z3586340217;195:19501:1:Z3187080120;
Cc1cccc(F)c1,12432,195:19500:0:Z815221256;195:19500:0:Z2927410907;195:19500:0:Z3865884187;
OC1CNCc2ccccc21,351,195:19500:0:Z4418190215;195:19500:8:Z1549118611;195:19501:1:Z1966743524;
Cc1ccnc(O)c1,271,195:19500:0:Z2884221954;195:19500:6:Z1620918586;195:19501:5:Z2684963278;
Clc1cc[nH]c1Cl,100,195:19500:0:Z2884221954;195:19500:3:Z3724615871;195:19501:6:Z2963887004;
CN1C(=O)COc2ccccc21,1771,195:19500:0:Z4241665676;195:19500:0:Z3867593960;195:19500:0:Z1595436601;
Cc1cc2n(n1)CCNC2,645,195:19500:0:Z5023956129;195:19500:0:Z5007142603;195:19500:2:Z5004237923;
CC1(C)CCCCO1,3075,195:19500:0:Z5045176879;195:19500:0:Z4140250857;195:19500:0:Z2979230331;
O=S1(=O)CCCCC1,8266,195:19500:0:Z2594932069;195:19500:0:Z1566720294;195:19500:0:Z4088785702;
