fragment_smiles,occurences,example_ligands
CC1CCN(C)CC1,463,143:14300:0:Z3607004298;143:14300:6:Z1630198055;143:14300:6:Z1631161865;
c1ccncc1,456224,143:14300:0:Z21996793;143:14300:0:Z2883150066;143:14300:0:Z4113539980;
CC1CCNCC1,21745,143:14300:0:Z2978519710;143:14300:0:Z4712637049;143:14300:0:Z4267840190;
C1COCCN1,169194,143:14300:0:Z2978519710;143:14300:0:Z4088073155;143:14300:0:Z4313814679;
C1CC2CCC1C2,10712,143:14300:0:Z2978519710;143:14300:0:Z2615335508;143:14300:0:Z4391352342;
C1CNC2(C1)CCNC2,444,143:14300:0:Z3137952828;143:14300:1:Z2335592550;143:14300:4:Z4193940153;
c1cn[nH]c1,285609,143:14300:0:Z2184814471;143:14300:0:Z2706882332;143:14300:0:Z163210240;
Cn1c(=O)[nH]c(=O)c2cccnc21,462,143:14300:0:Z739204608;143:14300:6:Z3204764812;143:14301:0:Z1634197891;
Cc1cccc2ccoc12,558,143:14300:0:Z3726138114;143:14300:0:Z3726138116;143:14300:0:Z3612486390;
C1CCNCC1,621783,143:14300:0:Z3726138114;143:14300:0:Z3726138116;143:14300:0:Z3612486390;
Clc1ccccc1,218633,143:14300:0:Z2210388875;143:14300:0:Z1786172030;143:14300:0:Z3437036995;
C1CCNC1,380502,143:14300:0:Z2210388875;143:14300:0:Z2697905527;143:14300:0:Z1283313829;
Cc1ccco1,23240,143:14300:0:Z2697905527;143:14300:0:Z2793455693;143:14300:0:Z2801619582;
CC1CCCS1(=O)=O,452,143:14300:0:Z2697905527;143:14300:2:Z3203599385;143:14300:2:Z2905733909;
c1cnc2c(c1)CCC2,2591,143:14300:0:Z4132576428;143:14300:0:Z2409064071;143:14300:0:Z2691647865;
Fc1ccc(F)c2c1NCCO2,110,143:14300:0:Z4132576428;143:14301:0:Z3474241016;143:14302:9:Z4132576696;
Cc1ccccc1,242047,143:14300:0:Z2355240753;143:14300:0:Z878262442;143:14300:0:Z4180914335;
CN1CCNCC1,28355,143:14300:0:Z4113539980;143:14300:0:Z3572961038;143:14300:0:Z3572957359;
O=c1cccc[nH]1,28352,143:14300:0:Z4113539980;143:14300:0:Z4022751465;143:14300:0:Z2818798499;
c1n[nH]c2c1CCCCC2,333,143:14300:0:Z1833607107;143:14300:5:Z2988899263;143:14301:2:Z1829276273;
Nc1ccccn1,2012,143:14300:0:Z2284023227;143:14300:0:Z4285233767;143:14300:1:Z3649704394;
OC1CCC2(CCNCC2)CC1,375,143:14300:0:Z2284023227;143:14300:2:Z3877338756;143:14300:2:Z4883061394;
O=C1CCCCN1,36386,143:14300:0:Z4230747656;143:14300:0:Z1918991132;143:14300:0:Z1842074347;
C1CCCC1,133053,143:14300:0:Z4230747656;143:14300:0:Z3540223497;143:14300:0:Z4269163249;
Clc1cccc(Cl)c1,18120,143:14300:0:Z4230747656;143:14300:0:Z2413591176;143:14300:0:Z2644185012;
Cn1cncn1,12695,143:14300:0:Z2706882332;143:14300:0:Z2632142704;143:14300:0:Z2098567276;
c1cncnc1,90637,143:14300:0:Z5013993548;143:14300:0:Z2434495807;143:14300:0:Z2294318243;
C1CNCCN1,198077,143:14300:0:Z5013993548;143:14300:0:Z1966681409;143:14300:0:Z2413591176;
C1CCCNCC1,27784,143:14300:0:Z5013993548;143:14300:0:Z2126434688;143:14300:0:Z4591081778;
c1ccc2c(c1)CCNC2,30003,143:14300:0:Z163210240;143:14300:0:Z4621506570;143:14300:0:Z1936607228;
Cn1cc(Cl)cn1,3563,143:14300:0:Z1966681409;143:14300:0:Z3440376972;143:14300:1:Z3726138667;
Fc1cccc(Cl)c1,17497,143:14300:0:Z1966681409;143:14300:0:Z4319889854;143:14300:0:Z4028530619;
Cc1noc2ncccc12,1821,143:14300:0:Z1265239191;143:14300:0:Z917518528;143:14300:0:Z1754464973;
c1ccc2c(c1)CCC2,23015,143:14300:0:Z1786172030;143:14300:0:Z3893046678;143:14300:0:Z4097322464;
Cc1cc(C)n(C)n1,8913,143:14300:0:Z1277976993;143:14300:0:Z4487647225;143:14300:0:Z4317982583;
C1CCSCC1,7867,143:14300:0:Z2596353816;143:14300:0:Z3541857853;143:14300:0:Z3298839074;
c1c[nH]cn1,72708,143:14300:0:Z4513546316;143:14300:0:Z3359467258;143:14300:0:Z3535021858;
CC1COCCN1,6320,143:14300:0:Z1193470932;143:14300:0:Z2210378713;143:14300:0:Z3598371003;
O=C1CSCCN1,343,143:14300:0:Z2965206967;143:14300:2:Z3095171299;143:14300:2:Z3315549267;
c1cscn1,170330,143:14300:0:Z3608434958;143:14300:0:Z2413591176;143:14300:0:Z2840872736;
C1CCOC1,144531,143:14300:0:Z3608434958;143:14300:0:Z4194861709;143:14300:0:Z4049686513;
O=C1NCCC12CCCN2,247,143:14300:0:Z2877070786;143:14300:7:Z4906485793;143:14300:7:Z2640760503;
Cc1cn[nH]c1,14995,143:14300:0:Z2781479203;143:14300:0:Z3696484975;143:14300:0:Z3716350441;
Cc1ccc(Cl)cc1,3308,143:14300:0:Z1840867089;143:14300:0:Z3385462656;143:14300:1:Z2113318169;
Oc1ccccc1,42621,143:14300:0:Z4964544870;143:14300:0:Z4088073155;143:14300:0:Z4313814679;
FC1CNC1,3444,143:14300:0:Z4964544870;143:14300:0:Z3805358314;143:14300:0:Z4961026925;
Cn1ccc2ccccc21,5622,143:14300:0:Z1443271647;143:14300:0:Z3898866553;143:14300:0:Z3622163915;
c1ccnnc1,19983,143:14300:0:Z2605325957;143:14300:0:Z4643832422;143:14300:0:Z4614095242;
O=c1[nH]ccc2c1CCNC2,330,143:14300:0:Z3437036995;143:14300:0:Z3593697600;143:14300:3:Z4132732769;
Cc1cccc(F)c1,12467,143:14300:0:Z3357042831;143:14300:0:Z4472892158;143:14300:0:Z1343931232;
FC1(F)CCc2oncc2C1,749,143:14300:0:Z3357042831;143:14300:0:Z3819911911;143:14300:0:Z3296011531;
CC1CCc2ccccc21,1214,143:14300:0:Z4023335571;143:14300:0:Z2624402081;143:14300:2:Z4179221282;
Cn1cccn1,163314,143:14300:0:Z4964130979;143:14300:0:Z3538011064;143:14300:0:Z4049686513;
CC1(O)CCNCC1O,225,143:14300:0:Z4964130979;143:14300:5:Z4961369089;143:14300:7:Z4971495380;
CN1CC2CCCNC2C1,274,143:14300:0:Z2416082630;143:14300:2:Z4503648845;143:14300:4:Z2415997097;
c1ccc2cnccc2c1,10952,143:14300:0:Z3800513742;143:14300:0:Z3774031313;143:14300:0:Z1831895526;
c1ccsc1,126760,143:14300:0:Z3893046678;143:14300:0:Z3726138118;143:14300:0:Z1232559742;
Fc1cccc(F)c1,62151,143:14300:0:Z3726138118;143:14300:0:Z1727923958;143:14300:0:Z4578049499;
C1CC2COCC(C1)C2,322,143:14300:0:Z3882933890;143:14300:2:Z4089813619;143:14300:3:Z3787463384;
Cc1nccs1,14087,143:14300:0:Z3882933890;143:14300:0:Z4277715856;143:14300:0:Z1151913573;
CC12CNCC1C2,712,143:14300:0:Z4171308231;143:14300:0:Z3808225944;143:14300:2:Z4577305650;
c1nncs1,29953,143:14300:0:Z4487720536;143:14300:0:Z2948680927;143:14300:0:Z2220693759;
CC1CNCCC(F)(F)C1,197,143:14300:0:Z4487720536;143:14300:1:Z4773532017;143:14300:3:Z3682660957;
CC1NC(=O)NC(=O)C1C,13,143:14300:0:Z3210898708;143:14301:9:Z3211540428;143:14302:3:Z3211435283;
c1ccc2c(c1)CCN2,23797,143:14300:0:Z3836885910;143:14300:0:Z4506568354;143:14300:0:Z3347343436;
O=C1NCCC12CCCNC2,359,143:14300:0:Z3836885910;143:14300:5:Z3868489659;143:14300:8:Z3834359221;
Cc1cccc2c1NCCC2,542,143:14300:0:Z1554066220;143:14300:2:Z203554508;143:14300:3:Z1886766082;
Cc1cccc2[nH]cnc12,778,143:14300:0:Z1554066220;143:14300:0:Z4600343524;143:14300:0:Z4979747666;
C1CC2(C1)CNCCO2,2422,143:14300:0:Z3802281980;143:14300:0:Z3820280174;143:14300:0:Z3807514882;
O=C1C2CCCC1COC2,392,143:14300:0:Z3802281980;143:14300:2:Z4984810806;143:14300:8:Z1245960301;
CC1CCCC1,5265,143:14300:0:Z1950544126;143:14300:0:Z4263912742;143:14300:0:Z3311552208;
CC1CCCC(C)O1,2176,143:14300:0:Z2077067524;143:14300:0:Z4268886451;143:14300:0:Z3613660773;
c1ccc2c(c1)OCO2,17513,143:14300:0:Z2859764055;143:14300:0:Z3783874240;143:14300:0:Z1589403284;
Cc1cocn1,7666,143:14300:0:Z4234337992;143:14300:0:Z3093203440;143:14300:0:Z2150088753;
c1cnc2c(c1)CNCC2,1530,143:14300:0:Z4234337992;143:14300:0:Z2708406048;143:14300:5:Z4234337689;
c1ccc2[nH]ccc2c1,36662,143:14300:0:Z1950593413;143:14300:0:Z3620634459;143:14300:0:Z915546620;
c1ccc2c(c1)CCOC2,11338,143:14300:0:Z3597700415;143:14300:0:Z3547245751;143:14300:0:Z3347938267;
Cc1cccnc1,21642,143:14300:0:Z2957219046;143:14300:0:Z3357633715;143:14300:0:Z2854128726;
CC12CNCC1CS(=O)(=O)C2,363,143:14300:0:Z3315145203;143:14300:4:Z3055562568;143:14301:3:Z3055566994;
C1CC2(CCN1)CCNC2,1094,143:14300:0:Z2599853672;143:14300:1:Z3889421623;143:14300:5:Z2355131791;
Cc1nc2cc(Cl)ccc2s1,106,143:14300:0:Z1971491130;143:14300:8:Z1971502090;143:14301:5:Z1956751607;
c1nn[nH]n1,33621,143:14300:0:Z4155597817;143:14300:0:Z4462732788;143:14300:0:Z4462732807;
Cn1cnnc1,29116,143:14300:0:Z4021040995;143:14300:0:Z2166685329;143:14300:0:Z3094840745;
c1ccc2ccccc2c1,18926,143:14300:0:Z4021040995;143:14300:0:Z292346562;143:14300:0:Z2457673575;
Oc1nccc2cccnc12,143,143:14300:0:Z4326850343;143:14300:4:Z4129984321;143:14300:6:Z4320413912;
C1CCC2(CCNCC2)COC1,283,143:14300:0:Z4326850343;143:14300:4:Z4932135418;143:14300:5:Z3815994523;
O=c1cn[nH]c2ccccc12,827,143:14300:0:Z144934598;143:14300:0:Z1524708405;143:14300:0:Z4907516566;
Cc1ccn[nH]1,38693,143:14300:0:Z4049686513;143:14300:0:Z4406759222;143:14300:0:Z3621497100;
c1cnoc1,76147,143:14300:0:Z1187044573;143:14300:0:Z3403121898;143:14300:0:Z1420342201;
c1cn[nH]n1,8404,143:14300:0:Z4590447308;143:14300:0:Z2716780964;143:14300:0:Z3873285505;
FC1CCNC1,12237,143:14300:0:Z2440927249;143:14300:0:Z3657027455;143:14300:0:Z2012230487;
c1n[nH]c2c1CNCC2,1282,143:14300:0:Z1177633705;143:14300:0:Z4322970513;143:14300:0:Z4322970149;
Cc1csc(C)c1C,181,143:14300:0:Z1263838855;143:14300:2:Z1693013109;143:14300:5:Z1303278865;
CC1CNCCS1=O,465,143:14300:0:Z2090838076;143:14300:5:Z1518987853;143:14300:7:Z3095738080;
c1ccn2cncc2c1,2559,143:14300:0:Z2090838076;143:14300:0:Z1893022612;143:14300:0:Z4364887995;
FC1CCC1,8495,143:14300:0:Z4180914335;143:14300:0:Z3622945740;143:14300:0:Z3819995589;
Cc1cccc(C)c1,29459,143:14300:0:Z2012100254;143:14300:0:Z910338516;143:14300:0:Z3470900624;
Cc1ccccc1F,12763,143:14300:0:Z2012100254;143:14300:0:Z3625638361;143:14300:0:Z1751067683;
c1ccc2c(c1)CCCN2,17883,143:14300:0:Z3437244137;143:14300:0:Z3049869022;143:14300:0:Z1725714217;
Fc1ccc2cnccc2c1,624,143:14300:0:Z2480282499;143:14300:2:Z3093558178;143:14300:4:Z4163364264;
Clc1ccccc1Cl,12627,143:14300:0:Z1510245079;143:14300:0:Z1653296796;143:14300:0:Z1471197092;
C1CC2CC1CO2,3702,143:14300:0:Z4412434099;143:14300:0:Z4886896104;143:14300:0:Z4009125252;
O=S1(=O)CCC2(CC2)CC1,769,143:14300:0:Z2089998337;143:14300:4:Z3613819130;143:14300:7:Z2043575764;
c1ccc2c(c1)NCC1CCCN21,156,143:14300:0:Z1378064989;143:14300:6:Z444209942;143:14300:6:Z2770221506;
Cc1ccno1,15067,143:14300:0:Z1437726782;143:14300:0:Z3872420834;143:14300:0:Z4400431285;
c1nnc2n1CCCC2,8592,143:14300:0:Z2599196889;143:14300:0:Z3311138793;143:14300:0:Z1863651193;
O=c1[nH]c2ccccc2o1,5418,143:14300:0:Z2073799136;143:14300:0:Z2073790231;143:14300:0:Z1144302004;
CC1CCNC1,22275,143:14300:0:Z2868606927;143:14300:0:Z1652912718;143:14300:0:Z4350361312;
c1ccc2[nH]ncc2c1,9788,143:14300:0:Z4188666608;143:14300:0:Z3364944023;143:14300:0:Z1700410118;
C1COCCO1,7457,143:14300:0:Z2311565100;143:14300:0:Z1209699179;143:14300:0:Z4993773380;
c1cnccn1,31766,143:14300:0:Z3132051682;143:14300:0:Z3716350441;143:14300:0:Z1651258210;
O=c1cccn[nH]1,6514,143:14300:0:Z4319889854;143:14300:0:Z3372936693;143:14300:0:Z3058515913;
C1NCC2CC12,11750,143:14300:0:Z4600338449;143:14300:0:Z3651126150;143:14300:0:Z3693981411;
C1CC2CC2C1,5793,143:14300:0:Z3783874240;143:14300:0:Z2767236080;143:14300:0:Z2963280583;
c1ccn2nccc2c1,4338,143:14300:0:Z4269163249;143:14300:0:Z2963950868;143:14300:0:Z2961763080;
CC1(C)CNC1,4893,143:14300:0:Z2294318243;143:14300:0:Z3359467258;143:14300:0:Z2306755120;
Cc1cc(C)ncn1,5325,143:14300:0:Z3640194314;143:14300:0:Z1262354906;143:14300:0:Z3369232214;
Cc1ccsc1,8492,143:14300:0:Z3136961055;143:14300:0:Z1636454787;143:14300:0:Z2416553503;
Cn1ccnc1,40308,143:14300:0:Z3136961055;143:14300:0:Z1727923958;143:14300:0:Z2125287735;
c1cnn2ccnc2c1,914,143:14300:0:Z2909520670;143:14300:0:Z5046872542;143:14300:0:Z4228844580;
O=C1CCCCCN1,4372,143:14300:0:Z3094840745;143:14300:0:Z3873581861;143:14300:0:Z4087163276;
C1CCC2(CC1)CCNC2,1377,143:14300:0:Z3094840745;143:14300:0:Z3381874929;143:14300:0:Z3381366334;
Cc1cc(=O)n2c(n1)CCCC2,480,143:14300:0:Z4031830335;143:14300:4:Z4014630265;143:14300:7:Z4645081069;
O=S1(=O)CC2CNCC(C2)C1,316,143:14300:0:Z4031830335;143:14300:0:Z4031834588;143:14300:1:Z4041323853;
CC1CC2CNCCN2C1,208,143:14300:0:Z4097322464;143:14300:0:Z4077819166;143:14301:2:Z4077817616;
CC1CC2CCC1O2,488,143:14300:0:Z2414424822;143:14300:7:Z4013747137;143:14300:8:Z2415850714;
c1cnc2c(c1)CCCC2,5670,143:14300:0:Z4540839471;143:14300:0:Z4574446645;143:14300:0:Z4274663059;
Cc1ccccc1Cl,6471,143:14300:0:Z1591936071;143:14300:0:Z1667878608;143:14300:0:Z3573540661;
O=C1CCOc2ccccc21,1579,143:14300:0:Z1902066516;143:14300:0:Z3542625472;143:14300:3:Z3546970529;
c1nnc2n1CCCCC2,3684,143:14300:0:Z1537191103;143:14300:0:Z3433937212;143:14300:1:Z2841451446;
Fc1ccc2c(c1)CCCO2,1639,143:14300:0:Z1537191103;143:14300:0:Z3437757331;143:14300:3:Z3605557992;
Cc1cnc2ccccn12,805,143:14300:0:Z4384947295;143:14300:0:Z4772286570;143:14300:0:Z4119147294;
Cn1c(=O)cc[nH]c1=O,1099,143:14300:0:Z1589403284;143:14300:1:Z1362871054;143:14300:2:Z3686962223;
CC1CCCNC1,20842,143:14300:0:Z1276385646;143:14300:0:Z4537739196;143:14300:0:Z4024583068;
OC1CCNCC1,22638,143:14300:0:Z4212883234;143:14300:0:Z1966905649;143:14300:0:Z4589985570;
C1CC2CC2N1,1538,143:14300:0:Z2221743040;143:14300:0:Z5045223139;143:14300:0:Z4097203098;
O=S1(=O)CCCCC1,9006,143:14300:0:Z4599091712;143:14300:0:Z2172360626;143:14300:0:Z2045549300;
c1cc[nH]c1,27149,143:14300:0:Z4599091712;143:14300:0:Z4077819166;143:14300:0:Z2497354734;
CC1(O)CCCCC1,1113,143:14300:0:Z2058800367;143:14300:0:Z3187149315;143:14300:8:Z1733495650;
c1ccc2c(c1)CNC2,7444,143:14300:0:Z910338516;143:14300:0:Z2700965760;143:14300:0:Z2347038350;
c1ncsn1,8379,143:14300:0:Z4964261804;143:14300:0:Z3078148459;143:14300:0:Z3649974838;
O=C1CCc2ccccc2N1,8308,143:14300:0:Z1239190011;143:14300:0:Z3540433340;143:14300:0:Z4965175277;
O=C1COCCN1,3106,143:14300:0:Z4474240788;143:14300:0:Z4248795751;143:14300:0:Z3893082919;
Cc1ccccc1C,17764,143:14300:0:Z1557720383;143:14300:0:Z2437482594;143:14300:0:Z1420059906;
CC1(F)CCNC1,334,143:14300:0:Z1557720383;143:14301:1:Z1557721035;143:14301:1:Z2174931142;
CC1(O)CCNCC1,451,143:14300:0:Z2272063194;143:14300:1:Z1418697212;143:14300:4:Z4769744284;
c1ccc2ncncc2c1,3800,143:14300:0:Z2272063194;143:14300:0:Z4613007178;143:14300:0:Z4991930421;
Cc1cn[nH]n1,2817,143:14300:0:Z2407728897;143:14300:0:Z4471220058;143:14300:0:Z4476735754;
C1CCC2(C1)OCCO2,2019,143:14300:0:Z3685540207;143:14300:1:Z2782878818;143:14300:1:Z4239966618;
FC1(F)CCCC1,3523,143:14300:0:Z4578049499;143:14300:0:Z3298742043;143:14300:0:Z2853243793;
Cc1ccccn1,28671,143:14300:0:Z1676290159;143:14300:0:Z3726874279;143:14300:0:Z2801619582;
C1=NOCC1,8945,143:14300:0:Z1676290159;143:14300:0:Z3682322573;143:14300:0:Z4387106915;
NC1CCC2(CC1)CC2,250,143:14300:0:Z4875571644;143:14300:5:Z3136893923;143:14300:6:Z3382737663;
C1CC2(CC2)CN1,4227,143:14300:0:Z4572429422;143:14300:0:Z3348156834;143:14300:0:Z3867167368;
Cc1ncnn1C,318,143:14300:0:Z3263478297;143:14300:4:Z3259266965;143:14301:0:Z4186886945;
CC1(C)CCC1,8299,143:14300:0:Z3263478297;143:14300:0:Z2505021046;143:14300:0:Z2699930914;
Fc1ccc(F)cc1,12382,143:14300:0:Z2897827890;143:14300:0:Z3844439813;143:14300:0:Z3672716238;
CC12CCCNC1COC2,195,143:14300:0:Z3910724848;143:14300:1:Z4370046851;143:14300:7:Z4386950676;
CC1CCCOC1,2763,143:14300:0:Z2647827988;143:14300:0:Z5045223139;143:14300:0:Z2288913749;
c1nc2n(n1)CCCC2,2536,143:14300:0:Z1369411094;143:14300:0:Z5008700481;143:14300:0:Z4998760397;
c1ncc2c(n1)CCNC2,4035,143:14300:0:Z4028530619;143:14300:0:Z2838173591;143:14300:0:Z2170305888;
c1nc[nH]n1,53158,143:14300:0:Z2618890088;143:14300:0:Z2313402767;143:14300:0:Z3300157646;
CC1(C)CCCN1,7439,143:14300:0:Z3577850611;143:14300:0:Z2818798499;143:14300:0:Z3383179649;
c1ccc2ncccc2c1,25063,143:14300:0:Z2991999061;143:14300:0:Z3503933184;143:14300:0:Z4177091064;
c1ccc2c(c1)OCCO2,19951,143:14300:0:Z1265076734;143:14300:0:Z4302127223;143:14300:0:Z1751067683;
Clc1cccnc1,20131,143:14300:0:Z2850703437;143:14300:0:Z1533057521;143:14300:0:Z1207871324;
O=S1(=O)CCNCC1,6169,143:14300:0:Z3801571025;143:14300:0:Z2916907577;143:14300:1:Z4328172510;
Cn1ccnn1,11251,143:14300:0:Z2167842837;143:14300:0:Z2178858378;143:14300:0:Z2131817687;
Cn1ncc2c1CCNC2,1843,143:14300:0:Z4124997400;143:14300:2:Z3382093997;143:14300:2:Z3773883113;
Clc1cccn2ccnc12,295,143:14300:0:Z4124997400;143:14300:3:Z4013598720;143:14300:3:Z4124967171;
Cc1ccc(F)cc1,5421,143:14300:0:Z1205411071;143:14300:0:Z4612260406;143:14300:0:Z2610137961;
c1nnn[nH]1,29336,143:14300:0:Z1205411071;143:14300:0:Z3547826900;143:14300:0:Z3298839074;
Cc1cccc2c1CCCN2,474,143:14300:0:Z1205411071;143:14300:1:Z3000008908;143:14300:3:Z1882726513;
CN1CCNC(C)(C)C1=O,197,143:14300:0:Z3372936693;143:14300:1:Z1391614532;143:14300:5:Z1796840382;
CC1Cc2ccccc2O1,4328,143:14300:0:Z4621014944;143:14300:0:Z4002885550;143:14300:0:Z3833398914;
C1COCC2(C1)CCCO2,506,143:14300:0:Z4621014944;143:14300:0:Z4621014145;143:14300:0:Z3394734543;
FC1CC2(CCC2)C1,353,143:14300:0:Z3503933184;143:14300:3:Z3559443688;143:14300:9:Z3582882389;
Cc1nnco1,6884,143:14300:0:Z1520165177;143:14300:0:Z1265325624;143:14300:0:Z3841313762;
Cc1ccc(C)[nH]1,9381,143:14300:0:Z352551662;143:14300:0:Z3602059785;143:14300:0:Z3541008783;
CC1CC2CCN1CC2,30,143:14300:0:Z4390527219;143:14302:5:Z4525682104;143:14303:9:Z4390468117;
CC1COC2(CCC2)CN1,289,143:14300:0:Z4400431285;143:14300:0:Z2644462610;143:14300:7:Z3580114554;
C1COC2(CNC2)CO1,242,143:14300:0:Z3621497100;143:14300:3:Z3612229044;143:14300:5:Z3435009260;
Cc1cc(C)[nH]n1,32362,143:14300:0:Z1378832966;143:14300:0:Z2609981963;143:14300:0:Z1989914236;
c1ncc2nc[nH]c2n1,16679,143:14300:0:Z4773625378;143:14300:0:Z4768213862;143:14300:0:Z4768213653;
Cc1cnc2c(c1)NCCO2,197,143:14300:0:Z1884026424;143:14300:1:Z1538512024;143:14300:9:Z1538504522;
Oc1ccc2cccnc2n1,207,143:14300:0:Z4228232888;143:14301:3:Z3583099677;143:14301:8:Z3506257789;
C1CC2(CO1)OCCO2,335,143:14300:0:Z4228232888;143:14300:0:Z2873020988;143:14300:2:Z2348446375;
C1CCC2(C1)CCC2,1413,143:14300:0:Z3535021858;143:14300:0:Z2434271190;143:14300:0:Z4029406423;
c1ccc2scnc2c1,13605,143:14300:0:Z2068637971;143:14300:0:Z2594054861;143:14300:0:Z4449775907;
C1NCC2CC1C2,630,143:14300:0:Z2143623292;143:14300:5:Z2226487039;143:14300:5:Z5035843733;
C1NC2CC1C1CC21,54,143:14300:0:Z3657027455;143:14300:4:Z3784708725;143:14301:2:Z3653689792;
c1cnc2ccncc2c1,922,143:14300:0:Z2331208112;143:14300:1:Z4175664909;143:14300:4:Z1737058220;
CC1CCC(=O)N1,1856,143:14300:0:Z2854217350;143:14300:0:Z1344265713;143:14300:1:Z1985862414;
Fc1ccc2c(c1)OCCC2,854,143:14300:0:Z2223535570;143:14300:0:Z2222020408;143:14300:1:Z3043395779;
Cc1cnccn1,5252,143:14300:0:Z4226174862;143:14300:0:Z3779169836;143:14300:0:Z2960258424;
Cc1ccc(C)cc1,8847,143:14300:0:Z4226174862;143:14300:0:Z4346494406;143:14300:0:Z89402573;
FC1(F)C2CCCC1CC2,322,143:14300:0:Z4506568354;143:14300:2:Z4574286762;143:14300:3:Z4506624657;
c1cc2c(s1)CCCC2,2086,143:14300:0:Z3095433816;143:14300:0:Z2199427978;143:14300:0:Z1566742535;
Cc1ccon1,11575,143:14300:0:Z1263823031;143:14300:0:Z2711020499;143:14300:0:Z2228983041;
c1cc2sccc2[nH]1,722,143:14300:0:Z3356516836;143:14300:1:Z3609556934;143:14300:4:Z2644515338;
CC1(C)OCc2cn[nH]c21,261,143:14300:0:Z3357940805;143:14300:2:Z3915504308;143:14301:0:Z3296685742;
OC1CCNC1,23021,143:14300:0:Z2457673575;143:14300:0:Z2459949723;143:14300:0:Z4166815127;
Cc1cc(=O)n2c(n1)NCC2,90,143:14300:0:Z4394275722;143:14301:1:Z4000401218;143:14304:6:Z4399909339;
Cc1cc2nc[nH]c2cc1C,498,143:14300:0:Z4394275722;143:14300:1:Z4206632441;143:14300:2:Z4143481000;
C1CNCCNC1,31618,143:14300:0:Z2170468267;143:14300:0:Z1278805528;143:14300:0:Z1717209432;
Cc1ccncn1,16912,143:14300:0:Z1615105335;143:14300:0:Z4293893924;143:14300:0:Z4352818599;
O=S1(=O)CCCC1,17630,143:14300:0:Z1615105335;143:14300:0:Z5033385831;143:14300:0:Z2870793895;
Oc1cccc2c1NCCC2,100,143:14300:0:Z2371504736;143:14301:4:Z2027677835;143:14302:2:Z1558498111;
NC1CCC1,3408,143:14300:0:Z2433591965;143:14300:0:Z3798930581;143:14300:0:Z3382092321;
Cn1cccc1,14131,143:14300:0:Z3622801808;143:14300:0:Z2105185365;143:14300:0:Z3131241764;
CC1NCCc2ncccc21,276,143:14300:0:Z3622801808;143:14300:0:Z3562136898;143:14301:5:Z3871023626;
Cc1cc2nccn2cc1C,169,143:14300:0:Z3839011835;143:14300:0:Z4127816872;143:14300:1:Z4129658532;
