fragment_smiles,occurences,example_ligands
C1COCCO1,8361,56:05600:0:Z3101900344;56:05600:0:Z2969653922;56:05600:0:Z2844362913;
c1nn[nH]n1,30569,56:05600:0:Z4414871469;56:05600:0:Z4414871626;56:05600:0:Z3500377476;
OC1CCCCC1,17985,56:05600:0:Z4414871469;56:05600:0:Z4414871626;56:05600:0:Z4272517257;
Cn1cccn1,142512,56:05600:0:Z4171759190;56:05600:0:Z3079466754;56:05600:0:Z4284016932;
N=S1(=O)CCCCCC1,136,56:05600:0:Z3339985814;56:05600:5:Z5001352470;56:05600:8:Z3339986807;
Fc1ccc2cccnc2c1,625,56:05600:0:Z2348247883;56:05600:2:Z3506629567;56:05600:6:Z4829696426;
CC1CCC(C)O1,1366,56:05600:0:Z2348247883;56:05600:1:Z2335134447;56:05600:1:Z2790958802;
C1CC2COCC2C1,1374,56:05600:0:Z4130092360;56:05600:0:Z3873648972;56:05600:0:Z3873648878;
c1c[nH]cn1,71597,56:05600:0:Z4130092360;56:05600:0:Z3359959442;56:05600:0:Z1960296404;
Clc1csnc1Cl,188,56:05600:0:Z2288233807;56:05600:0:Z2288235212;56:05600:0:Z2288234254;
O=C1NCCC12CCCNC2,371,56:05600:0:Z3833043770;56:05600:0:Z3836884683;56:05600:3:Z3833958585;
c1cc2n(n1)CCNC2,4460,56:05600:0:Z4621600226;56:05600:0:Z2691558977;56:05600:0:Z4591993301;
CC1CCNC(=O)C1,1464,56:05600:0:Z3667958652;56:05600:0:Z1995132575;56:05600:1:Z3804201445;
Fc1cccc(F)c1,46445,56:05600:0:Z1827920579;56:05600:0:Z3742264888;56:05600:0:Z1175477130;
c1nnn[nH]1,24786,56:05600:0:Z4242477526;56:05600:0:Z268779318;56:05600:0:Z4273417994;
C1CC2CCC12,804,56:05600:0:Z4242477526;56:05600:7:Z4380137710;56:05600:7:Z4393843445;
Cc1nc2c(o1)CCNC2,437,56:05600:0:Z4634098621;56:05600:0:Z4637531883;56:05600:1:Z4637489722;
C1COCCN1,117848,56:05600:0:Z4634098621;56:05600:0:Z3359959442;56:05600:0:Z3202252397;
CC1(C)CNCCS1,876,56:05600:0:Z4471518535;56:05600:0:Z4477782228;56:05600:0:Z3095903035;
c1ncn2c1CCCC2,2928,56:05600:0:Z4471518535;56:05600:0:Z4293983544;56:05600:1:Z3382876630;
C1CCC2NCCC2C1,2861,56:05600:0:Z5007129768;56:05600:0:Z3708002027;56:05600:1:Z2906958269;
c1ncon1,136580,56:05600:0:Z1580115337;56:05600:0:Z2841884216;56:05600:0:Z1717679118;
C1=NCCS1,795,56:05600:0:Z4326489956;56:05600:0:Z4218349564;56:05600:2:Z3144659684;
