fragment_smiles,occurences,example_ligands
O=C1CCCCN1,16715,76:07600:0:PV-002520094527;76:07600:0:PV-002845969423;76:07600:0:PV-005198322750;
Cc1ccc(Cl)cc1F,509,76:07600:0:PV-003397966696;76:07600:0:PV-003397970105;76:07600:1:PV-003398001378;
Oc1cnccn1,2665,76:07600:0:PV-003397966709;76:07600:0:PV-002845967615;76:07600:0:PV-003397975236;
Cc1cccc(C)n1,3319,76:07600:0:PV-001469191759;76:07600:0:PV-003397981748;76:07600:1:PV-003398020075;
Cc1ccsc1,31271,76:07600:0:PV-001469191759;76:07600:0:PV-003397967037;76:07600:0:PV-001630027350;
FC1CCC1,51694,76:07600:0:PV-003397966768;76:07600:0:PV-003397966769;76:07600:0:PV-003397966770;
CC1CC1(F)F,9387,76:07600:0:PV-003397966768;76:07600:0:PV-003397966769;76:07600:0:PV-003397966770;
O=c1[nH]ccs1,12389,76:07600:0:PV-003397966775;76:07600:0:PV-003397969673;76:07600:0:PV-005198333084;
Fc1ccc2c(Cl)n[nH]c2c1,111,76:07600:0:PV-004004823864;76:07600:4:PV-005198713040;76:07600:6:PV-005199007099;
CC1(C)CCCCC1,6574,76:07600:0:PV-002845967395;76:07600:0:PV-002416601329;76:07600:0:PV-005198323882;
Cc1cccc2c1ccn2C,42,76:07600:0:PV-003397966804;76:07600:2:PV-003398038641;76:07602:3:PV-003398770158;
Cc1ccc(Cl)cn1,416,76:07600:0:PV-003397966806;76:07600:1:PV-003398018190;76:07600:2:PV-002845999075;
C1COCCN1,40501,76:07600:0:PV-003397966809;76:07600:0:PV-002845967562;76:07600:0:PV-001738132681;
Cc1nc2c(C)cccn2n1,75,76:07600:0:PV-003397966827;76:07600:0:PV-003397966828;76:07601:8:PV-002846208719;
CC1=CCCC1,7068,76:07600:0:PV-003397966857;76:07600:0:PV-002845967647;76:07600:0:PV-002845967648;
FC1CNC1,20873,76:07600:0:PV-003397966857;76:07600:0:PV-003397967516;76:07600:0:PV-003397970942;
c1ccc2ocnc2c1,2101,76:07600:0:PV-002468347170;76:07600:0:PV-005198333157;76:07600:0:PV-002571846027;
Cn1nccc1Cl,7606,76:07600:0:PV-000405777008;76:07600:0:PV-003397972401;76:07600:0:PV-002845970429;
Clc1ccsc1,23962,76:07600:0:PV-003397966928;76:07600:0:PV-002845967498;76:07600:0:PV-002845967499;
Cc1ccccc1C,7479,76:07600:0:PV-002416601098;76:07600:0:PV-002416601110;76:07600:0:PV-005198284663;
