fragment_smiles,occurences,example_ligands
Cc1cnccn1,6003,91:09100:0:Z2960875577;91:09100:0:Z4026348975;91:09100:0:Z1782338997;
C1CC2CCC1N2,4934,91:09100:0:Z3175935630;91:09100:0:Z2873914622;91:09100:0:Z2466874141;
Cc1ccccc1C,15603,91:09100:0:Z3175935630;91:09100:0:Z2458250745;91:09100:0:Z2405726749;
c1ccncc1,421735,91:09100:0:Z4117507657;91:09100:0:Z1594533491;91:09100:0:Z2647009444;
c1nc[nH]n1,51212,91:09100:0:Z4117507657;91:09100:0:Z1160444834;91:09100:0:Z1266589406;
OC1CC2(CCCCC2)C1,597,91:09100:0:Z3864346307;91:09100:0:Z3860615348;91:09100:1:Z4325488783;
FC1CCNC1,11891,91:09100:0:Z2962740000;91:09100:0:Z4114446685;91:09100:0:Z3867596665;
C1CCCCC1,153203,91:09100:0:Z2962740000;91:09100:0:Z1840042662;91:09100:0:Z649927298;
c1cn2c(n1)CCCC2,11232,91:09100:0:Z3551471844;91:09100:0:Z3582947649;91:09100:0:Z4229864013;
Cc1cc(C)[nH]n1,27451,91:09100:0:Z3363386821;91:09100:0:Z1038305444;91:09100:0:Z2849864160;
c1ccsc1,124460,91:09100:0:Z3363386821;91:09100:0:Z1160444834;91:09100:0:Z3774569025;
c1nncs1,30447,91:09100:0:Z2017714486;91:09100:0:Z2784535501;91:09100:0:Z2474266073;
Cc1cncs1,10197,91:09100:0:Z3861602692;91:09100:0:Z1441644206;91:09100:0:Z3298264696;
c1ncc2c(n1)CNCC2,618,91:09100:0:Z1840042662;91:09100:0:Z1275673038;91:09100:1:Z4289051829;
c1ccc2c(c1)CCNC2,24950,91:09100:0:Z3836520074;91:09100:0:Z3551647909;91:09100:0:Z3540105478;
CC1(C)COCCO1,3967,91:09100:0:Z4288534847;91:09100:0:Z4095425071;91:09100:0:Z4453403668;
Fc1ccccc1,308581,91:09100:0:Z352798660;91:09100:0:Z4887314374;91:09100:0:Z3319381314;
Cn1ncc2c1CCCNC2,434,91:09100:0:Z2330489434;91:09100:1:Z2334881615;91:09100:8:Z3077338750;
Cc1nccs1,14107,91:09100:0:Z4185365890;91:09100:0:Z3009758281;91:09100:0:Z1276128755;
O=C1CNc2ccncc2N1,115,91:09100:0:Z1453201944;91:09100:4:Z1719867800;91:09102:4:Z4484245028;
O=C1CCCN1,80000,91:09100:0:Z2285913181;91:09100:0:Z3912036080;91:09100:0:Z3573806410;
Cn1cccn1,155314,91:09100:0:Z2285913181;91:09100:0:Z3591622291;91:09100:0:Z4117717828;
c1ccc2c(c1)CCCO2,13424,91:09100:0:Z1224552654;91:09100:0:Z2781381612;91:09100:0:Z2437594044;
Cc1ccc(Cl)cc1,3530,91:09100:0:Z3103237015;91:09100:0:Z2442359253;91:09100:0:Z3634519284;
CC1(C)CC(N)C1,95,91:09100:0:Z3103237015;91:09100:9:Z2997974150;91:09101:5:Z2997985733;
Cc1ccn[nH]1,36191,91:09100:0:Z1594533491;91:09100:0:Z4352935104;91:09100:0:Z2225442748;
Cc1ccnc(C)n1,2722,91:09100:0:Z2122181734;91:09100:0:Z2962288561;91:09100:1:Z3667859827;
Cc1ccc2nc(C)ccc2c1,404,91:09100:0:Z4923830391;91:09100:1:Z4570999295;91:09100:2:Z3385335673;
C1CC2CNCC(C1)C2,1639,91:09100:0:Z4923830391;91:09100:0:Z2448294779;91:09100:1:Z4906831074;
CN1CCCCC1,21320,91:09100:0:Z4063725678;91:09100:0:Z4244901656;91:09100:0:Z4276714179;
CC1CCCNC1,19647,91:09100:0:Z4277433096;91:09100:0:Z2647009444;91:09100:0:Z1692230747;
c1ccc2ncccc2c1,23232,91:09100:0:Z4277433096;91:09100:0:Z3539440448;91:09100:0:Z2184489689;
CN1CCC2(CCNCC2)C1=O,413,91:09100:0:Z4395623079;91:09100:0:Z1889684333;91:09100:0:Z4291181151;
CC1(C)CCCN1,8209,91:09100:0:Z4395623079;91:09100:0:Z2849864160;91:09100:0:Z3056090389;
Cc1sc2nc[nH]c(=O)c2c1C,897,91:09100:0:Z2932881118;91:09100:0:Z3403201366;91:09100:1:Z2710083026;
CC1CCOC1,4943,91:09100:0:Z2932881118;91:09100:0:Z2755483102;91:09100:0:Z1703541151;
OC1CCNC1,23405,91:09100:0:Z4406888808;91:09100:0:Z3393952833;91:09100:0:Z4201121523;
CN1C(=O)Cc2ccccc21,1708,91:09100:0:Z4406888808;91:09100:1:Z1980635159;91:09100:1:Z1708449956;
Cc1cc2ccccc2cn1,483,91:09100:0:Z2771401775;91:09100:4:Z3539720486;91:09100:8:Z4019225720;
c1nnc[nH]1,56607,91:09100:0:Z2771401775;91:09100:0:Z4171063013;91:09100:0:Z4115300235;
Cc1ccncc1,14206,91:09100:0:Z3551647909;91:09100:0:Z3540105478;91:09100:0:Z4466441677;
c1cn[nH]c1,270773,91:09100:0:Z2710001296;91:09100:0:Z362558118;91:09100:0:Z2286534610;
CC1COC1,2310,91:09100:0:Z2710001296;91:09100:1:Z3372387766;91:09100:1:Z4394207139;
Cn1ncc2c1CCC(F)C2,73,91:09100:0:Z3507377954;91:09100:0:Z4004573616;91:09100:1:Z3508514202;
Clc1ccc2c(c1)OCCCC2,218,91:09100:0:Z3507377954;91:09101:6:Z1594084826;91:09101:8:Z3076593876;
c1ccoc1,87913,91:09100:0:Z4255361926;91:09100:0:Z3549162677;91:09100:0:Z2964510531;
c1ncon1,147657,91:09100:0:Z4255361926;91:09100:0:Z3774569025;91:09100:0:Z1682838276;
Cc1cc(F)n(C)n1,386,91:09100:0:Z4255361926;91:09100:0:Z3010838719;91:09100:3:Z4152755519;
Cc1cccc(C)c1,27700,91:09100:0:Z362558118;91:09100:0:Z3708924595;91:09100:0:Z3393952833;
C1CC2CNCC2C1,5709,91:09100:0:Z3549162677;91:09100:0:Z3707874971;91:09100:0:Z3019717639;
C1CNCCN1,159152,91:09100:0:Z3606710103;91:09100:0:Z2001892095;91:09100:0:Z2700327755;
OC1C2CCC(C2)C1O,866,91:09100:0:Z4319543973;91:09100:0:Z4232255998;91:09100:1:Z4324454875;
O=C1CNCCCN1,2813,91:09100:0:Z1818832996;91:09100:0:Z3669198256;91:09100:0:Z3669198222;
c1cn[nH]n1,9091,91:09100:0:Z1818832996;91:09100:0:Z2700327755;91:09100:0:Z1693376814;
Clc1ccccc1,202741,91:09100:0:Z1818832996;91:09100:0:Z2755483102;91:09100:0:Z4540559731;
C1CC2CCC1CO2,2055,91:09100:0:Z4887314374;91:09100:0:Z4271823395;91:09100:0:Z4279289897;
C1CC2(C1)CCNC2,5983,91:09100:0:Z3898638391;91:09100:0:Z3915233629;91:09100:0:Z5035384557;
CC1(C)OCc2ccccc2O1,158,91:09100:0:Z4138613254;91:09100:7:Z2351340409;91:09102:3:Z4964134933;
Cc1ccc(F)cc1,5617,91:09100:0:Z3841520362;91:09100:0:Z3101630401;91:09100:0:Z3910204327;
Cc1cscn1,38248,91:09100:0:Z3698946636;91:09100:0:Z2912138591;91:09100:0:Z2197379130;
FC1(F)CCNCC1,3298,91:09100:0:Z5052130272;91:09100:0:Z4272024729;91:09100:0:Z4271266696;
CC1(C)CNC(=O)C1,655,91:09100:0:Z2914790248;91:09100:0:Z3589422323;91:09100:3:Z3176718029;
O=S1(=O)CCCN1,8749,91:09100:0:Z2914790248;91:09100:0:Z3102263740;91:09100:0:Z4612501490;
OC1CCc2cc(F)ccc21,229,91:09100:0:Z2457793476;91:09100:1:Z3670523895;91:09100:3:Z2457796268;
c1ccc2c(c1)CCS2,1059,91:09100:0:Z2457793476;91:09100:0:Z2755716722;91:09100:1:Z4562023872;
CC1(C)CCC(C)(C)O1,1198,91:09100:0:Z2286534610;91:09100:0:Z3581672304;91:09100:0:Z4111049605;
FC1CCC1,9393,91:09100:0:Z3907162312;91:09100:0:Z3653998001;91:09100:0:Z3699934257;
Clc1cncc2sccc12,92,91:09100:0:Z3907162312;91:09100:0:Z3653998001;91:09100:0:Z2898895828;
Fc1ccccc1F,25626,91:09100:0:Z3912036080;91:09100:0:Z2610952659;91:09100:0:Z3405440512;
c1ccnnc1,19750,91:09100:0:Z4984809970;91:09100:0:Z4540559731;91:09100:0:Z4383243226;
c1cc[nH]c1,27173,91:09100:0:Z2372860556;91:09100:0:Z5048627715;91:09100:0:Z1144845732;
O=C1CCNC2CCCN12,198,91:09100:0:Z2964510531;91:09100:1:Z2964510050;91:09100:3:Z4304517073;
Clc1cn[nH]c1,6990,91:09100:0:Z2964510531;91:09100:0:Z2877078988;91:09100:0:Z2774358917;
C1CCC2(CCNCC2)OC1,1181,91:09100:0:Z3510697411;91:09100:0:Z2851577133;91:09100:0:Z4447939529;
C1CCC2NCCCC2C1,1765,91:09100:0:Z3510697411;91:09100:0:Z3708053255;91:09100:0:Z3711282570;
Cn1ccnc1,36329,91:09100:0:Z4272975199;91:09100:0:Z3378600291;91:09100:0:Z4260265874;
C1COCCO1,7810,91:09100:0:Z4272975199;91:09100:0:Z2802193362;91:09100:0:Z2645283011;
CC1(C)CCCCO1,4343,91:09100:0:Z3998269889;91:09100:0:Z2769690558;91:09100:0:Z2861395204;
Fc1ccccc1Cl,15313,91:09100:0:Z3806881383;91:09100:0:Z4484313702;91:09100:0:Z4289834427;
c1cncnc1,90289,91:09100:0:Z3591622291;91:09100:0:Z3169103071;91:09100:0:Z2992833548;
Cc1cc(C)n(C)n1,8510,91:09100:0:Z3660676548;91:09100:0:Z2950171465;91:09100:0:Z3879049763;
C1CCSCC1,8785,91:09100:0:Z3660676548;91:09100:0:Z2141122201;91:09100:0:Z3298264696;
OC1CCc2ccccc2C1,775,91:09100:0:Z2922693870;91:09100:0:Z3594810092;91:09100:1:Z3508561747;
C1COC2(CCN1)CCSCC2,300,91:09100:0:Z4277988526;91:09100:2:Z3648085525;91:09100:5:Z3522487250;
Clc1csc2ncccc12,108,91:09100:0:Z2965550562;91:09100:3:Z3642947804;91:09101:4:Z3625738259;
C1CCC2(C1)CCNC2,1665,91:09100:0:Z4084548943;91:09100:0:Z1297189727;91:09100:0:Z3322409574;
O=C1COc2ncccc2N1,515,91:09100:0:Z4084548943;91:09100:1:Z4084425750;91:09100:2:Z4471630827;
CC1CCc2[nH]ncc2C1,282,91:09100:0:Z2691100841;91:09100:4:Z3751013290;91:09101:1:Z5051846391;
Cn1cn[nH]c1=O,2719,91:09100:0:Z4233520192;91:09100:0:Z3913482193;91:09100:0:Z2219942924;
C1CSCS1,1467,91:09100:0:Z3380352232;91:09100:3:Z3541241612;91:09100:4:Z4149537574;
C1CNCCOC1,13038,91:09100:0:Z4117717828;91:09100:0:Z3518653153;91:09100:0:Z2778962880;
OC1CCCC1,12097,91:09100:0:Z3687068123;91:09100:0:Z2479108481;91:09100:0:Z4772553915;
c1c[nH]cn1,71999,91:09100:0:Z3687068123;91:09100:0:Z3353170421;91:09100:0:Z2777246339;
Cc1ncon1,12378,91:09100:0:Z2071689352;91:09100:0:Z3899102317;91:09100:0:Z2494884016;
Fc1cccc2ncccc12,543,91:09100:0:Z2071689352;91:09100:2:Z4876804893;91:09100:5:Z1040326118;
Cc1cccs1,12665,91:09100:0:Z2304961719;91:09100:0:Z3299811612;91:09100:0:Z3385088483;
C1CC2(CO1)OCCO2,230,91:09100:0:Z2304961719;91:09100:1:Z4992115894;91:09100:7:Z4311510607;
O=S1(=O)CCC2(CCNC2)C1,402,91:09100:0:Z3319381314;91:09100:4:Z3189588030;91:09100:6:Z3319379607;
Cc1ccccc1F,12515,91:09100:0:Z2700828060;91:09100:0:Z4402952840;91:09100:0:Z2843277948;
Clc1cccc(Cl)c1,18862,91:09100:0:Z3179634896;91:09100:0:Z1311002827;91:09100:0:Z4477014545;
c1cnccn1,31623,91:09100:0:Z3179634896;91:09100:0:Z4582368425;91:09100:0:Z4139316325;
c1ccc2c(c1)OCCO2,16132,91:09100:0:Z4575906575;91:09100:0:Z930330046;91:09100:0:Z3597691226;
CC1CCCCN1,14890,91:09100:0:Z3709094288;91:09100:0:Z3382259146;91:09100:0:Z4876778626;
Cn1nc2n(c1=O)CCNC2,414,91:09100:0:Z2478667119;91:09100:1:Z1539776480;91:09100:3:Z1538414751;
CN1CCNCC1,22735,91:09100:0:Z1692230747;91:09100:0:Z4047020793;91:09100:0:Z2918902542;
O=C1NCCCc2occc21,563,91:09100:0:Z3860767174;91:09100:1:Z3594765985;91:09100:4:Z3712185011;
O=c1cc[nH]c(=O)[nH]1,3357,91:09100:0:Z2648008803;91:09100:0:Z4025568183;91:09100:0:Z4064454386;
CC1CCNCC1,19648,91:09100:0:Z4188184281;91:09100:0:Z2503955905;91:09100:0:Z5065365931;
c1cnc2oncc2c1,1919,91:09100:0:Z4171063013;91:09100:0:Z4115300235;91:09100:0:Z3627466402;
Cc1ccccn1,28898,91:09100:0:Z4403094350;91:09100:0:Z4252193879;91:09100:0:Z4963499295;
O=C1CCCCN1,31671,91:09100:0:Z2503955905;91:09100:0:Z5065365931;91:09100:0:Z3503569195;
C1CSCCN1,10884,91:09100:0:Z4481047828;91:09100:0:Z1306719055;91:09100:0:Z1566352483;
C1CCC2(CC1)OCCO2,4215,91:09100:0:Z1311002827;91:09100:0:Z4271507666;91:09100:0:Z3898778649;
Cc1ccc(C)o1,2651,91:09100:0:Z3512495481;91:09100:0:Z2705334418;91:09100:0:Z1899539316;
Cc1coc(=O)o1,82,91:09100:0:Z3512495481;91:09100:5:Z3515261750;91:09102:5:Z4402169564;
Cc1ccn(C)n1,13760,91:09100:0:Z4143174640;91:09100:0:Z4289388887;91:09100:0:Z3809041772;
CC1(C)CCCOC1,3065,91:09100:0:Z3407052908;91:09100:0:Z3619370153;91:09100:1:Z3091605834;
Cc1[nH]c2ncncc2c1C,132,91:09100:0:Z2433324204;91:09100:0:Z3561188663;91:09100:1:Z1832784100;
OC1CCSC1,534,91:09100:0:Z4768191343;91:09100:2:Z3160077591;91:09100:3:Z1552417425;
c1ncc2nc[nH]c2n1,11270,91:09100:0:Z4768191343;91:09100:0:Z4772553915;91:09100:0:Z4768022445;
FC1(F)CNCCO1,204,91:09100:0:Z4768191343;91:09100:2:Z4116991381;91:09100:2:Z4116986993;
Cn1ncc2c1CC(C)(C)CNC2,268,91:09100:0:Z2608620594;91:09100:3:Z3948874170;91:09100:4:Z2608616382;
c1nnn[nH]1,27753,91:09100:0:Z4265973612;91:09100:0:Z2187108065;91:09100:0:Z1926435099;
CC1CC(C)(C)c2ccccc21,42,91:09100:0:Z4265973612;91:09104:6:Z3176160461;91:09106:8:Z3135201526;
c1c[nH]nn1,86503,91:09100:0:Z4029091355;91:09100:0:Z2957928988;91:09100:0:Z3392360615;
CC1CCCc2ccccc21,698,91:09100:0:Z3778277575;91:09100:7:Z3541809277;91:09100:7:Z4139057388;
OC1CCOC1,4731,91:09100:0:Z3778277575;91:09100:0:Z4200843207;91:09100:0:Z3528433216;
CC1CCc2ncsc2C1,910,91:09100:0:Z3092005954;91:09100:3:Z4124716285;91:09100:5:Z1898231222;
Cc1cn[nH]c1,13934,91:09100:0:Z3092005954;91:09100:0:Z1682838276;91:09100:0:Z2968480291;
Fc1cccnc1,26741,91:09100:0:Z3774569025;91:09100:0:Z4110901848;91:09100:0:Z3837091655;
Oc1ccccc1,40613,91:09100:0:Z2203488121;91:09100:0:Z1544992646;91:09100:0:Z2960370789;
CC1CNCC1C,1848,91:09100:0:Z4997626888;91:09100:0:Z3137667021;91:09100:1:Z2911507401;
C1COCCN1,145908,91:09100:0:Z3881447948;91:09100:0:Z4055543828;91:09100:0:Z4055622323;
CC1CNc2cc(Cl)ccc2O1,91,91:09100:0:Z4112483989;91:09100:7:Z1883177440;91:09101:4:Z1275726578;
C1CC2(CN1)COCCO2,491,91:09100:0:Z4112483989;91:09100:1:Z2995177345;91:09100:3:Z3137152731;
C1CCCNCC1,25746,91:09100:0:Z4488711599;91:09100:0:Z3044604719;91:09100:0:Z3559422473;
Fc1cccc(Cl)c1,16985,91:09100:0:Z1306719055;91:09100:0:Z3699934257;91:09100:0:Z3699946494;
CC1CNCCN1,13855,91:09100:0:Z4165119651;91:09100:0:Z3817967095;91:09100:0:Z4204588520;
CC1CCCN1C,1525,91:09100:0:Z4883109027;91:09100:0:Z4324904257;91:09100:2:Z3537783422;
c1cc2c(cn1)OCO2,418,91:09100:0:Z2977354229;91:09100:0:Z1886741654;91:09100:0:Z1696326178;
Cc1n[nH]c(C)n1,2513,91:09100:0:Z2928729690;91:09100:0:Z4289834427;91:09100:1:Z5021610693;
OC1CC(O)C12CCNCC2,273,91:09100:0:Z4271568616;91:09100:1:Z4271583745;91:09100:6:Z4271574577;
CC1CC(C)C(C)O1,561,91:09100:0:Z2719870164;91:09100:0:Z2719869424;91:09100:2:Z2812871423;
c1cc2sccc2cn1,687,91:09100:0:Z4260265874;91:09100:1:Z1665455919;91:09100:1:Z4601467208;
c1ccc2c(c1)CC2,1695,91:09100:0:Z4091813637;91:09100:0:Z750421500;91:09100:1:Z4227344515;
C1CCC2(CC1)CCC2,4381,91:09100:0:Z3646934303;91:09100:0:Z3684636668;91:09100:0:Z3646050597;
Clc1ccc2c(c1)CCO2,2359,91:09100:0:Z3646934303;91:09100:1:Z5018441159;91:09100:1:Z2371395541;
c1ccc2[nH]ccc2c1,31470,91:09100:0:Z4136580739;91:09100:0:Z2644359502;91:09100:0:Z3768112786;
O=S1(=O)CCNNCC1,173,91:09100:0:Z4136580739;91:09100:6:Z3060276267;91:09100:9:Z3188230654;
c1ccc2c(c1)CNC2,6531,91:09100:0:Z2447976645;91:09100:0:Z3104870028;91:09100:0:Z4907026226;
c1ccc2ncncc2c1,3438,91:09100:0:Z4602632646;91:09100:0:Z3019565457;91:09100:0:Z1646320570;
CC1CC2CCC(C1)S2,346,91:09100:0:Z4244901656;91:09100:0:Z3710289667;91:09100:2:Z3047437328;
CC1CCc2oncc2C1,895,91:09100:0:Z4436439456;91:09100:0:Z4490590203;91:09100:1:Z4436160482;
O=S1(=O)CCCCC1,8871,91:09100:0:Z1566070475;91:09100:0:Z4253707474;91:09100:0:Z2996629338;
Cc1nc2ccccc2o1,2303,91:09100:0:Z3567258555;91:09100:0:Z371326480;91:09100:0:Z3404279875;
C1CCC2(CCOC2)OC1,1273,91:09100:0:Z3567258555;91:09100:0:Z1729472633;91:09100:0:Z3080174376;
c1cnc2[nH]ncc2c1,3183,91:09100:0:Z750421500;91:09100:0:Z2862533929;91:09100:0:Z2776485947;
C1NCC2CC12,11947,91:09100:0:Z4201121523;91:09100:0:Z4291798281;91:09100:0:Z3588304586;
C1CC2(C1)CNCCO2,2620,91:09100:0:Z4056070427;91:09100:0:Z4326663884;91:09100:0:Z4206076556;
c1ncsn1,9200,91:09100:0:Z1934466674;91:09100:0:Z1492003082;91:09100:0:Z1489611809;
Cc1cccn1C,1493,91:09100:0:Z1934466674;91:09100:2:Z4254095548;91:09100:3:Z3044711619;
C1CC2(CCN1)CC2,4072,91:09100:0:Z5055984948;91:09100:0:Z3784271153;91:09100:0:Z3692972785;
Nc1nccs1,1146,91:09100:0:Z4291798281;91:09100:0:Z3046962217;91:09100:0:Z2825540967;
CN1CCCCC1=O,3440,91:09100:0:Z1335529301;91:09100:0:Z1981822247;91:09100:0:Z2444512829;
c1nn[nH]n1,33937,91:09100:0:Z4384425376;91:09100:0:Z4423108645;91:09100:0:Z4511072959;
Cn1c(=O)oc2ccccc21,2247,91:09100:0:Z1250353906;91:09100:1:Z3789592474;91:09100:2:Z2225646401;
Fc1ccc2c(c1)CCO2,869,91:09100:0:Z1250353906;91:09100:1:Z3579917688;91:09100:1:Z1700710847;
OC1CCNC12CCCC2,296,91:09100:0:Z2215235743;91:09100:0:Z2231209938;91:09100:2:Z3176357864;
c1cnc2[nH]cnc2c1,1929,91:09100:0:Z4472400692;91:09100:0:Z1669731582;91:09100:0:Z3816586689;
CC1CCNC1,20990,91:09100:0:Z2303861307;91:09100:0:Z4153756765;91:09100:0:Z4153757963;
C1CC2CCC(C1)N2,9290,91:09100:0:Z2438687718;91:09100:0:Z2614830021;91:09100:0:Z3547672195;
CN1CCCc2ccccc21,1945,91:09100:0:Z3643742390;91:09100:0:Z3637960708;91:09100:2:Z3605422229;
CC1(C)CNCCO1,7233,91:09100:0:Z2991992923;91:09100:0:Z2208071561;91:09100:0:Z3380962622;
Clc1ccc2cc[nH]c2c1,1330,91:09100:0:Z1080863608;91:09100:0:Z4876942203;91:09100:1:Z2501818002;
Cc1cc(=O)[nH]cn1,3054,91:09100:0:Z1151942593;91:09100:0:Z3204529911;91:09100:0:Z2960617162;
CC1CNC1,8226,91:09100:0:Z3436154806;91:09100:0:Z3621069119;91:09100:0:Z4142083997;
Cn1ccncc1=O,647,91:09100:0:Z2862533929;91:09100:0:Z2862533774;91:09100:0:Z4648015558;
Cc1cccc(F)c1,11676,91:09100:0:Z1957870789;91:09100:0:Z3438943194;91:09100:0:Z4595158096;
c1cc2cnccc2cn1,175,91:09100:0:Z4276166781;91:09101:0:Z4208510965;91:09101:0:Z3829598380;
OC1CCNCC1O,1149,91:09100:0:Z4230656353;91:09100:0:Z2802969742;91:09100:0:Z4598252470;
CC1CCCCO1,4597,91:09100:0:Z2615170766;91:09100:0:Z5014199932;91:09100:0:Z4005599005;
CC1(C)CCCC(C)(C)N1,516,91:09100:0:Z1208307209;91:09100:1:Z3665930456;91:09100:3:Z4251681383;
Cc1cc(=O)[nH]c(C)n1,629,91:09100:0:Z1769041924;91:09100:0:Z2476755418;91:09100:2:Z509768854;
Cc1cn2c(n1)CCCC2,2089,91:09100:0:Z2977402695;91:09100:0:Z3581230873;91:09100:1:Z1757165767;
O=C1CC2CCCCC2N1,459,91:09100:0:Z2977402695;91:09100:3:Z4254449198;91:09100:4:Z3082389029;
C1CCC2CNCCC2C1,1985,91:09100:0:Z4640899213;91:09100:0:Z4579986999;91:09100:0:Z4575484255;
c1cc2[nH]ccc2cn1,686,91:09100:0:Z4278828856;91:09100:2:Z2041570327;91:09100:2:Z4046145523;
CC1(C)CCCc2scnc21,140,91:09100:0:Z2494884016;91:09103:0:Z2172123937;91:09103:2:Z2179755412;
Clc1cccnn1,1090,91:09100:0:Z2286120388;91:09100:2:Z2440534154;91:09100:2:Z4270775935;
Cc1cn2ncccc2n1,440,91:09100:0:Z4217047748;91:09100:4:Z4273399128;91:09100:7:Z2269286129;
Cn1ccc(Cl)c1,699,91:09100:0:Z4423108645;91:09100:0:Z2002355394;91:09100:0:Z2841576771;
FC1(F)CCCNCC1,1858,91:09100:0:Z4423108645;91:09100:0:Z4419625066;91:09100:0:Z3831635617;
Cc1ccno1,14310,91:09100:0:Z4214021680;91:09100:0:Z2210197467;91:09100:0:Z3540580178;
Cc1cn2nccc(C)c2n1,495,91:09100:0:Z4166552976;91:09100:5:Z4217004052;91:09100:9:Z4226767068;
CC1(C)CCNCC(C)(C)N1,223,91:09100:0:Z4166552976;91:09100:3:Z3207012696;91:09103:0:Z3207016766;
C1CC2(C1)CCNCC2,3711,91:09100:0:Z3145324136;91:09100:0:Z4064454386;91:09100:0:Z4178584433;
Oc1cc2ccccc2cn1,159,91:09100:0:Z3145324136;91:09100:9:Z2703315782;91:09101:4:Z4421734664;
FC1CNC1,3893,91:09100:0:Z4319084254;91:09100:0:Z3778187715;91:09100:0:Z4403302804;
c1cc2c(cn1)CCN2,267,91:09100:0:Z1909276266;91:09100:0:Z4126905138;91:09100:1:Z3494709502;
CC1CCCN1,18846,91:09100:0:Z2283347077;91:09100:0:Z2784535501;91:09100:0:Z3209894217;
O=C1CCCc2ccccc2N1,1913,91:09100:0:Z2283347077;91:09100:0:Z1104834832;91:09100:1:Z1816707942;
c1ccc2c(c1)NCCN2,834,91:09100:0:Z4128641171;91:09100:1:Z2197124564;91:09100:2:Z3516365639;
C1CCC2(C1)CNCCO2,626,91:09100:0:Z4578520241;91:09100:2:Z3555536373;91:09100:2:Z4108999419;
Cn1cnc2ccccc21,6055,91:09100:0:Z2976086343;91:09100:0:Z1234858373;91:09100:0:Z4218921073;
C1CC2CCC1C2,11931,91:09100:0:Z2976086343;91:09100:0:Z4419598723;91:09100:0:Z2978181243;
C1CC2CCC1CC2,3575,91:09100:0:Z3526724397;91:09100:0:Z3780512269;91:09100:0:Z3643115654;
Cn1cnnc1,26413,91:09100:0:Z3526724397;91:09100:0:Z3095521177;91:09100:0:Z3159452525;
Fc1ccc2ncccc2c1,1421,91:09100:0:Z5013333722;91:09100:0:Z2149972126;91:09100:0:Z4226747902;
CC1CNCCCN1,335,91:09100:0:Z3557629592;91:09100:0:Z4457284851;91:09101:4:Z1252699360;
Cn1ccc(=O)[nH]c1=O,743,91:09100:0:Z3557629592;91:09100:1:Z4639462364;91:09100:3:Z4112894654;
Cc1ccnn1C,9498,91:09100:0:Z1874228076;91:09100:0:Z4009380968;91:09100:0:Z2208560375;
