fragment_smiles,occurences,example_ligands
c1ccc2c(c1)OCCO2,49631,510:51000:0:Z1130115558;510:51000:0:Z1495895471;510:51000:0:Z2605564907;
C1CN2CCC(C2)N1,775,510:51000:0:Z1557775275;510:51000:1:Z1596369070;510:51000:2:Z1557449573;
c1ncc2nc[nH]c2n1,12663,510:51000:0:Z4768384600;510:51000:0:Z4769641645;510:51000:0:Z4770533565;
C1CCCCC1,152565,510:51000:0:Z3381382029;510:51000:0:Z1269513815;510:51000:0:Z1815684289;
c1cncnc1,89774,510:51000:0:Z3381382029;510:51000:0:Z1668346756;510:51000:0:Z1532017884;
c1cnoc1,41089,510:51000:0:Z3381382029;510:51000:0:Z1276825808;510:51000:0:Z1192532118;
CC1Cc2ccccc2O1,4005,510:51000:0:Z436708092;510:51000:0:Z3524168848;510:51000:0:Z2150874386;
c1ccsc1,109993,510:51000:0:Z3278177956;510:51000:0:Z1345769160;510:51000:0:Z1981798402;
O=C1NCCN1,19668,510:51000:0:Z4264173562;510:51000:0:Z1672138662;510:51000:0:Z1265999233;
CC1CCNC1,15158,510:51000:0:Z2025173955;510:51000:0:Z1269048342;510:51000:0:Z3277799949;
C1CCC2(CCOCC2)OC1,708,510:51000:0:Z1451717392;510:51000:1:Z1453012681;510:51000:4:Z1694194596;
c1ccnnc1,17222,510:51000:0:Z1269513815;510:51000:0:Z1238962393;510:51000:0:Z997197004;
Clc1ccccc1,259606,510:51000:0:Z1815684289;510:51000:0:Z1254554414;510:51000:0:Z52731227;
Cc1ccccn1,27913,510:51000:0:Z1441083197;510:51000:0:Z2003784806;510:51000:0:Z3354715403;
c1ccc2ocnc2c1,10024,510:51000:0:Z1441083197;510:51000:0:Z1845116407;510:51000:0:Z1185047457;
c1ccn2ccnc2c1,10842,510:51000:0:Z3725555928;510:51000:0:Z4997655420;510:51000:0:Z1474229035;
Cc1cscn1,25476,510:51000:0:Z2184955911;510:51000:0:Z952304114;510:51000:0:Z1204063164;
CC1CCCN1,12365,510:51000:0:Z2109004094;510:51000:0:Z1508225913;510:51000:0:Z1473313593;
c1nc[nH]n1,78454,510:51000:0:Z2109004094;510:51000:0:Z1030739604;510:51000:0:Z1003542340;
Cn1cc2c(n1)CCCC2,1708,510:51000:0:Z3104500321;510:51000:0:Z2189829487;510:51000:1:Z3917646513;
c1c[nH]cn1,75695,510:51000:0:Z3104500321;510:51000:0:Z3300138639;510:51000:0:Z2968544205;
c1cnc2ncccc2c1,725,510:51000:0:Z3801999365;510:51000:1:Z4225112240;510:51000:3:Z3723500097;
CN1CCc2ccccc21,1242,510:51000:0:Z1744462938;510:51000:0:Z4076908864;510:51000:1:Z1595927912;
Cc1cccc(Cl)c1,2862,510:51000:0:Z1186887178;510:51000:0:Z1498455494;510:51000:0:Z268866742;
Cn1ccc2ccccc21,4619,510:51000:0:Z2230786924;510:51000:0:Z1902338404;510:51000:0:Z1398019510;
c1ncon1,222432,510:51000:0:Z1668346756;510:51000:0:Z1891468909;510:51000:0:Z1276825808;
Fc1ccc2c(c1)OCCC2,414,510:51000:0:Z2225161280;510:51000:0:Z2217584866;510:51000:1:Z2612355501;
c1noc2c1CNCC2,214,510:51000:0:Z4246537637;510:51001:1:Z3711552986;510:51001:3:Z4307566167;
Cc1cccc2ccn(C)c12,64,510:51000:0:Z3844642938;510:51000:2:Z3555151749;510:51000:9:Z3590530858;
C1CCOCC1,130158,510:51000:0:Z3844642938;510:51000:0:Z1627982342;510:51000:0:Z1877924000;
CC1CCCCC1,13146,510:51000:0:Z1304207559;510:51000:0:Z3266906001;510:51000:0:Z1832755442;
c1nnco1,37709,510:51000:0:Z1239696240;510:51000:0:Z1590245095;510:51000:0:Z2105352394;
Cc1cc2[nH]c(=O)ccn2n1,490,510:51000:0:Z1030739604;510:51000:0:Z991890690;510:51000:1:Z2079201509;
c1ccc2c(c1)COC2,2457,510:51000:0:Z1417095756;510:51000:0:Z3197981944;510:51000:0:Z1027540360;
C1=CCNCC1,11443,510:51000:0:Z1417095756;510:51000:0:Z1124703239;510:51000:0:Z2227809164;
Cc1cc2ncccc2[nH]1,35,510:51000:0:Z4206916967;510:51000:1:Z4875799214;510:51004:9:Z4875400963;
Nc1cnnc2ccccc12,283,510:51000:0:Z1315292545;510:51000:1:Z1312606435;510:51000:7:Z1427960116;
Cc1cc(=O)[nH]cn1,11761,510:51000:0:Z652731922;510:51000:0:Z1531656975;510:51000:0:Z1482658064;
c1cc[nH]c1,26135,510:51000:0:Z652731922;510:51000:0:Z3534296088;510:51000:0:Z1697423224;
CC1CNC(C)c2ccccc2C1,379,510:51000:0:Z1952645335;510:51000:2:Z2480359882;510:51000:4:Z1542286822;
Cc1ccc(F)cc1,5685,510:51000:0:Z1222629241;510:51000:0:Z1222628113;510:51000:0:Z1560042238;
Cc1ccccc1C,39111,510:51000:0:Z1222629241;510:51000:0:Z1672138662;510:51000:0:Z2356874972;
c1nnc2n1CCCCC2,6603,510:51000:0:Z332833832;510:51000:0:Z1345939298;510:51000:0:Z1220262246;
O=C1CCCN1,174463,510:51000:0:Z3300138639;510:51000:0:Z1184512766;510:51000:0:Z1877924000;
c1[nH]nc2c1CCC2,570,510:51000:0:Z3300138639;510:51000:1:Z412447682;510:51000:2:Z1715574435;
Fc1cccc(F)c1,80743,510:51000:0:Z804229166;510:51000:0:Z442677302;510:51000:0:Z2205343665;
Cc1ccc2nccn2c1,2183,510:51000:0:Z1843135147;510:51000:2:Z3046626787;510:51000:2:Z2160711953;
Cc1cccs1,7199,510:51000:0:Z2011855274;510:51000:0:Z900299080;510:51000:0:Z1134905623;
O=S1(=O)N=Cc2ccccc21,7944,510:51000:0:Z1409023181;510:51000:0:Z1907656526;510:51000:0:Z381280134;
c1c[nH]nn1,82832,510:51000:0:Z1373964342;510:51000:0:Z4985529563;510:51000:0:Z2757767044;
O=c1[nH]c2ccccc2[nH]1,13412,510:51000:0:Z1373964342;510:51000:0:Z1744476206;510:51000:0:Z2621793858;
OC1CCNCC1,27883,510:51000:0:Z1254554414;510:51000:0:Z1131715501;510:51000:0:Z1745696335;
CN1CCCC1=O,12988,510:51000:0:Z1991465182;510:51000:0:Z2454075280;510:51000:0:Z3354715403;
O=c1[nH]cnc2ccccc12,24082,510:51000:0:Z1891468909;510:51000:0:Z3719949218;510:51000:0:Z785269568;
c1cnccn1,33390,510:51000:0:Z1891468909;510:51000:0:Z1662842507;510:51000:0:Z1129214319;
O=c1ccnc2sccn12,1840,510:51000:0:Z1174739937;510:51000:0:Z1123953401;510:51000:0:Z1832433636;
FC1CCNC1,14116,510:51000:0:Z1333291401;510:51000:0:Z1942745492;510:51000:0:Z1940654339;
Cc1cc(Cl)[nH]n1,3578,510:51000:0:Z408825762;510:51000:0:Z1067670738;510:51000:0:Z736292656;
O=S1(=O)CCCC1,25396,510:51000:0:Z408825762;510:51000:0:Z1441948755;510:51000:0:Z1167575356;
Cc1cnoc1,1006,510:51000:0:Z3726722843;510:51000:0:Z3435136977;510:51000:1:Z3724722746;
C1CC2COCCN2C1,475,510:51000:0:Z1229356526;510:51000:1:Z1742678733;510:51000:3:Z954505620;
Cc1ccccc1F,17634,510:51000:0:Z1217541271;510:51000:0:Z1904286564;510:51000:0:Z905322682;
Cc1cnc[nH]1,3615,510:51000:0:Z3609954830;510:51000:0:Z2584028284;510:51000:0:Z1704513773;
Cc1nc[nH]c1C,1993,510:51000:0:Z2227950255;510:51000:0:Z2207550306;510:51000:1:Z1339330926;
C1=NOCC1,9813,510:51000:0:Z392557226;510:51000:0:Z3659735929;510:51000:0:Z392041766;
O=C1CCCc2ccccc2N1,3259,510:51000:0:Z1102964777;510:51000:0:Z1677672578;510:51000:1:Z909528800;
c1nc2c(s1)CCCC2,2602,510:51000:0:Z1553951467;510:51000:0:Z1437644136;510:51000:0:Z1703264038;
Oc1ccccc1,53628,510:51000:0:Z1553951467;510:51000:0:Z2077223573;510:51000:0:Z794444860;
Cc1ncon1,12450,510:51000:0:Z595030506;510:51000:0:Z1204063164;510:51000:0:Z1067611126;
O=S1(=O)CCC2(CC2)CC1,250,510:51000:0:Z1738854629;510:51000:3:Z1904360064;510:51000:8:Z1904344593;
Fc1cccc2sccc12,751,510:51000:0:Z1318017760;510:51000:3:Z650402688;510:51000:3:Z1148634972;
O=C1CCCCCN1,2857,510:51000:0:Z1318017760;510:51000:0:Z3132024055;510:51000:0:Z1318017002;
CN1CCNCC1,68046,510:51000:0:Z2475176668;510:51000:0:Z412297978;510:51000:0:Z1333931555;
c1nnc2n1CCCC2,10326,510:51000:0:Z1632954858;510:51000:0:Z2039821375;510:51000:0:Z1892953972;
Cc1nnco1,4927,510:51000:0:Z3524168848;510:51000:0:Z1547624386;510:51000:0:Z3817347415;
c1ccc2c(c1)CCNC2,56832,510:51000:0:Z1027843332;510:51000:0:Z3534296088;510:51000:0:Z1639602658;
Fc1ccccc1Cl,12896,510:51000:0:Z1744476206;510:51000:0:Z1564817448;510:51000:0:Z2233089533;
Fc1cccc(Cl)c1,15787,510:51000:0:Z96233118;510:51000:0:Z1643438467;510:51000:0:Z1733009095;
c1ncn2c1CCCC2,2195,510:51000:0:Z1495895471;510:51000:0:Z1614196477;510:51000:1:Z1920278020;
CN1CCCCC1,26435,510:51000:0:Z1186065442;510:51000:0:Z2642690288;510:51000:0:Z3583631871;
Cc1cc(C)[nH]n1,64051,510:51000:0:Z442677302;510:51000:0:Z1733422009;510:51000:0:Z1238962393;
Cc1cc[nH]n1,35647,510:51000:0:Z2055796949;510:51000:0:Z1102521666;510:51000:0:Z1357270525;
c1nc2sccc2s1,393,510:51000:0:Z1096338692;510:51000:2:Z1591747111;510:51000:4:Z1429404397;
NC1CCOC1,142,510:51000:0:Z3099997210;510:51000:6:Z2826002556;510:51003:0:Z5038019558;
c1ccc2c(c1)OCCCO2,14339,510:51000:0:Z2105352394;510:51000:0:Z1508225913;510:51000:0:Z1461704488;
C1CC2(CCN1)CCN2,485,510:51000:0:Z4367523380;510:51000:0:Z2198772535;510:51000:1:Z1937156190;
Cc1cccc(C)c1,49843,510:51000:0:Z1527974734;510:51000:0:Z1683980878;510:51000:0:Z900826650;
Cc1ncno1,12721,510:51000:0:Z1527974734;510:51000:0:Z955448878;510:51000:0:Z2020375150;
CC1(C)CNCCO1,3851,510:51000:0:Z1160382324;510:51000:1:Z1482207792;510:51000:1:Z1160303045;
Cc1ccc2nccc(=O)n2c1,1414,510:51000:0:Z1197837660;510:51000:2:Z3625257223;510:51000:2:Z1413245834;
c1ccc2c(c1)CCO2,12937,510:51000:0:Z1441948755;510:51000:0:Z2962096692;510:51000:0:Z1715488122;
O=C1CNC=NN1,804,510:51000:0:Z1023735970;510:51000:1:Z1728113204;510:51000:3:Z395543206;
Cc1ccc(Cl)cc1,2605,510:51000:0:Z1023735970;510:51000:0:Z2208620233;510:51000:0:Z956839346;
CC1COc2ccccc2N1,148,510:51000:0:Z1882391563;510:51000:4:Z1297159946;510:51003:6:Z1361712041;
Fc1ccc2c(c1)CCNC2,457,510:51000:0:Z4997655420;510:51000:2:Z4194906219;510:51000:2:Z1567273861;
Cc1nc2ccccc2[nH]1,4608,510:51000:0:Z1724190121;510:51000:0:Z237096354;510:51000:0:Z1824520940;
Clc1ccc2c(c1)OCO2,132,510:51000:0:Z1592755550;510:51000:5:Z2072170762;510:51002:7:Z851991908;
CC1CCc2ccccc2N1,3210,510:51000:0:Z795092508;510:51000:0:Z1591181425;510:51000:0:Z1676934256;
Oc1ccncn1,1721,510:51000:0:Z3725527274;510:51000:0:Z1875051121;510:51000:0:Z3723599070;
c1ccc2[nH]ncc2c1,13220,510:51000:0:Z3725527274;510:51000:0:Z3723599070;510:51000:0:Z1478984967;
Cc1cccnc1,18332,510:51000:0:Z1954446372;510:51000:0:Z1768108138;510:51000:0:Z3804298078;
c1ccc2c(c1)NCCS2,2108,510:51000:0:Z283552360;510:51000:0:Z2044833510;510:51000:0:Z1659941204;
C1CCC2(CC1)CCC2,938,510:51000:0:Z2191318876;510:51000:0:Z1260559468;510:51000:0:Z1829236851;
O=C1NCCCN1,6369,510:51000:0:Z2191318876;510:51000:0:Z1329989422;510:51000:0:Z1489382218;
Cn1c(=O)c2[nH]cnc2n(C)c1=O,3737,510:51000:0:Z908822090;510:51000:0:Z2224644307;510:51000:0:Z1953749672;
Clc1cccnc1,14055,510:51000:0:Z1626138929;510:51000:0:Z809594758;510:51000:0:Z2192935085;
Cc1ccnn1C,6149,510:51000:0:Z2454075280;510:51000:0:Z1756220720;510:51000:0:Z1700114287;
Cn1c(=O)ccc2ccccc21,2328,510:51000:0:Z2454075280;510:51000:0:Z2229379627;510:51000:0:Z2200299771;
CC1=CCNC(=O)N1,1602,510:51000:0:Z115555240;510:51000:0:Z46743107;510:51000:0:Z1285605112;
c1ccc2c(c1)CCCO2,17836,510:51000:0:Z1728230456;510:51000:0:Z1492504228;510:51000:0:Z1162007700;
O=C1CCCCN1,60929,510:51000:0:Z1646698176;510:51000:0:Z908579020;510:51000:0:Z1303154932;
c1n[nH]c2c1CCC2,5621,510:51000:0:Z828572354;510:51000:0:Z976910594;510:51000:1:Z807804784;
CC1CCNCC1,29738,510:51000:0:Z1254843843;510:51000:0:Z2020564905;510:51000:0:Z1208056997;
CC1COC1,849,510:51000:0:Z1189825498;510:51000:0:Z4076145924;510:51000:0:Z2154014398;
C1CC2CCC1C2,2699,510:51000:0:Z1189825498;510:51000:1:Z4406449187;510:51000:1:Z1863924805;
OC1CCCNC1,6351,510:51000:0:Z1823490797;510:51000:0:Z2653919948;510:51000:1:Z3007177146;
c1ccoc1,79836,510:51000:0:Z2020564905;510:51000:0:Z1433679829;510:51000:0:Z1251518575;
c1ccc2cnccc2c1,12083,510:51000:0:Z1554313333;510:51000:0:Z3058562971;510:51000:0:Z3609727908;
Cc1ccco1,17464,510:51000:0:Z3724570735;510:51000:0:Z1242335190;510:51000:0:Z1416785180;
Cc1cccn2ccnc12,3045,510:51000:0:Z3724570735;510:51000:0:Z4349483055;510:51000:0:Z1684480706;
CC1COCCN1,3453,510:51000:0:Z1577333819;510:51000:0:Z2701943870;510:51000:0:Z1349546689;
Cc1ccc(C)cc1,15639,510:51000:0:Z1577333819;510:51000:0:Z1482658064;510:51000:0:Z1442095893;
C1CNCC2(C1)CCOC2,25,510:51000:0:Z2286867242;510:51006:0:Z2279147866;510:51022:0:Z3153329307;
O=c1cccc[nH]1,44602,510:51000:0:Z1322996184;510:51000:0:Z1411504802;510:51000:0:Z1128247925;
C1CSCN1,8239,510:51000:0:Z1192532118;510:51000:0:Z994293386;510:51000:0:Z972268992;
Oc1cccc(Cl)c1,258,510:51000:0:Z1452421343;510:51001:2:Z1633285840;510:51001:2:Z2141231104;
CC1CNCC2(CCOC2C)O1,482,510:51000:0:Z1930139304;510:51000:1:Z1930810491;510:51000:1:Z2127706299;
