fragment_smiles,occurences,example_ligands
Fc1cccc(F)c1,20673,69:06900:0:PV-001563679008;69:06900:0:PV-004486495654;69:06900:0:PV-004486511130;
Cc1cn(C)cn1,2520,69:06900:0:PV-002753055634;69:06900:1:PV-002753069264;69:06900:3:PV-002753095787;
c1c[nH]nn1,127577,69:06900:0:PV-003158269421;69:06900:0:PV-002753055639;69:06900:0:PV-002753055785;
CS(C)(=N)=O,6116,69:06900:0:PV-002753055639;69:06900:0:PV-004486460145;69:06900:0:PV-004486460146;
c1ccc2[nH]cnc2c1,6256,69:06900:0:PV-003158269433;69:06900:0:PV-002454006647;69:06900:0:PV-004486576250;
C1CCCC1,185083,69:06900:0:PV-002454006618;69:06900:0:PV-003158270719;69:06900:0:PV-003158270720;
C1COCCN1,40771,69:06900:0:PV-002454006618;69:06900:0:PV-002753056253;69:06900:0:PV-003158271054;
C1C2CC1C1(COC1)O2,9,69:06900:0:PV-003158269450;69:06900:0:PV-004486608661;69:06921:4:PV-002755910267;
CC1CCCC1,19932,69:06900:0:PV-003158269473;69:06900:0:PV-003158269474;69:06900:0:PV-004486492418;
Clc1cccs1,35020,69:06900:0:PV-003158269473;69:06900:0:PV-003158269474;69:06900:0:PV-003158271400;
ClC1=CCCC1,7335,69:06900:0:PV-003158269526;69:06900:0:PV-004486599287;69:06900:0:PV-004486599288;
CC1CCC1,53417,69:06900:0:PV-003158269526;69:06900:0:PV-003158269570;69:06900:0:PV-003158270122;
Cc1ccncc1F,1321,69:06900:0:PV-003158269549;69:06900:0:PV-003158269550;69:06900:1:PV-002753070845;
OC1CCNC1,73538,69:06900:0:PV-003158269549;69:06900:0:PV-003158269550;69:06900:0:PV-003158270949;
OC1CCCNC1,30780,69:06900:0:PV-003939795424;69:06900:0:PV-003939795426;69:06900:0:PV-004486503200;
C1CSCS1,9178,69:06900:0:PV-003939795424;69:06900:0:PV-003939795426;69:06900:0:PV-004486521551;
O=c1cccc[nH]1,18200,69:06900:0:PV-003158269557;69:06900:0:PV-004486496303;69:06900:0:PV-004486496304;
C1CCSC1,25718,69:06900:0:PV-003158269570;69:06900:0:PV-004486500199;69:06900:0:PV-004486584279;
c1csnn1,32238,69:06900:0:PV-003158269570;69:06900:0:PV-003158270078;69:06900:0:PV-003158270079;
c1cn[nH]c1,169068,69:06900:0:PV-003158269601;69:06900:0:PV-003158269639;69:06900:0:PV-003158269642;
C1CNCCN1,87757,69:06900:0:PV-003158269601;69:06900:0:PV-002753056547;69:06900:0:PV-004486459812;
c1cnc2[nH]ccc2c1,4182,69:06900:0:PV-002753055695;69:06900:0:PV-003158272092;69:06900:0:PV-002753059565;
C1NCC2CC12,93929,69:06900:0:PV-003158269621;69:06900:0:PV-003158269926;69:06900:0:PV-004486461703;
CC1CNC1,58422,69:06900:0:PV-003158269627;69:06900:0:PV-003158269628;69:06900:0:PV-003158270260;
Clc1cnn[nH]1,5247,69:06900:0:PV-003158269627;69:06900:0:PV-003158269628;69:06900:0:PV-004486502534;
CC1CCCCN1,34333,69:06900:0:PV-003158269639;69:06900:0:PV-003158269663;69:06900:0:PV-003158269664;
