fragment_smiles,occurences,example_ligands
c1ccc2c(c1)OCO2,11876,49:04900:0:Z4348953909;49:04900:0:Z3047099779;49:04900:0:Z2011307126;
C1CC2(C1)CNC2,5350,49:04900:0:Z4116658812;49:04900:0:Z4393488794;49:04900:0:Z4859827048;
c1nnc[nH]1,42280,49:04900:0:Z4220309413;49:04900:0:Z2772418942;49:04900:0:Z2328742784;
c1nc[nH]n1,47179,49:04900:0:Z4016854080;49:04900:0:Z4220298988;49:04900:0:Z4485024984;
Cc1ccc(O)cc1,1186,49:04900:0:Z3565277929;49:04900:0:Z3623260014;49:04900:1:Z1466387678;
c1ccc2c(c1)CCN2,14774,49:04900:0:Z3056508267;49:04900:0:Z3540568388;49:04900:0:Z3380136980;
Nc1ccn[nH]1,2484,49:04900:0:Z3056508267;49:04900:0:Z4055448776;49:04900:1:Z3613353692;
NC1CCCCC1,6400,49:04900:0:Z3047099779;49:04900:0:Z2439829592;49:04900:0:Z4169518398;
Cc1ccno1,13926,49:04900:0:Z1455605554;49:04900:0:Z2219650242;49:04900:0:Z3053324861;
FC1CCCCC1,6882,49:04900:0:Z1875383785;49:04900:0:Z2916265614;49:04900:0:Z2911680209;
c1ncn2c1CCCC2,2936,49:04900:0:Z2802760397;49:04900:0:Z4231821339;49:04900:0:Z4139971793;
OC1CCOC1,5624,49:04900:0:Z4092554017;49:04900:0:Z2956132962;49:04900:0:Z2457857616;
Clc1cn[nH]c1,8179,49:04900:0:Z4092554017;49:04900:0:Z3105115551;49:04900:0:Z2780612554;
CC1CNC1,9343,49:04900:0:Z4140955436;49:04900:0:Z2956846099;49:04900:0:Z4307702308;
C1CCC2OCCC2C1,2302,49:04900:0:Z3194639206;49:04900:0:Z3440421037;49:04900:0:Z3612463621;
Cn1cncn1,13270,49:04900:0:Z4997426139;49:04900:0:Z4576288270;49:04900:0:Z4271314092;
Fc1ccc2cc[nH]c2c1,1259,49:04900:0:Z4577345222;49:04900:0:Z3763860547;49:04900:0:Z3899040044;
C1CSCS1,1845,49:04900:0:Z4577345222;49:04900:0:Z4251516224;49:04900:1:Z3093340743;
CC12COC(C1)C2,433,49:04900:0:Z3179870930;49:04900:2:Z4245826868;49:04900:5:Z4364185059;
Cn1cnnn1,4449,49:04900:0:Z4023176803;49:04900:0:Z3093510963;49:04900:0:Z4475343970;
C1=CCNCC1,6494,49:04900:0:Z4023176803;49:04900:0:Z3816882256;49:04900:0:Z3808241907;
Cc1coc(C)c1,948,49:04900:0:Z2032972977;49:04900:1:Z3573043466;49:04900:1:Z1478759893;
CC1(C)CC1(C)C,777,49:04900:0:Z2711631557;49:04900:1:Z3062639137;49:04900:4:Z3353849693;
c1cnc2ncnn2c1,3398,49:04900:0:Z2588410700;49:04900:0:Z1173821220;49:04900:0:Z641952538;
Oc1cccc2sccc12,292,49:04900:0:Z2296411882;49:04900:0:Z3395060737;49:04900:5:Z1916075972;
CN1CCCCC1,18730,49:04900:0:Z1672029754;49:04900:0:Z4488562923;49:04900:0:Z3196818602;
CC1CC(C)(C)C1,791,49:04900:0:Z3626120379;49:04900:1:Z2277694254;49:04900:6:Z2358798480;
C1CC2(CC2)CO1,2855,49:04900:0:Z3794686822;49:04900:0:Z2862700503;49:04900:0:Z3444131176;
CC1(C)CNCC(C)(C)C1,266,49:04900:0:Z4643329756;49:04900:0:Z4643321195;49:04900:1:Z4059042778;
C1COC2(CCSCC2)CN1,369,49:04900:0:Z3619251426;49:04900:1:Z3079079682;49:04900:1:Z3860892096;
C1NCC2CC12,13097,49:04900:0:Z2448566103;49:04900:0:Z2199808076;49:04900:0:Z3056406731;
Cn1ncc2ccccc2c1=O,400,49:04900:0:Z3350589515;49:04900:0:Z826170032;49:04900:0:Z3339256986;
O=c1cccc[nH]1,21521,49:04900:0:Z4508659784;49:04900:0:Z3508251793;49:04900:0:Z3605678575;
C1CC2CNCCN2C1,839,49:04900:0:Z3684445092;49:04900:4:Z4217724369;49:04900:4:Z2767728666;
Clc1cccc2c1OCCCO2,920,49:04900:0:Z103871750;49:04900:1:Z4424498060;49:04900:3:Z2187831550;
Cc1cccn1C,1692,49:04900:0:Z2783144747;49:04900:0:Z649309262;49:04900:0:Z3667752167;
