fragment_smiles,occurences,example_ligands
Clc1ccno1,50,347:34700:0:Z4327085752;347:34701:8:Z4324967804;347:34704:2:Z4319848754;
CN1CC2(CCNC2)C1,114,347:34700:0:Z4163739387;347:34700:3:Z2142400954;347:34701:4:Z4265151386;
Cn1ncc2c1CNC2,346,347:34700:0:Z4163739387;347:34700:2:Z2691161195;347:34700:2:Z2691184793;
CC1NCCn2cnnc21,1236,347:34700:0:Z3353301659;347:34700:0:Z1787057952;347:34700:0:Z5004835006;
CC1(C)CCCN1,5941,347:34700:0:Z3353301659;347:34700:0:Z4412688620;347:34700:0:Z3656184040;
O=C1COc2ccccc2N1,8746,347:34700:0:Z154220782;347:34700:0:Z1601565667;347:34700:0:Z3652511052;
Cc1cscn1,35296,347:34700:0:Z4248613554;347:34700:0:Z4578090690;347:34700:0:Z3837917865;
c1ncn2c1CCCC2,3620,347:34700:0:Z4248613554;347:34700:0:Z1981845188;347:34700:0:Z2782036256;
c1cnc2c(c1)COCC2,1516,347:34700:0:Z4138303207;347:34700:0:Z4455443613;347:34700:0:Z3557868581;
Cc1ccc2cccnc2n1,573,347:34700:0:Z4246750161;347:34700:0:Z4127121487;347:34700:2:Z4308340762;
FC1(F)CC1,8823,347:34700:0:Z4246750161;347:34700:0:Z4362740195;347:34700:0:Z3080670167;
c1cc2n(c1)CCOC2,1239,347:34700:0:Z3367133040;347:34700:1:Z3046815623;347:34700:2:Z4473675661;
Fc1ccc(F)cc1,13150,347:34700:0:Z3367133040;347:34700:0:Z1890039271;347:34700:0:Z4330083748;
c1cnoc1,64016,347:34700:0:Z4476288716;347:34700:0:Z4556964802;347:34700:0:Z4556965185;
O=C1COCCN1,4493,347:34700:0:Z3010725208;347:34700:0:Z2774474482;347:34700:0:Z3140294482;
O=C1CCc2ccccc2N1,11833,347:34700:0:Z2974325813;347:34700:0:Z1345041757;347:34700:0:Z1172040018;
Cn1cc2c(n1)CCCC2,2895,347:34700:0:Z2155960196;347:34700:0:Z4226026803;347:34700:0:Z2012813531;
O=c1[nH]cnc2sc3c(c12)CCCC3,730,347:34700:0:Z1022396756;347:34700:1:Z1657400932;347:34700:2:Z3320406181;
Cc1ccc(C)[nH]1,11571,347:34700:0:Z793432550;347:34700:0:Z1699391769;347:34700:0:Z1332857316;
CC1CCCN1,16064,347:34700:0:Z3533073305;347:34700:0:Z2825591665;347:34700:0:Z3628514982;
C1CNCCNC1,47357,347:34700:0:Z3533073305;347:34700:0:Z2626851721;347:34700:0:Z4192865892;
FC1(F)CC12CCOCC2,429,347:34700:0:Z3816477330;347:34700:1:Z4157673812;347:34700:9:Z3593581254;
O=c1[nH]c2ccccc2[nH]1,8256,347:34700:0:Z2883305537;347:34700:0:Z4051916535;347:34700:0:Z2706850343;
c1cncnc1,95054,347:34700:0:Z2883305537;347:34700:0:Z4112309689;347:34700:0:Z4051916535;
O=C1NCCN1,14463,347:34700:0:Z851037920;347:34700:0:Z3796523765;347:34700:0:Z2204958501;
Cc1ncnc2ccccc12,1065,347:34700:0:Z289868090;347:34700:0:Z1438815595;347:34700:1:Z1024022804;
O=C1CCc2ccc(F)cc2N1,1750,347:34700:0:Z289868090;347:34700:0:Z1447569562;347:34700:1:Z1739370284;
c1ccc2c(c1)CCCCN2,1560,347:34700:0:Z4112309689;347:34700:1:Z3359002582;347:34700:3:Z3816004719;
OC1CCC2(CCNCC2)CC1,350,347:34700:0:Z3551960133;347:34700:0:Z2960081740;347:34700:6:Z2282721473;
Nc1nnco1,250,347:34700:0:Z3313074388;347:34700:1:Z2837412690;347:34700:2:Z2802158091;
CC1CNCCO1,15367,347:34700:0:Z4094306766;347:34700:0:Z1506946705;347:34700:0:Z2897560379;
O=c1[nH]ccs1,973,347:34700:0:Z4094306766;347:34700:0:Z3726588258;347:34700:1:Z3723161942;
Cc1cc(C)[nH]n1,40996,347:34700:0:Z3059323074;347:34700:0:Z2719868135;347:34700:0:Z2911357196;
Cn1ccnn1,9077,347:34700:0:Z3059323074;347:34700:0:Z3058328624;347:34700:0:Z4021493908;
C1CC2(C1)CC1(CCC1)C2,129,347:34700:0:Z4577601093;347:34700:2:Z4577598296;347:34700:5:Z4577597456;
Fc1cccc(F)c1,72651,347:34700:0:Z217961724;347:34700:0:Z1842919613;347:34700:0:Z1497063624;
Cc1ccccc1C,22707,347:34700:0:Z2877264069;347:34700:0:Z2014704419;347:34700:0:Z3292583694;
c1nnco1,33853,347:34700:0:Z2877264069;347:34700:0:Z1644048868;347:34700:0:Z2908947221;
O=C1Cc2ccccc2N1,5720,347:34700:0:Z1651265391;347:34700:0:Z1655929825;347:34700:0:Z4051680231;
