fragment_smiles,occurences,example_ligands
O=c1ccnc[nH]1,3821,506:50600:0:Z1134143298;506:50600:0:Z1219849585;506:50600:0:Z1168202461;
CC1CNCCN1,20639,506:50600:0:Z1173494444;506:50600:0:Z2291496961;506:50600:0:Z31642671;
c1cc2c(s1)CCNC2,5599,506:50600:0:Z1733185290;506:50600:0:Z1886586193;506:50600:0:Z2224962413;
Cc1cc(C)ncn1,12020,506:50600:0:Z4093104779;506:50600:0:Z1262363276;506:50600:0:Z1545393760;
C1=CCNCC1,11561,506:50600:0:Z4093104779;506:50600:0:Z1747484730;506:50600:0:Z2095526317;
c1nnc2n1CCCC2,10344,506:50600:0:Z1666338957;506:50600:0:Z1889150089;506:50600:0:Z1542984120;
Cc1cscn1,25250,506:50600:0:Z1248869659;506:50600:0:Z1728187711;506:50600:0:Z1557254325;
Cc1cccnc1,18324,506:50600:0:Z1892534192;506:50600:0:Z1630411133;506:50600:0:Z3098032548;
c1ncc2nc[nH]c2n1,12779,506:50600:0:Z4771261905;506:50600:0:Z4770757826;506:50600:0:Z4771900420;
Clc1cccc2c1OCO2,453,506:50600:0:Z283260192;506:50600:2:Z225863542;506:50600:4:Z1366604913;
NC1CCNCC1,903,506:50600:0:Z3696839818;506:50600:3:Z2445205356;506:50600:4:Z4207715491;
c1cnc2ccnn2c1,3932,506:50600:0:Z362693600;506:50600:0:Z3726651469;506:50600:0:Z1069616810;
c1cnc2[nH]ncc2c1,9574,506:50600:0:Z739328264;506:50600:0:Z1929831394;506:50600:0:Z1155310876;
c1ccc2c(c1)CCC2,21465,506:50600:0:Z997621218;506:50600:0:Z1359700346;506:50600:0:Z3657930596;
O=S1(=O)CCCC1,25725,506:50600:0:Z1273678096;506:50600:0:Z1460680902;506:50600:0:Z407295062;
Cn1ncc2ccsc21,454,506:50600:0:Z1939939046;506:50600:2:Z1273521291;506:50600:3:Z2159968343;
Cc1cccc(C)c1,49785,506:50600:0:Z1590511683;506:50600:0:Z1228661316;506:50600:0:Z1764382092;
O=c1c2ccccc2nc2n1CCCC2,203,506:50600:0:Z3939184651;506:50600:5:Z1764531829;506:50600:6:Z1763787309;
CC1CNC1,2859,506:50600:0:Z4137182484;506:50600:0:Z2091939534;506:50600:0:Z1843636126;
c1ccc2cnccc2c1,12222,506:50600:0:Z4137182484;506:50600:0:Z1207211833;506:50600:0:Z740918272;
Cc1ccccc1F,17942,506:50600:0:Z749501836;506:50600:0:Z1627310120;506:50600:0:Z1416839001;
CC1CNCC(C)O1,23149,506:50600:0:Z749501836;506:50600:0:Z3714262152;506:50600:0:Z838432352;
