fragment_smiles,occurences,example_ligands
CC1(C)CC=NO1,613,37:03700:0:PV-002897887835;37:03700:1:PV-002897949369;37:03700:5:PV-003532345071;
Cc1ccccc1F,13332,37:03700:0:PV-002114117069;37:03700:0:PV-002269363981;37:03700:0:PV-005596104029;
Cc1cnc[nH]1,7147,37:03700:0:PV-002165864800;37:03700:0:PV-002424617266;37:03700:0:PV-005596114778;
CC1(C)CCCO1,3281,37:03700:0:PV-003531903873;37:03700:0:PV-005596169073;37:03700:1:PV-002114122377;
CC1(C)CCNC1,9524,37:03700:0:PV-003531903883;37:03700:0:PV-003531919790;37:03700:0:PV-003531919791;
Cc1cccnc1,22083,37:03700:0:PV-002114117077;37:03700:0:PV-002897887933;37:03700:0:PV-003531912763;
CC1CCCCO1,8312,37:03700:0:PV-002114117077;37:03700:0:PV-003531933451;37:03700:0:PV-003531938191;
Cc1cccn1C,3739,37:03700:0:PV-001989839591;37:03700:0:PV-002897907830;37:03700:0:PV-002897907831;
c1ccc2c(c1)CCCCC2,1441,37:03700:0:PV-003531904034;37:03700:0:PV-003531974064;37:03700:1:PV-003531990861;
Clc1ccncc1,6671,37:03700:0:PV-003531904077;37:03700:0:PV-005596092691;37:03700:0:PV-002897899736;
Cc1ccccc1C,8064,37:03700:0:PV-002476363492;37:03700:0:PV-002321114954;37:03700:0:PV-005596133648;
CC1(C)CNCCS1,724,37:03700:0:PV-003531904199;37:03700:0:PV-002897894083;37:03700:1:PV-003532029188;
CC1CCCCN1,22182,37:03700:0:PV-003531904356;37:03700:0:PV-003531911613;37:03700:0:PV-005596125150;
C1CC2CC12,11344,37:03700:0:PV-003531904392;37:03700:0:PV-005596213212;37:03700:0:PV-005596239783;
Cc1cccc(F)c1,12486,37:03700:0:PV-002897887998;37:03700:0:PV-002217612784;37:03700:0:PV-003531914160;
FC1(F)C2CCCC21,2089,37:03700:0:PV-004041187215;37:03700:0:PV-004041187216;37:03700:0:PV-002897901708;
NC1CCNCC12CCC2,69,37:03700:0:PV-002897888024;37:03703:0:PV-005603875292;37:03706:2:PV-005611722872;
Fc1ccn[nH]1,3862,37:03700:0:PV-002897888024;37:03700:0:PV-003531939888;37:03700:1:PV-002897924502;
O=c1[nH]cco1,4851,37:03700:0:PV-003531904531;37:03700:0:PV-002897890930;37:03700:0:PV-002897890931;
Fc1ccccc1Cl,18085,37:03700:0:PV-002897888067;37:03700:0:PV-003531906030;37:03700:0:PV-003531915443;
Oc1cccc2c1CCCN2,109,37:03700:0:PV-002897888067;37:03700:3:PV-005597070270;37:03701:1:PV-002898272898;
Cc1ccc[nH]1,6059,37:03700:0:PV-002897888076;37:03700:0:PV-002897890001;37:03700:0:PV-003531933464;
Cc1cc(Cl)[nH]n1,1338,37:03700:0:PV-002528110589;37:03700:1:PV-002897932086;37:03700:2:PV-002897962273;
C1CCC2(CC1)CCCNCC2,103,37:03700:0:PV-002528110589;37:03700:2:PV-002476375455;37:03700:2:PV-002897971023;
c1ccc2ncccc2c1,10914,37:03700:0:PV-002897888117;37:03700:0:PV-002897891817;37:03700:0:PV-005596130714;
Nc1ccccn1,11973,37:03700:0:PV-002897888138;37:03700:0:PV-002897891670;37:03700:0:PV-005596215397;
CC1CNCC1N,294,37:03700:0:PV-002897888150;37:03700:0:PV-005596293300;37:03700:0:PV-005596293301;
CC1(C)CC1,26201,37:03700:0:PV-002897888152;37:03700:0:PV-003531909658;37:03700:0:PV-003531909659;
CC1(C)CCCc2ccccc21,184,37:03700:0:PV-003531904840;37:03700:0:PV-002372871732;37:03700:2:PV-002897963157;
CC1CCCN1,43532,37:03700:0:PV-001248800338;37:03700:0:PV-003531904965;37:03700:0:PV-003531904966;
O=C1C2CCCC1CCC2,19,37:03700:0:PV-002897888188;37:03705:9:PV-002476661030;37:03716:0:PV-002903118290;
Cc1cnnn1C,1722,37:03700:0:PV-002528110606;37:03700:0:PV-002114120978;37:03700:1:PV-002269370384;
c1ccc2ccccc2c1,3775,37:03700:0:PV-002528110606;37:03700:0:PV-005596147386;37:03700:0:PV-002897894611;
CC1CNC1,33842,37:03700:0:PV-003531905012;37:03700:0:PV-003531906692;37:03700:0:PV-003531907788;
Nc1ncccc1O,92,37:03700:0:PV-003531905109;37:03700:0:PV-005596214127;37:03700:0:PV-005596214128;
Nc1cc2n(n1)CCCNC2,17,37:03700:0:PV-002897888268;37:03703:1:PV-002898908659;37:03711:8:PV-002528707274;
Clc1ncsc1Cl,1055,37:03700:0:PV-002897888286;37:03700:1:PV-002897923173;37:03700:3:PV-002897997652;
Cc1ncsn1,1077,37:03700:0:PV-002114117157;37:03700:1:PV-002897922726;37:03700:3:PV-005597020602;
FC1CCNC1,29814,37:03700:0:PV-003531905418;37:03700:0:PV-003531905818;37:03700:0:PV-003531907812;
C1CC2CC2C1,24249,37:03700:0:PV-003531905418;37:03700:0:PV-003531911633;37:03700:0:PV-003531911634;
CN1C=NCC1=O,270,37:03700:0:PV-002897888382;37:03700:1:PV-002321121375;37:03700:1:PV-005596483958;
O=S1(=O)CCCCC1,5532,37:03700:0:PV-003531905534;37:03700:0:PV-002269363807;37:03700:0:PV-003531924015;
Cc1conc1C,1045,37:03700:0:PV-003531905604;37:03700:0:PV-003531955807;37:03700:1:PV-003531985570;
O=C1CCCN1,31040,37:03700:0:PV-002217612709;37:03700:0:PV-003531906976;37:03700:0:PV-003531909891;
Clc1cccc(Cl)c1,15607,37:03700:0:PV-002217612709;37:03700:0:PV-003531907498;37:03700:0:PV-005596154996;
CC1Cc2ccccc2O1,1168,37:03700:0:PV-002897888436;37:03700:2:PV-002217627193;37:03700:4:PV-002898031780;
Nc1ccncn1,5342,37:03700:0:PV-002897888448;37:03700:0:PV-005596153737;37:03700:0:PV-005596153738;
CC1CCCCC1,22319,37:03700:0:PV-002114117179;37:03700:0:PV-003531910449;37:03700:0:PV-005596113823;
Cc1ccoc1,18258,37:03700:0:PV-003531905739;37:03700:0:PV-002579861125;37:03700:0:PV-003531910191;
C1CC2CCC2N1,3173,37:03700:0:PV-003531905739;37:03700:0:PV-003531925441;37:03700:1:PV-003532023841;
FC1(F)C2CCCCCC21,120,37:03700:0:PV-003531905765;37:03700:3:PV-003532201997;37:03700:8:PV-003532604340;
Nc1ncccn1,2757,37:03700:0:PV-002897888481;37:03700:0:PV-002217615137;37:03700:0:PV-003531958650;
CC1(C)CCCN1,11458,37:03700:0:PV-002897888491;37:03700:0:PV-002897889686;37:03700:0:PV-003531909535;
Cc1cnoc1,9599,37:03700:0:PV-002897888491;37:03700:0:PV-003531915283;37:03700:0:PV-003531917748;
C1CC2CC2CN1,4672,37:03700:0:PV-003531905873;37:03700:0:PV-003531919380;37:03700:0:PV-003531933464;
Cc1ccccn1,26075,37:03700:0:PV-002372870777;37:03700:0:PV-003531907207;37:03700:0:PV-002897891387;
c1cnc2ccnn2c1,5269,37:03700:0:PV-002372870777;37:03700:0:PV-002528111360;37:03700:0:PV-002372871614;
OC1CCCC1(F)F,752,37:03700:0:PV-003531906030;37:03700:0:PV-004041192337;37:03700:1:PV-003532051301;
c1cnc2ncnn2c1,1780,37:03700:0:PV-002897888571;37:03700:0:PV-003531956113;37:03700:1:PV-003531987964;
C1CC2CCC(C1)C2,1435,37:03700:0:PV-002217612737;37:03700:0:PV-002217616738;37:03700:0:PV-002897916944;
C1CSCCS1,2785,37:03700:0:PV-002897888591;37:03700:0:PV-002897888592;37:03700:0:PV-002897888593;
CC1CC(F)(F)CN1,910,37:03700:0:PV-002897888595;37:03700:0:PV-002897899825;37:03700:0:PV-002897915138;
FC1(F)CC1,20889,37:03700:0:PV-003531906170;37:03700:0:PV-005596098602;37:03700:0:PV-005596166157;
CC1CCN=CN1,635,37:03700:0:PV-003531906260;37:03700:2:PV-002897957727;37:03700:2:PV-005596750999;
Cc1c(Cl)cccc1Cl,756,37:03700:0:PV-003531906284;37:03700:0:PV-003531971830;37:03700:3:PV-002898008839;
C1CC2CNCC2CN1,4052,37:03700:0:PV-003531906284;37:03700:0:PV-003531912638;37:03700:0:PV-003531912639;
CN1CCNCC1,5693,37:03700:0:PV-002897888679;37:03700:0:PV-002897904835;37:03700:0:PV-002897906569;
Clc1cccs1,24862,37:03700:0:PV-002897888679;37:03700:0:PV-002114117355;37:03700:0:PV-002897893391;
CC1CC(O)C(=O)N1C,133,37:03700:0:PV-003531906369;37:03700:3:PV-003532205251;37:03700:7:PV-003532499018;
Cc1nc[nH]n1,18922,37:03700:0:PV-001976214126;37:03700:0:PV-003531907041;37:03700:0:PV-001976558604;
c1ccc2[nH]cnc2c1,6645,37:03700:0:PV-001976214126;37:03700:0:PV-002897890754;37:03700:0:PV-002217613192;
CC1(C)CCNC(=O)C1,155,37:03700:0:PV-002897888862;37:03700:2:PV-005596767857;37:03700:4:PV-003532315420;
c1ccnnc1,23835,37:03700:0:PV-003531906825;37:03700:0:PV-002114117615;37:03700:0:PV-002897891453;
C1CC2CNCC2N1,7128,37:03700:0:PV-003531906864;37:03700:0:PV-003531920046;37:03700:0:PV-003531920047;
c1ccc2sncc2c1,3869,37:03700:0:PV-003531906887;37:03700:0:PV-002321115655;37:03700:0:PV-002897898183;
Cc1cncnc1,2376,37:03700:0:PV-003531906976;37:03700:0:PV-002372871289;37:03700:0:PV-005596167618;
FC1CC2CC12,1978,37:03700:0:PV-003531906985;37:03700:1:PV-003532017718;37:03700:1:PV-003532025562;
Cn1ccnc1,23207,37:03700:0:PV-003531907041;37:03700:0:PV-001976558604;37:03700:0:PV-002897890399;
O=S1(=O)CCCC1,8037,37:03700:0:PV-002897888984;37:03700:0:PV-002528112014;37:03700:0:PV-001634576305;
Oc1ccc(Cl)cc1,1566,37:03700:0:PV-002897888984;37:03700:0:PV-002528111069;37:03700:0:PV-002897917465;
Nc1cccnc1,7187,37:03700:0:PV-002897888990;37:03700:0:PV-002897889388;37:03700:0:PV-002897889654;
