fragment_smiles,occurences,example_ligands
CN1Cc2ccccc2C1,581,55:05500:0:Z4236641805;55:05500:0:Z4277868982;55:05500:6:Z4403350267;
Oc1ccc(F)cn1,174,55:05500:0:Z4236641805;55:05500:3:Z5052474397;55:05501:1:Z3625727234;
C1CNC2(C1)CCC2,4345,55:05500:0:Z3652505015;55:05500:0:Z3807974962;55:05500:0:Z3652511997;
c1ccn2ccnc2c1,8977,55:05500:0:Z1101720465;55:05500:0:Z1620704750;55:05500:0:Z3192915707;
C1CCC2(CC1)CCCCN2,495,55:05500:0:Z4077422424;55:05500:0:Z4066004010;55:05500:2:Z2860774132;
c1cnc2ccncc2c1,1197,55:05500:0:Z4340045389;55:05500:0:Z3056836047;55:05500:0:Z2632599848;
Cc1nncs1,5079,55:05500:0:Z4577487516;55:05500:0:Z3052027072;55:05500:1:Z4610959164;
c1ccc2c(c1)CCCO2,10350,55:05500:0:Z4300434728;55:05500:0:Z766103330;55:05500:0:Z2328627773;
C1CCCCC1,144077,55:05500:0:Z2927958549;55:05500:0:Z2898424397;55:05500:0:Z2264292092;
Cc1cc2nccn2cc1C,187,55:05500:0:Z3890016277;55:05500:2:Z3795259699;55:05500:6:Z3939261852;
CC1(C)CC2CCNC21,470,55:05500:0:Z3890016277;55:05500:2:Z3869007188;55:05500:2:Z3997350081;
c1cnc2scnc2c1,1278,55:05500:0:Z1568309062;55:05500:0:Z4040167187;55:05500:4:Z3394820299;
Cc1cccnc1,22794,55:05500:0:Z4622374993;55:05500:0:Z1743058583;55:05500:0:Z2270966647;
CC1CCCNC1,19197,55:05500:0:Z4622374993;55:05500:0:Z1373461635;55:05500:0:Z3855987429;
C1CC2CCN(C1)C2,1201,55:05500:0:Z4123994635;55:05500:0:Z3009501316;55:05500:2:Z2917052277;
C1=CCNCC1,6558,55:05500:0:Z1888806082;55:05500:0:Z2448882242;55:05500:0:Z2364428700;
C1CNCCNC1,18207,55:05500:0:Z3253362257;55:05500:0:Z3101551749;55:05500:0:Z2706201027;
Cc1ncnnc1C,299,55:05500:0:Z1771041341;55:05500:1:Z1731203402;55:05500:6:Z2704243240;
c1nc2c(s1)CNCC2,1281,55:05500:0:Z3204230852;55:05500:0:Z2217653739;55:05500:1:Z3630846976;
Cc1ccns1,777,55:05500:0:Z3381477595;55:05500:1:Z3353931360;55:05500:1:Z3836904732;
Cc1ccsc1,9046,55:05500:0:Z1990125997;55:05500:0:Z1602097650;55:05500:0:Z3725013201;
