fragment_smiles,occurences,example_ligands
C1CCCOCC1,1789,47:04700:0:Z1765256276;47:04700:0:Z1603504505;47:04700:1:Z3652328327;
C1NCC2COCC1C2,153,47:04700:0:Z3385817603;47:04700:6:Z3385813609;47:04701:4:Z3385817301;
OC1CCCOC1,2212,47:04700:0:Z2720956680;47:04700:0:Z2805152922;47:04700:0:Z3177227248;
CC1CCC(O)CN1,1638,47:04700:0:Z1949434107;47:04700:0:Z2433915009;47:04700:0:Z2370809397;
O=C1CNCCN1,14301,47:04700:0:Z2767564211;47:04700:0:Z1677536512;47:04700:0:Z4289689360;
C1COCCN1,117509,47:04700:0:Z3201120853;47:04700:0:Z2977577559;47:04700:0:Z4116188834;
Cc1c(F)ccc2[nH]ccc12,149,47:04700:0:Z3201120853;47:04700:5:Z3194248782;47:04702:0:Z3655204063;
C1CCNCC1,422379,47:04700:0:Z746608806;47:04700:0:Z3111110844;47:04700:0:Z2449205098;
C1CCOC1,141084,47:04700:0:Z3111110844;47:04700:0:Z4191701731;47:04700:0:Z2454418082;
CC1(C)OCc2cn[nH]c21,254,47:04700:0:Z3353077034;47:04700:5:Z4267444963;47:04700:5:Z4266736111;
CC1(C)CNCCN1,3557,47:04700:0:Z3353077034;47:04700:0:Z4278919662;47:04700:0:Z1616170571;
CC1NCCn2cnnc21,792,47:04700:0:Z2971629206;47:04700:1:Z3595412087;47:04700:2:Z3384859554;
Clc1cccc(Cl)c1,17463,47:04700:0:Z2299686454;47:04700:0:Z1275841547;47:04700:0:Z2067453921;
c1cnccn1,30140,47:04700:0:Z2449205098;47:04700:0:Z2997576975;47:04700:0:Z4209558378;
Cn1cccn1,141833,47:04700:0:Z2977577559;47:04700:0:Z4089273537;47:04700:0:Z4137300668;
CN1CCCC1,10465,47:04700:0:Z2646149302;47:04700:0:Z2581371917;47:04700:0:Z4061226467;
CC1CCC(=O)CN1,285,47:04700:0:Z3693552102;47:04700:5:Z2962581747;47:04700:7:Z2962577793;
Cc1n[nH]c(O)n1,144,47:04700:0:Z4489110200;47:04700:3:Z3628062772;47:04700:4:Z3628062546;
C1COC2(C1)CCC2,4607,47:04700:0:Z4257966800;47:04700:0:Z3353411388;47:04700:0:Z3907208849;
Cc1cc(C)on1,9604,47:04700:0:Z2209885253;47:04700:0:Z1512835273;47:04700:0:Z3298015288;
C1CC2(C1)CNC2,5354,47:04700:0:Z2209885253;47:04700:0:Z2184034375;47:04700:1:Z2180698538;
c1cn2c(n1)CCCC2,9694,47:04700:0:Z4906749770;47:04700:0:Z4245630180;47:04700:0:Z3544832598;
O=C1CCC1,2902,47:04700:0:Z4277756240;47:04700:0:Z2922648246;47:04700:0:Z4247633727;
c1cscn1,161548,47:04700:0:Z2001285996;47:04700:0:Z4147981901;47:04700:0:Z1638916669;
CC1COCCN1,7345,47:04700:0:Z2001285996;47:04700:0:Z2011632728;47:04700:0:Z3137131987;
C1CC2(C1)COC2,814,47:04700:0:Z4147981901;47:04700:0:Z4279956057;47:04700:1:Z5064812264;
Clc1cccnc1,20917,47:04700:0:Z4147981901;47:04700:0:Z4031248261;47:04700:0:Z4621183022;
Cc1nncs1,5192,47:04700:0:Z3816137356;47:04700:0:Z3173284465;47:04700:0:Z2179861016;
c1cnc2c(c1)NCCC2,706,47:04700:0:Z4275517094;47:04700:3:Z2971958347;47:04700:7:Z2971963396;
Cc1ccon1,13218,47:04700:0:Z2010982083;47:04700:0:Z5057791128;47:04700:0:Z2819910257;
C1CC2(C1)CC2,7092,47:04700:0:Z4209654792;47:04700:0:Z4389346857;47:04700:0:Z3385560651;
c1ncon1,135650,47:04700:0:Z4209654792;47:04700:0:Z3368865866;47:04700:0:Z2997576975;
c1cnsc1,12164,47:04700:0:Z3667135692;47:04700:0:Z3671107027;47:04700:0:Z3515312355;
Cn1cncn1,13069,47:04700:0:Z4268928127;47:04700:0:Z4142269056;47:04700:0:Z2170556474;
OC1CCNCC1,16609,47:04700:0:Z3507811288;47:04700:0:Z4524426700;47:04700:0:Z4524437264;
Clc1ccccc1,177237,47:04700:0:Z3507811288;47:04700:0:Z343818894;47:04700:0:Z2407419719;
Cc1cn(C)nc1C,131,47:04700:0:Z3294467694;47:04701:2:Z1420017739;47:04701:7:Z2115111197;
c1ccc2c(c1)NCCN2,605,47:04700:0:Z1652376162;47:04700:0:Z4290642929;47:04700:4:Z2395000833;
Cc1ccc(C)c(Cl)c1,325,47:04700:0:Z3382711556;47:04700:0:Z4466650243;47:04700:0:Z3606648400;
c1nnc2n1CCCC2,5923,47:04700:0:Z3382711556;47:04700:0:Z4343018266;47:04700:0:Z4378381078;
O=c1[nH]ncc2ccccc12,1543,47:04700:0:Z3563454721;47:04700:0:Z5007819971;47:04700:0:Z1281980005;
c1nnco1,25720,47:04700:0:Z3246754723;47:04700:0:Z3558639795;47:04700:0:Z1663785992;
Cc1cn[nH]c1,12035,47:04700:0:Z4484985983;47:04700:0:Z2588729861;47:04700:0:Z2590000449;
C1CSCCN1,10799,47:04700:0:Z4484985983;47:04700:0:Z3050185790;47:04700:0:Z1842972923;
C1CCc2c(nc3n2CCNC3)C1,190,47:04700:0:Z3188003947;47:04701:0:Z3587003814;47:04701:1:Z3145494431;
Cc1nnc2ccccn12,688,47:04700:0:Z4398675428;47:04700:0:Z979229854;47:04700:1:Z3565023690;
Fc1ccc2ncccc2c1,1249,47:04700:0:Z4315544570;47:04700:0:Z4228736705;47:04700:0:Z4229005751;
O=C1CCCCCN1,4694,47:04700:0:Z4315544570;47:04700:0:Z2827664289;47:04700:0:Z4013942856;
CC1(C)CCCOC1,4005,47:04700:0:Z3621792450;47:04700:0:Z3473368441;47:04700:0:Z3568323722;
C1NCC2CC1O2,63,47:04700:0:Z2919538806;47:04701:5:Z3580992791;47:04701:6:Z2932558464;
Cc1cc(C)ncn1,3651,47:04700:0:Z2905131542;47:04700:0:Z2909111449;47:04700:0:Z1673401586;
c1ccc2c(c1)CC1(CC1)C2,192,47:04700:0:Z4114216908;47:04700:5:Z4112699745;47:04701:5:Z4114087187;
Clc1cccc2c1OCCCO2,846,47:04700:0:Z1595189388;47:04700:0:Z3340328139;47:04700:3:Z1395678874;
OC1CCOC1,5661,47:04700:0:Z3368865866;47:04700:0:Z2434457865;47:04700:0:Z3574620543;
Clc1cccc2ncccc12,729,47:04700:0:Z3368865866;47:04700:1:Z3340398979;47:04700:2:Z4257135737;
NC1CCC(F)(F)CC1,155,47:04700:0:Z4878854887;47:04700:0:Z4878855002;47:04700:3:Z4878850226;
O=S1(=O)CC2CCCN1C2,226,47:04700:0:Z4878854887;47:04700:4:Z4166889707;47:04700:6:Z3843383693;
Fc1cccnc1,27450,47:04700:0:Z2611845841;47:04700:0:Z1942157192;47:04700:0:Z4228684374;
C1CCN2CC3CNCC3C2C1,190,47:04700:0:Z2611845841;47:04700:7:Z1677297811;47:04700:8:Z1256541261;
c1ccsc1,125927,47:04700:0:Z4089421224;47:04700:0:Z2606238717;47:04700:0:Z2024520165;
C1CCc2[nH]nnc2C1,1739,47:04700:0:Z4089421224;47:04700:1:Z3640881829;47:04700:1:Z2058307369;
Cc1cnn(C)c1,3826,47:04700:0:Z2068790254;47:04700:0:Z3010189679;47:04700:0:Z4041772882;
CC1(C)CC1,6209,47:04700:0:Z4112190231;47:04700:0:Z4047475824;47:04700:0:Z5059802094;
O=C1CCNc2ccccc2N1,482,47:04700:0:Z4112190231;47:04700:5:Z4503519988;47:04700:6:Z4503836339;
Cc1csc(C)n1,3574,47:04700:0:Z2989239879;47:04700:0:Z3590565688;47:04700:0:Z5045942403;
O=C1NCC2(CCNCC2)N1,327,47:04700:0:Z4116188834;47:04700:2:Z3656088786;47:04700:2:Z3656625496;
CC1CCCCN1C,1817,47:04700:0:Z3439047519;47:04700:0:Z1440289919;47:04700:0:Z1390713118;
O=S1(=O)CCC2(CCN2)CC1,254,47:04700:0:Z3439047519;47:04700:1:Z4771211933;47:04700:6:Z4118913503;
c1nc[nH]n1,46939,47:04700:0:Z3696316873;47:04700:0:Z2179167754;47:04700:0:Z2948903844;
C1CC2CNCC12,6710,47:04700:0:Z4643405154;47:04700:0:Z4115275934;47:04700:0:Z4056110979;
C1CSCN1,6906,47:04700:0:Z4643405154;47:04700:0:Z4113020347;47:04700:0:Z3569669831;
Cc1ccc(O)cc1,1253,47:04700:0:Z3510234054;47:04700:1:Z5044657190;47:04700:2:Z1870586957;
C1CCC2(CC1)CCC2,4651,47:04700:0:Z3510234054;47:04700:0:Z3680085777;47:04700:0:Z3359869882;
c1c[nH]nn1,81467,47:04700:0:Z4445360093;47:04700:0:Z3367919506;47:04700:0:Z2921719464;
C1NCC2CC12,13289,47:04700:0:Z4445360093;47:04700:0:Z4487040209;47:04700:0:Z4406386202;
C1CNCCN1,114017,47:04700:0:Z4676375565;47:04700:0:Z4278712366;47:04700:0:Z4436703471;
Clc1cscn1,2934,47:04700:0:Z4676375565;47:04700:0:Z2706413574;47:04700:1:Z2701717475;
Cn1c(=O)n(C)c2ccccc21,595,47:04700:0:Z983740344;47:04700:3:Z1607121839;47:04700:3:Z1225457513;
C1CCSCC1,10540,47:04700:0:Z983740344;47:04700:0:Z4825575409;47:04700:0:Z3199518411;
NC12CNCC1C2,109,47:04700:0:Z3365768269;47:04701:4:Z3384643186;47:04701:6:Z3364581088;
c1nnc[nH]1,41341,47:04700:0:Z2024520165;47:04700:0:Z1988154915;47:04700:0:Z3190414463;
CC1CNCCS1,707,47:04700:0:Z2024520165;47:04700:2:Z2803485487;47:04700:2:Z1151744506;
CN1C(=O)COc2ccccc21,948,47:04700:0:Z2826013342;47:04700:0:Z3517997016;47:04700:5:Z2920649459;
c1c[nH]cn1,71648,47:04700:0:Z2027414562;47:04700:0:Z4389346857;47:04700:0:Z2212535541;
C1CC2CNCC(C1)C2,1725,47:04700:0:Z2069673982;47:04700:0:Z4573447417;47:04700:0:Z5058223168;
c1ccc2sccc2c1,8236,47:04700:0:Z2454418082;47:04700:0:Z2306115999;47:04700:0:Z3723838268;
FC1CNCC1F,450,47:04700:0:Z5001482697;47:04700:0:Z5000220447;47:04700:1:Z3439967040;
Cc1cn2ccccc2n1,1845,47:04700:0:Z4081156443;47:04700:0:Z5000912619;47:04700:0:Z2801110058;
O=C1CCNC(=O)N1,11776,47:04700:0:Z4081156443;47:04700:0:Z3536823171;47:04700:0:Z3535571880;
C1CC2CCC1CC2,4154,47:04700:0:Z4128487868;47:04700:0:Z4459979712;47:04700:0:Z4469230815;
CC1CNCCO1,15494,47:04700:0:Z3380094906;47:04700:0:Z2648439338;47:04700:0:Z2954786682;
C1CCCNCC1,23377,47:04700:0:Z3380094906;47:04700:0:Z2595829557;47:04700:0:Z1702298102;
Fc1ccccc1Cl,16413,47:04700:0:Z4137300668;47:04700:0:Z4621554602;47:04700:0:Z5045594207;
c1ccc2ncncc2c1,2965,47:04700:0:Z3648938713;47:04700:0:Z3648946886;47:04700:0:Z3391072131;
CC1NCCNC1=O,1109,47:04700:0:Z4139353067;47:04700:0:Z2183890892;47:04700:0:Z1749049455;
Cc1cc2n(n1)C(C)CCC2,284,47:04700:0:Z4139353067;47:04700:2:Z4144760855;47:04701:7:Z4141936938;
c1ccc2ocnc2c1,6066,47:04700:0:Z3010189679;47:04700:0:Z4106373835;47:04700:0:Z4100013434;
C1CC2CNCC2O1,3842,47:04700:0:Z5047642902;47:04700:0:Z5048342419;47:04700:0:Z2960166552;
Cc1ccco1,22580,47:04700:0:Z4278712366;47:04700:0:Z2214568984;47:04700:0:Z3299063025;
Oc1ccccn1,4411,47:04700:0:Z4278712366;47:04700:0:Z4524904363;47:04700:0:Z4275768388;
c1ccc2nccnc2c1,2803,47:04700:0:Z343818894;47:04700:0:Z3716470900;47:04700:0:Z1666831568;
c1nn[nH]n1,30506,47:04700:0:Z4389346857;47:04700:0:Z4507848716;47:04700:0:Z4508779293;
C1CC2CC2C1,9659,47:04700:0:Z4113020347;47:04700:0:Z2921719464;47:04700:0:Z2274686741;
CN1C(=O)COC12CCNCC2,254,47:04700:0:Z3041228386;47:04700:9:Z4166524197;47:04702:3:Z4489965393;
c1cocn1,51587,47:04700:0:Z3367919506;47:04700:0:Z4294821031;47:04700:0:Z4324027231;
Cc1ccc2cccc(F)c2n1,247,47:04700:0:Z3086230608;47:04700:0:Z2474594535;47:04700:0:Z2479069018;
CC1CNC(=O)C1,905,47:04700:0:Z3086230608;47:04700:0:Z1851113400;47:04700:1:Z4880288775;
Cc1cc(C)[nH]n1,21033,47:04700:0:Z2976318053;47:04700:0:Z2285773218;47:04700:0:Z2905870075;
O=C1CCCCN1,25995,47:04700:0:Z2976318053;47:04700:0:Z2860185654;47:04700:0:Z4324988769;
Cc1cccc(F)c1,11472,47:04700:0:Z4178363073;47:04700:0:Z4251040841;47:04700:0:Z1683430436;
Oc1ccccc1,37292,47:04700:0:Z2350225645;47:04700:0:Z1637916359;47:04700:0:Z4508779293;
CC1CNCC(C)N1C,352,47:04700:0:Z2291341055;47:04700:0:Z2232152805;47:04700:1:Z2291291561;
FC1(F)CCCNC1,3829,47:04700:0:Z2476392972;47:04700:0:Z5017559021;47:04700:0:Z4294620765;
C1CC2CNCC1C2,1919,47:04700:0:Z2776730168;47:04700:0:Z2647911248;47:04700:0:Z4571074285;
c1nncs1,31548,47:04700:0:Z2776730168;47:04700:0:Z603329526;47:04700:0:Z4447789149;
CC1OC2(C)CC1C2,254,47:04700:0:Z4669892316;47:04700:4:Z3409706972;47:04700:7:Z3592703755;
C1CC2CC(CO2)O1,929,47:04700:0:Z4278567720;47:04700:1:Z3869958510;47:04700:1:Z4323565423;
c1ccc2c(c1)CCO2,12653,47:04700:0:Z941408410;47:04700:0:Z2569551650;47:04700:0:Z2958304277;
O=S1(=O)CCC2(CC2)C1,387,47:04700:0:Z4406191598;47:04700:2:Z4506782186;47:04700:2:Z4406746240;
Clc1ccc2c(c1)CCNC2,181,47:04700:0:Z4406191598;47:04700:7:Z2907325189;47:04701:3:Z1840717759;
c1cc[nH]c1,27221,47:04700:0:Z3569669831;47:04700:0:Z5033388534;47:04700:0:Z3588947649;
CC1(C)CCCC1O,305,47:04700:0:Z3360494741;47:04700:0:Z4062525206;47:04700:3:Z2231617339;
c1cnc2c(c1)CCC2,3411,47:04700:0:Z3390815377;47:04700:0:Z2922070473;47:04700:0:Z4200387069;
Cc1cncs1,11415,47:04700:0:Z3353411388;47:04700:0:Z1277362620;47:04700:0:Z4023147125;
Cc1nnc[nH]1,4044,47:04700:0:Z2142831869;47:04700:0:Z2183890892;47:04700:0:Z2094474253;
OC1Cc2ccccc2C1,1993,47:04700:0:Z2407419719;47:04700:0:Z2959187267;47:04700:0:Z3780699875;
CC1CNCC(C)O1,5457,47:04700:0:Z2650034889;47:04700:0:Z2568500417;47:04700:0:Z2927422796;
CC1CCC(=O)N1,1693,47:04700:0:Z2650034889;47:04700:0:Z1952644644;47:04700:0:Z4487344322;
C1CC2OCCC2CN1,506,47:04700:0:Z2580924237;47:04700:2:Z2457463647;47:04701:3:Z3843829358;
Clc1cccc2ccccc12,273,47:04700:0:Z4210553418;47:04700:4:Z1610363606;47:04700:7:Z2443906238;
O=C1CCCN1,63115,47:04700:0:Z3603290097;47:04700:0:Z4047475824;47:04700:0:Z1275841547;
Clc1cccc2nccnc12,127,47:04700:0:Z4378381078;47:04700:3:Z3177591060;47:04700:9:Z3685813061;
c1ccc2ccccc2c1,10472,47:04700:0:Z2284503631;47:04700:0:Z1569029559;47:04700:0:Z1890460761;
O=C1CCC2CNCC12,143,47:04700:0:Z4591230609;47:04700:0:Z4591221194;47:04700:9:Z4591419608;
c1ccc2c(c1)OCc1cncn1-2,84,47:04700:0:Z4135668213;47:04701:4:Z3852498731;47:04702:0:Z3776512571;
Cc1cc2ccsc2s1,263,47:04700:0:Z3588948234;47:04700:0:Z3626366361;47:04700:2:Z3054242443;
C1COC2COCCC2N1,274,47:04700:0:Z3369256426;47:04700:3:Z3618202024;47:04700:4:Z2964873338;
Cn1cnnc1,22321,47:04700:0:Z3093939297;47:04700:0:Z4200629690;47:04700:0:Z3095866416;
C1CC2CCC(C1)S2,1140,47:04700:0:Z2862421754;47:04700:2:Z2904917857;47:04700:3:Z2929705901;
Nc1ncncn1,1459,47:04700:0:Z2972375079;47:04700:0:Z4025346091;47:04700:0:Z4025830533;
NC1CCNCC1,2838,47:04700:0:Z2972375079;47:04700:0:Z2872896655;47:04700:0:Z2853937717;
c1ccc2nncnc2c1,352,47:04700:0:Z4322177425;47:04700:0:Z3557774163;47:04700:3:Z3646023185;
C1CCC2(CNC2)OC1,1122,47:04700:0:Z4582300312;47:04700:1:Z3191148438;47:04700:1:Z3191150091;
CC1(C)OCCCO1,1930,47:04700:0:Z3658392824;47:04700:1:Z4414529356;47:04700:1:Z1667502912;
FC(F)=C1CCCCC1,617,47:04700:0:Z3658392824;47:04700:0:Z3888959708;47:04700:4:Z3633990682;
O=C1CC2CCCCC2N1,516,47:04700:0:Z2966656661;47:04700:3:Z3085564452;47:04700:3:Z3009818650;
c1ccc2cnccc2c1,9829,47:04700:0:Z2966656661;47:04700:0:Z3712892203;47:04700:0:Z2965072213;
c1cnc2ccnn2c1,3428,47:04700:0:Z3383500641;47:04700:0:Z2229181246;47:04700:0:Z1549234545;
c1ccc2[nH]cnc2c1,13686,47:04700:0:Z3804119895;47:04700:0:Z1222457188;47:04700:0:Z3362752968;
Oc1ccc2c(c1)OCO2,244,47:04700:0:Z2964686399;47:04700:8:Z3905921794;47:04700:9:Z4053922079;
C1CNCCSC1,1661,47:04700:0:Z2964686399;47:04700:0:Z4614193207;47:04700:1:Z3176421788;
Nc1nccs1,1697,47:04700:0:Z4106107602;47:04700:1:Z4452953178;47:04700:1:Z3094164618;
C1CC2(CC2)CO1,2877,47:04700:0:Z3610151574;47:04700:0:Z3776811129;47:04700:0:Z3855553642;
FC1CCNC1,12125,47:04700:0:Z5054829408;47:04700:0:Z5054818388;47:04700:0:Z2284042473;
CC1CCN1,2641,47:04700:0:Z3649781830;47:04700:0:Z3712892203;47:04700:1:Z3752418297;
O=c1cc[nH]c(=O)[nH]1,2778,47:04700:0:Z3649781830;47:04700:0:Z2647942916;47:04700:0:Z3593085435;
FC1(F)CCC1,13685,47:04700:0:Z3299874032;47:04700:0:Z4869875180;47:04700:0:Z4869875121;
O=C1NCCOc2ccccc21,533,47:04700:0:Z3365649701;47:04700:0:Z4437532524;47:04700:1:Z4427435924;
C1CC2(CC2)CN1,5236,47:04700:0:Z3365649701;47:04700:0:Z3797568331;47:04700:0:Z4116314888;
Cc1ccc2c(c1)OCO2,460,47:04700:0:Z1637916359;47:04700:0:Z1637952732;47:04701:0:Z1957769643;
c1ccc2c(c1)CCN2,14769,47:04700:0:Z4214433303;47:04700:0:Z4060006479;47:04700:0:Z1844275644;
O=C1CSCCN1,396,47:04700:0:Z2948903844;47:04700:5:Z3302485648;47:04700:6:Z4251370107;
Cc1cc(=O)[nH]cn1,2202,47:04700:0:Z2906341955;47:04700:0:Z2881766844;47:04700:2:Z3672286660;
Cc1nc2ccccc2o1,2266,47:04700:0:Z2877805331;47:04700:0:Z4599882666;47:04700:0:Z2778558762;
CC1CCc2n[nH]cc2C1,447,47:04700:0:Z2877805331;47:04700:0:Z2862648925;47:04700:0:Z2881803144;
Fc1cccc(F)c1,46316,47:04700:0:Z2011632728;47:04700:0:Z4058718564;47:04700:0:Z2951888781;
O=S1(=O)C2CCNCC1CC2,365,47:04700:0:Z2720018322;47:04700:1:Z4575097540;47:04700:4:Z2814343335;
Cc1cncc(C)c1,3230,47:04700:0:Z2444170219;47:04700:0:Z3887664864;47:04700:1:Z3599493975;
c1cncnc1,85317,47:04700:0:Z3695045342;47:04700:0:Z3660566398;47:04700:0:Z3683321850;
CC1(C)CCC1,10196,47:04700:0:Z3889839008;47:04700:0:Z3547940171;47:04700:0:Z4230030071;
Cc1nnco1,6416,47:04700:0:Z4825575409;47:04700:0:Z1997677569;47:04700:0:Z1088658762;
CC1NCCn2cccc21,554,47:04700:0:Z4934983382;47:04700:0:Z979229854;47:04700:0:Z3019978197;
Cc1cocn1,7812,47:04700:0:Z4220773958;47:04700:0:Z3050185790;47:04700:0:Z2803583129;
Cn1ccnc1,32446,47:04700:0:Z4006093978;47:04700:0:Z4289495630;47:04700:0:Z1256749314;
CC1(C)CNC1,4589,47:04700:0:Z3060502040;47:04700:0:Z3383227449;47:04700:0:Z4022084844;
Cc1ccc(C)[nH]1,5056,47:04700:0:Z1352072728;47:04700:0:Z1175497846;47:04700:0:Z810200406;
CC1CCNCC1,17959,47:04700:0:Z2775386611;47:04700:0:Z2145979061;47:04700:0:Z2915958784;
C1CC2CCC1CO2,2487,47:04700:0:Z4621183022;47:04700:1:Z3702534336;47:04700:1:Z3533049246;
CC1=CCCCO1,290,47:04700:0:Z3585292984;47:04700:1:Z1841682807;47:04700:2:Z2184184575;
FC1CCNCC1,3974,47:04700:0:Z3585292984;47:04700:0:Z3381304684;47:04700:1:Z3656928316;
Cn1cc(N)cn1,694,47:04700:0:Z4316278727;47:04700:0:Z3019744708;47:04700:2:Z3136284436;
Fc1ccc(F)c2c1CCN2,199,47:04700:0:Z2214605235;47:04701:2:Z4132405371;47:04702:4:Z2231359211;
c1ccc2c(c1)OCO2,11897,47:04700:0:Z3855806881;47:04700:0:Z4465950965;47:04700:0:Z4465978162;
Cc1ccncn1,18010,47:04700:0:Z3594599237;47:04700:0:Z2717736029;47:04700:0:Z1940061846;
C1CC2CC1CN2,6169,47:04700:0:Z3594599237;47:04700:0:Z3046731807;47:04700:1:Z4403075295;
C1OC2CNC1C2,1107,47:04700:0:Z4055102502;47:04700:0:Z3619822679;47:04700:0:Z4477871883;
CC1CNCC1C,2114,47:04700:0:Z2719838947;47:04700:0:Z3498851524;47:04700:0:Z2715741685;
CC1CCOCC1,2786,47:04700:0:Z2067108262;47:04700:0:Z3439923124;47:04700:0:Z1303822739;
C1CC2CCCN2C1,1149,47:04700:0:Z2907636879;47:04700:1:Z4286237229;47:04700:2:Z4142571764;
O=c1ccnc[nH]1,4283,47:04700:0:Z2907636879;47:04700:0:Z3898903432;47:04700:0:Z2999744694;
c1ccc2[nH]ccc2c1,24212,47:04700:0:Z3141852849;47:04700:0:Z3990730717;47:04700:0:Z2912039837;
CC1CCCCS1(=O)=O,1716,47:04700:0:Z4350896699;47:04700:0:Z4350896316;47:04700:0:Z4023147125;
c1cnc2c(c1)CCCN2,1077,47:04700:0:Z4350896699;47:04700:0:Z4350896316;47:04700:1:Z4003348148;
Cc1nc2ccccc2[nH]1,2223,47:04700:0:Z4230091875;47:04700:0:Z1625128943;47:04700:0:Z2019001978;
Cc1cnco1,9407,47:04700:0:Z2284042473;47:04700:0:Z2282990574;47:04700:0:Z2269360668;
C1CC2(C1)CCOC2,3282,47:04700:0:Z4620997944;47:04700:0:Z4178110789;47:04700:0:Z3656379350;
FC1(F)CNCCOC1,396,47:04700:0:Z2149945932;47:04700:9:Z3052003824;47:04701:3:Z2157460189;
Cc1ccn(C)n1,12714,47:04700:0:Z1562717483;47:04700:0:Z2640701464;47:04700:0:Z2270592683;
c1cc2c(s1)CCNC2,3078,47:04700:0:Z1562717483;47:04700:0:Z2954701055;47:04700:0:Z4029529823;
CC1(C)CCC12CCNC2,211,47:04700:0:Z4177268997;47:04700:4:Z4184201624;47:04702:5:Z4172699719;
CC1CCCN1,19133,47:04700:0:Z4768992492;47:04700:0:Z3350694900;47:04700:0:Z4227750179;
Cn1ncnc1O,138,47:04700:0:Z4768992492;47:04700:9:Z4768729036;47:04701:2:Z4771828392;
O=S1(=O)CCCCC1,9008,47:04700:0:Z4058718564;47:04700:0:Z3605668225;47:04700:0:Z2118757518;
CC1CCCC1,8464,47:04700:0:Z3671173943;47:04700:0:Z4135449140;47:04700:0:Z4574338572;
C1CC2CC1CO2,4691,47:04700:0:Z5023680379;47:04700:0:Z3578794622;47:04700:0:Z3796717058;
CN1CCCCCC1=O,1248,47:04700:0:Z5023680379;47:04700:1:Z5035076509;47:04700:2:Z4487502474;
c1cn2ccsc2n1,3940,47:04700:0:Z3539555135;47:04700:0:Z4043623242;47:04700:0:Z3204888419;
Nc1cccnc1,2014,47:04700:0:Z2436442299;47:04700:0:Z2439061650;47:04700:0:Z4128026680;
c1cnc2c(c1)NCCS2,221,47:04700:0:Z1554925226;47:04700:2:Z2811134476;47:04701:1:Z1883283797;
C1COCCO1,8374,47:04700:0:Z3403574663;47:04700:0:Z3655997611;47:04700:0:Z4228736705;
c1ncncn1,1335,47:04700:0:Z2975515640;47:04700:0:Z4082476008;47:04700:2:Z4233997830;
CN1CCNCC1,17067,47:04700:0:Z2802947937;47:04700:0:Z1851940425;47:04700:0:Z1073031122;
