fragment_smiles,occurences,example_ligands
O=S1(=O)CCCN1,1321221,193:19300:0:PV-006644526342;193:19300:0:PV-006644554098;193:19300:0:PV-006644554099;;
C1NCC2CNCC1C2,762446,193:19300:0:PV-006644526342;193:19300:0:PV-003884897262;193:19300:0:PV-003884911307;;
CC1CC(F)(F)CN1,712469,193:19300:0:PV-006644526345;193:19300:0:PV-006644530057;193:19300:1:PV-003884912369;;
Fc1ccsc1,4460109,193:19300:0:PV-006644526345;193:19300:0:PV-006644527457;193:19300:0:PV-006644528210;;
O=S1(=O)CCC2CNCC21,303099,193:19300:0:PV-006644526358;193:19300:2:PV-006644580431;193:19300:2:PV-006644662694;;
Cc1cccn2ccnc12,1094824,193:19300:0:PV-006644526399;193:19300:0:PV-006644526400;193:19300:0:PV-003884903372;;
c1cocn1,34088908,193:19300:0:PV-006644526525;193:19300:0:PV-006644526526;193:19300:0:PV-006644527183;;
c1cncnc1,31353628,193:19300:0:PV-006644526550;193:19300:0:PV-006644526551;193:19300:0:PV-006644541402;;
c1ccc2c(c1)CCO2,5832357,193:19300:0:PV-006644526686;193:19300:0:PV-006644526687;193:19300:0:PV-003884897390;;
Oc1cccnc1,6101758,193:19300:0:PV-006644526686;193:19300:0:PV-006644526687;193:19300:0:PV-006644555119;;
Cc1ncc[nH]1,8518552,193:19300:0:PV-006644526691;193:19300:0:PV-003034697466;193:19300:0:PV-003034698685;;
FC1CNC1,8049188,193:19300:0:PV-006644526691;193:19300:0:PV-006644530136;193:19300:0:PV-006644531954;;
CC1(C)CCNC1,12683962,193:19300:0:PV-006644526704;193:19300:0:PV-006644529808;193:19300:0:PV-006644533776;;
Clc1ncc[nH]1,1247952,193:19300:0:PV-006644526704;193:19300:0:PV-006644544580;193:19300:0:PV-006644554828;;
Clc1ncco1,1869731,193:19300:0:PV-006644526754;193:19300:0:PV-006644538445;193:19300:0:PV-006644539318;;
Cc1coc2c(Cl)cccc12,58938,193:19300:0:PV-006644526763;193:19302:2:PV-004137065929;193:19303:1:PV-004137107472;;
C1CC2CNCC1N2,7441996,193:19300:0:PV-006644526778;193:19300:0:PV-006644547267;193:19300:0:PV-006644547268;;
Cc1cc(C)cc(Cl)c1,405490,193:19300:0:PV-006644527014;193:19300:0:PV-006644528690;193:19300:0:PV-006644528691;;
Cn1ccnn1,6885615,193:19300:0:PV-006644527014;193:19300:0:PV-006644541316;193:19300:0:PV-006644541317;;
C1CC2CNC2CN1,3661755,193:19300:0:PV-006644527046;193:19300:0:PV-003884894556;193:19300:0:PV-003884895295;;
C1CC2CCNC2CN1,3221554,193:19300:0:PV-006644527078;193:19300:0:PV-003884892511;193:19300:0:PV-004136961326;;
