fragment_smiles,occurences,example_ligands
Cc1ccno1,14658,1:00100:0:Z3159218526;1:00100:0:Z3520122781;1:00100:0:Z3520132836;
Cn1cn[nH]c1=O,1856,1:00100:0:Z3159218526;1:00100:0:Z4403804549;1:00100:1:Z4646265819;
c1ncn2c1CNCC2,831,1:00100:0:Z3104974424;1:00100:0:Z2177238007;1:00100:0:Z3684692356;
O=C1NCC2CC12,1287,1:00100:0:Z4198779935;1:00100:1:Z4018919442;1:00100:1:Z3897381996;
Cc1cncs1,12592,1:00100:0:Z2465991614;1:00100:0:Z3102164342;1:00100:0:Z1883336569;
Cc1nnco1,6212,1:00100:0:Z2781766271;1:00100:0:Z1538448553;1:00100:0:Z4601520948;
O=S1(=O)CCCN1,3605,1:00100:0:Z3339706239;1:00100:0:Z3537963283;1:00100:0:Z4455307039;
c1csnn1,8848,1:00100:0:Z3339706239;1:00100:0:Z3509724077;1:00100:0:Z2830251320;
CC1CCc2nncn2C1,141,1:00100:0:Z4326273735;1:00100:2:Z4320098598;1:00100:2:Z4324148460;
CC1(C)CCC1,13369,1:00100:0:Z1918766526;1:00100:0:Z4272724986;1:00100:0:Z1374996308;
Clc1cccs1,15520,1:00100:0:Z1918766526;1:00100:0:Z4285309390;1:00100:0:Z4216646414;
C1CC2CCC1N2,6910,1:00100:0:Z3091637222;1:00100:0:Z2763728820;1:00100:0:Z3382313972;
Cc1ncc(Cl)cn1,452,1:00100:0:Z3091637222;1:00100:2:Z5006883447;1:00100:3:Z3059876696;
NC1CCC2CC12,743,1:00100:0:Z4005188656;1:00100:2:Z4003459591;1:00100:2:Z4003520606;
CC1CCNC1,25559,1:00100:0:Z3369091979;1:00100:0:Z4421202402;1:00100:0:Z3365702516;
Nc1ccccn1,5144,1:00100:0:Z3369091979;1:00100:0:Z4207380763;1:00100:1:Z2949830189;
C1CC2COCC12,1443,1:00100:0:Z3894659526;1:00100:1:Z3381604744;1:00100:2:Z3058887150;
