fragment_smiles,occurences,example_ligands
OC1CCNCc2ccccc21,365,100:10000:0:Z2127626535;100:10000:3:Z3606834739;100:10000:7:Z2912652991;
C1CC2OCCOC2CN1,419,100:10000:0:Z3843334572;100:10000:3:Z3101913867;100:10000:9:Z3061020915;
c1ccc2c(c1)CCO2,13541,100:10000:0:Z2718267624;100:10000:0:Z3388813900;100:10000:0:Z4471683042;
OC1CC2CNCCN2C1,392,100:10000:0:Z2500665560;100:10000:1:Z2507317914;100:10000:3:Z3805661648;
c1ccc2nonc2c1,1393,100:10000:0:Z2965507602;100:10000:0:Z3996531976;100:10000:1:Z3534479262;
Cc1ccccc1O,2809,100:10000:0:Z5006622728;100:10000:0:Z1025787500;100:10000:0:Z4106232894;
O=C1CNCC2(CC2)N1,340,100:10000:0:Z5006622728;100:10000:2:Z3612071639;100:10000:3:Z3612069806;
Cc1nc2ccccc2n(C)c1=O,341,100:10000:0:Z4242131161;100:10000:0:Z4319778238;100:10000:1:Z4151248201;
CN1CC2(CCNCC2)c2ccccc21,125,100:10000:0:Z4213498586;100:10000:8:Z3819174897;100:10003:6:Z3893172411;
CC1CC(F)CN1,112,100:10000:0:Z4213498586;100:10001:4:Z4204049228;100:10001:7:Z4449016536;
Nc1ncn[nH]1,284,100:10000:0:Z5033642107;100:10000:0:Z3587406191;100:10000:9:Z4199198189;
Cc1cnoc1,3973,100:10000:0:Z2321382089;100:10000:0:Z2788804705;100:10000:0:Z3602806159;
C1CCCNCC1,25381,100:10000:0:Z3607183450;100:10000:0:Z1240228049;100:10000:0:Z3354536852;
O=C1CNC2CCCCC2N1,342,100:10000:0:Z4266886431;100:10000:1:Z1567412257;100:10000:8:Z1411901880;
c1ccc2ccccc2c1,15840,100:10000:0:Z2000461484;100:10000:0:Z1929784824;100:10000:0:Z3475549808;
O=C1NCNc2cc(Cl)ccc21,14,100:10000:0:Z1272836463;100:10002:2:Z729932326;100:10002:6:Z1272836520;
Cc1nc[nH]n1,2361,100:10000:0:Z2869464489;100:10000:0:Z3948002611;100:10000:0:Z1311366422;
Oc1ccccc1,40855,100:10000:0:Z1441682575;100:10000:0:Z4008820090;100:10000:0:Z3898809453;
CC1(C)CCC1,9137,100:10000:0:Z4884910993;100:10000:0:Z4884913199;100:10000:0:Z2843249114;
Fc1ccccc1F,25746,100:10000:0:Z3366501189;100:10000:0:Z2962543994;100:10000:0:Z2871901096;
C1CCCC2(CC1)OCCO2,424,100:10000:0:Z3366501189;100:10000:0:Z3589063184;100:10000:0:Z4643590503;
Cc1ccc(O)cc1,1020,100:10000:0:Z944452106;100:10000:0:Z2226745060;100:10000:3:Z3623261049;
Cc1cc(C)ncn1,4462,100:10000:0:Z1779713978;100:10000:0:Z2292990243;100:10000:0:Z3370466848;
Cc1cnccn1,5883,100:10000:0:Z2479806765;100:10000:0:Z2815335915;100:10000:0:Z850598664;
CN1C(=O)COc2ccccc21,1306,100:10000:0:Z2623680251;100:10000:0:Z3594487893;100:10000:0:Z4570446248;
O=S1(=O)CCNCC1,5571,100:10000:0:Z2710225540;100:10000:0:Z4405101001;100:10000:0:Z2500102037;
C1CC2CNCC1N2,869,100:10000:0:Z3134669229;100:10000:0:Z2782889168;100:10000:0:Z4276375966;
CC1CCNC2(CC2)C1,89,100:10000:0:Z4385223064;100:10000:8:Z4094114657;100:10001:8:Z4094115900;
CN1CCCCC1,21458,100:10000:0:Z4082285816;100:10000:0:Z1271267553;100:10000:0:Z4086266709;
O=C1CCCc2ccccc21,3086,100:10000:0:Z4999110077;100:10000:0:Z3863917644;100:10000:0:Z4228990187;
Cc1ccco1,22712,100:10000:0:Z4223164840;100:10000:0:Z2413612237;100:10000:0:Z2358628964;
c1cc2c(cn1)CNCC2,841,100:10000:0:Z4223164840;100:10000:1:Z4223172043;100:10000:1:Z3793804694;
c1cocn1,50710,100:10000:0:Z1323406838;100:10000:0:Z5005235160;100:10000:0:Z4261879899;
Cn1cnc2ccccc21,6074,100:10000:0:Z1635097220;100:10000:0:Z983619852;100:10000:0:Z1803206624;
Cn1c(=O)oc2ccc(F)cc21,190,100:10000:0:Z2360911146;100:10001:8:Z2305327168;100:10002:1:Z2710612790;
CN1CCCC1=O,9585,100:10000:0:Z3059006300;100:10000:0:Z2962845300;100:10000:0:Z2962845889;
FC1(F)CCNCC1,3349,100:10000:0:Z3470878633;100:10000:0:Z4511084493;100:10000:0:Z4241485053;
CC1(C)COCCO1,4041,100:10000:0:Z4385413140;100:10000:0:Z4095423758;100:10000:1:Z4142825665;
c1ccc2c(c1)CCOC2,11385,100:10000:0:Z1002928238;100:10000:0:Z2783053752;100:10000:0:Z2370887010;
Cc1ccc[nH]1,3810,100:10000:0:Z4291116530;100:10000:0:Z1768749867;100:10000:0:Z3633245057;
Clc1ccc2c(c1Cl)OCCC2,128,100:10000:0:Z4291116530;100:10000:6:Z2362777830;100:10001:2:Z3442809126;
c1[nH]nc2c1CCCC2,2815,100:10000:0:Z5005235160;100:10000:0:Z2917120861;100:10000:0:Z1439422582;
OC1CCNC1,23457,100:10000:0:Z4022146395;100:10000:0:Z4134717200;100:10000:0:Z4004801435;
NC12CNCC1C2,44,100:10000:0:Z4055400816;100:10002:7:Z3364582149;100:10003:2:Z3698840170;
O=S1(=O)CCCC1,15694,100:10000:0:Z1047688540;100:10000:0:Z1298166699;100:10000:0:Z1899413729;
CC1(C)CNC(=O)c2ccoc2C1,187,100:10000:0:Z2962136273;100:10000:1:Z3703772200;100:10000:1:Z3650562070;
CC1CCCCO1,4461,100:10000:0:Z2962136273;100:10000:0:Z3587622947;100:10000:0:Z4086734771;
c1ccc2c(c1)CCC2,22080,100:10000:0:Z1344696969;100:10000:0:Z3640646627;100:10000:0:Z4278344771;
C1CC2CCC(CN1)N2,1253,100:10000:0:Z1372581783;100:10000:0:Z1510025752;100:10000:3:Z3845151926;
Fc1cccc2c1CNCC2,1028,100:10000:0:Z3869324305;100:10000:0:Z4448838664;100:10000:3:Z3510202899;
Cn1cnnn1,4126,100:10000:0:Z3869324305;100:10000:0:Z1819414742;100:10000:0:Z1698618178;
O=C1CNCN1,2432,100:10000:0:Z2016014378;100:10000:0:Z4580228136;100:10000:1:Z1843860062;
Cc1ncco1,4044,100:10000:0:Z4103569670;100:10000:0:Z3997709339;100:10000:0:Z1509814497;
Cc1noc2ncccc12,1612,100:10000:0:Z1275574873;100:10000:0:Z1497080188;100:10000:0:Z2691414663;
C1CC2CC12,1889,100:10000:0:Z3643697848;100:10000:1:Z3634354462;100:10000:1:Z3402439322;
Clc1cccc2c1CNCC2,149,100:10000:0:Z2309493898;100:10000:6:Z2307383983;100:10001:0:Z2304706693;
Fc1cncnc1,2106,100:10000:0:Z4335699140;100:10000:0:Z2967969010;100:10000:0:Z3367421963;
c1cnccn1,31294,100:10000:0:Z2669610125;100:10000:0:Z3666904634;100:10000:0:Z2766470969;
c1ncc2c(n1)CNC2,726,100:10000:0:Z2669610125;100:10000:0:Z4961252551;100:10000:1:Z2499945747;
OC1CCC2(CCNCC2)CC1,331,100:10000:0:Z3598441964;100:10000:4:Z3198204063;100:10000:4:Z3788391771;
CC1CCc2c(sc3nc[nH]c(=O)c23)C1,48,100:10000:0:Z2373130273;100:10001:4:Z1123445161;100:10002:5:Z288775520;
