fragment_smiles,occurences,example_ligands
C1CCCNCC1,25983,94:09400:0:Z4154799199;94:09400:0:Z3199833124;94:09400:0:Z1196785223;
C1CCCC1,134069,94:09400:0:Z2803180428;94:09400:0:Z3562156299;94:09400:0:Z4769035802;
O=C1CSC2=NCCN12,311,94:09400:0:Z4348192029;94:09400:2:Z4350358597;94:09400:2:Z4348905183;
CC1CCOC2(CCC2)C1,343,94:09400:0:Z2862519311;94:09400:0:Z3570470737;94:09400:1:Z3365831627;
FC1(F)CC2(CCOC2)C1,623,94:09400:0:Z4888518205;94:09400:1:Z4879016245;94:09400:4:Z4883832159;
FC1(F)CC12CCC2,4285,94:09400:0:Z3083411392;94:09400:0:Z3179822153;94:09400:1:Z3783029396;
C1CC2CCC1C2,12192,94:09400:0:Z2773466356;94:09400:0:Z3634127353;94:09400:0:Z3907467382;
c1cc2n(n1)CCNC2,4760,94:09400:0:Z3180008284;94:09400:0:Z5004323207;94:09400:0:Z4043515144;
c1ccc2c(c1)CCC2,22138,94:09400:0:Z4339756807;94:09400:0:Z3657924030;94:09400:0:Z4048301543;
Cc1ccccn1,28613,94:09400:0:Z2292962160;94:09400:0:Z3496054659;94:09400:0:Z2755396036;
Cc1ccc2ncccc2c1,1543,94:09400:0:Z4577427899;94:09400:0:Z4085210350;94:09400:0:Z4042796399;
FC1(F)CCC1,12463,94:09400:0:Z4577427899;94:09400:0:Z4571998778;94:09400:0:Z3617405771;
O=c1[nH]ncc2ccccc12,2490,94:09400:0:Z1883003211;94:09400:0:Z666980146;94:09400:0:Z5007584688;
O=C1CNCCN1,16555,94:09400:0:Z3083266663;94:09400:0:Z3802188662;94:09400:0:Z5053107451;
c1cn2c(n1)CCCC2,11277,94:09400:0:Z3083266663;94:09400:0:Z4207629955;94:09400:0:Z2771732859;
C=C1CCNCC1,1168,94:09400:0:Z4057307862;94:09400:1:Z2876243170;94:09400:3:Z1494616733;
c1cocn1,50943,94:09400:0:Z4057307862;94:09400:0:Z3875524803;94:09400:0:Z3321265598;
c1cn2c(n1)CCCCC2,895,94:09400:0:Z4324979576;94:09400:0:Z3999089886;94:09400:2:Z3361804486;
Clc1cccc2c1cc1n2CCNC1,91,94:09400:0:Z1888938416;94:09400:5:Z4117601033;94:09401:7:Z4060096969;
c1ccn2cnnc2c1,6495,94:09400:0:Z3360540423;94:09400:0:Z4406875717;94:09400:0:Z1786578456;
Cc1cnccn1,5929,94:09400:0:Z3509030085;94:09400:0:Z2504894237;94:09400:0:Z4455697302;
c1ccc2[nH]ccc2c1,31233,94:09400:0:Z3443414763;94:09400:0:Z3634127353;94:09400:0:Z1587916068;
O=c1[nH]cnc2ccccc12,4439,94:09400:0:Z3614498592;94:09400:0:Z1460293791;94:09400:0:Z4460152026;
C1CC2(C1)CCOC2,2790,94:09400:0:Z3614498592;94:09400:0:Z3570431389;94:09400:0:Z3674013871;
CC1Cc2ccccc2O1,4301,94:09400:0:Z2954872831;94:09400:0:Z4050043427;94:09400:0:Z4294693658;
C1CC2CCC(C1)N2,9124,94:09400:0:Z2954872831;94:09400:0:Z3354907410;94:09400:0:Z3808751411;
Fc1ccc2[nH]cnc2c1F,89,94:09400:0:Z3870478840;94:09402:9:Z4458715538;94:09404:3:Z4066282441;
CC1(C)CCCOC1,3119,94:09400:0:Z4960330623;94:09400:0:Z3441387314;94:09400:0:Z4270565164;
Oc1cccc(F)c1,1466,94:09400:0:Z3622710928;94:09400:0:Z5039078050;94:09400:1:Z4025627158;
c1cnoc1,79896,94:09400:0:Z3808170653;94:09400:0:Z2963818556;94:09400:0:Z4277916985;
c1ccc2ocnc2c1,7631,94:09400:0:Z3808170653;94:09400:0:Z3085618272;94:09400:0:Z4917647533;
C1COC2(C1)CCNCC2,2216,94:09400:0:Z3548723412;94:09400:1:Z3173605231;94:09400:2:Z3512867250;
Fc1cc(F)c2c(c1)NCCC2,143,94:09400:0:Z736858942;94:09400:4:Z1083341152;94:09402:6:Z1830223595;
C1COCC2(C1)CC2,454,94:09400:0:Z4601721080;94:09400:0:Z4541082409;94:09400:4:Z4541273643;
C1CCC2(CC1)CCOC2,366,94:09400:0:Z4922275762;94:09400:2:Z4276647032;94:09400:6:Z4924073849;
c1cnc2ncccc2c1,1104,94:09400:0:Z4922275762;94:09400:0:Z2623879154;94:09400:2:Z3862678700;
Cn1ccnc1,36707,94:09400:0:Z3578961342;94:09400:0:Z1955959458;94:09400:0:Z3504061145;
Cc1cncc(C)c1,3015,94:09400:0:Z5045064278;94:09400:0:Z1235865776;94:09400:0:Z2707189470;
O=c1[nH][nH]c2ccccc12,354,94:09400:0:Z5045064278;94:09400:0:Z4292784179;94:09400:3:Z4492974919;
Cc1ccn[nH]1,36077,94:09400:0:Z1974224250;94:09400:0:Z4305618157;94:09400:0:Z1575484624;
FC1(F)CCCC1,4089,94:09400:0:Z1974224250;94:09400:0:Z3181297384;94:09400:0:Z3832773242;
Fc1ccccc1F,25307,94:09400:0:Z1390041349;94:09400:0:Z2705472427;94:09400:0:Z3607850926;
C1CC2(C1)CC2,5879,94:09400:0:Z3383242800;94:09400:0:Z2805022622;94:09400:0:Z2771852721;
C1OC2CC1C2,4065,94:09400:0:Z3540373737;94:09400:0:Z4921720736;94:09400:0:Z4269774232;
Cc1ccccc1F,12310,94:09400:0:Z2302528385;94:09400:0:Z4973444520;94:09400:0:Z1744537206;
Cc1cc[nH]n1,30563,94:09400:0:Z3496054659;94:09400:0:Z3386275918;94:09400:0:Z2897119978;
FC1CCNC1,12021,94:09400:0:Z3181297384;94:09400:0:Z3602746799;94:09400:0:Z3787224525;
CC1CCCCS1(=O)=O,1658,94:09400:0:Z2963818556;94:09400:0:Z2963821635;94:09400:1:Z3907125038;
c1ccc2sncc2c1,1720,94:09400:0:Z3359009872;94:09400:2:Z4612264458;94:09400:2:Z3353075386;
FC1(F)CC1,13131,94:09400:0:Z3359009872;94:09400:0:Z4447605451;94:09400:0:Z2617076000;
Cc1cncs1,10468,94:09400:0:Z3557538160;94:09400:0:Z1398458234;94:09400:0:Z3133005441;
CN1CC(=O)Nc2cncnc21,62,94:09400:0:Z3557538160;94:09400:7:Z3559396954;94:09401:0:Z3559618704;
CC1CCNC1,20700,94:09400:0:Z3357096214;94:09400:0:Z1367086269;94:09400:0:Z3723889352;
O=C1NCCN1,8544,94:09400:0:Z3616633945;94:09400:0:Z2802809587;94:09400:0:Z2640088397;
C1CCC2NCCCC2C1,1822,94:09400:0:Z3616633945;94:09400:1:Z3793753862;94:09400:1:Z4278019353;
Cc1ccc(F)cc1,5489,94:09400:0:Z1767331126;94:09400:0:Z4190978464;94:09400:0:Z4273572810;
CC1(C)CNCCC(=O)C1,170,94:09400:0:Z2718589776;94:09400:5:Z2718590279;94:09400:8:Z2718586055;
c1cc[nH]c1,27318,94:09400:0:Z4045190174;94:09400:0:Z115014298;94:09400:0:Z3053246684;
C1CC2CC2CN1,1630,94:09400:0:Z2912034196;94:09400:0:Z2914859715;94:09400:0:Z2952934104;
C1CNCCNC1,25527,94:09400:0:Z2611629985;94:09400:0:Z4246724009;94:09400:0:Z4447605451;
