fragment_smiles,occurences,example_ligands
c1cnc2ncccc2c1,1192,407:40700:0:Z2882567460;407:40700:1:Z4431563007;407:40700:1:Z3805115332;
c1n[nH]c2c1CCCC2,9690,407:40700:0:Z3362262036;407:40700:0:Z4639203274;407:40700:0:Z3703284208;
Cc1cc[nH]n1,34151,407:40700:0:Z3599902063;407:40700:0:Z2027172521;407:40700:0:Z1722842120;
Cc1cccc(F)c1,13293,407:40700:0:Z3581171512;407:40700:0:Z3581168144;407:40700:0:Z3324352357;
Cc1cccnc1,19917,407:40700:0:Z751809560;407:40700:0:Z2709515293;407:40700:0:Z3911803093;
c1[nH]nc2c1CCCC2,3754,407:40700:0:Z4965516667;407:40700:0:Z4965516672;407:40700:0:Z3188774950;
Cc1ccsc1C,1126,407:40700:0:Z1156924411;407:40700:0:Z1583673217;407:40700:0:Z1589345601;
CC1(C)CCC1,5960,407:40700:0:Z1766416230;407:40700:0:Z4140060880;407:40700:0:Z4140083384;
FC1(F)CC2(CNC2)C1,47,407:40700:0:Z1766416230;407:40700:1:Z3049784637;407:40708:6:Z1535947865;
Clc1ccc2c(c1)OCCO2,1004,407:40700:0:Z202453612;407:40700:0:Z1446596521;407:40700:1:Z1766273075;
Cc1coc2c(C)cccc12,168,407:40700:0:Z1432894806;407:40700:1:Z806445492;407:40700:1:Z1444975281;
Cc1ccn(C)n1,16264,407:40700:0:Z3606345321;407:40700:0:Z1746584546;407:40700:0:Z1403544746;
c1cnccn1,35814,407:40700:0:Z4322282999;407:40700:0:Z2174520368;407:40700:0:Z2951405083;
Cn1ncc2cccnc21,3177,407:40700:0:Z1840444992;407:40700:0:Z4391845949;407:40700:0:Z997333924;
c1ccn2nccc2c1,4012,407:40700:0:Z5048824799;407:40700:0:Z4473635982;407:40700:0:Z2456912717;
OC1CNCc2ccccc21,669,407:40700:0:Z3602732408;407:40700:0:Z1838441964;407:40700:2:Z2699022950;
c1ccc2c(c1)CCOC2,9839,407:40700:0:Z3602732408;407:40700:0:Z1210139708;407:40700:0:Z3658929090;
Cc1ccccc1C,25155,407:40700:0:Z355231640;407:40700:0:Z1123231147;407:40700:0:Z4591134309;
Cc1ccc(C)cc1,10745,407:40700:0:Z2406515194;407:40700:0:Z2710284369;407:40700:0:Z3098566228;
Cn1ccc2c1CCNC2,774,407:40700:0:Z4418541854;407:40700:2:Z4423741292;407:40700:5:Z4419068183;
c1ccc2oncc2c1,1749,407:40700:0:Z4418541854;407:40700:0:Z99322778;407:40700:0:Z4768847123;
OC1CCNCC1,32840,407:40700:0:Z3313818094;407:40700:0:Z3204288870;407:40700:0:Z1969497353;
Cc1ncno1,10598,407:40700:0:Z1408555974;407:40700:0:Z1210139708;407:40700:0:Z5043790358;
CC1CCCCC1,13524,407:40700:0:Z1158940166;407:40700:0:Z1211581627;407:40700:0:Z1162012377;
Cc1nc2n(n1)CCCC2,930,407:40700:0:Z4283510948;407:40700:2:Z4140032806;407:40700:4:Z4408296636;
c1cnn2ccnc2c1,855,407:40700:0:Z4961635948;407:40700:2:Z2482690413;407:40700:2:Z2639338618;
Fc1cccc2[nH]ccc12,819,407:40700:0:Z1998139277;407:40700:0:Z4006749823;407:40700:1:Z1998419182;
OC1CCOC2(CCNCC2)C1,317,407:40700:0:Z2951405083;407:40701:1:Z2951100406;407:40701:5:Z2918980128;
C1CC2(CC2)CN1,3046,407:40700:0:Z4113026535;407:40700:0:Z1768174378;407:40700:0:Z4205637071;
Cc1ncc2c(n1)CCNC2,378,407:40700:0:Z1840011803;407:40700:1:Z1546175512;407:40700:4:Z648131508;
C1CCC2(C1)CCCC2,53,407:40700:0:Z4639519264;407:40705:4:Z3577439190;407:40705:6:Z3625353813;
OC1COC2(CNC2)CC1O,116,407:40700:0:Z4478136823;407:40700:1:Z4478135849;407:40700:7:Z4600948402;
c1nnco1,35540,407:40700:0:Z1040246234;407:40700:0:Z3348248834;407:40700:0:Z1664641325;
O=C1COCCN1,5089,407:40700:0:Z2824506964;407:40700:0:Z3345312722;407:40700:0:Z2955046773;
c1ccc2c(c1)CCCO2,17012,407:40700:0:Z1579004951;407:40700:0:Z1091100602;407:40700:0:Z2071061762;
Fc1cccnc1,23223,407:40700:0:Z1518849183;407:40700:0:Z4575890084;407:40700:0:Z2372290631;
O=C1CCc2ccccc2N1,14548,407:40700:0:Z1678022556;407:40700:0:Z1664641325;407:40700:0:Z1344336017;
c1cc2c(nn1)CCNC2,625,407:40700:0:Z1678022556;407:40700:0:Z4227221770;407:40700:0:Z2624184315;
c1nnn[nH]1,38770,407:40700:0:Z1557073835;407:40700:0:Z1654027363;407:40700:0:Z2220585109;
C1CCC2CNCC2C1,3759,407:40700:0:Z3322334116;407:40700:0:Z3019950444;407:40700:0:Z3562530465;
c1ncc2nc[nH]c2n1,37142,407:40700:0:Z4769989890;407:40700:0:Z4773507363;407:40700:0:Z4770757715;
CC1CCCOC1,1345,407:40700:0:Z1881941427;407:40700:0:Z3611659183;407:40700:0:Z1997038690;
Cc1ccon1,10747,407:40700:0:Z558449328;407:40700:0:Z808915264;407:40700:0:Z968738128;
Clc1cccnc1,11850,407:40700:0:Z558449328;407:40700:0:Z1842670401;407:40700:0:Z1151691001;
O=C1CNCCN1,26113,407:40700:0:Z2074264779;407:40700:0:Z1745471706;407:40700:0:Z1676016848;
O=S1(=O)CCCCC12CCC2,161,407:40700:0:Z3278713511;407:40700:8:Z3278708802;407:40700:8:Z3278708386;
FC1(F)CCNCC1,2830,407:40700:0:Z3518024874;407:40700:0:Z3893241515;407:40700:0:Z2876965664;
CC1CCCCN1,16131,407:40700:0:Z4773507363;407:40700:0:Z1628905601;407:40700:0:Z1212563853;
CN1CCCCC1,32587,407:40700:0:Z2781591681;407:40700:0:Z4246577966;407:40700:0:Z3181540432;
C1=NNCC1,1184,407:40700:0:Z1628905601;407:40700:1:Z1532861641;407:40700:1:Z1446605850;
Cn1ncc2c1CCOC2,903,407:40700:0:Z3577505920;407:40700:0:Z4089402274;407:40700:1:Z3649677676;
Cn1ncc2ccccc2c1=O,1782,407:40700:0:Z790618412;407:40700:1:Z3314083487;407:40700:1:Z2962285379;
c1ccn2ccnc2c1,12374,407:40700:0:Z2407565541;407:40700:0:Z3722035447;407:40700:0:Z3057287540;
Fc1ccccc1F,34943,407:40700:0:Z2407565541;407:40700:0:Z2596341838;407:40700:0:Z1498288236;
Cc1cnc2[nH]ncc2c1,281,407:40700:0:Z2999784522;407:40700:1:Z4088033056;407:40700:9:Z3132357058;
FC1CCNCC1,3975,407:40700:0:Z2077882674;407:40700:0:Z1989955593;407:40700:0:Z3591792718;
Cc1ncc2ncccn12,66,407:40700:0:Z3132748870;407:40700:4:Z3139157760;407:40701:1:Z3154822915;
O=C1CCc2ccccc21,2457,407:40700:0:Z1833259891;407:40700:0:Z2356217129;407:40700:1:Z5043027090;
c1cc2n(n1)CCNC2,4432,407:40700:0:Z4041147952;407:40700:0:Z3615263364;407:40700:0:Z3597661048;
CC1(C)CNC1,4438,407:40700:0:Z2182538744;407:40700:0:Z2608267061;407:40700:0:Z4018258150;
FC1CCNC1,13516,407:40700:0:Z3095019172;407:40700:0:Z1943229916;407:40700:0:Z1368416244;
Cn1cnnc1,35767,407:40700:0:Z3095019172;407:40700:0:Z3163852990;407:40700:0:Z2007621497;
OC1CCC1,7879,407:40700:0:Z2045074064;407:40700:0:Z3721048594;407:40700:1:Z4503878905;
Fc1ccccc1Cl,10559,407:40700:0:Z2045074064;407:40700:0:Z1842670401;407:40700:0:Z1553564868;
Cc1c[nH]cn1,2077,407:40700:0:Z3136041392;407:40700:0:Z4350936408;407:40700:0:Z4471570300;
C1=NCCO1,93,407:40700:0:Z3098558046;407:40700:8:Z3095536473;407:40703:2:Z3095538098;
Cc1cc2c(cc1O)CCNC2,214,407:40700:0:Z3098558046;407:40700:4:Z3174679598;407:40701:2:Z3168599264;
CC1COC(C)CN1,315,407:40700:0:Z4911478314;407:40700:1:Z2644072986;407:40700:1:Z2619623428;
c1ncc2c(n1)CNCC2,857,407:40700:0:Z1952320123;407:40700:0:Z1142765227;407:40700:1:Z1277352523;
CC1CCOC1,2112,407:40700:0:Z3348248834;407:40700:0:Z3048910628;407:40700:0:Z2495015159;
c1cc2c(o1)CCCNC2,322,407:40700:0:Z3348248834;407:40700:2:Z3897409158;407:40700:8:Z4220126113;
Clc1cccs1,4782,407:40700:0:Z1746036959;407:40700:0:Z66931274;407:40700:0:Z1219276206;
Fc1cc2c(cc1F)NCCC2,161,407:40700:0:Z1215128980;407:40701:4:Z4174651817;407:40701:6:Z1167538896;
c1cc[nH]c1,24159,407:40700:0:Z1891347447;407:40700:0:Z1552944113;407:40700:0:Z1667615100;
CN1CCCC1,8526,407:40700:0:Z1441904610;407:40700:0:Z1174142065;407:40700:0:Z2457894225;
NC1CCOC1,662,407:40700:0:Z2441523101;407:40700:1:Z3501491875;407:40700:2:Z4062194932;
CN1CCC2CNCC2C1,1183,407:40700:0:Z4250645865;407:40700:0:Z3207290918;407:40700:1:Z2184427515;
O=C1CC2(CCNCC2)CCN1,507,407:40700:0:Z3380546862;407:40700:1:Z3851232999;407:40700:4:Z3623155436;
c1ccc2c(c1)CCO2,12917,407:40700:0:Z1497362864;407:40700:0:Z3297118616;407:40700:0:Z1579617988;
Cc1ccc(C)s1,1357,407:40700:0:Z1478472120;407:40700:0:Z827317832;407:40700:0:Z1632251367;
c1nc2n(n1)CCCN2,446,407:40700:0:Z1635205707;407:40700:4:Z1014130800;407:40701:0:Z978909684;
Cc1ccc(O)cc1,1003,407:40700:0:Z2653920387;407:40700:3:Z1392890847;407:40700:4:Z1685495123;
OC1CCCNC1,9969,407:40700:0:Z2653920387;407:40700:0:Z2624135773;407:40700:0:Z4165499610;
O=C1COc2ccc(F)cc2N1,216,407:40700:0:Z3697836557;407:40700:4:Z4345006561;407:40700:4:Z3697820304;
c1nnc2n1CCNC2,8908,407:40700:0:Z5050162111;407:40700:0:Z5051482908;407:40700:0:Z5051483046;
c1cnc2oncc2c1,4425,407:40700:0:Z1686724263;407:40700:0:Z1529405908;407:40700:0:Z1999742267;
Cc1nncn1C,4043,407:40700:0:Z1560295941;407:40700:0:Z1684134041;407:40700:0:Z1478707873;
