fragment_smiles,occurences,example_ligands
Cc1ccccc1,242037,134:13400:0:Z4143985868;134:13400:0:Z2589790936;134:13400:0:Z2095696600;
Cc1cc(C)c2c(=O)[nH]n(C)c2n1,428,134:13400:0:Z1973313102;134:13400:0:Z2770747156;134:13400:0:Z2014456211;
Cc1ccc2c(Cl)cc(Cl)cc2n1,24,134:13400:0:Z1629773661;134:13408:6:Z1896708717;134:13410:6:Z19833981;
CN1CCCC1=O,10780,134:13400:0:Z1629773661;134:13400:0:Z4621461014;134:13400:0:Z1576069858;
c1ccc2c(c1)CCOC2,11539,134:13400:0:Z2969685342;134:13400:0:Z1493318454;134:13400:0:Z2480646212;
c1ccc2[nH]ccc2c1,36305,134:13400:0:Z4001902790;134:13400:0:Z1530481993;134:13400:0:Z4602796373;
c1cnccn1,31984,134:13400:0:Z4023544579;134:13400:0:Z3651387458;134:13400:0:Z3559990034;
CC1CNCCN1,15094,134:13400:0:Z4203666564;134:13400:0:Z4203666560;134:13400:0:Z4203666540;
CC1(C)CCCCO1,3738,134:13400:0:Z3696634616;134:13400:0:Z4453416825;134:13400:0:Z4213216593;
c1ccc2ocnc2c1,8376,134:13400:0:Z3696634616;134:13400:0:Z3610200657;134:13400:0:Z3687013169;
Clc1cccs1,7455,134:13400:0:Z740555746;134:13400:0:Z3051528983;134:13400:0:Z1893936657;
O=S1(=O)CCCN1,11120,134:13400:0:Z740555746;134:13400:0:Z3093183319;134:13400:0:Z3540975043;
CC1(C)CCCN1,7424,134:13400:0:Z3640460558;134:13400:0:Z4150353571;134:13400:0:Z4062815502;
c1cncnc1,91120,134:13400:0:Z2628871546;134:13400:0:Z3368521829;134:13400:0:Z328697880;
c1ccc2c(c1)CCCN2,17971,134:13400:0:Z3774134325;134:13400:0:Z2581224980;134:13400:0:Z3773894170;
c1cc2c(cn1)CCCC2,1784,134:13400:0:Z3774134325;134:13400:0:Z4095427448;134:13400:0:Z2014931635;
c1ccc2c(c1)CCC2,23148,134:13400:0:Z2475464823;134:13400:0:Z4137095426;134:13400:0:Z4488610018;
Cc1cc(C)on1,10032,134:13400:0:Z1173521066;134:13400:0:Z338392322;134:13400:0:Z4112315305;
Cc1cc(C)cc(C)c1,4157,134:13400:0:Z1583662190;134:13400:0:Z2045495468;134:13400:0:Z3295684943;
C1CC2CC2C1,5802,134:13400:0:Z3583041886;134:13400:0:Z3547531828;134:13400:0:Z4186332819;
CC1(C)CCCCN1,1534,134:13400:0:Z4604419651;134:13400:0:Z3819742109;134:13400:0:Z3819742107;
c1ccoc1,91944,134:13400:0:Z2704238311;134:13400:0:Z2603515799;134:13400:0:Z1609649790;
c1ccc2[nH]cnc2c1,23352,134:13400:0:Z2704238311;134:13400:0:Z1266405098;134:13400:0:Z3573236511;
c1nnc[nH]1,71326,134:13400:0:Z3153872541;134:13400:0:Z648167110;134:13400:0:Z3098379615;
OC1CCC1,12826,134:13400:0:Z3153872541;134:13400:0:Z2905042417;134:13400:0:Z3052369422;
Cc1c(O)nc[nH]c1=O,48,134:13400:0:Z5020146896;134:13402:7:Z3368596058;134:13404:7:Z3368580446;
CN1CCCCC1,23656,134:13400:0:Z3058057038;134:13400:0:Z3551093029;134:13400:0:Z2781581365;
Cn1cccn1,163114,134:13400:0:Z3058057038;134:13400:0:Z2636523139;134:13400:0:Z1266405098;
O=C1CCC2CC12,200,134:13400:0:Z3058057038;134:13400:3:Z4084289099;134:13400:7:Z2906166414;
C1NCC2CC12,11608,134:13400:0:Z3205347846;134:13400:0:Z4614224324;134:13400:0:Z4508158938;
CC1CCCCS1(=O)=O,1632,134:13400:0:Z3648803361;134:13400:0:Z3648787883;134:13400:1:Z4008130542;
Cc1cccnn1,3967,134:13400:0:Z3093183319;134:13400:0:Z2648093509;134:13400:1:Z4609864395;
C1CCCC1,133069,134:13400:0:Z3093183319;134:13400:0:Z1972855510;134:13400:0:Z328697880;
O=C1CCOc2ccccc21,1567,134:13400:0:Z2223676792;134:13400:0:Z3175572750;134:13400:2:Z2779696700;
Fc1cccc2ccccc12,982,134:13400:0:Z2223676792;134:13400:0:Z1958486733;134:13400:0:Z3439235383;
Clc1ccccc1Cl,12551,134:13400:0:Z1544838566;134:13400:0:Z2484589700;134:13400:0:Z2718720123;
O=S1(=O)CCCC1,17844,134:13400:0:Z307866068;134:13400:0:Z1400411154;134:13400:0:Z3808793551;
c1cocn1,50862,134:13400:0:Z3667341679;134:13400:0:Z2909256381;134:13400:0:Z1195903281;
c1nncs1,30050,134:13400:0:Z3667341679;134:13400:0:Z1652404709;134:13400:0:Z3874488227;
C1CC2CNCC2N1,959,134:13400:0:Z2354072988;134:13400:0:Z2784019964;134:13400:1:Z4175798703;
Cc1ccccn1,29003,134:13400:0:Z2601791563;134:13400:0:Z3615154234;134:13400:0:Z2169809121;
CC1CCNCC(C)O1,311,134:13400:0:Z2601791563;134:13400:1:Z2602624953;134:13400:7:Z2601037014;
c1ccc2ncccc2c1,25337,134:13400:0:Z2000749320;134:13400:0:Z3594945765;134:13400:0:Z1571584298;
Cn1cnnc1,28942,134:13400:0:Z4177734472;134:13400:0:Z3094883245;134:13400:0:Z3095271113;
c1ccc2c(c1)CCO2,13815,134:13400:0:Z1959982973;134:13400:0:Z4612185139;134:13400:0:Z899059488;
c1nc2c([nH]1)C1(CCC1)NCC2,98,134:13400:0:Z2961495796;134:13401:4:Z3475183742;134:13401:9:Z3671527490;
Fc1cccc(F)c1,62476,134:13400:0:Z1204792393;134:13400:0:Z3173093068;134:13400:0:Z1909361062;
c1csnn1,3132,134:13400:0:Z3839460273;134:13400:0:Z4263028214;134:13400:0:Z4011179639;
c1nnc2n1CCC2,3270,134:13400:0:Z1386063207;134:13400:0:Z4348205011;134:13400:1:Z2843364031;
C1COCCN1,169882,134:13400:0:Z1386063207;134:13400:0:Z4089838255;134:13400:0:Z2775016487;
C1CCC2(C1)CCOCC2,2003,134:13400:0:Z4089838255;134:13400:0:Z3883525335;134:13400:1:Z3788205294;
C1CCC2NCCC2C1,3190,134:13400:0:Z4993783498;134:13400:0:Z5023883116;134:13400:0:Z3622184554;
c1cn2c(n1)CCCC2,12114,134:13400:0:Z4993783498;134:13400:0:Z5023883116;134:13400:0:Z2949534136;
c1nn[nH]n1,33533,134:13400:0:Z4417733413;134:13400:0:Z4390240742;134:13400:0:Z4425432637;
C1CSCN1,7854,134:13400:0:Z3839171771;134:13400:0:Z4104448596;134:13400:0:Z4288209612;
Fc1ccc2ccncc2c1,652,134:13400:0:Z3839171771;134:13400:0:Z3668851864;134:13400:0:Z2633123222;
Cc1ccn[nH]1,38902,134:13400:0:Z3592181360;134:13400:0:Z3893230738;134:13400:0:Z3092397240;
C1CNCCOC1,12244,134:13400:0:Z3592181360;134:13400:0:Z4308827641;134:13400:0:Z3626685179;
CC1CCCC(C)N1,2505,134:13400:0:Z4608751612;134:13400:0:Z3186055546;134:13400:0:Z1672507968;
Cc1cccc(O)n1,496,134:13400:0:Z1667162894;134:13400:0:Z3503028264;134:13400:2:Z2648315320;
CC1CCC(C)O1,775,134:13400:0:Z2275590661;134:13400:0:Z2771393206;134:13400:1:Z2275898081;
C1CC2COCCN2C1,1562,134:13400:0:Z4185907784;134:13400:1:Z4043116009;134:13400:1:Z4043112612;
c1c[nH]cn1,72914,134:13400:0:Z3615154234;134:13400:0:Z3206551161;134:13400:0:Z3818561532;
c1nc[nH]n1,52721,134:13400:0:Z1151983428;134:13400:0:Z1528737192;134:13400:0:Z4639299653;
O=C1CCCCN1,36861,134:13400:0:Z4279635037;134:13400:0:Z4503656789;134:13400:0:Z3351951828;
Cn1ccnc1,40560,134:13400:0:Z3206551161;134:13400:0:Z4278513270;134:13400:0:Z4248911491;
NC12CCCC1(F)CNC2,84,134:13400:0:Z4454665123;134:13400:2:Z4454663043;134:13401:4:Z4453747209;
C1C2CC2C2CC12,75,134:13400:0:Z3821129018;134:13400:7:Z3788239435;134:13405:4:Z3834744829;
Cn1ncc2c1CCOC2,1247,134:13400:0:Z3805674794;134:13400:0:Z3845400864;134:13400:2:Z3781287738;
FC1(F)CCCCC1,8263,134:13400:0:Z2407713220;134:13400:0:Z3899408432;134:13400:0:Z2103688834;
C1COCO1,9339,134:13400:0:Z2980945588;134:13400:0:Z3616713013;134:13400:0:Z3366988003;
C1CN2CCOCC2CN1,667,134:13400:0:Z2980945588;134:13400:0:Z3205016521;134:13400:2:Z4507052084;
O=C1CNCCCN1,2733,134:13400:0:Z3651387458;134:13400:0:Z3612710088;134:13400:0:Z1823282060;
CS(C)(=N)=O,4235,134:13400:0:Z3666100760;134:13400:0:Z3671231601;134:13400:0:Z2500059617;
c1nnc2n1CCCCC2,3685,134:13400:0:Z3666100760;134:13400:0:Z3173407619;134:13400:0:Z5011220910;
c1nnc2n1CCNC2,6292,134:13400:0:Z1892414601;134:13400:0:Z5059667505;134:13400:0:Z4272006200;
Cc1cc2[nH]ccc2o1,89,134:13400:0:Z3542456237;134:13406:2:Z3537659322;134:13406:3:Z3646230482;
OC1CCNC1,23526,134:13400:0:Z3542456237;134:13400:0:Z2909256381;134:13400:0:Z1245779096;
Cn1ccc2ccccc21,5610,134:13400:0:Z3874488227;134:13400:0:Z3642116747;134:13400:0:Z4166890000;
O=C1COC2(CCNCC2)N1,722,134:13400:0:Z3559990034;134:13400:1:Z3041192266;134:13400:2:Z3041578086;
C1CC2(C1)CCOCC2,3772,134:13400:0:Z2785592469;134:13400:0:Z2907712783;134:13400:0:Z3606243142;
C1CC2CNCC1C2,1622,134:13400:0:Z2828130877;134:13400:1:Z4490501070;134:13400:1:Z4042217785;
Nc1cccnc1,1340,134:13400:0:Z2828130877;134:13400:0:Z2413526492;134:13400:1:Z2615568998;
Cc1ccc2c(c1)NCC(C)O2,167,134:13400:0:Z4112451578;134:13400:6:Z1883141757;134:13405:4:Z1329925474;
O=c1[nH]nn[nH]1,549,134:13400:0:Z1716057092;134:13400:0:Z1842567669;134:13400:5:Z3639023532;
O=C1CNCCN1,18039,134:13400:0:Z1752064475;134:13400:0:Z1636695607;134:13400:0:Z1666245107;
Cc1ncc2c(n1)CCCC2,1503,134:13400:0:Z1752064475;134:13400:1:Z3360666617;134:13400:2:Z3368541096;
c1cnoc1,76129,134:13400:0:Z3907313581;134:13400:0:Z3190114794;134:13400:0:Z2808953633;
C1CCCNCC1,28292,134:13400:0:Z3907313581;134:13400:0:Z3707383986;134:13400:0:Z2606715076;
c1c[nH]nn1,88755,134:13400:0:Z2296193458;134:13400:0:Z3667293666;134:13400:0:Z4525672648;
c1nc2n(n1)CCCC2,2600,134:13400:0:Z2296193458;134:13400:0:Z1367968171;134:13400:0:Z3047984088;
FC1(F)CCOCC1,1405,134:13400:0:Z3782072920;134:13400:0:Z3782348373;134:13400:0:Z3777717017;
FC1(F)CC2(CCOC2)C1,699,134:13400:0:Z4997240338;134:13400:1:Z4909237575;134:13400:2:Z4909226753;
Cc1c[nH]cn1,2746,134:13400:0:Z4262263726;134:13400:0:Z3671994556;134:13400:1:Z1453956974;
O=C1CSc2ccccc2N1,2515,134:13400:0:Z4262263726;134:13400:0:Z2716664761;134:13400:1:Z2027131950;
NC1CCC1,3721,134:13400:0:Z3795708722;134:13400:0:Z3140333330;134:13400:0:Z3808022704;
Cc1cc(C)nc(C)c1,561,134:13400:0:Z3626812233;134:13400:0:Z4031910875;134:13400:2:Z4087422710;
O=S1(=O)CCNCCCCCCCN1,198,134:13400:0:Z3626812233;134:13400:9:Z3518707411;134:13402:3:Z5001365368;
FC1CCOC1,1362,134:13400:0:Z3667293666;134:13400:0:Z3670216537;134:13400:2:Z3795550650;
C1COCC2(C1)CNC2,578,134:13400:0:Z4525672648;134:13400:0:Z4961599614;134:13400:0:Z4561984639;
CC1CCCNC1,20927,134:13400:0:Z4390240742;134:13400:0:Z2115153397;134:13400:0:Z3578001371;
C1CCSC1,6522,134:13400:0:Z2505332839;134:13400:0:Z2096835361;134:13400:0:Z4200182270;
C1=CCNCC1,8580,134:13400:0:Z4278513270;134:13400:0:Z3712694027;134:13400:0:Z1241145645;
OC1CNOCC1O,74,134:13400:0:Z3594945765;134:13403:6:Z3594945665;134:13404:5:Z4253161364;
CC1CC(F)(F)CN1,668,134:13400:0:Z3627051875;134:13400:1:Z3570588727;134:13400:3:Z3634794858;
Cc1ccccc1C,17696,134:13400:0:Z1972855510;134:13400:0:Z4875380836;134:13400:0:Z4340220071;
CC1CCCC1=O,235,134:13400:0:Z4948644461;134:13400:2:Z4948638798;134:13400:2:Z4948535838;
c1ncc2[nH]cnc2n1,752,134:13400:0:Z4948644461;134:13400:3:Z4769904301;134:13400:4:Z4451599803;
Cc1ncno1,8149,134:13400:0:Z2919212602;134:13400:0:Z2174906069;134:13400:0:Z3443992422;
Cc1ccco1,23159,134:13400:0:Z2141163815;134:13400:0:Z4472180012;134:13400:0:Z3707383986;
CN1CCCC1,9782,134:13400:0:Z2057227974;134:13400:0:Z3596498291;134:13400:0:Z3668182250;
c1ccc2c(c1)OCO2,17406,134:13400:0:Z2057227974;134:13400:0:Z3573518709;134:13400:0:Z4199318281;
Cc1ncc[nH]1,9849,134:13400:0:Z2282872320;134:13400:0:Z4269295886;134:13400:0:Z1286855952;
C1CCSCC1,7994,134:13400:0:Z3644546878;134:13400:0:Z2842768980;134:13400:0:Z4862412037;
CC1CCC(C)C1,204,134:13400:0:Z1373093784;134:13400:1:Z4523293927;134:13401:2:Z2347783862;
O=C1CCCC1,2096,134:13400:0:Z3668851864;134:13400:0:Z4483930889;134:13400:0:Z4317744492;
c1cc2c(cn1)OCCNC2,126,134:13400:0:Z3352542062;134:13400:7:Z1645647066;134:13400:8:Z1645646170;
FC1CCCNC1,3125,134:13400:0:Z2099378781;134:13400:0:Z2803945685;134:13400:1:Z4420717378;
c1ccc2c(c1)OCCO2,20293,134:13400:0:Z3840135918;134:13400:0:Z2784401094;134:13400:0:Z4130006270;
Cc1ccon1,11611,134:13400:0:Z2499835889;134:13400:0:Z1889184177;134:13400:0:Z3051912808;
C1NCC2CNCC12,1356,134:13400:0:Z2499835889;134:13400:0:Z1940958778;134:13400:0:Z1958925085;
Cc1ncn2ccccc12,199,134:13400:0:Z2632334551;134:13401:0:Z2804179738;134:13402:0:Z2617950376;
C1CCC2(C1)CC1CCOC12,254,134:13400:0:Z2870692814;134:13400:4:Z2200624971;134:13401:2:Z4006460988;
Oc1ccccc1,42982,134:13400:0:Z4325397412;134:13400:0:Z3624270379;134:13400:0:Z4277818775;
Clc1ncccn1,798,134:13400:0:Z3559018854;134:13400:1:Z5064871134;134:13400:2:Z4044894905;
c1ccnnc1,19834,134:13400:0:Z1530481993;134:13400:0:Z3143315641;134:13400:0:Z3143315583;
O=C1Cc2ccccc2N1,4426,134:13400:0:Z4137095426;134:13400:0:Z3584033784;134:13400:0:Z3638532423;
C1=CCNC1,1465,134:13400:0:Z1626788409;134:13400:1:Z2073818984;134:13400:2:Z1898523895;
c1cc2ccsc2s1,273,134:13400:0:Z4669828634;134:13400:0:Z4576470176;134:13400:0:Z3471530330;
c1ccc2c(c1)CNCc1ccccc1-2,58,134:13400:0:Z1014960754;134:13400:8:Z1931640161;134:13402:5:Z2181349875;
c1cc2c(s1)CCNC2,4275,134:13400:0:Z228758588;134:13400:0:Z4250162475;134:13400:0:Z4471744186;
OC1CCOc2ccccc21,1242,134:13400:0:Z1713302459;134:13400:1:Z2255601207;134:13400:1:Z2647073411;
C1CC2CCC1N2,4776,134:13400:0:Z3206002250;134:13400:0:Z4095051441;134:13400:0:Z3086492738;
C1OC2CNC1C2,794,134:13400:0:Z3099883065;134:13400:0:Z3054384179;134:13400:0:Z3584814952;
CN1C(=O)CCCc2occc21,354,134:13400:0:Z4053262006;134:13400:5:Z3575948838;134:13400:5:Z4975700217;
CC1CCN(C)CCN1,247,134:13400:0:Z2871915316;134:13401:4:Z1196622602;134:13401:5:Z1191983057;
C1COCC2(C1)CCOCC2,1609,134:13400:0:Z2871915316;134:13400:0:Z2879564212;134:13400:0:Z3364051795;
FC1CCNCC1,4315,134:13400:0:Z3820259979;134:13400:0:Z2792515654;134:13400:0:Z3137942925;
Cc1ccccc1F,13003,134:13400:0:Z1630673572;134:13400:0:Z1270940207;134:13400:0:Z2308936233;
Cc1cnccn1,5198,134:13400:0:Z4147675682;134:13400:0:Z3578001371;134:13400:0:Z3540796253;
Fc1cccnc1,26731,134:13400:0:Z4147675682;134:13400:0:Z4129930128;134:13400:0:Z4129933216;
Cn1ccnn1,11048,134:13400:0:Z2898562776;134:13400:0:Z2119557893;134:13400:0:Z3842640326;
Clc1cc[nH]c1,853,134:13400:0:Z3437345750;134:13400:1:Z5012806154;134:13400:3:Z1588129259;
CC1CCc2ccccc21,1155,134:13400:0:Z1101950985;134:13400:1:Z2151195039;134:13400:1:Z2453854182;
FC1(F)CC12CCC2,4108,134:13400:0:Z4277818775;134:13400:0:Z4961579319;134:13400:0:Z4961600683;
O=c1cccc[nH]1,28300,134:13400:0:Z3601286301;134:13400:0:Z1426729761;134:13400:0:Z2785214996;
Nc1nncs1,349,134:13400:0:Z4484453433;134:13400:3:Z4484166300;134:13400:8:Z102617206;
Clc1cn[nH]c1,6399,134:13400:0:Z1557257943;134:13400:0:Z4485219319;134:13400:0:Z3297969910;
c1nnco1,29784,134:13400:0:Z1557257943;134:13400:0:Z2529340872;134:13400:0:Z3657487247;
c1cn2ccsc2n1,3219,134:13400:0:Z2164788324;134:13400:1:Z1440282769;134:13400:1:Z1973989351;
C1COC2(C1)CNC2,1590,134:13400:0:Z3176434260;134:13400:1:Z4604010179;134:13400:1:Z3172125048;
C1=NOC2CNCC12,522,134:13400:0:Z4201064875;134:13400:3:Z4474909205;134:13400:9:Z4448458686;
Cc1nccn1C,2018,134:13400:0:Z2177852231;134:13400:0:Z1051026388;134:13400:0:Z2458237017;
CC1(C)COCCO1,3519,134:13400:0:Z3055935560;134:13400:0:Z4022920773;134:13400:0:Z4504689118;
CC1(C)OCc2ccccc21,348,134:13400:0:Z4639299653;134:13400:2:Z4629507946;134:13400:5:Z4642030781;
CC1CCN(C)CC1,475,134:13400:0:Z4186086513;134:13400:5:Z3353245203;134:13401:0:Z3544284332;
CN1CCOCC1,4150,134:13400:0:Z4186086513;134:13400:0:Z2701605746;134:13400:0:Z1554283646;
NC1CCNCC1,2699,134:13400:0:Z3386206541;134:13400:0:Z2360751668;134:13400:0:Z4028484683;
C1CCN2CCCC2C1,2581,134:13400:0:Z2453367691;134:13400:1:Z3019236044;134:13400:1:Z4309487643;
Fc1cn[nH]c1,678,134:13400:0:Z4645053358;134:13400:0:Z4645053398;134:13400:0:Z4645011849;
Cc1cn[nH]n1,2862,134:13400:0:Z2644430218;134:13400:0:Z295285630;134:13400:0:Z2407727704;
CC1CCNS1(=O)=O,29,134:13400:0:Z3357954666;134:13401:3:Z3548281386;134:13402:6:Z3339900110;
CN1CCCc2ccccc21,2039,134:13400:0:Z1495069267;134:13400:0:Z1676201953;134:13400:1:Z1495029429;
Cc1ccncc1,13773,134:13400:0:Z2853607448;134:13400:0:Z3078375004;134:13400:0:Z3711654889;
c1cc2n(n1)CCNC2,5116,134:13400:0:Z2853607448;134:13400:0:Z2761404334;134:13400:0:Z3573518885;
c1ccc2occc2c1,14723,134:13400:0:Z3382575758;134:13400:0:Z2168678698;134:13400:0:Z4259741096;
c1nc2c(s1)COCC2,1630,134:13400:0:Z3382575758;134:13400:0:Z1352577645;134:13400:1:Z4040338164;
c1cnc2nccn2c1,1966,134:13400:0:Z3830582831;134:13400:0:Z4914731314;134:13400:0:Z4914733102;
O=S1(=O)CCCc2ccccc21,1536,134:13400:0:Z2045495468;134:13400:0:Z4400704327;134:13400:1:Z4025876878;
CC1CNCCNC1,1368,134:13400:0:Z2909256381;134:13400:0:Z2208140896;134:13400:1:Z3201282937;
Clc1cccc(Cl)c1,18232,134:13400:0:Z2790198948;134:13400:0:Z1610063934;134:13400:0:Z99377884;
c1ccn2cnnc2c1,7319,134:13400:0:Z2790198948;134:13400:0:Z2111079721;134:13400:0:Z3549976450;
O=C1C2CCCC1CSC2,294,134:13400:0:Z2963455100;134:13401:2:Z3615932058;134:13402:8:Z3603457359;
Cc1cnn[nH]1,10091,134:13400:0:Z3051912808;134:13400:0:Z1337314108;134:13400:0:Z3588261021;
CC1(C)CC2(CCC2)C1,375,134:13400:0:Z3051912808;134:13400:4:Z3056308584;134:13400:4:Z3053842133;
Cc1cc(=O)n2nccc2[nH]1,325,134:13400:0:Z1124086999;134:13400:7:Z1123943084;134:13401:0:Z3615637730;
Fc1ccc2c(c1F)CNCC2,230,134:13400:0:Z1449291749;134:13400:1:Z1952514055;134:13401:1:Z1970574073;
Cc1ccn2nccc2n1,1518,134:13400:0:Z1083340502;134:13400:0:Z1352088167;134:13400:1:Z2767190290;
Oc1ccccn1,3644,134:13400:0:Z1170850008;134:13400:0:Z4205780204;134:13400:0:Z2204144482;
Cc1cccnc1,21693,134:13400:0:Z1633865678;134:13400:0:Z1354993510;134:13400:0:Z3984608932;
CC1CCCCN1,16025,134:13400:0:Z1633865678;134:13400:0:Z3649715443;134:13400:0:Z5035344033;
C1CC2CCC(C1)S2,621,134:13400:0:Z2862424461;134:13400:1:Z3697973957;134:13400:2:Z4126824118;
C1CC2CC2N1,1645,134:13400:0:Z2773527835;134:13400:0:Z5045288680;134:13400:0:Z5045288566;
c1cnc2c(c1)NCCC2,742,134:13400:0:Z4132125636;134:13400:1:Z4240896600;134:13400:5:Z2968434263;
O=C1CC2CCCC(CN1)N2,319,134:13400:0:Z4132125636;134:13400:3:Z4246316045;134:13400:4:Z4274535309;
Cc1cccc(C)c1F,880,134:13400:0:Z3297863302;134:13400:0:Z2141539417;134:13400:2:Z1548150158;
C1CCC2(CC1)COCCO2,894,134:13400:0:Z3297863302;134:13400:0:Z3354776070;134:13400:0:Z3620792709;
Cc1cc(C)[nH]n1,31941,134:13400:0:Z2910490292;134:13400:0:Z952270422;134:13400:0:Z3627546412;
c1ccc2c(c1)ccc1occc12,237,134:13400:0:Z1505810320;134:13400:1:Z994349768;134:13401:3:Z2698064821;
Cc1ccno1,14540,134:13400:0:Z1685038284;134:13400:0:Z2651788280;134:13400:0:Z4960197637;
CC1(C)OCCO1,3512,134:13400:0:Z4325368657;134:13400:0:Z3368946668;134:13400:1:Z4310920621;
CC1CCNCC1,21676,134:13400:0:Z1609649790;134:13400:0:Z2951682712;134:13400:0:Z1743035230;
C1CC2CNCC2C1,5470,134:13400:0:Z3548181031;134:13400:0:Z4644705772;134:13400:0:Z2931509579;
CC1NCCn2cnnc21,1085,134:13400:0:Z4692139199;134:13400:0:Z3576158702;134:13400:0:Z3576176582;
O=c1[nH]nc2ccccn12,1852,134:13400:0:Z816641140;134:13400:0:Z3575355542;134:13400:0:Z1574935110;
O=c1nccc[nH]1,613,134:13400:0:Z1231174295;134:13400:0:Z3611488752;134:13400:1:Z395283678;
