fragment_smiles,occurences,example_ligands
c1cc2c(cn1)CCC2,1716,53:05300:0:Z2225362919;53:05300:0:Z4423792325;53:05300:0:Z3394309285;
CC1CCNc2ccccc21,275,53:05300:0:Z1171335919;53:05300:4:Z1527412303;53:05300:5:Z1880113128;
c1ccn2nccc2c1,4877,53:05300:0:Z1171335919;53:05300:0:Z3533426924;53:05300:0:Z4644809912;
CC1CCNCC1,17946,53:05300:0:Z5023129663;53:05300:0:Z3792515896;53:05300:0:Z2457879102;
Clc1ccccc1,176308,53:05300:0:Z4130021914;53:05300:0:Z3856071306;53:05300:0:Z2955422502;
c1nnc2n1CCCC2,5902,53:05300:0:Z4130021914;53:05300:0:Z2768784325;53:05300:0:Z1597635835;
c1c[nH]cn1,71530,53:05300:0:Z3598504967;53:05300:0:Z2335581248;53:05300:0:Z1558559782;
C1CC2CCC1N2,5508,53:05300:0:Z3598504967;53:05300:0:Z3521902018;53:05300:0:Z4913246657;
CC1CCNCCS1(=O)=O,410,53:05300:0:Z1865825095;53:05300:4:Z2770360578;53:05300:4:Z2959023115;
c1ccc2c(c1)NCCO2,2965,53:05300:0:Z1865825095;53:05300:0:Z4098606489;53:05300:0:Z1742584691;
C1COCO1,9055,53:05300:0:Z2232781452;53:05300:0:Z4147944423;53:05300:0:Z3407562801;
c1ccn2ccnc2c1,8766,53:05300:0:Z3384911593;53:05300:0:Z3899462407;53:05300:0:Z2775632489;
c1ccoc1,85033,53:05300:0:Z1391692178;53:05300:0:Z2932535836;53:05300:0:Z3623817791;
C1CC2CCC(C1)O2,2955,53:05300:0:Z3814885518;53:05300:0:Z3795659455;53:05300:0:Z3640691530;
Cn1c(=O)cc[nH]c1=O,932,53:05300:0:Z1414359920;53:05300:0:Z3075896198;53:05300:0:Z3143699375;
CC1(C)CNCCO1,7423,53:05300:0:Z3382023940;53:05300:0:Z4023903075;53:05300:0:Z4023884262;
Cc1cccc2[nH]cnc12,473,53:05300:0:Z2335581248;53:05300:7:Z4970688182;53:05300:9:Z3441175437;
