fragment_smiles,occurences,example_ligands
CC12CC(CN1)C2,443,3:00300:0:Z2615559523;3:00300:3:Z2599961906;3:00300:4:Z2650149276;
C1CCCNCC1,20406,3:00300:0:Z1765718272;3:00300:0:Z4055368879;3:00300:0:Z814062388;
Cc1ncc(Cl)cn1,406,3:00300:0:Z3615700180;3:00300:0:Z3749680551;3:00300:0:Z1266548946;
FC1CCCCC1,10042,3:00300:0:Z3390691601;3:00300:0:Z2771520746;3:00300:0:Z2346793152;
Cc1cnoc1,6333,3:00300:0:Z4251962574;3:00300:0:Z3670064144;3:00300:0:Z3868412110;
c1ncon1,106186,3:00300:0:Z4251962574;3:00300:0:Z4022068869;3:00300:0:Z4140264158;
c1cnc2c(c1)CCCC2,3484,3:00300:0:Z4251962574;3:00300:0:Z2928793691;3:00300:0:Z2928793948;
Clc1cnc2ccsc2c1,123,3:00300:0:Z3583185381;3:00300:4:Z2453790769;3:00300:4:Z2849733360;
C1CNCCN1,57117,3:00300:0:Z3583185381;3:00300:0:Z3309385017;3:00300:0:Z1569443492;
C1CCC2(CCOCC2)CNC1,119,3:00300:0:Z3649661596;3:00300:3:Z4212568801;3:00300:3:Z3653244179;
c1nncs1,33022,3:00300:0:Z3649661596;3:00300:0:Z5018925411;3:00300:0:Z363523364;
Cc1cc(C)sn1,1778,3:00300:0:Z2932462075;3:00300:0:Z3868266818;3:00300:0:Z2504016205;
c1nc[nH]n1,41118,3:00300:0:Z3342881108;3:00300:0:Z2966996117;3:00300:0:Z1722800344;
O=c1nn[nH][nH]1,142,3:00300:0:Z5001135098;3:00300:4:Z5001510933;3:00300:7:Z5000460498;
FC1(F)CC12CC1CCC(C2)N1,147,3:00300:0:Z5001135098;3:00300:0:Z2721872403;3:00300:3:Z2709936416;
Fc1ccccc1Cl,13276,3:00300:0:Z1439672283;3:00300:0:Z3239188350;3:00300:0:Z1610245392;
c1ccoc1,76305,3:00300:0:Z1439672283;3:00300:0:Z3239188350;3:00300:0:Z2646067532;
c1ccc2[nH]ncc2c1,5196,3:00300:0:Z1594073106;3:00300:0:Z1867032821;3:00300:0:Z3025099336;
O=c1cccc[nH]1,13823,3:00300:0:Z2939948693;3:00300:0:Z3614923397;3:00300:0:Z4427013890;
O=C1CCCCC1,4879,3:00300:0:Z4375724201;3:00300:0:Z4235930497;3:00300:0:Z3611212237;
CC1(C)COCCN1,2433,3:00300:0:Z4061785020;3:00300:0:Z3793706243;3:00300:0:Z3669326414;
c1cc2c(o1)CCCNC2,438,3:00300:0:Z4061785020;3:00300:6:Z2155450082;3:00300:6:Z4422166972;
CC1(C)CCCO1,6900,3:00300:0:Z3578880827;3:00300:0:Z2278485363;3:00300:0:Z2640002854;
C1COCO1,8589,3:00300:0:Z3578880827;3:00300:0:Z2923714584;3:00300:0:Z4271080046;
Cc1ncsn1,2604,3:00300:0:Z1554949415;3:00300:0:Z4476557302;3:00300:0:Z2096743690;
O=S1(=O)CCCC1,10670,3:00300:0:Z3642383927;3:00300:0:Z381568896;3:00300:0:Z2800483056;
Cc1cccnc1C,1038,3:00300:0:Z2354003128;3:00300:0:Z2328169755;3:00300:0:Z3057155943;
Cc1cccnc1,23660,3:00300:0:Z3864584518;3:00300:0:Z3842955611;3:00300:0:Z4144918793;
Cc1cnc(C)o1,1727,3:00300:0:Z3864584518;3:00300:2:Z3650744199;3:00300:2:Z4169737133;
Cc1ccn(C)n1,11373,3:00300:0:Z3475252173;3:00300:0:Z3383779856;3:00300:0:Z1185159367;
Cc1c[nH]c(=O)[nH]1,440,3:00300:0:Z2497177323;3:00300:4:Z4049226183;3:00300:6:Z2500091320;
c1ccn2nccc2c1,4306,3:00300:0:Z3541599925;3:00300:0:Z3357966433;3:00300:0:Z3540025910;
CC1CCOCC1,3815,3:00300:0:Z1375382346;3:00300:0:Z1610066263;3:00300:0:Z3102359046;
CC1(C)CC2(CCC2)C1,858,3:00300:0:Z3104850422;3:00300:1:Z3433692272;3:00300:1:Z3053585262;
O=S1CCNCC1,1308,3:00300:0:Z2699020421;3:00300:0:Z1329107028;3:00300:3:Z4491652001;
c1cnc2c(c1)CCNC2,383,3:00300:0:Z4421853847;3:00300:5:Z3894279514;3:00300:5:Z3090341804;
c1cncnc1,74865,3:00300:0:Z3830924160;3:00300:0:Z1822649488;3:00300:0:Z1839375974;
C1OC2CC1C2,9573,3:00300:0:Z3830924160;3:00300:0:Z3099387170;3:00300:0:Z3892059959;
Cc1ccn[nH]1,19469,3:00300:0:Z1537616838;3:00300:0:Z3206879407;3:00300:0:Z3888654136;
FC1(F)CC12CCC2,4230,3:00300:0:Z3200193602;3:00300:0:Z4238892347;3:00300:0:Z3367187392;
c1c[nH]cn1,69048,3:00300:0:Z4274506063;3:00300:0:Z3705527827;3:00300:0:Z3705627729;
O=S1(=O)CC2(CCCCC2)C1,199,3:00300:0:Z4312097005;3:00303:5:Z3360714825;3:00303:5:Z3508606828;
NC1CCCCC1,10588,3:00300:0:Z3385401995;3:00300:0:Z3019111282;3:00300:0:Z3134412591;
c1cnsc1,22471,3:00300:0:Z3385401995;3:00300:0:Z3639778308;3:00300:0:Z3494886420;
CC1CCCCC1O,790,3:00300:0:Z4252763260;3:00300:0:Z3514796525;3:00300:1:Z2621119280;
O=C1NCCCc2cc[nH]c21,164,3:00300:0:Z4252763260;3:00300:0:Z3627803354;3:00301:0:Z3622260221;
OC1CCNc2ncccc21,74,3:00300:0:Z4224861511;3:00300:5:Z4224884677;3:00302:1:Z4224883900;
Fc1ccccc1,128046,3:00300:0:Z1337785918;3:00300:0:Z2707023547;3:00300:0:Z3346992853;
Oc1ccccc1,25862,3:00300:0:Z1337785918;3:00300:0:Z2966996117;3:00300:0:Z2282927904;
CC1CC(O)CN1,1376,3:00300:0:Z3600910375;3:00300:0:Z3194927824;3:00300:0:Z1822661477;
Clc1cccc2[nH]ncc12,216,3:00300:0:Z3600910375;3:00300:2:Z3590621406;3:00300:2:Z3890119892;
OC1CCC1,27954,3:00300:0:Z2707023547;3:00300:0:Z2275539684;3:00300:0:Z1799298353;
Cc1cocn1,8354,3:00300:0:Z2212106584;3:00300:0:Z4045917347;3:00300:0:Z4876924704;
OC1CNc2ccc(F)cc2C1,56,3:00300:0:Z5018030031;3:00301:0:Z5018077835;3:00302:1:Z5017793381;
CN1CCC(C)(C)C1,580,3:00300:0:Z4290187586;3:00300:1:Z4295698514;3:00300:2:Z4293749320;
c1cnc2c(c1)CCC2,3444,3:00300:0:Z4290187586;3:00300:0:Z3209676156;3:00300:0:Z3192819816;
Cc1cn2c(n1)CCCC2,932,3:00300:0:Z3470744964;3:00300:0:Z2206401739;3:00300:3:Z2977388901;
