fragment_smiles,occurences,example_ligands
Cc1cc[nH]n1,22207,90:09000:0:PV-001591174765;90:09000:0:PV-001605038388;90:09000:0:PV-001774458353;
C1CCOC1,144947,90:09000:0:PV-003877304317;90:09000:0:PV-003877304978;90:09000:0:PV-003877307613;
Cc1cnn(C)c1,6972,90:09000:0:PV-003877304318;90:09000:0:PV-000549134369;90:09000:0:PV-003877308448;
C1CC2CNCC2CCN1,915,90:09000:0:PV-003031755045;90:09000:1:PV-003031775626;90:09000:3:PV-000593773191;
Cn1ccc(O)n1,1942,90:09000:0:PV-003877304353;90:09000:0:PV-003031769784;90:09000:1:PV-006622131008;
Cn1cnc2sccc21,367,90:09000:0:PV-003877304361;90:09000:0:PV-003877304362;90:09000:0:PV-003877333487;
Oc1c(F)cccc1F,698,90:09000:0:PV-003031755060;90:09000:0:PV-003877304381;90:09000:4:PV-006622390119;
CC1CC2CC12,8381,90:09000:0:PV-003877304395;90:09000:0:PV-003877304396;90:09000:0:PV-003877308788;
c1cnoc1,79883,90:09000:0:PV-003877304407;90:09000:0:PV-003877304408;90:09000:0:PV-003877304409;
OC1CCCNC1,28310,90:09000:0:PV-003877304407;90:09000:0:PV-003877304408;90:09000:0:PV-003877304409;
OC1CCC1,44083,90:09000:0:PV-003877304407;90:09000:0:PV-003877304408;90:09000:0:PV-003877304409;
C1=NCCN1,2750,90:09000:0:PV-003031755077;90:09000:1:PV-003877354572;90:09000:1:PV-003031782098;
FC1CCNC1,50669,90:09000:0:PV-003877304447;90:09000:0:PV-003877306302;90:09000:0:PV-003877306315;
O=S1(=O)CCCCC12CCC2,126,90:09000:0:PV-002238281869;90:09000:7:PV-003031849931;90:09001:1:PV-004135012866;
Cn1ccnn1,15740,90:09000:0:PV-003877304468;90:09000:0:PV-003877304469;90:09000:0:PV-003877304470;
O=c1cc[nH]c(=O)[nH]1,2953,90:09000:0:PV-003031755103;90:09000:0:PV-003877311597;90:09000:0:PV-003877311598;
c1csnn1,29753,90:09000:0:PV-001611535190;90:09000:0:PV-003877309027;90:09000:0:PV-003031756838;
CC1(C)CCCC1,5666,90:09000:0:PV-001611535190;90:09000:0:PV-003877323434;90:09000:0:PV-003031765879;
C1CC2CNCC(C2)N1,1117,90:09000:0:PV-003877304514;90:09000:1:PV-006622033884;90:09000:1:PV-003877347500;
c1ccn2cnnc2c1,3691,90:09000:0:PV-003877304514;90:09000:0:PV-003031760464;90:09000:0:PV-003031770402;
c1cnccn1,22375,90:09000:0:PV-003877304524;90:09000:0:PV-003877304525;90:09000:0:PV-003031756908;
O=C1NCCN1,11242,90:09000:0:PV-003877304524;90:09000:0:PV-003877304525;90:09000:0:PV-002704690861;
Cc1ccsc1C,6238,90:09000:0:PV-003031755118;90:09000:0:PV-003031755144;90:09000:0:PV-003877308336;
c1ccc2c(c1)CCCC2,6253,90:09000:0:PV-003031755118;90:09000:0:PV-002341784405;90:09000:0:PV-002600531146;
Cn1cc(Cl)cn1,8078,90:09000:0:PV-003877304554;90:09000:0:PV-003031769150;90:09000:0:PV-006622005156;
Cn1ccc2ccccc21,3284,90:09000:0:PV-000557114775;90:09000:0:PV-003877311254;90:09000:0:PV-002134785332;
CC1CCCN1,73498,90:09000:0:PV-003031755133;90:09000:0:PV-003031755134;90:09000:0:PV-003031755135;
c1ccc2sccc2c1,6267,90:09000:0:PV-003031755133;90:09000:0:PV-003031755134;90:09000:0:PV-003031755135;
