fragment_smiles,occurences,example_ligands
Oc1cnc2c(F)cccc2c1,86,92:09200:0:Z2893506218;92:09201:5:Z2914047397;92:09201:7:Z3610814335;
c1nn[nH]n1,34441,92:09200:0:Z4156092430;92:09200:0:Z4408110479;92:09200:0:Z4414678961;
c1ccc2[nH]ccc2c1,31173,92:09200:0:Z4156092430;92:09200:0:Z2294921734;92:09200:0:Z2384243417;
Cc1csc2nccn12,759,92:09200:0:Z2781995762;92:09200:0:Z2773991618;92:09200:0:Z3913147670;
Cc1nc2c(s1)CCCC2,1465,92:09200:0:Z4193010391;92:09200:0:Z1905385890;92:09200:1:Z2007554084;
Oc1ccncc1,875,92:09200:0:Z4193010391;92:09200:0:Z4192109407;92:09200:1:Z4215313118;
C1CC2CCCC(C1)C2,616,92:09200:0:Z4654819622;92:09200:1:Z3908917748;92:09200:1:Z3742787839;
Cn1cnnc1,26640,92:09200:0:Z3195114564;92:09200:0:Z3575265923;92:09200:0:Z3093980467;
Cc1ccccc1C,15704,92:09200:0:Z1374980702;92:09200:0:Z4150479486;92:09200:0:Z3643144937;
O=C1CCCCC2CCCN12,281,92:09200:0:Z3551102953;92:09200:1:Z3544009255;92:09200:3:Z3713282938;
Clc1cnn[nH]1,278,92:09200:0:Z3855052342;92:09200:8:Z3855301022;92:09201:6:Z4280277111;
Fc1cccc(F)c1,56554,92:09200:0:Z511270274;92:09200:0:Z2298781831;92:09200:0:Z1594647981;
OC1CCNCC1,20052,92:09200:0:Z3358651183;92:09200:0:Z2969969794;92:09200:0:Z3624586499;
Cc1cc(Cl)[nH]n1,2503,92:09200:0:Z1397623312;92:09200:0:Z1264324316;92:09200:0:Z1954599902;
C1CC2(C1)CCN2,2550,92:09200:0:Z4082307217;92:09200:0:Z4437258834;92:09200:0:Z2781755666;
Cn1nnc2ccccc21,2712,92:09200:0:Z4082307217;92:09200:0:Z4537836028;92:09200:0:Z2439586642;
Cn1cncn1,12871,92:09200:0:Z3529907398;92:09200:0:Z2294921734;92:09200:0:Z4537836028;
Clc1ccc2c(c1)OCCCC2,176,92:09200:0:Z1594683066;92:09200:5:Z1608103186;92:09200:7:Z2033583305;
CC1(C)CNC1,4671,92:09200:0:Z3060498095;92:09200:0:Z2608498168;92:09200:0:Z3552135825;
c1cocn1,51176,92:09200:0:Z4295577181;92:09200:0:Z3512944537;92:09200:0:Z3645959938;
Cn1cc[nH]c1=O,319,92:09200:0:Z2767467759;92:09200:8:Z2764103435;92:09201:1:Z3056484737;
Clc1ccc2c(c1)CCC2,1097,92:09200:0:Z813147976;92:09200:3:Z2002055897;92:09200:4:Z3347864057;
c1c[nH]nn1,87001,92:09200:0:Z2846835941;92:09200:0:Z2837387071;92:09200:0:Z3254731686;
c1ccc2[nH]nnc2c1,3644,92:09200:0:Z2966123093;92:09200:0:Z3877258299;92:09200:1:Z3821691082;
Clc1ccc2ccncc2c1,251,92:09200:0:Z4176916341;92:09200:3:Z3357913883;92:09201:1:Z3647541575;
