fragment_smiles,occurences,example_ligands
C1CNCCN1,57279,22:02200:0:Z3203324573;22:02200:0:Z2364460125;22:02200:0:Z2363777471;
C1CC2CC2C1,18163,22:02200:0:Z2999039108;22:02200:0:Z3878463496;22:02200:0:Z2594958646;
CC1(C)CC2CCCOC21,301,22:02200:0:Z4886828055;22:02200:2:Z1271917841;22:02200:7:Z2269532974;
Clc1ccco1,3820,22:02200:0:Z2353169648;22:02200:0:Z3620768799;22:02200:0:Z3366627599;
Cc1nncs1,7384,22:02200:0:Z3561731268;22:02200:0:Z3374539180;22:02200:0:Z4915591492;
Clc1ccccc1Cl,8901,22:02200:0:Z1878415460;22:02200:0:Z2806258634;22:02200:0:Z2637408425;
C1COCO1,8681,22:02200:0:Z1878415460;22:02200:0:Z2161512625;22:02200:0:Z4277472524;
C1CNC2(C1)CCOC2,546,22:02200:0:Z2055678956;22:02200:0:Z3698366707;22:02200:4:Z3354261034;
C1SC2CC1C2,942,22:02200:0:Z4016229174;22:02200:0:Z3863179223;22:02200:1:Z4316262641;
Cc1cccnc1,23590,22:02200:0:Z3844462736;22:02200:0:Z1527346940;22:02200:0:Z2953213830;
Cn1ccnc1,27551,22:02200:0:Z3844462736;22:02200:0:Z3621500249;22:02200:0:Z3612238186;
C1CC2(C1)CCOC2,3267,22:02200:0:Z3191105984;22:02200:0:Z3085735022;22:02200:0:Z3646027491;
C1CC12CNOC2,534,22:02200:0:Z3191105984;22:02200:0:Z4199016003;22:02200:0:Z3587265100;
O=C1CCCCN1,20222,22:02200:0:Z4047190420;22:02200:0:Z4089695719;22:02200:0:Z4093454654;
CC1CCCCN1,15980,22:02200:0:Z3800022825;22:02200:0:Z3800022808;22:02200:0:Z4060820136;
C1CCNCC1,256933,22:02200:0:Z3800022825;22:02200:0:Z3800022808;22:02200:0:Z4060820136;
Cc1ccccc1F,10692,22:02200:0:Z3441830081;22:02200:0:Z1787200524;22:02200:0:Z4574322722;
c1cocn1,50354,22:02200:0:Z3441830081;22:02200:0:Z3503990341;22:02200:0:Z3342246137;
c1c[nH]cn1,68367,22:02200:0:Z3824122503;22:02200:0:Z1124135006;22:02200:0:Z2992717871;
Nc1ccncn1,4243,22:02200:0:Z1124135006;22:02200:0:Z2909536773;22:02200:0:Z2588744403;
FC1CC12CCC2,2338,22:02200:0:Z3516492268;22:02200:0:Z3819610422;22:02200:0:Z4276541270;
C1CCc2[nH]nnc2C1,1288,22:02200:0:Z3781298975;22:02200:0:Z2060875536;22:02200:0:Z2056746559;
c1cnoc1,79700,22:02200:0:Z3781298975;22:02200:0:Z3836654639;22:02200:0:Z4598685573;
C1CCOC1,139387,22:02200:0:Z4422899557;22:02200:0:Z3326375709;22:02200:0:Z3950864934;
Cn1ccccc1=O,4813,22:02200:0:Z872585002;22:02200:0:Z1250376531;22:02200:0:Z3547686079;
C1CCCCC1,107879,22:02200:0:Z872585002;22:02200:0:Z2897742177;22:02200:0:Z4386934428;
Cc1cccc(F)c1,10110,22:02200:0:Z1409093197;22:02200:0:Z3526717091;22:02200:0:Z1303040875;
CN1CCCC1=O,11166,22:02200:0:Z3855690569;22:02200:0:Z1874151206;22:02200:0:Z2781803850;
OC1CC2CC12,1128,22:02200:0:Z4325049332;22:02200:0:Z4323997004;22:02200:0:Z4316724101;
O=C1CNCN1,3231,22:02200:0:Z1930415467;22:02200:0:Z2092076459;22:02200:0:Z1934859522;
CC1CCCC1(C)C,280,22:02200:0:Z3679299537;22:02200:3:Z3650073585;22:02200:9:Z3679974626;
c1cncnc1,74582,22:02200:0:Z4004678099;22:02200:0:Z4227929581;22:02200:0:Z4387103680;
Clc1cccs1,15492,22:02200:0:Z3203902930;22:02200:0:Z3697047805;22:02200:0:Z1684700170;
OC1CC2CCC1C2,2416,22:02200:0:Z3808915956;22:02200:0:Z4047901095;22:02200:0:Z4257355107;
Clc1ccsc1,6907,22:02200:0:Z3326375709;22:02200:0:Z3518593244;22:02200:0:Z2289231564;
Cc1cnc2ccccc2c1,388,22:02200:0:Z3869515457;22:02200:0:Z3395999994;22:02200:6:Z4055300623;
Cc1ncoc1C,1591,22:02200:0:Z3869515457;22:02200:0:Z4000117250;22:02200:1:Z3346185741;
C1CCOCC1,113235,22:02200:0:Z2434298170;22:02200:0:Z1372910179;22:02200:0:Z2876390811;
C1CCC2NCCC2C1,2140,22:02200:0:Z2434298170;22:02200:0:Z1372910179;22:02200:1:Z4429578251;
CC1CNc2ncnn2C1,90,22:02200:0:Z4660999332;22:02200:0:Z3086591844;22:02200:0:Z3294650679;
c1ncc2[nH]cnc2n1,659,22:02200:0:Z4451596575;22:02200:0:Z2633989854;22:02200:2:Z2852147304;
c1cscn1,145357,22:02200:0:Z4451596575;22:02200:0:Z1743419944;22:02200:0:Z3913180190;
c1ccsc1,119816,22:02200:0:Z2897742177;22:02200:0:Z4251428395;22:02200:0:Z2090434242;
Cc1cscn1,29086,22:02200:0:Z1228006460;22:02200:0:Z3361858004;22:02200:0:Z3384734748;
Cc1ccccc1C,8669,22:02200:0:Z1228006460;22:02200:0:Z4210299170;22:02200:0:Z3599470513;
OC1CNCC1O,1269,22:02200:0:Z3616910169;22:02200:0:Z3617965518;22:02200:0:Z2018637931;
OC1CCCNC1,11273,22:02200:0:Z4923967036;22:02200:0:Z3639902017;22:02200:0:Z1952365078;
c1cc2c(cn1)OCO2,496,22:02200:0:Z4148312014;22:02200:1:Z1696690600;22:02200:4:Z1696912862;
CC1CC(F)(F)CN1,1501,22:02200:0:Z4998486797;22:02200:1:Z3439435105;22:02200:1:Z3878572582;
C1CC2CNCC2O1,3521,22:02200:0:Z2703683656;22:02200:0:Z5049802276;22:02200:0:Z3803108368;
O=C1CCSCC1,344,22:02200:0:Z4457638200;22:02200:4:Z4469458653;22:02200:6:Z4469460077;
O=c1ccnc[nH]1,2931,22:02200:0:Z3832137659;22:02200:0:Z4308167069;22:02200:0:Z4236331167;
Cc1cccc2c1CCO2,185,22:02200:0:Z4223225430;22:02200:4:Z2718246021;22:02200:6:Z2267734425;
OC1CNC1,10605,22:02200:0:Z4223225430;22:02200:0:Z4872212707;22:02200:0:Z2790297135;
Fc1ccc2c(c1)OCO2,305,22:02200:0:Z4457718853;22:02200:0:Z3009236031;22:02200:0:Z3008734309;
CC1CC(C)C1,1924,22:02200:0:Z3471056368;22:02200:0:Z3611040565;22:02200:0:Z5035811212;
c1nncs1,32967,22:02200:0:Z1276851592;22:02200:0:Z3870260082;22:02200:0:Z4561892894;
C1CCSC1,15797,22:02200:0:Z1276851592;22:02200:0:Z4279530599;22:02200:0:Z2910309337;
FC1(F)C2CCCC21,4106,22:02200:0:Z4398997595;22:02200:0:Z3646279450;22:02200:0:Z3704203650;
Fc1ccccc1,127414,22:02200:0:Z3542663738;22:02200:0:Z2932684881;22:02200:0:Z1362203576;
FC1(F)CCCOC1,1530,22:02200:0:Z3542663738;22:02200:0:Z4028516381;22:02200:0:Z4028704365;
CC1(C)CCCC1,4943,22:02200:0:Z3101992966;22:02200:0:Z2293093608;22:02200:0:Z2304259716;
Cc1c[nH]cn1,4409,22:02200:0:Z4325906756;22:02200:0:Z4476012757;22:02200:0:Z2915734053;
OC1CCCC1,20224,22:02200:0:Z4325906756;22:02200:0:Z4476012757;22:02200:0:Z3385862385;
Cc1nncn1C,3033,22:02200:0:Z2220523592;22:02200:0:Z4190738663;22:02200:0:Z4041511018;
Cn1ccc(Cl)n1,1593,22:02200:0:Z2220523592;22:02200:1:Z3504671525;22:02200:3:Z3367036912;
CS(C)(=N)=O,4330,22:02200:0:Z3408205794;22:02200:0:Z4574408402;22:02200:0:Z3381918069;
Cc1ccnn1C,10292,22:02200:0:Z3543553543;22:02200:0:Z3644836256;22:02200:0:Z3547018369;
Cc1ccc2ccccc2n1,1131,22:02200:0:Z1260812993;22:02200:0:Z1610378461;22:02200:2:Z1545167962;
C1CC2(CC2)CN1,6732,22:02200:0:Z4572430350;22:02200:0:Z4275820659;22:02200:0:Z4572431010;
Cc1ccoc1,10510,22:02200:0:Z2589014703;22:02200:0:Z2838909564;22:02200:0:Z4577006394;
CC1CCCCCCN1,267,22:02200:0:Z4042440536;22:02200:0:Z3997291108;22:02202:1:Z4042441722;
c1cnc2nn[nH]c2c1,249,22:02200:0:Z4042440536;22:02200:3:Z4211483107;22:02201:0:Z1663678061;
FC1(F)C2CNCC1C2,391,22:02200:0:Z3618403079;22:02200:1:Z3583289503;22:02200:4:Z4276288741;
Cc1cc(N)ncn1,314,22:02200:0:Z3561265428;22:02200:4:Z2970122006;22:02200:4:Z2969157988;
Cc1nccn1C,2938,22:02200:0:Z3561265428;22:02200:0:Z3793906215;22:02200:1:Z4367257520;
CC1(F)CCCCC1,1048,22:02200:0:Z3913180190;22:02200:0:Z4023301386;22:02200:0:Z3913208247;
CC1CCCNC1,19582,22:02200:0:Z2452596112;22:02200:0:Z2284801757;22:02200:0:Z2623851786;
Cc1ccn[nH]1,19411,22:02200:0:Z4347773898;22:02200:0:Z3889256634;22:02200:0:Z3207487534;
c1ncsn1,13552,22:02200:0:Z2185742472;22:02200:0:Z1348378768;22:02200:0:Z4561892894;
C1CC2CSCC2CN1,539,22:02200:0:Z2802879797;22:02200:1:Z2777567585;22:02200:1:Z3579017514;
c1cnccn1,27425,22:02200:0:Z2992717871;22:02200:0:Z3322047360;22:02200:0:Z2231756456;
CC1(C)CNc2cnccc21,135,22:02200:0:Z4177135019;22:02200:8:Z4184155987;22:02201:1:Z4184154352;
CN1CCC2(CCNC2)C1,400,22:02200:0:Z2704600009;22:02200:5:Z2210183265;22:02200:5:Z2230094838;
CC1CNCCS(=O)C1,471,22:02200:0:Z4251428395;22:02200:2:Z2917772724;22:02200:4:Z2169987884;
CC1CCOC1,11736,22:02200:0:Z2803195795;22:02200:0:Z1193839853;22:02200:0:Z3899011109;
CC1(C)CCCCN1,2859,22:02200:0:Z3322590325;22:02200:0:Z3609222490;22:02200:0:Z3888955318;
C1CCC2(CCC2)NC1,1999,22:02200:0:Z3795365463;22:02200:0:Z4059755932;22:02200:2:Z4004304883;
C1C2CC1C2,9013,22:02200:0:Z4274907755;22:02200:0:Z4064539052;22:02200:0:Z4326569218;
OC1CCNCC1O,1264,22:02200:0:Z4274907755;22:02200:1:Z4598245682;22:02200:4:Z4179327622;
Cc1cc(F)n(C)n1,590,22:02200:0:Z2998435957;22:02200:2:Z4255368668;22:02200:8:Z3615119968;
Cc1cccnc1C,1072,22:02200:0:Z3827832477;22:02200:1:Z4056282997;22:02200:2:Z2119260213;
C1CC2CCC1N2,6824,22:02200:0:Z3827832477;22:02200:0:Z3830692509;22:02200:0:Z3364150404;
Fc1cccc2ncccc12,276,22:02200:0:Z3851594944;22:02200:4:Z3052953699;22:02200:6:Z3986968256;
c1nnco1,23641,22:02200:0:Z3494522799;22:02200:0:Z2090255879;22:02200:0:Z4328260274;
C1COCCO1,9816,22:02200:0:Z2932684881;22:02200:0:Z3384043079;22:02200:0:Z3104845770;
Fc1cccc2[nH]cnc12,582,22:02200:0:Z2878923691;22:02200:0:Z2603957048;22:02200:0:Z3520204777;
c1ccnnc1,17832,22:02200:0:Z3394642791;22:02200:0:Z4391201463;22:02200:0:Z1623909577;
OC1CCc2ccccc21,863,22:02200:0:Z1997226608;22:02200:0:Z2993653858;22:02200:2:Z2438563171;
CC1CCCC1(F)F,1118,22:02200:0:Z3898499102;22:02200:0:Z3881945350;22:02200:0:Z3819746089;
c1ccc2[nH]ccc2c1,10978,22:02200:0:Z3898499102;22:02200:0:Z1492855801;22:02200:0:Z4352621378;
Fc1ccc2c(c1)CNCC2,448,22:02200:0:Z3807105689;22:02200:1:Z4389209924;22:02200:3:Z3301737765;
C1OC2CC1C2,9248,22:02200:0:Z2977509195;22:02200:0:Z4907584583;22:02200:0:Z3579964165;
Cc1ccnnc1C,1120,22:02200:0:Z3950864934;22:02200:0:Z3780553145;22:02200:0:Z4250426372;
Cn1ccnn1,17931,22:02200:0:Z2595172702;22:02200:0:Z4006982853;22:02200:0:Z3085709293;
CC1CCCCO1,8270,22:02200:0:Z3800287146;22:02200:0:Z3727367864;22:02200:0:Z2017712203;
Oc1ccccc1,26005,22:02200:0:Z2633399425;22:02200:0:Z2947304861;22:02200:0:Z1496853020;
Oc1cccnc1,4055,22:02200:0:Z2633399425;22:02200:0:Z3368675502;22:02200:0:Z3353947034;
CC1(C)CNCCOC1,578,22:02200:0:Z3390348389;22:02200:2:Z3057173332;22:02200:3:Z3139805253;
NC1CCCCC1,10506,22:02200:0:Z3889256634;22:02200:0:Z3346559215;22:02200:0:Z2737815220;
CC1CNCCN1,10804,22:02200:0:Z3878463496;22:02200:0:Z2161512625;22:02200:0:Z2274843167;
c1ccc2c(c1)CCN2,7064,22:02200:0:Z1883250842;22:02200:0:Z1883247921;22:02200:0:Z1883248770;
c1ccn2ccnc2c1,5839,22:02200:0:Z2355964902;22:02200:0:Z1935310979;22:02200:0:Z5050394935;
CC1N=CNC1C,73,22:02200:0:Z4380612803;22:02201:9:Z3301895709;22:02202:2:Z3301895377;
C1CC2CC1CO2,5317,22:02200:0:Z4489195508;22:02200:0:Z4489195570;22:02200:0:Z4489204376;
CC1CNCCO1,15688,22:02200:0:Z4051853546;22:02200:0:Z2916432223;22:02200:0:Z3506229539;
CC1CCCO1,21282,22:02200:0:Z4051853546;22:02200:0:Z4192892819;22:02200:0:Z2442887277;
Cc1ccsc1,12937,22:02200:0:Z4391201463;22:02200:0:Z1583249984;22:02200:0:Z2270364069;
CC1CCCC1=O,469,22:02200:0:Z4948588131;22:02200:0:Z4948643895;22:02200:6:Z4948538705;
C1COCC2(C1)CNC2,191,22:02200:0:Z4961600052;22:02200:0:Z4591735067;22:02200:4:Z4591728115;
Cc1cccnn1,6179,22:02200:0:Z4961600052;22:02200:0:Z2439264153;22:02200:0:Z1816881664;
C1C2CC3CC1CC(C2)C3,313,22:02200:0:Z2282869215;22:02200:4:Z417010724;22:02200:5:Z2474904330;
c1nc[nH]n1,40998,22:02200:0:Z4194130252;22:02200:0:Z2614023966;22:02200:0:Z3585050006;
CC1CCCC1O,1336,22:02200:0:Z4139048193;22:02200:0:Z2713953181;22:02200:1:Z4062624832;
C1CC2(C1)CCC2,13381,22:02200:0:Z2359024159;22:02200:0:Z3653820212;22:02200:0:Z3346007469;
Fc1ccc2c(c1)CCO2,549,22:02200:0:Z3550059285;22:02200:1:Z1699409465;22:02200:2:Z3539557207;
Cc1ccc(C)cc1,4950,22:02200:0:Z3692908465;22:02200:0:Z1955261417;22:02200:0:Z3522541681;
Cc1cn[nH]c1,9367,22:02200:0:Z3692908465;22:02200:0:Z2099166371;22:02200:0:Z3655265376;
CN1CCNCC1,11403,22:02200:0:Z3342246137;22:02200:0:Z4241549413;22:02200:0:Z3546666523;
c1ccn2nccc2c1,4115,22:02200:0:Z2112730044;22:02200:0:Z3697217346;22:02200:0:Z4106037336;
CC(C)=CF,1229,22:02200:0:Z4221242659;22:02200:2:Z4258586499;22:02200:4:Z4221243517;
Nc1cc[nH]n1,1177,22:02200:0:Z3229556018;22:02200:0:Z3727367864;22:02200:0:Z4044686166;
c1ccc2occc2c1,7136,22:02200:0:Z2790213815;22:02200:0:Z2283211321;22:02200:0:Z4025557260;
c1ccc2c(c1)CCOC2,5530,22:02200:0:Z2994281442;22:02200:0:Z2359622720;22:02200:0:Z3367772463;
c1ccc2c(c1)CC1CC21,417,22:02200:0:Z2713953181;22:02200:2:Z2909091806;22:02200:4:Z2706903392;
Cn1nnc2c1CCCC2,1079,22:02200:0:Z2594958646;22:02200:0:Z2595235236;22:02200:2:Z3338659351;
c1ccc2c(c1)CCCCC2,878,22:02200:0:Z1348378768;22:02200:0:Z2377749650;22:02200:4:Z2657940568;
CC1(C)CCC12CCNC2,255,22:02200:0:Z4184194805;22:02200:5:Z4171253546;22:02200:9:Z4179255119;
Cc1cccc2scnc12,216,22:02200:0:Z2967966091;22:02201:3:Z3236446790;22:02201:9:Z1763561961;
Clc1ccc(Cl)cc1,3599,22:02200:0:Z1744237629;22:02200:0:Z1744408492;22:02200:0:Z363817026;
CC1CCCC(C)O1,2981,22:02200:0:Z2947304861;22:02200:0:Z1988167164;22:02200:0:Z4260712759;
O=S1(=O)CCCC1,10473,22:02200:0:Z4858998703;22:02200:0:Z3058346832;22:02200:0:Z4140491368;
C1CCC2(CNC2)OC1,909,22:02200:0:Z4858998703;22:02200:0:Z3392416287;22:02200:5:Z4858780176;
CC1CCCC1,15944,22:02200:0:Z2182690037;22:02200:0:Z4571677154;22:02200:0:Z3645862466;
c1cc2c(s1)CCC2,1122,22:02200:0:Z100642996;22:02200:0:Z1503268827;22:02200:0:Z2851807460;
Cc1cnco1,9785,22:02200:0:Z1576490651;22:02200:0:Z4232783487;22:02200:0:Z3336153423;
Clc1cccc(Cl)c1,12475,22:02200:0:Z2475445510;22:02200:0:Z3646918438;22:02200:0:Z4540511797;
c1nn[nH]n1,21780,22:02200:0:Z5004100981;22:02200:0:Z4576417633;22:02200:0:Z2589151259;
Clc1cccc2c1CNCCO2,114,22:02200:0:Z5004100981;22:02201:7:Z5022135894;22:02204:8:Z5017676399;
FC1CCCCC1,9844,22:02200:0:Z3999740031;22:02200:0:Z3999647501;22:02200:0:Z3940303577;
c1ccc2c(c1)CCCN2,4142,22:02200:0:Z3522784081;22:02200:0:Z2476632909;22:02200:0:Z3519966674;
Clc1ccc2c(c1)CCC2,1316,22:02200:0:Z2000953667;22:02200:6:Z3361461964;22:02200:7:Z2712022190;
c1ccc2ncccc2c1,8227,22:02200:0:Z4215243989;22:02200:0:Z2734092870;22:02200:0:Z4608616069;
Cc1ccon1,16410,22:02200:0:Z2103434068;22:02200:0:Z1890109379;22:02200:0:Z4264918138;
C1OCC2CC12,5846,22:02200:0:Z2103434068;22:02200:0:Z1954377104;22:02200:0:Z2092390647;
O=C1CCC1,4770,22:02200:0:Z2909223714;22:02200:0:Z4487022491;22:02200:0:Z3355951651;
C1CNC2(C1)CCNC2,642,22:02200:0:Z3384043079;22:02200:1:Z2378766371;22:02200:4:Z3046684301;
CN1C(=O)CCc2ccccc21,359,22:02200:0:Z340501864;22:02200:1:Z2590485943;22:02201:1:Z4386966826;
O=c1[nH]cncc1Cl,312,22:02200:0:Z2092076459;22:02200:0:Z2976314558;22:02200:0:Z2977203084;
OC1CCNC1,28289,22:02200:0:Z4386934428;22:02200:0:Z3344623673;22:02200:0:Z1884546239;
CC1(C)CCCCS1,524,22:02200:0:Z4138259222;22:02200:2:Z4157552021;22:02200:6:Z3559694128;
c1csnn1,8981,22:02200:0:Z4099740242;22:02200:0:Z3060814174;22:02200:0:Z2271236205;
FC(F)=C1CCCCC1,787,22:02200:0:Z3657868862;22:02200:1:Z3715236381;22:02200:2:Z4311422249;
CC1CCC(C)NC1,1129,22:02200:0:Z3207834742;22:02200:0:Z1952337771;22:02200:2:Z3619663113;
O=S1(=O)CCC1,6612,22:02200:0:Z2877252958;22:02200:0:Z4436609734;22:02200:0:Z4137483965;
Cc1ccc(C)nc1,2303,22:02200:0:Z1481823521;22:02200:0:Z3368553680;22:02200:0:Z4214731526;
Cc1cnc(C)s1,2873,22:02200:0:Z4471010118;22:02200:0:Z3352341844;22:02200:0:Z3340338903;
O=C1CCc2ccccc21,1639,22:02200:0:Z4471010118;22:02200:0:Z4422204497;22:02200:0:Z4384269100;
O=S1(=O)CCCCC1,7501,22:02200:0:Z4192892819;22:02200:0:Z2099166371;22:02200:0:Z3747784654;
Cc1cc2ccccc2[nH]1,888,22:02200:0:Z2948402999;22:02200:1:Z4477989742;22:02200:1:Z1239749208;
CC1CSCCCN1,498,22:02200:0:Z2948402999;22:02200:4:Z4268582186;22:02200:4:Z3045892551;
CN1CCNCC1=O,2726,22:02200:0:Z4422204497;22:02200:0:Z4591157137;22:02200:0:Z3522038942;
CC1(C)CCC1O,3057,22:02200:0:Z4612103104;22:02200:0:Z3815186348;22:02200:0:Z3815188945;
OC1COC2(CCNCC2)C1,214,22:02200:0:Z4612103104;22:02200:2:Z3814659338;22:02200:5:Z4621407102;
Cc1ncccn1,8467,22:02200:0:Z4227929581;22:02200:0:Z3518508985;22:02200:0:Z3395843652;
C1CC2(CN1)COCCO2,417,22:02200:0:Z2989196629;22:02200:1:Z4993711877;22:02200:1:Z2977893722;
C1CCN2CCCC2C1,3229,22:02200:0:Z3658491091;22:02200:0:Z2311374668;22:02200:0:Z4934474339;
CC1CCS(=O)(=O)CCN1,280,22:02200:0:Z4177189523;22:02200:1:Z4059969210;22:02200:4:Z3546872805;
c1nnc2n1CCCC2,3392,22:02200:0:Z4887239801;22:02200:0:Z3055087232;22:02200:0:Z2906636939;
CC1COC1,5419,22:02200:0:Z2954289786;22:02200:0:Z4007387461;22:02200:0:Z2729469437;
c1cc2sccc2o1,668,22:02200:0:Z1247528330;22:02200:0:Z2089443879;22:02200:1:Z2207801088;
OC1CCC1,28593,22:02200:0:Z2974820137;22:02200:0:Z4084555537;22:02200:0:Z4068590426;
C1NC2CC1C2,9219,22:02200:0:Z3471608226;22:02200:0:Z4012127573;22:02200:0:Z3093661337;
CC12CC1C2,930,22:02200:0:Z2778989460;22:02200:0:Z2778525646;22:02200:1:Z2973879526;
C1=CCNCC1,3378,22:02200:0:Z2778989460;22:02200:0:Z2365583400;22:02200:0:Z3493105972;
c1ccc2c(c1)OCO2,5530,22:02200:0:Z1884546239;22:02200:0:Z2925504386;22:02200:0:Z3049946744;
c1ccc2c(c1)CCCO2,4300,22:02200:0:Z1883312281;22:02200:0:Z3294011158;22:02200:0:Z3781153951;
Cc1cncs1,12948,22:02200:0:Z1883312281;22:02200:0:Z3627821315;22:02200:0:Z3627827391;
C1CCC2(CC1)CC2,5482,22:02200:0:Z2011863136;22:02200:0:Z2752883389;22:02200:1:Z3831452478;
C1COCCN1,80784,22:02200:0:Z3624658631;22:02200:0:Z2527312603;22:02200:0:Z4264918138;
FC1(F)CC2CC2C1,501,22:02200:0:Z3788943541;22:02200:1:Z3850739287;22:02200:1:Z3841937820;
Fc1ccccc1Cl,13025,22:02200:0:Z4079629998;22:02200:0:Z4142789573;22:02200:0:Z1994322408;
FC1(F)CCC1,16276,22:02200:0:Z4079629998;22:02200:0:Z3908340356;22:02200:0:Z3090058043;
C1CC2(C1)CC2,11388,22:02200:0:Z4041975659;22:02200:0:Z4059657090;22:02200:0:Z3369961574;
Cc1cnn(C)c1,5540,22:02200:0:Z2068221730;22:02200:0:Z4284740129;22:02200:0:Z2887643087;
c1ccc2oncc2c1,1283,22:02200:0:Z2068221730;22:02200:0:Z1136355919;22:02200:0:Z2780116091;
C1CC2CC(C2)O1,2823,22:02200:0:Z4204741878;22:02200:0:Z4203740864;22:02200:0:Z4537067789;
C1CCSCC1,16070,22:02200:0:Z2795106141;22:02200:0:Z1510089437;22:02200:0:Z3702976287;
O=S1(=O)CCCNCC1,771,22:02200:0:Z4405588700;22:02200:1:Z5050949953;22:02200:1:Z3385009294;
C1CSCCN1,11288,22:02200:0:Z2614023966;22:02200:0:Z2390253708;22:02200:0:Z4176267847;
C1CC2CCC12,2216,22:02200:0:Z4076839887;22:02200:0:Z4075883536;22:02200:0:Z4076840641;
O=c1cnc2ccccc2[nH]1,283,22:02200:0:Z4035564804;22:02200:1:Z907884936;22:02200:5:Z3549819336;
FC12CNCC(C1)C2,981,22:02200:0:Z4031087494;22:02200:0:Z3701166753;22:02200:0:Z3714230189;
c1c[nH]nn1,68143,22:02200:0:Z2527312603;22:02200:0:Z3497503633;22:02200:0:Z3374539180;
C1CC2CCOC2C1,2914,22:02200:0:Z4596181584;22:02200:0:Z4262456923;22:02200:0:Z5059832571;
Fc1cccnc1,26528,22:02200:0:Z3497503633;22:02200:0:Z2119604333;22:02200:0:Z2105403702;
CC1C=NNC(=O)C1,12,22:02200:0:Z2790101111;22:02223:3:Z3727427557;22:02250:3:Z2790132975;
CC1(C)CCCCO1,5693,22:02200:0:Z2790101111;22:02200:0:Z3320449958;22:02200:0:Z3438183774;
Oc1cccc(F)c1,1972,22:02200:0:Z2925504386;22:02200:0:Z3834770647;22:02200:0:Z2964896140;
Cc1ccc(Cl)cc1,3725,22:02200:0:Z1496853020;22:02200:0:Z3442547844;22:02200:0:Z3841951596;
C1NCC2CC12,17212,22:02200:0:Z2791539640;22:02200:0:Z3499169645;22:02200:0:Z3889466447;
Cn1ccncc1=O,1061,22:02200:0:Z4025077924;22:02200:0:Z2879636622;22:02200:3:Z1272217182;
