fragment_smiles,occurences,example_ligands
Clc1cccs1,15570,8:00800:0:Z3589889305;8:00800:0:Z3365249588;8:00800:0:Z4779407610;
Cc1cncnc1,2642,8:00800:0:Z1526782081;8:00800:0:Z2850290720;8:00800:0:Z2445341710;
Cc1ccsn1,6524,8:00800:0:Z2219905677;8:00800:0:Z3599362076;8:00800:0:Z3856602099;
CC1(F)CNC1,784,8:00800:0:Z2774165566;8:00800:0:Z2699653859;8:00800:0:Z2436770717;
CC1CNCCO1,15758,8:00800:0:Z2974653709;8:00800:0:Z3551263667;8:00800:0:Z2612728207;
Oc1ccccc1F,3583,8:00800:0:Z2974653709;8:00800:0:Z2285244955;8:00800:0:Z3295752078;
Cc1ccsc1,13367,8:00800:0:Z1343781545;8:00800:0:Z1891214547;8:00800:0:Z1685081400;
CC1(C)CCc2ccccc21,309,8:00800:0:Z3362322116;8:00800:0:Z4489489291;8:00800:0:Z2452524707;
C1CC2(CCN1)COCCN2,155,8:00800:0:Z3807858560;8:00800:0:Z3701455998;8:00800:4:Z4534316048;
CC1(C)CC1,9933,8:00800:0:Z1506943505;8:00800:0:Z1498239112;8:00800:0:Z3179809353;
Fc1ccccc1,127829,8:00800:0:Z1506943505;8:00800:0:Z1498239112;8:00800:0:Z4241849931;
c1cnoc1,79831,8:00800:0:Z4353438618;8:00800:0:Z3369284294;8:00800:0:Z3516825896;
C1CNC2CCC2C1,1438,8:00800:0:Z4055038196;8:00800:0:Z3571796029;8:00800:0:Z3595815109;
Cc1ccncc1,14157,8:00800:0:Z4985855265;8:00800:0:Z2803817518;8:00800:0:Z2618158037;
OC1COC1,2420,8:00800:0:Z3857104808;8:00800:0:Z4595069254;8:00800:0:Z3888412732;
C1=COCCC1,1771,8:00800:0:Z3714240390;8:00800:0:Z1764428381;8:00800:0:Z2154746460;
O=C1NCC2(CCNCC2)N1,217,8:00800:0:Z3714240390;8:00800:1:Z3644763544;8:00800:1:Z3979539163;
C1CCC2(C1)CCCOC2,435,8:00800:0:Z3092007505;8:00800:1:Z3092009173;8:00800:3:Z3197462149;
c1nnc2n1CCNC2,1792,8:00800:0:Z2864010094;8:00800:0:Z2715244900;8:00800:0:Z2833773715;
Cc1ccc(O)c(C)c1,397,8:00800:0:Z1571055991;8:00800:2:Z4185765348;8:00800:4:Z4458667308;
c1ccoc1,76522,8:00800:0:Z1571055991;8:00800:0:Z3496452562;8:00800:0:Z2897472004;
c1nncs1,32925,8:00800:0:Z3869761086;8:00800:0:Z3881224805;8:00800:0:Z2763833003;
CC1CCS(=O)(=O)CC1,488,8:00800:0:Z3551263667;8:00800:0:Z3356967074;8:00800:1:Z3560563308;
Oc1ccccn1,4573,8:00800:0:Z4841247195;8:00800:0:Z3393640046;8:00800:0:Z1443048186;
c1nnn[nH]1,18337,8:00800:0:Z3724569320;8:00800:0:Z1262294025;8:00800:0:Z4111466257;
c1cc[nH]c1,25620,8:00800:0:Z5051341330;8:00800:0:Z2077282466;8:00800:0:Z4484799955;
Cc1ccc[nH]c1=O,1125,8:00800:0:Z1882142256;8:00800:1:Z4137341350;8:00800:1:Z4293916319;
Cc1cnc[nH]1,3562,8:00800:0:Z3470596595;8:00800:0:Z2632226021;8:00800:0:Z3268502116;
CC1CNCCN1,10732,8:00800:0:Z4269388898;8:00800:0:Z4071860304;8:00800:0:Z3599542899;
CC1CNC1,12841,8:00800:0:Z4241849931;8:00800:0:Z4241864074;8:00800:0:Z4241841386;
c1ccc2c(c1)COC2,3330,8:00800:0:Z2849712429;8:00800:0:Z4947558379;8:00800:0:Z955254204;
c1ccc2c(c1)CCO2,8580,8:00800:0:Z3176861280;8:00800:0:Z3364337299;8:00800:0:Z3046249005;
Cc1ncccn1,8219,8:00800:0:Z3051672604;8:00800:0:Z2077282466;8:00800:0:Z2755674726;
Cn1cc(Cl)cn1,6110,8:00800:0:Z3051672604;8:00800:0:Z3323643807;8:00800:0:Z4980012500;
OC1CC2(CC2)C1,847,8:00800:0:Z4318346829;8:00800:0:Z4351395453;8:00800:1:Z4324127515;
c1cnc2cc[nH]c2c1,1414,8:00800:0:Z2906484521;8:00800:0:Z3612899452;8:00800:1:Z2843179034;
Cn1cnnc1,15419,8:00800:0:Z2008406456;8:00800:0:Z3494235575;8:00800:0:Z4341817646;
O=C1CNCCN1,10150,8:00800:0:Z2008406456;8:00800:0:Z1942713890;8:00800:0:Z2906813022;
C1CC2(CCN1)CC2,2728,8:00800:0:Z2439545684;8:00800:0:Z2377982785;8:00800:0:Z4317716293;
Fc1cccc2c1CNCC2,436,8:00800:0:Z2439545684;8:00800:6:Z3516583401;8:00800:6:Z3511463878;
Cc1ccc(C)o1,2804,8:00800:0:Z4264832613;8:00800:1:Z4021101202;8:00800:3:Z3618430789;
Cc1ncon1,9804,8:00800:0:Z1018561244;8:00800:0:Z2118316383;8:00800:0:Z2293124678;
c1cn2cncc2cn1,288,8:00800:0:Z4453255348;8:00800:2:Z4218108278;8:00800:2:Z4217754202;
C1C2CC1C2,8821,8:00800:0:Z4001447649;8:00800:0:Z3345367078;8:00800:0:Z4559575144;
CC1CC1(F)F,5326,8:00800:0:Z4909451971;8:00800:0:Z3626048199;8:00800:0:Z4299221076;
Cc1cc(C)ncn1,2705,8:00800:0:Z3850830958;8:00800:0:Z1892104667;8:00800:0:Z3103850547;
c1n[nH]c2c1CC1CC21,247,8:00800:0:Z3850830958;8:00800:8:Z3312429189;8:00801:0:Z4522181170;
CC1CNCC1N,1139,8:00800:0:Z2443806354;8:00800:0:Z2923404093;8:00800:0:Z2981801079;
Cc1nccs1,16549,8:00800:0:Z1731527251;8:00800:0:Z3496181773;8:00800:0:Z2498433809;
CC1(C)CCCO1,7058,8:00800:0:Z1731527251;8:00800:0:Z1744641189;8:00800:0:Z2362465025;
FC1CCCC1,8709,8:00800:0:Z2638122863;8:00800:0:Z4398624869;8:00800:0:Z3796111583;
Cn1ccn(C)c1=O,439,8:00800:0:Z3134858971;8:00800:1:Z2908822671;8:00800:4:Z2892796758;
NC1CCNC1,5447,8:00800:0:Z3134858971;8:00800:0:Z3989983379;8:00800:1:Z4439288635;
c1ccc2ncccc2c1,7971,8:00800:0:Z1343255387;8:00800:0:Z4265747202;8:00800:0:Z1318027063;
Cc1cn2nc(C)sc2n1,388,8:00800:0:Z3535992178;8:00800:1:Z4094634444;8:00800:6:Z3390217428;
O=C1CCOC1,1117,8:00800:0:Z3535992178;8:00800:0:Z3536645653;8:00800:1:Z3582622235;
CC1CCCCN1,16393,8:00800:0:Z2827063247;8:00800:0:Z2827063299;8:00800:0:Z2827063152;
O=C1CCCCCN1,4786,8:00800:0:Z3166574319;8:00800:0:Z1839380355;8:00800:0:Z3010891839;
C1CSCCN1,11291,8:00800:0:Z4260898454;8:00800:0:Z1697101962;8:00800:0:Z4002510034;
CC1CCOC1,11686,8:00800:0:Z4260898454;8:00800:0:Z1666899619;8:00800:0:Z4305718207;
NC1CCC1,16374,8:00800:0:Z4497624714;8:00800:0:Z3382526321;8:00800:0:Z4028164407;
NC1CNCC12CC2,501,8:00800:0:Z2444644193;8:00800:1:Z2445161619;8:00800:2:Z2826295697;
C1CC2CC2C1,18286,8:00800:0:Z4577702557;8:00800:0:Z4245708241;8:00800:0:Z2755674726;
c1ccn2ccnc2c1,5821,8:00800:0:Z1607310684;8:00800:0:Z3700371065;8:00800:0:Z2626166456;
C1CCN2CCCC2C1,3285,8:00800:0:Z2481357777;8:00800:1:Z2304982442;8:00800:1:Z1944277105;
FC1(F)CC12CCC2,4347,8:00800:0:Z3606761623;8:00800:0:Z3083542976;8:00800:0:Z2589443730;
Oc1ccccc1,26199,8:00800:0:Z1055871668;8:00800:0:Z2234488064;8:00800:0:Z2179290764;
C1COCOC1,4092,8:00800:0:Z2920591145;8:00800:0:Z2921034399;8:00800:0:Z2850297586;
C1CC2COC(C1)C2,3125,8:00800:0:Z3057728500;8:00800:0:Z4994928162;8:00800:0:Z3505603248;
Cn1ncc2c1CCCNC2,241,8:00800:0:Z2778962013;8:00800:1:Z4481877306;8:00800:3:Z3312477294;
Clc1ccsc1,6869,8:00800:0:Z2778962013;8:00800:0:Z3470216755;8:00800:0:Z3781058514;
Fc1ccc2ncccc2c1,514,8:00800:0:Z4644790549;8:00800:0:Z3093401922;8:00800:0:Z1420501975;
C1CC2NCC2O1,652,8:00800:0:Z4489489291;8:00800:3:Z2973942645;8:00800:5:Z2965245666;
FC1(F)CCCC1,8422,8:00800:0:Z3204026817;8:00800:0:Z4028449688;8:00800:0:Z4459050808;
c1nn[nH]n1,21582,8:00800:0:Z3204026817;8:00800:0:Z4509092946;8:00800:0:Z4379999131;
c1n[nH]c2c1CCC2,1743,8:00800:0:Z3877045318;8:00800:0:Z4466226998;8:00800:1:Z3053474747;
C1CCSCC1,16130,8:00800:0:Z3877045318;8:00800:0:Z4153619452;8:00800:0:Z3532371306;
Cn1ccc2ccccc21,2931,8:00800:0:Z3623437197;8:00800:0:Z4594899316;8:00800:1:Z1822559353;
CC1(C)CN=CO1,207,8:00800:0:Z4268521375;8:00800:0:Z4268685058;8:00800:4:Z4263787813;
FC1CCCOC1,1751,8:00800:0:Z4170723282;8:00800:0:Z4448477322;8:00800:0:Z4482787927;
c1cc2sccc2cn1,1117,8:00800:0:Z4170723282;8:00800:2:Z3572099108;8:00800:5:Z3548291745;
Nc1cccnc1,2633,8:00800:0:Z3136764059;8:00800:0:Z2216316885;8:00800:0:Z3830880227;
FC(F)=C1CCNCC1,468,8:00800:0:Z3136764059;8:00800:0:Z2852080858;8:00800:1:Z2836612147;
c1nc2c([nH]1)CCOC2,226,8:00800:0:Z3591310613;8:00800:5:Z3343057967;8:00800:9:Z3591320485;
Nc1ccccn1,5128,8:00800:0:Z3522251771;8:00800:0:Z3134570638;8:00800:0:Z3556989508;
Cc1cccc(C)c1,16087,8:00800:0:Z2610559766;8:00800:0:Z138863992;8:00800:0:Z2289756244;
